state,title,publication_date,report_type,sector,audit_year,detail_url,pdf_url,pdf_size_mb,scraped_at,report_no
,Report 2 of 2026: Report of the Comptroller and Auditor General of India on Union Territory Finances for the year 2024-25,,,Finance,2024-25,https://cag.gov.in/en/audit-report/details/125155,/webroot/uploads/download_audit_report/2026/UTFAR-2024-25-069ce4a2dc9f5a3.97561867.pdf,,2026-07-22T13:04:41Z,
,"Report 1 of 2026: Report of Comptroller and Auditor General of India, Composite Audit Report: UT Revenues of UT of Jammu and Kashmir for the period ended March 2023",,Compliance,Finance,2022-23,https://cag.gov.in/en/audit-report/details/125072,/webroot/uploads/download_audit_report/2026/J&amp;K_UT-Revenues_CAR_Report-01_English_26-02-2026_signed-069cac1e13cc021.26674148.pdf,,2026-07-22T13:04:41Z,
,Report 1 of 2025: Report of the Comptroller and Auditor General of India on Union Territory Finances for the year 2023-24,,,Finance,2023-24,https://cag.gov.in/en/audit-report/details/125153,/webroot/uploads/download_audit_report/2025/UTFAR-2023-24-069ce49ce75a6f9.86655486.pdf,,2026-07-22T13:04:45Z,
,"Report 7 of 2025: Report of Comptroller and Auditor General of India: Compliance Audit Report -Civil -I,  of UT of Jammu and Kashmir for the Period ended March 2023",,Compliance,Social Infrastructure,2022-23,https://cag.gov.in/en/audit-report/details/125071,/webroot/uploads/download_audit_report/2025/J&amp;K_Report-No-7_Civil-I-2023_6-1-2026_signed-069cac100544a87.26773720.pdf,,2026-07-22T13:04:48Z,
,Report 6 of 2025: Report of Comptroller and Auditor General of India: Composite Audit Report - Civil of UT of Jammu and Kashmir for the period ended March 2022,,Compliance,Social Welfare,2021-22,https://cag.gov.in/en/audit-report/details/125070,/webroot/uploads/download_audit_report/2025/Report-No.-06-Civil-J&amp;K-English---20-11-2025-signed-069cabffe57ace6.90320005.pdf,,2026-07-22T13:04:48Z,
,"Report 5 of 2025:  Report of Comptroller and Auditor General of India:Compliance Audit Report - Revenue and Public Sector Undertakings, UT of Jammu and Kashmir for period ended March 2022",,Compliance,Finance,2021-22,https://cag.gov.in/en/audit-report/details/125069,/webroot/uploads/download_audit_report/2025/Report-No-05-J&amp;K-PSU-English_20-11-2025-signed-069cabdefec7a77.69528722.pdf,,2026-07-22T13:04:48Z,
,Report 4 of 2025: Report  of Comptroller and Auditor General of India on Conservation and Management of Lakes in Jammu and Kashmir for the period  ended March 2022,,,Environment and Sustainable Development,2021-22,https://cag.gov.in/en/audit-report/details/125068,/webroot/uploads/download_audit_report/2025/Report-No-04-Lakes-Final-English-J&amp;K---20-11-2025-signed-069cabc661d1667.35200540.pdf,,2026-07-22T13:04:48Z,
,Report 3 of 2025 :  Report  of Comptroller and Auditor General of India on Working of University of Jammu for period ended March 2022,,,"Education, Health & Family Welfare",2021-22,https://cag.gov.in/en/audit-report/details/125067,/webroot/uploads/download_audit_report/2025/Report-no.-03-WOJU-English---20-11-2025-signed-069caba16ea3546.98972924.pdf,,2026-07-22T13:04:48Z,
,Report 2 of 2025 : Report of Comptroller and Auditor General of India on Public Health Infrastructure and Management of Health Services for the Period ended March 2022,,,"Education, Health & Family Welfare",2021-22,https://cag.gov.in/en/audit-report/details/125066,/webroot/uploads/download_audit_report/2025/Report-No.-02-PHIMS-J&amp;K-English---20-11-2025-signed-069cab86ccc40c6.46964997.pdf,,2026-07-22T13:04:48Z,
,Report 1 of 2024: Report of the Comptroller and Auditor General of India  on Union Territory Finances  for the year 2022-23,,,Finance,2022-23,https://cag.gov.in/en/audit-report/details/125065,/webroot/uploads/download_audit_report/2024/Report-No.-1-of-2024-UTFAR-22-23_JK-English-(27-03-2025)-069cab5c0044fc7.69944252.pdf,,2026-07-22T13:05:42Z,
,"Report No. 3 of the year 2022 -  Compliance Audit for the year ended 31 March 2021, Government of Union Territory of Jammu and Kashmir.",,Compliance,Industry and Commerce,2020-21,https://cag.gov.in/en/audit-report/details/118552,/webroot/uploads/download_audit_report/2023/Report-No.-3-of-2022_Comnpliance_English-(09-03-2023)(new)-06422d051c4bc68.09607613.pdf,,2026-07-22T13:07:50Z,
,"Report No.1 of the year 2023 - Union Territory Finances Audit Report for the year ended 31 March 2022, Government of Union Territory of Jammu and Kashmir.",,Financial,Finance,2021-22,https://cag.gov.in/en/audit-report/details/118551,/webroot/uploads/download_audit_report/2023/Report-No--01-UTFAR-2021-22-Eng-WC-06422ccd1bc6f45.04072666.pdf,,2026-07-22T13:07:50Z,
,"Report No. 2 of the year 2022 - Audit Report of the Comptroller and Auditor General of India on the Union Territory Finances for the year ended 31 March 2021,Government of Union Territory of Jammu and Kashmir",,,Finance,2020-21,https://cag.gov.in/en/audit-report/details/116681,/webroot/uploads/download_audit_report/2022/UTFAR 2020-21_Report No. 2 of 2022_UT_J&K_English-062f0f29b22de67.10808454.pdf,,2026-07-22T13:08:58Z,
,"Report No.1 of 2022-Union Territory Finances, Government of Union Territory of Jammu and Kashmir and Administration of Union Territory of Ladakh",,,Finance,2021-22,https://cag.gov.in/en/audit-report/details/116230,/webroot/uploads/download_audit_report/2022/UTFAR 2019-20_Report No. 1 of 2022_UT_J&K & Ladakh_English-06274ed301c7e02.01326003-0629da90348cde5.16262980.pdf,,2026-07-22T13:09:06Z,1/2022
,Report No. 3 of 2021- State Finances Audit Report of Government of Jammu & Kashmir,,Financial,Finance,2020-21,https://cag.gov.in/en/audit-report/details/116122,/webroot/uploads/download_audit_report/2021/SFAR 2019-20_Sate_Report No. 3 of 2021_English-0624fe4023292e2.19539243.pdf,,2026-07-22T13:09:35Z,3/2021
,"Report No. 4 of 2021- Social, General, Economic and Revenue Sector of Government of J&K",,Financial,Taxes and Duties,2019-20,https://cag.gov.in/en/audit-report/details/116112,/webroot/uploads/download_audit_report/2020/Report No. 4 of 2021_2019-20_UT J&K_English_Final-0624fc82841b749.39680518.pdf,,2026-07-22T13:09:35Z,4/2021
,"Report no. 2 of 2021 - Prime Minister’s Development Package for the year ended 31 March 2019, Government of Jammu and Kashmir",,,Social Welfare,2018-19,https://cag.gov.in/en/audit-report/details/114694,/webroot/uploads/download_audit_report/2021/Report No. 2 of 2021_PMDP_English_signed-061af2ebaa2dd92.53179774.pdf,,2026-07-22T13:09:52Z,2/2021
,"Report no. 1 of 2021 - Social, General, Economic and Revenue Sector Government of J&K",,Financial,Finance,2020-21,https://cag.gov.in/en/audit-report/details/113578,/webroot/uploads/download_audit_report/2021/Report_no_1_of_2021_Social_General_Economic_and_Revenue_Sector_J&K-0605b27b195f7f2.56909631.pdf,,2026-07-22T13:10:21Z,1/2021
,"Report No. 2 of 2020 - State Finances, Government of Jammu & Kashmir",,Financial,Finance,2019-20,https://cag.gov.in/en/audit-report/details/113556,/webroot/uploads/download_audit_report/2020/Rep _2_of_2020_State_Finances_J&K-0605b1ebe72fe21.26471197.pdf,,2026-07-22T13:10:41Z,2/2020
,"Report of 1 of 2020 - Revenue Sector and Public Sector Undertakings (Social, General and Economic Sectors) Government of Jammu & Kashmir",,Financial,,2019-20,https://cag.gov.in/en/audit-report/details/111857,/webroot/uploads/download_audit_report/2020/Report-No.-1-of-2020_PSUs_2017-18_JK-05f92d99df0c7e9.54012703.pdf,,2026-07-22T13:10:58Z,
,Report of 1 of 2019 - State Finances Government of Jammu and Kashmir,,Financial,Finance,2018-19,https://cag.gov.in/en/audit-report/details/111855,/webroot/uploads/download_audit_report/2019/SFAR Report No. 1 of 2019_JK.pdf,,2026-07-22T13:11:22Z,
,"Report No.2 of 2019 - Social, General, Economic (Non-PSUs) sectors Government of Jammu and Kashmir",,Compliance,General Sector Ministries and Constitutional Bodies,2018-19,https://cag.gov.in/en/audit-report/details/111852,/webroot/uploads/download_audit_report/2019/Report No. 2 of 2019_Non-PSUs_JK.pdf,,2026-07-22T13:11:22Z,2/2019
,"Report of 1 of 2018 - Revenue Sector and Public Sector Undertakings (Social, General and Economic Sectors) Government of Jammu & Kashmir",,Financial,General Sector Ministries and Constitutional Bodies,2017-18,https://cag.gov.in/en/audit-report/details/111856,/webroot/uploads/download_audit_report/2018/Report No. 1_2018_PSUs_2016-17_JK.pdf,,2026-07-22T13:11:57Z,
,Report of 2 of 2018 - State Finances Government of Jammu and Kashmir,,Financial,Finance,2017-18,https://cag.gov.in/en/audit-report/details/111854,/webroot/uploads/download_audit_report/2018/Report No. 2_2018_SFR_2016-17_JK.pdf,,2026-07-22T13:11:57Z,
,"Report No.3 of 2018 - Social, General, Economic (Non-PSUs) sectors Government of Jammu and Kashmir",,Compliance,General Sector Ministries and Constitutional Bodies,2017-18,https://cag.gov.in/en/audit-report/details/111850,/webroot/uploads/download_audit_report/2018/Report No. 3_2018_Non-PSUs 2016-17_JK.pdf,,2026-07-22T13:11:57Z,3/2018
,"Report No.1 of 2017 - Social, General, Economic (Non-PSUs) sectors of Jammu and Kashmir Government of Jammu and Kashmir",,Compliance,General Sector Ministries and Constitutional Bodies,2016-17,https://cag.gov.in/en/audit-report/details/32671,"/webroot/uploads/download_audit_report/2017/Report_No.1_of_2017_-_Social,_General,_Economic_(Non-PSUs)_sectors_of_Jammu_and_Kashmir_Government_of_Jammu_and_Kashmir_0.pdf",,2026-07-22T13:13:11Z,1/2017
,Report No.4 of 2016 - Performance Audit of Disaster Management in the State of Jammu and Kashmir Government of Jammu and Kashmir,,Performance,Environment and Sustainable Development,2016-17,https://cag.gov.in/en/audit-report/details/32651,/webroot/uploads/download_audit_report/2017/Report_No.4_of_2016_-_Performance_Audit_of_Disaster_Management_in_the_State_of_Jammu_and_Kashmir_Government_of_Jammu_and_Kashmir.pdf,,2026-07-22T13:13:11Z,4/2016
,Report of 2016 - State Finances Government of Jammu and Kashmir,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/32643,/webroot/uploads/download_audit_report/2017/Report_of_2016_-_State_Finances_Government_of_Jammu_and_Kashmir.pdf,,2026-07-22T13:13:11Z,
,Report No.6 of 2016 - Revenue Sector and Public Sector Undertakings Government of Jammu and Kashmir,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/32633,/webroot/uploads/download_audit_report/2017/Report_No.6_of_2016_-_Revenue_Sector_and_Public_Sector_Undertakings_Government_of_Jammu_and_Kashmir.pdf,,2026-07-22T13:13:11Z,6/2016
,State Finances Report 2016 - Jammu and Kashmir,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/26279,/webroot/uploads/download_audit_report/2017/JK_State_Finances_for_the_year_ended_31_March_2015.pdf,,2026-07-22T13:13:52Z,
,Report 3 of 2016 - Revenue Sector Jammu and Kashmir,,Financial,Finance,2016-17,https://cag.gov.in/en/audit-report/details/26270,/webroot/uploads/download_audit_report/2017/JK_Report_3_of_2016_Revenue_Sector.pdf,,2026-07-22T13:13:52Z,
,"Annual Technical Inspection Report on Urban Local Bodies for the year ended 31 March 2015, Government of Jammu and Kashmir",,,Local Bodies,2014-15,https://cag.gov.in/en/audit-report/details/32680,"/webroot/uploads/download_audit_report/2016/Annual_Technical_Inspection_Report_on_Urban_Local_Bodies_for_the_year_ended_31_March_2015,_Government_of_Jammu_and_Kashmir_0.pdf",,2026-07-22T13:14:00Z,
,"Report 2 of 2016 - Social, General, Economic PSUs Sectors Jammu and Kashmir",,,Social Welfare,2015-16,https://cag.gov.in/en/audit-report/details/26181,/webroot/uploads/download_audit_report/2016/JK_Report_2_of_2016_Social_General_Economic_PSUs.pdf,,2026-07-22T13:14:11Z,
,"Report 1 of 2016 Social, General, Economic (Non-PSUs) sectors, Jammu and Kashmir",,Compliance,Social Welfare,2015-16,https://cag.gov.in/en/audit-report/details/26173,/webroot/uploads/download_audit_report/2016/JK_Report_1_of_2016_Social_General_Economic_Non_PSUs.pdf,,2026-07-22T13:14:11Z,
,Report of 2015 - Financial and Performance Audit on  State Finances of Government of Jammu Kashmir,,Performance,,2014-15,https://cag.gov.in/en/audit-report/details/5597,/webroot/uploads/download_audit_report/2015/Jammu_Kashmir_SF_2015.pdf,,2026-07-22T13:15:40Z,
,"Report No. 4 of 2015 - Compliance and Performance Audit on  Social, General Economic (Non-PSUs) Sectors of Government of Jammu Kashmir",,Performance,,2014-15,https://cag.gov.in/en/audit-report/details/5586,/webroot/uploads/download_audit_report/2015/Jammu_Kashmir_Report_4_2015.pdf,,2026-07-22T13:15:40Z,4/2015
,Report No. 3 of 2015 - Financial and Performance Audit on Revenue and Public Sector Undertakings of Government of Jammu Kashmir,,Performance,,2014-15,https://cag.gov.in/en/audit-report/details/5566,/webroot/uploads/download_audit_report/2015/Jammu_Kashmir_Report_3_2015.pdf,,2026-07-22T13:15:40Z,3/2015
