seq,candidate_name,notes
1,AAHIR DEEPAK CHAUDHARYY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
2,AAKASH GOEL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
3,AALEY MOHAMMED IQBAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
4,ABDUL REHMAN,name_from_filename (Part A regex missed); movable_self_only; no_pan; no_pending_cases_count
5,ABDUL ZABBAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
6,ABHAY VERMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
7,ABHA JHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
8,ABHISHEK,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
9,ABHISHEK DUTT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
10,ABHISHEK KUMAR SINGH  MASTER JI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
11,ABRAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
12,ADARSH SHASTRI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_movable_totals
13,ADEEL AHMAD KHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
14,ADVOCATE MEHAK DOGRA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
15,AFSANA SARWAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
16,AJAY KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
17,AJAY KUMAR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
18,AJAY MAHAWAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
19,AJAY SINGH NEGI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
20,AJESH YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
21,AKESHAN DUT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
22,AKHILESH PATI TRIPATHI,name_from_filename (Part A regex missed); movable_split_concatenated_digits; no_pending_cases_count
23,AKSHAY KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
24,ALI MEHDI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
25,ALKA LAMBA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
26,ALTAF AHMAD,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
27,AMANATULLAH KHAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
28,AMAN SAINI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
29,AMARDEEP,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
30,AMARJEET PRASAD,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
31,AMAR NATH,name_from_filename (Part A regex missed); movable_self_only; no_pan; no_pending_cases_count
32,AMAR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
33,AMIT KUMAR SHARMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
34,AMIT SAINI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
35,AMJAD HASAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
36,AMRINA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
37,ANDEEP DRALL,name_from_filename (Part A regex missed); no_movable_totals
38,ANIL BHARDWAJ,name_from_filename (Part A regex missed); no_movable_totals
39,ANIL JHA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
40,ANIL KAPOOR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
41,ANIL KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
42,ANIL KUMAR SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
43,ANIL KUMAR SHARMA  GAUR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
44,ANIL KUMAR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
45,ANIL KUMAR VASHISHT,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
46,ANIL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
47,ANIMA OJHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
48,ANITA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
49,ANITA BANSAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
50,ANJANA PARCHA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
51,ANURADHA RANA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
52,ANURAG KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
53,ARAVENDRA KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
54,ARIBA KHAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
55,ARJUN SINGH BHADANA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
56,ARUN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
57,ARUNA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
58,ARUN KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
59,ARUN KUMAR SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_movable_totals
60,ARVINDER SINGH LOVELY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
61,ARVIND KEJRIWAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
62,ARVIND KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
63,ARVIND KUMAR PANDEY,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
64,ASHA CHAUDHARY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
65,ASHA KAMBLE,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
66,ASHA RANI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
67,ASHISH KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
68,ASHISH SOOD,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
69,ASHOK AGARWAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
70,ASHOK AGYANI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
71,ASHOK BAMBANI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
72,ASHOK GOEL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
73,ASHOK JAIN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
