seq,candidate_name,notes
1,ABHIKARAN SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
2,ABHISHEK SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
3,ADAISH PARTAP SINGH KAIRON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
4,ADAISH PARTAP SINGH KAIRON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
5,ADAISH PARTAP SINGH KAIRON,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
6,ADVOCATE AJAY KUMAR PHILLAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
7,ADVOCATE BIKRAM SINGH SIDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
8,ADVOCATE HARISH RAI DHANDA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
9,ADVOCATE JYOTI PAL BHIM,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
10,ADVOCATE PRABHJOT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
11,ADVOCATE RAVINDER SINGH VOHRA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
12,AJAIB SINGH BATHOI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
13,AJAIB SINGH RATOLAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
14,AJAIB SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
15,AJAIPAL SINGH SANDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
16,AJAY BHATIA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
17,AJAY KUMAR CHINNU,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
18,AJIT PAL SINGH KOHLI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
19,ALWINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
20,AMANDEEP KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
21,AMANDEEP SINGH GHUMAN,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
22,AMANDEEP SINGH GORA GILL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
23,AMANDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
24,AMANDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
25,AMANDEEP SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
26,AMANSHER SINGH  SHERY KALSI,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
27,AMARBEER SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
28,AMARINDER SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
29,AMARJEET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
30,AMARJIT SINGH ASAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
31,AMARJIT SINGH MANN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
32,AMARJIT SINGH SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
