constituency,rank,rank_reason,politician_id,candidate_name,party,won,myneta_total_assets,myneta_criminal_cases,myneta_education,has_eci_match,eci_quality_status,eci_fields_present
ADARSH NAGAR,1 (winner),winner,136147,Raj Kumar Bhatia,BJP,1,166043106,1,12th Pass,True,NEEDS_REVIEW,10
ADARSH NAGAR,2,party_priority:AAP,136694,Mukesh Kumar Goel,AAP,0,102764691,0,Graduate,True,NEEDS_REVIEW,10
ADARSH NAGAR,3,party_priority:INC,136884,Shivank Singal,INC,0,3778997,0,Post Graduate,True,NEEDS_REVIEW,6
AMBEDKAR NAGAR,1 (winner),winner,136148,Dr. Ajay Dutt,AAP,1,119294435,0,Doctorate,True,NEEDS_REVIEW,3
AMBEDKAR NAGAR,2,party_priority:INC,136596,Jai Prakash,INC,0,25514467,9,12th Pass,True,NEEDS_REVIEW,8
AMBEDKAR NAGAR,3,party_priority:BSP,136869,Sewa Dass,BSP,0,1394000,0,Illiterate,True,NEEDS_REVIEW,5
BABARPUR,1 (winner),winner,136149,Gopal Rai,AAP,1,14199753,1,Post Graduate,True,NEEDS_REVIEW,9
BABARPUR,2,party_priority:BJP,136438,Anil Kumar Vashisht,BJP,0,45366037,0,Post Graduate,True,NEEDS_REVIEW,9
BABARPUR,3,party_priority:INC,136674,Mohd Ishraq Khan,INC,0,29353000,1,5th Pass,True,NEEDS_REVIEW,7
BADARPUR,1 (winner),winner,136150,Ram Singh Netaji,AAP,1,896703141,0,5th Pass,True,NEEDS_REVIEW,5
BADARPUR,2,party_priority:BJP,136701,Narayan Dutt Sharma,BJP,0,27160133,1,12th Pass,True,NEEDS_REVIEW,8
BADARPUR,3,party_priority:INC,136447,Arjun Singh Bhadana,INC,0,15770224,1,Graduate,True,NEEDS_REVIEW,4
BADLI,1 (winner),winner,136151,Aahir Deepak Chaudharyy,BJP,1,15841080,0,Graduate Professional,True,NEEDS_REVIEW,7
BADLI,2,party_priority:AAP,136416,Ajesh Yadav,AAP,0,98929035,0,Graduate,True,NEEDS_REVIEW,8
BADLI,3,party_priority:INC,136523,Devender Yadav,INC,0,483801676,1,10th Pass,True,NEEDS_REVIEW,5
BALLIMARAN,1 (winner),winner,136152,Imran Hussain,AAP,1,35646554,0,Graduate Professional,True,NEEDS_REVIEW,9
BALLIMARAN,2,party_priority:INC,136575,Haroon Yusuf,INC,0,47863695,0,Graduate,True,NEEDS_REVIEW,7
BALLIMARAN,3,party_priority:BSP,136894,Sonu,BSP,0,3583135,0,8th Pass,True,NEEDS_REVIEW,7
BAWANA,1 (winner),winner,136153,Ravinder Indraj Singh,BJP,1,72337348,0,Graduate,True,NEEDS_REVIEW,7
BAWANA,2,party_priority:AAP,136593,Jai Bhagwan Upkar,AAP,0,68737506,4,12th Pass,True,NEEDS_REVIEW,5
BAWANA,3,party_priority:INC,136911,Surender Kumar,INC,0,35267309,0,12th Pass,True,NEEDS_REVIEW,3
BIJWASAN,1 (winner),winner,136154,Kailash Gahlot,BJP,1,599114620,0,Post Graduate,True,NEEDS_REVIEW,9
BIJWASAN,2,party_priority:AAP,136910,Surender Bhardwaj,AAP,0,44680746,3,Graduate Professional,True,NEEDS_REVIEW,6
BIJWASAN,3,party_priority:INC,136507,Col Devinder Kumar Sehrawat,INC,0,34422585,1,Graduate Professional,True,NEEDS_REVIEW,4
BURARI,1,party_priority:AAP,136851,Sanjeev Jha,AAP,0,1447331,2,Graduate,True,NEEDS_REVIEW,12
BURARI,2,party_priority:INC,136651,Mangesh Tyagi,INC,0,75956328,3,12th Pass,True,NEEDS_REVIEW,7
BURARI,3,party_priority:BSP,136554,Ganga Ram,BSP,0,41000,0,10th Pass,True,NEEDS_REVIEW,3
CHANDNI CHOWK,1 (winner),winner,136155,Punardeep Singh Sawney,AAP,1,212150426,1,12th Pass,False,,
CHANDNI CHOWK,2,party_priority:BJP,136861,Satish Jain,BJP,0,76606736,0,Post Graduate,True,NEEDS_REVIEW,7
CHANDNI CHOWK,3,party_priority:INC,136688,Mudit Agarwal,INC,0,141591694,2,Graduate,True,NEEDS_REVIEW,7
CHHATARPUR,1 (winner),winner,136156,Kartar Singh Tanwar,BJP,1,252159151,0,Others,True,NEEDS_REVIEW,9
CHHATARPUR,2,party_priority:AAP,136496,Brahm Singh Tanwar,AAP,0,242985718,1,8th Pass,True,NEEDS_REVIEW,7
CHHATARPUR,3,party_priority:INC,136782,Rajender Singh Tanwar,INC,0,67778976,0,Post Graduate,True,NEEDS_REVIEW,8
DELHI CANTT,1 (winner),winner,136157,Virender Singh Kadian,AAP,1,60044332,2,Post Graduate,True,NEEDS_REVIEW,7
DELHI CANTT,2,party_priority:BJP,136492,Bhuvan Tanwar,BJP,0,153051818,0,Post Graduate,True,NEEDS_REVIEW,10
DELHI CANTT,3,party_priority:INC,136744,Pradeep Kumar Upmanyu,INC,0,57775661,1,Graduate,True,NEEDS_REVIEW,4
DEOLI,1 (winner),winner,136158,Prem Chauhan,AAP,1,1649779,0,Graduate,True,NEEDS_REVIEW,5
DEOLI,2,party_priority:INC,136785,Rajesh Chauhan,INC,0,47283869,0,Graduate,True,NEEDS_REVIEW,7
DEOLI,3,party_priority:BSP,136471,Asmita,BSP,0,115500,0,Post Graduate,True,NEEDS_REVIEW,5
DWARKA,1 (winner),winner,136159,Parduymn Singh Rajput,BJP,1,425316587,2,Post Graduate,True,NEEDS_REVIEW,4
DWARKA,2,party_priority:AAP,136947,Vinay Mishra,AAP,0,87017731,6,Post Graduate,True,NEEDS_REVIEW,11
DWARKA,3,party_priority:INC,136410,Adarsh Shastri,INC,0,66659648,2,Graduate,True,NEEDS_REVIEW,7
GANDHI NAGAR,1 (winner),winner,136160,Arvinder Singh Lovely,BJP,1,116502287,0,Graduate,True,NEEDS_REVIEW,9
