seq,candidate_name,filename,affidavit_id,size_mb,other_affidavit_count,other_affidavits
1,AALEY MOHAMMED IQBAL,001_AALEY_MOHAMMED_IQBAL__2011.pdf,2011,4.66,1,AALEY_MOHAMMED_IQBAL__1897.pdf
2,ABDUL REHMAN,002_ABDUL_REHMAN__1900.pdf,1900,3.68,0,
3,ADVOCATE MEHAK DOGRA,003_ADVOCATE_MEHAK_DOGRA__1769.pdf,1769,4.02,0,
4,AJAY KUMAR,004_AJAY_KUMAR__1932.pdf,1932,2.96,0,
5,AKHILESH PATI TRIPATHI,005_AKHILESH_PATI_TRIPATHI__1679.pdf,1679,8.44,2,AKHILESH_PATI_TRIPATHI__1673.pdf; AKHILESH_PATI_TRIPATHI__1666.pdf
6,AMAR NATH,006_AMAR_NATH__1838.pdf,1838,3.84,0,
7,ANIL KAPOOR,007_ANIL_KAPOOR__1575.pdf,1575,4.57,0,
8,ANIL KUMAR,008_ANIL_KUMAR__1921.pdf,1921,8.12,0,
9,ANIL KUMAR VASHISHT,009_ANIL_KUMAR_VASHISHT__1561.pdf,1561,3.24,0,
10,ANITA,010_ANITA__2017.pdf,2017,3.92,0,
11,ASHA KAMBLE,011_ASHA_KAMBLE__1628.pdf,1628,5.16,0,
12,ASHISH KUMAR,012_ASHISH_KUMAR__1941.pdf,1941,5.51,0,
13,ASHISH SOOD,013_ASHISH_SOOD__1834.pdf,1834,5.8,0,
14,ASHOK BAMBANI,014_ASHOK_BAMBANI__1722.pdf,1722,9.99,0,
15,ASHOK GOEL,015_ASHOK_GOEL__1782.pdf,1782,4.18,1,ASHOK_GOEL__1778.pdf
16,ASHOK KUMAR,016_ASHOK_KUMAR__1664.pdf,1664,6.28,0,
17,ASIM AHMED KHAN,017_ASIM_AHMED_KHAN__1855.pdf,1855,4.61,0,
18,AWDHESH KUMAR JHA,018_AWDHESH_KUMAR_JHA__1819.pdf,1819,2.64,0,
19,BHAGWAN DASS,019_BHAGWAN_DASS__1816.pdf,1816,3.89,0,
20,BHISHAM SHARMA,020_BHISHAM_SHARMA__1759.pdf,1759,3.06,0,
21,BUDIYA,021_BUDIYA__1687.pdf,1687,6.51,0,
22,DEEPAK KUMAR,022_DEEPAK_KUMAR__1886.pdf,1886,3.11,0,
23,DEEPAK TANWAR,023_DEEPAK_TANWAR__1743.pdf,1743,4.51,0,
24,DEEPTI INDORA,024_DEEPTI_INDORA__1903.pdf,1903,4.38,0,
25,DEVIKA,025_DEVIKA__1753.pdf,1753,5.61,0,
26,DHARAMPAL LAKRA,026_DHARAMPAL_LAKRA__1565.pdf,1565,7.69,0,
27,DHARAM VEER,027_DHARAM_VEER__1786.pdf,1786,4.92,0,
28,DINESH KUMAR SAH,028_DINESH_KUMAR_SAH__1823.pdf,1823,9.52,1,DINESH_KUMAR_SAH__1821.pdf
29,DR  AJAY DUTT,029_DR__AJAY_DUTT__1555.pdf,1555,9.22,0,
30,DURGESH PATHAK,030_DURGESH_PATHAK__1796.pdf,1796,2.54,1,DURGESH_PATHAK__1797.pdf
31,FIRDOUS AHMAD,031_FIRDOUS_AHMAD__1849.pdf,1849,4.33,0,
32,GANGA RAM,032_GANGA_RAM__1613.pdf,1613,6.29,0,
33,GAURAV SHARMA,033_GAURAV_SHARMA__1791.pdf,1791,3.78,0,
34,GOPAL PRASAD,034_GOPAL_PRASAD__1558.pdf,1558,10.12,0,
35,GULAB SINGHAL,035_GULAB_SINGHAL__1590.pdf,1590,4.87,0,
36,HANUMAN SAHAY ALIAS HANUMAN CHAUHAN,036_HANUMAN_SAHAY_ALIAS_HANUMAN_CHAUHAN__1644.pdf,1644,10.03,0,
37,HIRA LAL,037_HIRA_LAL__1610.pdf,1610,7.76,0,
38,ISLAUDDIN,038_ISLAUDDIN__1859.pdf,1859,3.01,0,
39,JAI BHAGWAN,039_JAI_BHAGWAN__1661.pdf,1661,3.52,0,
40,JAYA RAMAN,040_JAYA_RAMAN__1701.pdf,1701,5.63,0,
41,JOURNALIST RAMESH KUMAR JAIN   NIRBHIK,041_JOURNALIST_RAMESH_KUMAR_JAIN___NIRBHIK__1848.pdf,1848,3.17,0,
42,KANWAR KARAN SINGH,042_KANWAR_KARAN_SINGH__1765.pdf,1765,9.62,3,KANWAR_KARAN_SINGH__1757.pdf; KANWAR_KARAN_SINGH__1761.pdf; KANWAR_KARAN_SINGH__1751.pdf
43,KARAN SINGH,043_KARAN_SINGH__1604.pdf,1604,8.22,0,
44,KARAN TALWAR,044_KARAN_TALWAR__1676.pdf,1676,5.65,0,
45,KARNAIL SINGH,045_KARNAIL_SINGH__1708.pdf,1708,6.55,1,KARNAIL_SINGH__1710.pdf
46,KASHMIR CHAND,046_KASHMIR_CHAND__1895.pdf,1895,4.79,0,
47,KU  RINKU,047_KU__RINKU__1916.pdf,1916,6.31,2,KU__RINKU__1917.pdf; KU__RINKU__1919.pdf
48,LAXMI,048_LAXMI__1663.pdf,1663,6.89,0,
49,LAXMI THAKUR SINGHAL,049_LAXMI_THAKUR_SINGHAL__1567.pdf,1567,0.54,0,
50,MANOJ,050_MANOJ__1928.pdf,1928,9.35,0,
51,MAYANK MEHTA,051_MAYANK_MEHTA__1559.pdf,1559,8.56,0,
52,MD NAVEEN,052_MD_NAVEEN__1861.pdf,1861,5.23,0,
53,MOHAN LAL BHARDWAJ,053_MOHAN_LAL_BHARDWAJ__1711.pdf,1711,8.94,0,
54,MOHD NAZIR,054_MOHD_NAZIR__1853.pdf,1853,3.2,0,
55,MOHD OJER,055_MOHD_OJER__1822.pdf,1822,2.54,0,
56,MOHD SHAFI,056_MOHD_SHAFI__1864.pdf,1864,3.08,0,
57,MOHD ZUBAIR MALIK,057_MOHD_ZUBAIR_MALIK__1899.pdf,1899,3.13,0,
58,MUKESH SHARMA,058_MUKESH_SHARMA__1828.pdf,1828,9.26,3,MUKESH_SHARMA__1836.pdf; MUKESH_SHARMA__1832.pdf; MUKESH_SHARMA__1835.pdf
59,NIZAMUDDIN KHAN,059_NIZAMUDDIN_KHAN__1866.pdf,1866,4.33,0,
60,PANKAJ JAGYA,060_PANKAJ_JAGYA__1841.pdf,1841,2.07,0,
61,PERMILA,061_PERMILA__1611.pdf,1611,4.75,0,
62,POONAM SHARMA,062_POONAM_SHARMA__1627.pdf,1627,9.42,0,
63,PRAVEEN KUMAR,063_PRAVEEN_KUMAR__1842.pdf,1842,5.35,0,
64,PREETI,064_PREETI__1566.pdf,1566,5.67,0,
65,PREM CHAUHAN,065_PREM_CHAUHAN__1758.pdf,1758,10.0,1,PREM_CHAUHAN__1760.pdf
66,PRIYANKA GAUTAM,066_PRIYANKA_GAUTAM__1598.pdf,1598,9.81,1,PRIYANKA_GAUTAM__1603.pdf
67,PUNAM PANDEY,067_PUNAM_PANDEY__1569.pdf,1569,7.46,0,
68,RAGINI NAYAK,068_RAGINI_NAYAK__1694.pdf,1694,9.18,0,
69,RAHISUDDIN AHMAD,069_RAHISUDDIN_AHMAD__1876.pdf,1876,3.04,0,
