cycle,basename,failure_type,gemini_name,gemini_const,gemini_party,manifest_name,manifest_const,manifest_party,manifest_aff_id,ocr_char_count,ocr_sample
andhrapradesh-2024,ADALA_PRABHAKARA_REDDY__2006.pdf,both_empty,,,,ADALA PRABHAKARA REDDY,Nellore Rural,Yuvajana Sramika Rythu Congress Party,2006,0,
andhrapradesh-2024,DADDALA_NARAYANA__865.pdf,raw,,,,DADDALA NARAYANA,Kanigiri,Yuvajana Sramika Rythu Congress Party,865,31671,                                                                                                                                                                                                     !NDIA NON JUDICIAT                                                                                     
andhrapradesh-2024,DARA_SUDHEER__2280.pdf,both_empty,,,,DARA SUDHEER,Nandikotkur (SC),Yuvajana Sramika Rythu Congress Party,2280,0,
andhrapradesh-2024,KAMINENI_SRINIVAS__3053.pdf,both_empty,,,,KAMINENI SRINIVAS,Kaikalur,Bharatiya Janata Party,3053,0,
andhrapradesh-2024,MADDULURI_MALA_KONDAIAH__2625.pdf,both_empty,,,,MADDULURI MALA KONDAIAH,Chirala,Telugu Desam,2625,0,
andhrapradesh-2024,NARAYANA_PONGURU__2143.pdf,raw,,,,NARAYANA PONGURU,Nellore City,Telugu Desam,2143,119217,INDIA NON JUDICIAL Government of Andhra Pradesh A70167342622+56W e-Stamp Certificate No Certificate Issued Date Account Palarence DOC Code Unique Doc Rorence Purchased by Desorption of Document Property Description Consideration Price (Rs.) IN-AP79167342622466 15-Apr-2004 11:22 AM NEWIMPACC (SV ap 8
andhrapradesh-2024,RAMAKRISHNAREDDY__PINNELLI__7283.pdf,raw,,,,RAMAKRISHNAREDDY. PINNELLI,Macherla,Yuvajana Sramika Rythu Congress Party,7283,48501,Certificato No. Certificate Issued Date Account Reference DDO Code Unique Doc. Reference Purchased by Description of Document INDIA NON JUDICIAL Government of Andhra Pradesh IN-AP80880256688247W e-Stamp IN-AP90880256888247W 20-Apr-2024 08:37 PM NEWIMPACC (SV) ap10014904/ AP-PLN/ AP-MCL/apshamouu 270
andhrapradesh-2024,ROSHAN_KUMAR_SONGA__2322.pdf,raw,,,,ROSHAN KUMAR SONGA,Chintalapudi,Telugu Desam,2322,22029,₹100 2024 06:24 PM 19-Apr सत्यमेव जयते INDIA NON JUDICIAL Government of Andhra Pradesh e-Stamp Certificate No. Certificate Issued Date Account Reference DDO Code Unique Doc. Reference : IN-AP80569668978550W 19-Apr-2024 06:24 PM NEWIMPACC (SV)/ ap18050404/ AP-ELR/ AP-VJW/apshaheeu : 27002308001 O/O I
andhrapradesh-2024,TALARI_VENKATA_RAO__981.pdf,empty_const,TALARI VENKATA RAO,,YSRCP,TALARI VENKATA RAO,Kovvur,Yuvajana Sramika Rythu Congress Party,981,15844,                                                                                                                 INDIA NON JUDICIAT                                                                                                                                                                         
andhrapradesh-2024,VARUPULA_SATYA_PRABHA__3233.pdf,both_empty,,,,VARUPULA SATYA PRABHA,Prathipadu,Telugu Desam,3233,0,
andhrapradesh-2024,VISHNU_KUMAR_RAJU_PENMETSA__2721.pdf,raw,,,,VISHNU KUMAR RAJU PENMETSA,Visakhapatnam North,Bharatiya Janata Party,2721,86664,SHOH Certificate No. Certificate Issued Date Account Reference DOO Code Unique Doc. Reference Purchased by Description of Document Property Description Consideration Price (Rs.) INDIA NON JUDICIAL Government of Andhra Pradesh IN-AP78813031858948W AGIL e-Stamp SHOIL IN-AP78813031898948W 12-Apr-2024 0
andhrapradesh-2024,VISWARUPU_PINIPE__1907.pdf,both_empty,,,,VISWARUPU PINIPE,Amalapuram,Yuvajana Sramika Rythu Congress Party,1907,0,
bihar-2025,AJAY_KUMAR__1662.pdf,empty_const,Vijay Kumar Verma,,JANATA DAL(united),AJAY KUMAR,MINAPUR,Janata Dal (United),1662,6661,                                                                                                                                                                                                                                                                                                            
bihar-2025,AMOD_KUMAR_SINGH__5943.pdf,both_empty,,,,AMOD KUMAR SINGH,NABINAGAR,Rashtriya Janata Dal,5943,6337,                                                                                                                                                                                                                                                                                                            
bihar-2025,ANAND_SHANKAR_SINGH__1368.pdf,empty_const,RAMRAJ PASWAN,,,ANAND SHANKAR SINGH,AURANGABAD,Indian National Congress,1368,14796,                                                                                                                                                                                                                                                                                                            
bihar-2025,ANIL_KUMAR__535.pdf,empty_const,AVZPALSK,,,ANIL KUMAR,BIKRAM,Indian National Congress,535,13641,                                                                                                                                                                                                                                                                                                            
bihar-2025,ANIRUDDHA_PRASAD_YADAV__750.pdf,empty_const,Anirudh Yadav,,,ANIRUDDHA PRASAD YADAV,NIRMALI,Janata Dal (United),750,13102,"अनुसूची 14- फारम सं0 511. जिल्द- संख्या 03 €.540104 वर्ष 15:46**** किससे प्राप्त हुआ अनिरुद्ध बाद मादव पेठ-महाराजी यादव किस मदे विधान आनर्वाचन :- 205 नमोवुन झुड बिहार विधान समा आम निर्वाचन - 2015 नामदेर्शन युत्छु रकम नकद ६० 10.000/ स्टाम्प के रूप में. कुल"" 10,000/- दस हजार रुपये मात्रा (केवल ......."
bihar-2025,ANWARUL_HAQUE__2121.pdf,empty_const,ANWARUL HAQUE,,,ANWARUL HAQUE,GORIAKOTHI,Rashtriya Janata Dal,2121,2227,                                               BRECRO76Ccz50900239380                                                            WELEARE STAMP                                                                       BIHAR! S2e0p                                                                      6    
bihar-2025,AWADHESH_SINGH__1244.pdf,both_empty,,,,AWADHESH SINGH,HAJIPUR,Bharatiya Janata Party,1244,18249,                                                                                                                                                                                                                                                                                                            
bihar-2025,BHAI_BIRENDRA__228.pdf,both_empty,,,,BHAI BIRENDRA,MANER,Rashtriya Janata Dal,228,0,
bihar-2025,BIJENDRA_PRASAD_YADAV__174.pdf,both_empty,,,,BIJENDRA PRASAD YADAV,SUPAUL,Janata Dal (United),174,0,
bihar-2025,BINITA_MEHTA__6334.pdf,both_empty,,,,BINITA MEHTA,GOBINDPUR,Lok Janshakti Party (Ram Vilas),6334,14526,                                                                                                                                                                                                                                                                                                            
bihar-2025,BRIJ_KISHOR_BIND__4945.pdf,empty_const,BRIJKISHOR BIND,,,BRIJ KISHOR BIND,CHAINPUR,Rashtriya Janata Dal,4945,2579,                                                                                                                                                                                                                               B02RE0C4R0O6s20e51                                                           
bihar-2025,CHANDAN_KUMAR__4927.pdf,empty_const,Pawan Kumar Mishra,,Rashtriya Janata Dal,CHANDAN KUMAR,RUNNISAIDPUR,Rashtriya Janata Dal,4927,15801,"                          BRECRO72C251000022670                                                                                                                               ""WELEARE STAMP                                                                                                                "
bihar-2025,DEEPAK_YADAV__6258.pdf,raw,,,,DEEPAK YADAV,NARKATIAGANJ,Rashtriya Janata Dal,6258,30466,                                                                                                                                                                                                                                                                                                            
bihar-2025,DEO_KUMAR_CHAURASIA__379.pdf,empty_const,Deokrchaurasia,,,DEO KUMAR CHAURASIA,HAJIPUR,Rashtriya Janata Dal,379,22669,                                                                                                                                                                                                                                                                                                            
bihar-2025,DR__RAMANAND_YADAV__358.pdf,empty_const,DR. RAMANAND YADAV,,,DR. RAMANAND YADAV,FATUHA,Rashtriya Janata Dal,358,17736,"                                                                                                                ,enkk  p,rct-N                                                                                   o- BR EaRooSc 2gto 6 oo17 l9g                                                              "
bihar-2025,DR__VIPIN_KUMAR_SINGH__4858.pdf,both_empty,,,,DR. VIPIN KUMAR SINGH,CHHATAPUR,Rashtriya Janata Dal,4858,7871,                                                                                                                                                                                                                                                                               kdr{                         
bihar-2025,GAUTAM_KRISHNA__2690.pdf,raw,,,,GAUTAM KRISHNA,MAHISHI,Rashtriya Janata Dal,2690,15787,BRECR008C251000026146 २५ WELFARE STAMP बिहार STATE BAR BIHARS PATNA CO BIHAR पच्चीस रूपये Rs. Twenty Five 8406pate 16-10-2021 * arsa ₹ 25 JA प्ररूप 26 नियम 4क देखिए ) d. K. Singh Regd No -268/04 * (India) Govt. of Bihar l 17- मोहा बिहार विधानसभा ( निर्वाचन क्षेत्र का नाम ) ATTESTED M.K. Singe/L5 L.N
bihar-2025,GHULAM_SHAHID__6006.pdf,empty_const,GHULAM SHAHID,,,GHULAM SHAHID,RAFIGANJ,Rashtriya Janata Dal,6006,15031,                                                                                                                                                                                                                                                                                                            
bihar-2025,GOPAL_KUMAR_AGARWAL__80.pdf,both_empty,,,,GOPAL KUMAR AGARWAL,THAKURGANJ,Janata Dal (United),80,0,
bihar-2025,JITENDRA_KUMAR__1748.pdf,both_empty,,,,JITENDRA KUMAR,ASTHAWAN,Janata Dal (United),1748,0,
bihar-2025,KARNJEET_SINGH_ALIAS_VYAS_SINGH__1614.pdf,both_empty,,,,KARNJEET SINGH ALIAS VYAS SINGH,DARAUNDA,Bharatiya Janata Party,1614,0,
bihar-2025,KAVITA_KUMARI_SAHA__2871.pdf,both_empty,,,,KAVITA KUMARI SAHA,MADHEPURA,Janata Dal (United),2871,0,
bihar-2025,KUMAR_SHAILENDRA__4579.pdf,both_empty,,,,KUMAR SHAILENDRA,BIHPUR,Bharatiya Janata Party,4579,0,
bihar-2025,LAKSHMI_NARAYAN_PRASAD_YADAV__4785.pdf,both_empty,,,,LAKSHMI NARAYAN PRASAD YADAV,CHIRAIA,Rashtriya Janata Dal,4785,0,
bihar-2025,MANISH_YADAV__6204.pdf,both_empty,,,,MANISH YADAV,NARPATGANJ,Rashtriya Janata Dal,6204,10909,                                                                                                                                                                                                                                                                                                            
bihar-2025,MANJARIK_MRINAL__196.pdf,empty_const,Tonar,,,MANJARIK MRINAL,WARISNAGAR,Janata Dal (United),196,10060,                                                                                                                                                                                                                                                                                                            
bihar-2025,MD__QAMRUL_HODA__4680.pdf,empty_const,MUMTAZ ZARRIN,,,MD. QAMRUL HODA,KISHANGANJ,Indian National Congress,4680,13586,                           rutuu                    /v/>>->a4      I                  frqls.       ...:..L                                                                                                                                                                                                  
bihar-2025,MINNATULLAH_RAHMANI__5384.pdf,raw,,,,MINNATULLAH RAHMANI,SUPAUL,Indian National Congress,5384,10051,"I                                                                                                                                               tolls                                                 FF                                                                                          [h;59]J.;,"
bihar-2025,MITHILESH_KUMAR_CHOUDHARY__2326.pdf,both_empty,,,,MITHILESH KUMAR CHOUDHARY,BENIPUR,Indian National Congress,2326,0,
bihar-2025,NAND_KISHOR_RAM__4310.pdf,empty_const,Nandkishor,,,NAND KISHOR RAM,RAMNAGAR,Bharatiya Janata Party,4310,8883,                                                                                                                                                                                                                                                                                                            
bihar-2025,PHOOLBABU_SINGH__807.pdf,empty_const,Halda Ch,,,PHOOLBABU SINGH,WARISNAGAR,Communist Party of India (Marxist-Leninist) (Liberation),807,10283,                                                                                                                                                                                                                                                                                                            
bihar-2025,RAJEEV_KUMAR_URF_MUNNA_YADAV__1502.pdf,empty_const,Vijay Kumar Verma,,,RAJEEV KUMAR URF MUNNA YADAV,MINAPUR,Rashtriya Janata Dal,1502,7309,                                                                                                                                                                                                                                  Essn4PEECRDA6CE51000D0224BREERS26                                         
bihar-2025,RAJENDRA_KUMAR__5745.pdf,empty_const,Rajendra Kumar Ram,,,RAJENDRA KUMAR,HARSIDHI,Rashtriya Janata Dal,5745,13977,                                  $                                                                                                                                                                                                                                  E  t{6t{                               
bihar-2025,RAJESH_KUMAR__6242.pdf,both_empty,,,,RAJESH KUMAR,KUTUMBA,Indian National Congress,6242,0,
bihar-2025,RAJU_TIWARI__4039.pdf,both_empty,,,,RAJU TIWARI,GOVINDGANJ,Lok Janshakti Party (Ram Vilas),4039,0,
bihar-2025,RAKESH_KUMAR_PANDEY__4232.pdf,empty_const,Rakesh Kumar Pandey,,,RAKESH KUMAR PANDEY,HARLAKHI,Communist Party of India,4232,13270,                                                                                                                                                                                                                                                                                                            
bihar-2025,RAMESH_RISHI__3364.pdf,empty_const,A KRPB,,,RAMESH RISHI,SINGHESHWAR,Janata Dal (United),3364,13595,                                                                                                                                                                                                      INDIA  JUDIClAL                                                                                       
bihar-2025,RAM_KRIPAL_YADAV__690.pdf,empty_const,Ram Kripal Yadav,,,RAM KRIPAL YADAV,DANAPUR,Bharatiya Janata Party,690,9362,                              BRECROOSC2510000266A7                                                                                                             S4.Date.                                                                                                                                    
bihar-2025,RATNESH_KUMAR__1479.pdf,empty_const,Shashi Kumar Sinha,,,RATNESH KUMAR,PATNA SAHIB,Bharatiya Janata Party,1479,7977,                                                                                                       WELEARE M                                                                                                                                                                                            
bihar-2025,RATNESH_SADA__2055.pdf,empty_const,Ratnesh Sada,,,RATNESH SADA,SONBARSHA,Janata Dal (United),2055,16112,                                                                                                                                                                                                                                                                                                            
bihar-2025,RIT_LAL_ROY__803.pdf,both_empty,,,,RIT LAL ROY,DANAPUR,Rashtriya Janata Dal,803,0,
bihar-2025,ROHIT_PANDEY__1921.pdf,empty_const,ROHIT PANDEY,,,ROHIT PANDEY,BHAGALPUR,Bharatiya Janata Party,1921,2305,           BRECRI26C251000041550                                                                                                                                            WELEARE SAME                                                                                                                    
bihar-2025,RUPA_KUMARI__2403.pdf,both_empty,,,,RUPA KUMARI,FATUHA,Lok Janshakti Party (Ram Vilas),2403,15153,                                                                                                                                                                                                                                                                                                            
bihar-2025,SANJAY_KUMAR_PANDEY__3902.pdf,empty_const,SANJAY KUMAR PANDEY,,BJP,SANJAY KUMAR PANDEY,NARKATIAGANJ,Bharatiya Janata Party,3902,13590,"                                                                                                                       eot84,r                                                                  {^k2{o                                                                                                      "
bihar-2025,SARITA_DEVI__2638.pdf,empty_const,Amarendra Kumar Trivedi,,INDIAN NATIONAL CONGRESS,SARITA DEVI,SONBARSHA,Indian National Congress,2638,12809, .lrlllFrtrtrt ErrI                                                                                 r.                                                                                  -                                                                                  !-.t167723                       
