pdf,candidate,constituency,party,failure
ANANDA_BABU_NAKKA__2624.pdf,ANANDA BABU NAKKA,Vemuru (SC),Telugu Desam,gemini_ok_but_apply
ANIL_KUMAR_KAILE__2073.pdf,ANIL KUMAR KAILE,Pamarru (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
ARAVA_SREEDHAR__1289.pdf,ARAVA SREEDHAR,Kodur (SC),Janasena Party,gemini_ok_but_apply
ASHOK_BABU_VARIKUTI__2613.pdf,ASHOK BABU VARIKUTI,Vemuru (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
AUDIMULAPU_SATHISH__977.pdf,AUDIMULAPU SATHISH,Kodumur (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
AUDIMULAPU_SURESH__1777.pdf,AUDIMULAPU SURESH,Kondapi (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
BALASANI_KIRAN_KUMAR__2231.pdf,BALASANI KIRAN KUMAR,Prathipadu (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
BANDARU_SRAVANI_SREE__3208.pdf,BANDARU SRAVANI SREE,Singanamala (SC),Telugu Desam,gemini_ok_but_apply
BOGGULA_DASTAGIRI__942.pdf,BOGGULA DASTAGIRI,Kodumur (SC),Telugu Desam,gemini_ok_but_apply
BOMMIDI_NAYAKAR__2505.pdf,BOMMIDI NAYAKAR,Narasapuram,Janasena Party,gemini_ok_but_apply
BURLA_RAMANJANEYULU__2152.pdf,BURLA RAMANJANEYULU,Prathipadu (SC),Telugu Desam,gemini_ok_but_apply
CHANDRA_SEKHAR_TATIPARTHI__2679.pdf,CHANDRA SEKHAR TATIPARTHI,Yerragondapalem (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
DARA_SUDHEER__2280.pdf,DARA SUDHEER,Nandikotkur (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
DHARMANA_KRISHNADAS__6475.pdf,DHARMANA KRISHNADAS,Narasannapeta,Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
DOCTOR_DOLA_SREE_BALA_VEERANJANEYA_SWAMY__1428.pdf,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Kondapi (SC),Telugu Desam,gemini_ok_but_apply
DR__VM__THOMAS__3008.pdf,DR. VM. THOMAS,Gangadhara Nellore (SC),Telugu Desam,gemini_ok_but_apply
ERIXION_BABU_GUDURI__1241.pdf,ERIXION BABU GUDURI,Yerragondapalem (SC),Telugu Desam,gemini_ok_but_apply
GIDDI__SATYANARAYANA__2632.pdf,GIDDI. SATYANARAYANA,Gannavaram(SC),Janasena Party,gemini_ok_but_apply
G_JAYASURYA__1892.pdf,G JAYASURYA,Nandikotkur (SC),Telugu Desam,gemini_ok_but_apply
IRALAKKAPPA_S_L__2396.pdf,IRALAKKAPPA.S.L,Madakasira (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
KOLIKAPUDI_SRINIVASA_RAO__3854.pdf,KOLIKAPUDI SRINIVASA RAO,Tiruvuru (SC),Telugu Desam,gemini_ok_but_apply
KORAMUTLA_SREENIVASULU__877.pdf,KORAMUTLA SREENIVASULU,Kodur (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
KUMAR_RAJA_VARLA__884.pdf,KUMAR RAJA VARLA,Pamarru (SC),Telugu Desam,gemini_ok_but_apply
K_MURALI_MOHAN__1362.pdf,K.MURALI MOHAN,Puthalapattu (SC),Telugu Desam,gemini_ok_but_apply
K__KRUPALAKSHMI__1095.pdf,K. KRUPALAKSHMI,Gangadhara Nellore (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
MONDITOKA_JAGAN_MOHAN_RAO__3535.pdf,MONDITOKA JAGAN MOHAN RAO,Nandigama (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
M_SUNEEL_KUMAR__1372.pdf,M.SUNEEL KUMAR,Puthalapattu (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
M_S_RAJU__2263.pdf,M.S.RAJU,Madakasira (SC),Telugu Desam,gemini_ok_but_apply
M_VEERANJANEYULU__1671.pdf,M.VEERANJANEYULU,Singanamala (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
NAGARJUNA_MERUGU__4783.pdf,NAGARJUNA MERUGU,Santhanuthalapadu (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
NALLAGATLA_SWAMY_DAS__831.pdf,NALLAGATLA SWAMY DAS,Tiruvuru (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
NARAYANA_PONGURU__2143.pdf,NARAYANA PONGURU,Nellore City,Telugu Desam,gemini_raw
SUCHARITHA_MEKATHOTI__2552.pdf,SUCHARITHA MEKATHOTI,Tadikonda (SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
TANGIRALA_SOWMYA__1841.pdf,TANGIRALA SOWMYA,Nandigama (SC),Telugu Desam,gemini_ok_but_apply
TENALI_SRAVAN_KUMAR__1090.pdf,TENALI SRAVAN KUMAR,Tadikonda (SC),Telugu Desam,gemini_ok_but_apply
VIJAY_KUMAR_B_N__6660.pdf,VIJAY KUMAR B.N,Santhanuthalapadu (SC),Telugu Desam,gemini_ok_but_apply
VIPPARTHI___VENUGOPALARAO__2434.pdf,VIPPARTHI . VENUGOPALARAO,Gannavaram(SC),Yuvajana Sramika Rythu Congress Party,gemini_ok_but_apply
