pdf,candidate,constituency,party,failure
AJAY_DUTT__855.pdf,AJAY DUTT,AMBEDKAR NAGAR(SC),Aam Aadmi Party,gemini_ok_but_apply
ARVIND_KEJRIWAL__1456.pdf,ARVIND KEJRIWAL,NEW DELHI,Aam Aadmi Party,gemini_no_wealth
ASHISH_SOOD__385.pdf,ASHISH SOOD,JANAKPURI,Bharatiya Janata Party,gemini_no_wealth
DILIP_PANDEY__1324.pdf,DILIP PANDEY,TIMARPUR,Aam Aadmi Party,gemini_no_wealth
KULDEEP_KUMAR__868.pdf,KULDEEP KUMAR,KONDLI(SC),Aam Aadmi Party,gemini_ok_but_apply
NAVEEN_CHAUDHARY__904.pdf,NAVEEN CHAUDHARY,GANDHI NAGAR,Aam Aadmi Party,gemini_ok_but_apply
RAAJ_KUMAR_ANAND__89.pdf,RAAJ KUMAR ANAND,PATEL NAGAR(SC),Aam Aadmi Party,gemini_raw
RAJESH_GAHLOT__267.pdf,RAJESH GAHLOT,MATIALA,Bharatiya Janata Party,gemini_ok_but_apply
RAJESH_RISHI__143.pdf,RAJESH RISHI,JANAKPURI,Aam Aadmi Party,gemini_no_wealth
RAVINDER_SINGH_NEGI__1314.pdf,RAVINDER SINGH NEGI,PATPARGANJ,Bharatiya Janata Party,gemini_ok_but_apply
SOM_DUTT_S_O_DAYA_CHANDER_SHARMA__971.pdf,SOM DUTT S/O DAYA CHANDER SHARMA,SADAR BAZAR,Independent,gemini_ok_but_apply
