pdf,candidate,constituency,party,failure
BAHECHARSINH_HARISINH_RATHOD__4447.pdf,BAHECHARSINH HARISINH RATHOD,Prantij,Indian National Congress,gemini_no_wealth
BALDEV_MAVJIBHAI_SOLANKI__2756.pdf,BALDEV MAVJIBHAI SOLANKI,Bhavnagar East,Indian National Congress,gemini_ok_but_apply
DHARMENDRASINH_RANUBHA_VAGHELA__BAPU__1642.pdf,DHARMENDRASINH RANUBHA VAGHELA (BAPU),Vaghodia,Independent,gemini_raw
DR__RAJULBEN_DESAI__3759.pdf,DR. RAJULBEN DESAI,Patan,Bharatiya Janata Party,gemini_ok_but_apply
DURLABHJIBHAI_HARAKHJIBHAI_DETHARIYA__1274.pdf,DURLABHJIBHAI HARAKHJIBHAI DETHARIYA,Tankara,Bharatiya Janata Party,gemini_no_wealth
FATESINH_VAKHATSINH_CHAUHAN__1671.pdf,FATESINH VAKHATSINH CHAUHAN,Kalol,Bharatiya Janata Party,gemini_no_wealth
GOVINDBHAI_DALABHAI_PARMAR__2964.pdf,GOVINDBHAI DALABHAI PARMAR,Fatepura,Aam Aadmi Party,gemini_no_wealth
GULABSINH_PIRABHAI_RAJPUT__3483.pdf,GULABSINH PIRABHAI RAJPUT,Tharad,Indian National Congress,gemini_no_wealth
HARSH_RAMESH_SANGHVI__2283.pdf,HARSH RAMESH SANGHVI,Majura,Bharatiya Janata Party,gemini_no_wealth
KANTIBHAI_KALABHAI_KHARADI__3037.pdf,KANTIBHAI KALABHAI KHARADI,Danta,Indian National Congress,gemini_ok_but_apply
KANUBHAI_MOHANLAL_DESAI__818.pdf,KANUBHAI MOHANLAL DESAI,Pardi,Bharatiya Janata Party,gemini_no_wealth
KARSANBHAI_PUNJABHAI_SOLANKI__3318.pdf,KARSANBHAI PUNJABHAI SOLANKI,Kadi,Bharatiya Janata Party,gemini_no_wealth
KESHAJI_SHIVAJI_CHAUHAN__2822.pdf,KESHAJI SHIVAJI CHAUHAN,Deodar,Bharatiya Janata Party,gemini_no_wealth
MANOJ_SORATHIYA__1017.pdf,MANOJ SORATHIYA,Karanj,Aam Aadmi Party,gemini_no_wealth
PABUBHA_VIRAMBHA_MANEK__1272.pdf,PABUBHA VIRAMBHA MANEK,Dwarka,Bharatiya Janata Party,gemini_raw
RAJENDRASINH_MOHANSINH_RATHVA__3542.pdf,RAJENDRASINH MOHANSINH RATHVA,Chhota Udaipur,Bharatiya Janata Party,gemini_no_wealth
RANJIT__MUNNABHAI__PANCHAL__941.pdf,RANJIT (MUNNABHAI) PANCHAL,Jalalpore,Indian National Congress,gemini_raw
