pdf,candidate,constituency,party,failure
AIJAZ_AHMAD_KHAN__568.pdf,AIJAZ AHMAD KHAN,GULABGARH(ST),Independent,gemini_ok_but_apply
ASHOK_KUMAR__2251.pdf,ASHOK KUMAR,AKHNOOR(SC),Indian National Congress,gemini_ok_but_apply
ASHRI_DEVI__917.pdf,ASHRI DEVI,RAMNAGAR(SC),J&K National Panthers Party (India),gemini_ok_but_apply
BHUSAN_LAL__2793.pdf,BHUSAN LAL,SUCHETGARH(SC),Indian National Congress,gemini_ok_but_apply
CHOUDHARY_MOHAMMED_AKRAM__446.pdf,CHOUDHARY MOHAMMED AKRAM,SURANKOTE(ST),Independent,gemini_ok_but_apply
CHOWDHARY_ZULFKAR_ALI__462.pdf,CHOWDHARY ZULFKAR ALI,BUDHAL(ST),Bharatiya Janata Party,gemini_ok_but_apply
DR_DEVINDER_KUMAR_MANYAL__1098.pdf,DR DEVINDER KUMAR MANYAL,RAMGARH(SC),Bharatiya Janata Party,gemini_ok_but_apply
DR__BHARAT_BHUSHAN__2150.pdf,DR. BHARAT BHUSHAN,KATHUA(SC),Bharatiya Janata Party,gemini_ok_but_apply
FAQEER_MOHAMMAD_KHAN__1306.pdf,FAQEER MOHAMMAD KHAN,GUREZ(ST),Bharatiya Janata Party,gemini_ok_but_apply
GHARU_RAM__1302.pdf,GHARU RAM,SUCHETGARH(SC),Bharatiya Janata Party,gemini_ok_but_apply
HAROON_RASHID_KHATANA__61.pdf,HAROON RASHID KHATANA,KOKERNAG(ST),Jammu & Kashmir Peoples Democratic Party,gemini_ok_but_apply
IFTKAR_AHMED__413.pdf,IFTKAR AHMED,RAJOURI(ST),Indian National Congress,gemini_ok_but_apply
JAVAID_IQBAL__561.pdf,JAVAID IQBAL,BUDHAL(ST),Jammu & Kashmir National Conference,gemini_ok_but_apply
JAVED_AHMED_RANA__650.pdf,JAVED AHMED RANA,MENDHAR(ST),Jammu & Kashmir National Conference,gemini_ok_but_apply
KHURSHIED_AHMED__391.pdf,KHURSHIED AHMED,GULABGARH(ST),Jammu & Kashmir National Conference,gemini_ok_but_apply
MIAN_MEHAR_ALI__323.pdf,MIAN MEHAR ALI,KANGAN(ST),Jammu & Kashmir National Conference,gemini_ok_but_apply
MOHAN_LAL__1020.pdf,MOHAN LAL,AKHNOOR(SC),Bharatiya Janata Party,gemini_ok_but_apply
MOHD_IQBAL_MALIK__511.pdf,MOHD IQBAL MALIK,THANNAMANDI(ST),Bharatiya Janata Party,gemini_ok_but_apply
MOHD_SHAHNAWAZ__640.pdf,MOHD SHAHNAWAZ,SURANKOTE(ST),Indian National Congress,gemini_ok_but_apply
MULA_RAM__1552.pdf,MULA RAM,MARH(SC),Indian National Congress,gemini_ok_but_apply
MURTAZA_AHMED_KHAN__470.pdf,MURTAZA AHMED KHAN,MENDHAR(ST),Bharatiya Janata Party,gemini_ok_but_apply
MUZAFFAR_IQBAL_KHAN__340.pdf,MUZAFFAR IQBAL KHAN,THANNAMANDI(ST),Independent,gemini_ok_but_apply
NAZIR_AHMAD_KHAN__846.pdf,NAZIR AHMAD KHAN,GUREZ(ST),Jammu & Kashmir National Conference,gemini_ok_but_apply
NEERAJ_KUNDAN__2288.pdf,NEERAJ KUNDAN,BISHNAH(SC),Indian National Congress,gemini_ok_but_apply
RAJEEV_KUMAR__1445.pdf,RAJEEV KUMAR,BISHNAH(SC),Bharatiya Janata Party,gemini_ok_but_apply
SANDEEP_MAJOTRA__1063.pdf,SANDEEP MAJOTRA,KATHUA(SC),Bahujan Samaj Party,gemini_ok_but_apply
SUNIL_BHARDWAJ__923.pdf,SUNIL BHARDWAJ,RAMNAGAR(SC),Bharatiya Janata Party,gemini_ok_but_apply
SURINDER_KUMAR__2092.pdf,SURINDER KUMAR,MARH(SC),Bharatiya Janata Party,gemini_ok_but_apply
SYED_JAMAT_ALI_SHAH__403.pdf,SYED JAMAT ALI SHAH,KANGAN(ST),Jammu & Kashmir Peoples Democratic Party,gemini_ok_but_apply
VIBOD_KUMAR__787.pdf,VIBOD KUMAR,RAJOURI(ST),Bharatiya Janata Party,gemini_ok_but_apply
YASH_PAUL_KUNDAL__1446.pdf,YASH PAUL KUNDAL,RAMGARH(SC),Indian National Congress,gemini_ok_but_apply
ZAFAR_ALI_KHATANA__137.pdf,ZAFAR ALI KHATANA,KOKERNAG(ST),Jammu & Kashmir National Conference,gemini_ok_but_apply
ZAHOOR_AHMAD_MIR__26.pdf,ZAHOOR AHMAD MIR,PAMPORE,Jammu & Kashmir Peoples Democratic Party,gemini_raw
