pdf,candidate,constituency,party,failure
AIHOLE_DURYODHAN_MAHALINGAPPA__1980.pdf,AIHOLE DURYODHAN MAHALINGAPPA,Raybag,Bharatiya Janata Party,gemini_raw
AJAY_SINGH__1219.pdf,AJAY SINGH,Jewargi,Indian National Congress,gemini_raw
ANDALAGI_VEERABHADRAGOUDA_SHIVANAGOUD_PATIL__458.pdf,ANDALAGI VEERABHADRAGOUDA SHIVANAGOUD PATIL,Yellapur,Indian National Congress,corrupt_pdf
A__S__PATIL__NADAHALLI__546.pdf,A. S. PATIL (NADAHALLI),Muddebihal,Bharatiya Janata Party,gemini_raw
BHASKAR_RAO__631.pdf,BHASKAR RAO,Chamrajpet,Bharatiya Janata Party,gemini_ok_but_apply
DODDANAGOUDA_G_PATIL__1288.pdf,DODDANAGOUDA G PATIL,Hungund,Bharatiya Janata Party,corrupt_pdf
DR__SHIVARAJ_PATIL__481.pdf,DR. SHIVARAJ PATIL,Raichur,Bharatiya Janata Party,gemini_raw
DR___H_D_RANGANATH__850.pdf,DR|| H D RANGANATH,Kunigal,Indian National Congress,corrupt_pdf
D_K_SHIVAKUMAR__1184.pdf,D K SHIVAKUMAR,Kanakapura,Indian National Congress,gemini_raw
H_K__SURESH__HULLALLI_SURESH__1145.pdf,H.K. SURESH (HULLALLI SURESH),Belur,Bharatiya Janata Party,gemini_raw
H__A__IQBAL_HUSSAIN__659.pdf,H. A. IQBAL HUSSAIN,Ramanagaram,Indian National Congress,gemini_raw
IQBAL_ANSARI__2457.pdf,IQBAL ANSARI,Gangawati,Indian National Congress,corrupt_pdf
KELACHANDRA_JOSEPH_GEORGE__1457.pdf,KELACHANDRA JOSEPH GEORGE,Sarvagnanagar,Indian National Congress,gemini_raw
K_R_SRIDHARA__4338.pdf,K.R.SRIDHARA,B.T.M Layout,Bharatiya Janata Party,gemini_raw
MANIKANTA_RATHOD__4641.pdf,MANIKANTA RATHOD,Chittapur,Bharatiya Janata Party,gemini_ok_but_apply
N_NAGARAJU__1019.pdf,N NAGARAJU,Hosakote,Bharatiya Janata Party,corrupt_pdf
R__NARENDRA__1297.pdf,R. NARENDRA,Hanur,Indian National Congress,gemini_raw
SIDDARAMAIAH__2721.pdf,SIDDARAMAIAH,Varuna,Indian National Congress,corrupt_pdf
UJANESHWAR_BASAVANNAPPA_BANAKAR__3354.pdf,UJANESHWAR BASAVANNAPPA BANAKAR,Hirekerur,Indian National Congress,gemini_raw
