pdf,candidate,constituency,party,failure
ABHIJEET_SHAH__ANKIT_BABA__2740.pdf,ABHIJEET SHAH (ANKIT BABA),Timarni,Indian National Congress,gemini_no_wealth
BAPU_SINGH_TANWAR__2905.pdf,BAPU SINGH TANWAR,Rajgarh,Indian National Congress,gemini_no_wealth
CHANDA_SURENDRA_SINGH_GOUR__656.pdf,CHANDA-SURENDRA SINGH GOUR,Khargapur,Indian National Congress,gemini_no_wealth
DR__VIJAY_ANAND_MARAVI__1503.pdf,DR. VIJAY ANAND MARAVI,Bichhiya,Bharatiya Janata Party,gemini_ok_but_apply
MADHU_BHAU_BHAGAT__742.pdf,MADHU BHAU BHAGAT,Paraswada,Indian National Congress,gemini_no_wealth
PRADEEP_PATEL__1805.pdf,PRADEEP PATEL,Mauganj,Bharatiya Janata Party,gemini_no_wealth
SANJAY_SHUKLA__2099.pdf,SANJAY SHUKLA,Indore-1,Indian National Congress,gemini_raw
SATYANARAYAN_RAMESHWAR_PATEL__1396.pdf,SATYANARAYAN RAMESHWAR PATEL,Indore-5,Indian National Congress,gemini_raw
SMT_UMADEVI_LALCHAND_KHATIK__4054.pdf,SMT UMADEVI LALCHAND KHATIK,Hatta,Bharatiya Janata Party,gemini_no_wealth
SUKHENDRA_SINGH_BANNA__689.pdf,SUKHENDRA SINGH BANNA,Mauganj,Indian National Congress,gemini_no_wealth
SUKHRAM_SALVE__6935.pdf,SUKHRAM SALVE,Harsud,Indian National Congress,gemini_raw
SUNIL_UIKEY__3080.pdf,SUNIL UIKEY,Junnardeo,Indian National Congress,gemini_raw
UDAY_PRATAP_SINGH__716.pdf,UDAY PRATAP SINGH,Gadarwara,Bharatiya Janata Party,gemini_ok_but_apply
