pdf,candidate,constituency,party,failure
AGRAWAL_VIJAY_KAMALKISHOR__8340.pdf,AGRAWAL VIJAY KAMALKISHOR,AKOLA WEST,Bharatiya Janata Party,gemini_raw
BANKAR_SURESH_PANDURANG__4838.pdf,BANKAR SURESH PANDURANG,SILLOD,Shiv Sena (Uddhav Balasaheb Thackrey),gemini_no_wealth
BAWANKULE_RAJENDRA_BHIMRAO_SHAHIR__13089.pdf,BAWANKULE RAJENDRA BHIMRAO SHAHIR,RAMTEK,Rashtriya Gondvana Party,gemini_no_wealth
BODKURWAR_SANJIVREDDY_BAPURAO__7127.pdf,BODKURWAR SANJIVREDDY BAPURAO,WANI,Bharatiya Janata Party,gemini_no_wealth
CHANDRAKANT_ALIAS_RAJUBHAIYA_RAMAKANT_NAVGHARE__8392.pdf,CHANDRAKANT ALIAS RAJUBHAIYA RAMAKANT NAVGHARE,BASMATH,Nationalist Congress Party,gemini_no_wealth
DANDEGAONKAR_JAYPRAKASH_RAOSAHEB_SALUNKE__4363.pdf,DANDEGAONKAR JAYPRAKASH RAOSAHEB SALUNKE,BASMATH,Nationalist Congress Party – Sharadchandra Pawar,gemini_no_wealth
DR_ATULBABA_SURESH_BHOSALE__1214.pdf,DR ATULBABA SURESH BHOSALE,KARAD SOUTH,Bharatiya Janata Party,gemini_no_wealth
NAMITA_AKSHAY_MUNDADA__678.pdf,NAMITA AKSHAY MUNDADA,KAIJ,Bharatiya Janata Party,gemini_raw
PROF__DR__ASHOK_RAMAJI_WOOIKE__1286.pdf,PROF. DR. ASHOK RAMAJI WOOIKE,RALEGAON,Bharatiya Janata Party,gemini_no_wealth
RAJESHBHAIYYA_TOPE__753.pdf,RAJESHBHAIYYA TOPE,GHANSAWANGI,Nationalist Congress Party – Sharadchandra Pawar,gemini_raw
RAJKUMAR_LOTUJI_PURAM__5710.pdf,RAJKUMAR LOTUJI PURAM,AMGAON,Indian National Congress,gemini_empty
RANJANATAI__SANJANA__HARSHVARDHAN_JADHAV__9612.pdf,RANJANATAI (SANJANA) HARSHVARDHAN JADHAV,KANNAD,Shiv Sena,gemini_no_wealth
SANJAY_CHANDUKAKA_JAGTAP__7173.pdf,SANJAY CHANDUKAKA JAGTAP,PURANDAR,Indian National Congress,gemini_no_wealth
SANJAY_NARAYANRAO_MESHRAM__11629.pdf,SANJAY NARAYANRAO MESHRAM,UMRED,Indian National Congress,gemini_no_wealth
SUVARNA_SAHADEV_KARANJE__11746.pdf,SUVARNA SAHADEV KARANJE,VIKHROLI,Shiv Sena,gemini_ok_but_apply
VIJAYBAPU_SHIVTARE__7054.pdf,VIJAYBAPU SHIVTARE,PURANDAR,Shiv Sena,gemini_no_wealth
VISHWANATH_ATMARAM_BHOIR__11181.pdf,VISHWANATH ATMARAM BHOIR,KALYAN WEST,Shiv Sena,gemini_empty
