pdf,candidate,constituency,party,failure
AMRARAM__7385.pdf,AMRARAM,Danta Ramgarh,Communist Party of India (Marxist),gemini_raw
ANITA_JATAV__7323.pdf,ANITA JATAV,Hindaun,Indian National Congress,gemini_empty
GYANCHAND_PARAKH__7035.pdf,GYANCHAND PARAKH,Pali,Bharatiya Janata Party,gemini_empty
JABBAR_SINGH_SANKHALA__7910.pdf,JABBAR SINGH SANKHALA,Asind,Bharatiya Janata Party,gemini_raw
JAGAT_PAL_SINGH__9336.pdf,JAGAT PAL SINGH,Nadbai,Independent,gemini_empty
LAKHAN_SINGH__7179.pdf,LAKHAN SINGH,Karauli,Indian National Congress,gemini_raw
LEELARAM_GRASIYA__7251.pdf,LEELARAM GRASIYA,Pindwara abu,Indian National Congress,gemini_empty
MAHENDRA_CHOUDHARY__7597.pdf,MAHENDRA CHOUDHARY,Nawan,Indian National Congress,gemini_raw
MANOJ_KUMAR_S_O_SWAI_SINGH__9182.pdf,MANOJ KUMAR S/O SWAI SINGH,Sadulpur,Independent,gemini_ok_but_apply
NARENDRA_NAGAR__7790.pdf,NARENDRA NAGAR,Khanpur,Bharatiya Janata Party,gemini_ok_but_apply
NASEEM_AKHTAR__10675.pdf,NASEEM AKHTAR,Pushkar,Indian National Congress,gemini_empty
ROHIT_BOHRA__8002.pdf,ROHIT BOHRA,Rajakhera,Indian National Congress,gemini_raw
SHIVPRAKASH_GURJAR__9294.pdf,SHIVPRAKASH GURJAR,Nasirabad,Indian National Congress,gemini_empty
SHIVRATAN__CHIMAN_VALMIKI__8952.pdf,SHIVRATAN (CHIMAN VALMIKI),Merta,Indian National Congress,gemini_empty
SURENDRA_GOYAL__7886.pdf,SURENDRA GOYAL,Jaitaran,Indian National Congress,gemini_empty
