pdf,candidate,constituency,party,failure
AJAY_KUMAR__6778.pdf,AJAY KUMAR,Baberu,Bharatiya Janata Party,gemini_empty
AMRENDRA_NISHAD__10609.pdf,AMRENDRA NISHAD,Pipraich,Samajwadi Party,gemini_ok_but_apply
ARCHANA_PANDEY__5759.pdf,ARCHANA PANDEY,Chhibramau,Bharatiya Janata Party,gemini_empty
ARVIND_SINGH_YADAV__2644.pdf,ARVIND SINGH YADAV,Chhibramau,Samajwadi Party,gemini_empty
DEVENDRA_SINGH__3839.pdf,DEVENDRA SINGH,Kasganj,Bharatiya Janata Party,gemini_empty
DR__VINOD_KUMAR_BIND__13549.pdf,DR. VINOD KUMAR BIND,Majhawan,Nirbal Indian Shoshit Hamara Aam Dal,gemini_empty
GHULAM_MOHAMMAD__827.pdf,GHULAM MOHAMMAD,Siwalkhas,Rashtriya Lok Dal,gemini_empty
JAI_PRAKASH_NISHAD__9242.pdf,JAI PRAKASH NISHAD,Rudrapur,Bharatiya Janata Party,gemini_empty
KAJAL_NISHAD__11155.pdf,KAJAL NISHAD,Caimpiyarganj,Samajwadi Party,gemini_ok_but_apply
KETAKEE_SINGH__12340.pdf,KETAKEE SINGH,Bansdih,Bharatiya Janata Party,gemini_ok_but_apply
KIRTI__12500.pdf,KIRTI,Chhanbey,Samajwadi Party,gemini_empty
MAHENDRA_PAL_SINGH__9187.pdf,MAHENDRA PAL SINGH,Pipraich,Bharatiya Janata Party,gemini_ok_but_apply
MANOJ_KUMAR_PANDEY__8027.pdf,MANOJ KUMAR PANDEY,Unchahar,Samajwadi Party,gemini_raw
MOHAMMAD_SHAFI__7458.pdf,MOHAMMAD SHAFI,Kanpur Cantt.,Bahujan Samaj Party,gemini_empty
NAGESH_PRATAP_SINGH_URF_CHHOTE_SARKAR__9685.pdf,NAGESH PRATAP SINGH URF CHHOTE SARKAR,Rampur Khas,Bharatiya Janata Party,gemini_empty
NARENDRA_PAL_SINGH__5092.pdf,NARENDRA PAL SINGH,Bhognipur,Samajwadi Party,gemini_ok_but_apply
NEERAJ_CHAUDHARY__1549.pdf,NEERAJ CHAUDHARY,Bijnor,Rashtriya Lok Dal,gemini_empty
PRADEEP_MATHUR__484.pdf,PRADEEP MATHUR,Mathura,Indian National Congress,gemini_ok_but_apply
RAGHUNANDAN_SINGH_BHADAURIYA__7473.pdf,RAGHUNANDAN SINGH BHADAURIYA,Kanpur Cantt.,Bharatiya Janata Party,gemini_empty
RAJKUMAR_SAHYOGI__534.pdf,RAJKUMAR SAHYOGI,Iglas,Bharatiya Janata Party,gemini_empty
RAMESH__12956.pdf,RAMESH,Shahganj,Nirbal Indian Shoshit Hamara Aam Dal,gemini_raw
SANJEEV_AGARWAL__2659.pdf,SANJEEV AGARWAL,Bareilly Cantt.,Bharatiya Janata Party,gemini_empty
SUBHAWATI_UPENDRA_DUTT_SHUKLA__12312.pdf,SUBHAWATI UPENDRA DUTT SHUKLA,Gorakhpur Urban,Samajwadi Party,gemini_ok_but_apply
TANVEER_KHAN__1273.pdf,TANVEER KHAN,Shahjahanpur,Samajwadi Party,gemini_raw
