state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Andhra Pradesh,2024,VISWARUPU PINIPE,Amalapuram,Yuvajana Sramika Rythu Congress Party,False,1907,VISWARUPU_PINIPE__1907.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkhHaTZFTlc0RXVJYlF3YmNsTXFZdHc9PSIsInZhbHVlIjoiSDQ1VTNXcmtuVzN2RUova21kMjY1QT09IiwibWFjIjoiN2JlMTQ4MmQyNDc1ZDBmZTkyY2RjOThhYjhmYzcwNTBhYTUxY2VkZWIyOWEzNzRiY2I3MmJmMDcwY2U1ZDhkZiIsInRhZyI6IiJ9/eyJpdiI6ImFyUXZhQ2grWktMWlhLRkVaOXZqVUE9PSIsInZhbHVlIjoiNUhqRmh0QWZnV2pqTzJMYit1anpPQT09IiwibWFjIjoiNTg1ZWFmOTAxOGRlZTliMTZkMDc2ZTQzZTYzZTM0ZDY2MmUzZGEwZTFmYmJhZDIxMzk4OGEzYzI4ZmMwNmEzNCIsInRhZyI6IiJ9/eyJpdiI6IndGVldnbkNaSXpFVGJFWFZsRjdhVkE9PSIsInZhbHVlIjoiMkliZjNqbFlWSlhRUVh2MVB4QndOQT09IiwibWFjIjoiZDdjMTM2OTI1NDcyY2RhNzBmZDgxODE1Njg2MzBhOWJiZWUyOTEzZDg4MzBiNzQ4Mjg2N2ZiMDMzOWIzOTU0YyIsInRhZyI6IiJ9/eyJpdiI6ImRJT3hlRHc3VS9WUDkzdVZhYUphS1E9PSIsInZhbHVlIjoiZWxXNVVLRTMyR3IvMzFrN3JNY01pdz09IiwibWFjIjoiYzgwMjViMjE1ZjQyMjNlZGU5ODM2NWI5MWVjNjg1ZWE5MGY4MWFkODhiYjhlZGFjOGZiYmJmYTg3MmI1N2VjZCIsInRhZyI6IiJ9/eyJpdiI6InQ5ektyd0oxK3VPU1FLZnV5OE0rM1E9PSIsInZhbHVlIjoiK0tZaGwwRTNzVXlVbHJSb3p3YlZHdz09IiwibWFjIjoiOGI0MmVjNjNlZjg4ZmNlYmRlYWNkZmYxYjM0MDMxYjY4NWE3NzBiMDU3YmNiNGMyOWM1ODRjNGI4YzhhYWYwNSIsInRhZyI6IiJ9
Andhra Pradesh,2024,ROSHAN KUMAR SONGA,Chintalapudi,Telugu Desam,True,2322,ROSHAN_KUMAR_SONGA__2322.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InlRWGFhTjk0SzRXRE13am54QXdiRmc9PSIsInZhbHVlIjoiNmVWeHJBUmVFbmkwK0pPZW1rRWFUdz09IiwibWFjIjoiMTdiMmZhMTVmYTk4MGE1ODI4MmQwY2YxMjMwNTFhYTRhMmFmZTE5ZjRmNDYxODFiOGE3N2IxMzZlZDNiMDM5MiIsInRhZyI6IiJ9/eyJpdiI6IlFCZFBkQnZqc081VUtidEJIT3hXdFE9PSIsInZhbHVlIjoiZUhRRmlqNWNhcXNQc1pPcERtMWxLUT09IiwibWFjIjoiZGNkYTcyNjUyZmI3MjhlZThkZjY0NWRjYzgyMTYwMmE5NjJjNWNkMTUzMGYxNDQ3ODA4ZDNmY2NmZTc0ZGVmNSIsInRhZyI6IiJ9/eyJpdiI6Imo3SWRQU3QyaUh6TDdlNmJVaW5BK2c9PSIsInZhbHVlIjoieWFFQnhDd2UxbkcxTVljWDRVVlFudz09IiwibWFjIjoiZDE2NjMzOTg4N2M2ZThmM2Y4NTczYjExN2RjYTI4NGYzNmRmZWQ4NjgyYTgwM2I5MWU0N2JmNjY0NDU5OWNjYyIsInRhZyI6IiJ9/eyJpdiI6InhSOG5SenVKQXNzWVRBajkvaUYvNlE9PSIsInZhbHVlIjoicXRxeEpIOTF6SzhnODczWG1rc3FCdz09IiwibWFjIjoiZDZjMzE1MWQ4ZjQ4MWEzOTI1NjY2ODg4Y2VhNGMxZmQxNDk0OTFhOTBiNjM4YTgyYjMzOGViMjNkYWZmY2ExNSIsInRhZyI6IiJ9/eyJpdiI6IjlIUEptR1Z0TUZOZXF4YjhvcEhnanc9PSIsInZhbHVlIjoiWnhETUZ2K29NYzBLbDBIc3Y0WTBFZz09IiwibWFjIjoiNjc0YTg5Mjg1NzcxY2RhODRhYjMwZTU3MWYxYzU5NjExM2VmZDhmYWU4NDE3YTc3NmZjYjUzYWY5N2U4YjY0ZCIsInRhZyI6IiJ9
Andhra Pradesh,2024,MADDULURI MALA KONDAIAH,Chirala,Telugu Desam,True,2625,MADDULURI_MALA_KONDAIAH__2625.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImRoalcydHVjeUxheUJ3Z0RmZXQwYlE9PSIsInZhbHVlIjoiQmpWUStQMWFnN0E5dE9QRUUzTCtjZz09IiwibWFjIjoiZjFmOTQ1MDY3MTkwNmRkZDZhYTJlZGMxZjQ2MTFlYjEzZTcwYjJhOWMyYWI4OWUxNjFiZTAyMGVmYjZiZTIwNSIsInRhZyI6IiJ9/eyJpdiI6ImlLRUQwM2pCR3FPSzBlSm82cGp0N0E9PSIsInZhbHVlIjoibDcwazhxdU5CbTV5RU5aZU1QRVlDQT09IiwibWFjIjoiMDM1NDkyMjQyMjVmNDI0NjZhMWMwZGYwNGUwZmE2MTE5MjA0Yjc1ODk5NzU2MDAyMTYwMTAwYTg2N2E4NjUyMiIsInRhZyI6IiJ9/eyJpdiI6InhYVFl2NlZCbXFsSUwxVGRteUs3Y1E9PSIsInZhbHVlIjoiSStuMGFGM2l5citpZ2dqN2dmem8vQT09IiwibWFjIjoiY2QxY2YwZWVjNDBhNmU1ZDRmMTRlZThkYjIzYjFmOTZjN2U5NWFiNDFjYjcwM2E3ZDQ5YTk0MDZiNzg1NzhkZiIsInRhZyI6IiJ9/eyJpdiI6ImFXNGMzNHBCcG9oYzQrODg3RFJkRkE9PSIsInZhbHVlIjoiUE1UWFF2K1IxVmt0MFJPL3E2bzRuQT09IiwibWFjIjoiOWUxYjE2YjY0ZDhlZGE1ZmQ5NGFjYTZhYjY3ZjlmNTdlMjJhZmEwZTg1ZTdmMTliZWFhZDIxMDIxNmY3MWUxYyIsInRhZyI6IiJ9/eyJpdiI6IjdpWTc0dk8xQ1hFTzdkWGk2NGExeVE9PSIsInZhbHVlIjoiemViUEp1TSttaWFTbTdHZzNqWWdEQT09IiwibWFjIjoiNmJjODQyYjE5NTE2YTkxOTYyYTI3Mjg5NGNlMTBhNTYzMGYzYTc4MmQzZTFkM2I2MmQyM2NkM2Y4NjQ2MWQ3ZCIsInRhZyI6IiJ9
Andhra Pradesh,2024,KAMINENI SRINIVAS,Kaikalur,Bharatiya Janata Party,True,3053,KAMINENI_SRINIVAS__3053.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Imt6SDFYK2xJUDZnSWFORWpWZkExUXc9PSIsInZhbHVlIjoiSmFDb2pYalJxSWhyUUdrSlpoREdvUT09IiwibWFjIjoiZWMyOTBmNWJjZjM3MmNmNzQ4YzU4ZTM3NGRmMmJiNjM0YmU2YjE2NWIyOWI0OWNlZDU4YWRlYjA0ZmZhYTljZiIsInRhZyI6IiJ9/eyJpdiI6InB6TVBBZjMrZ2krTTRsRTdicEt4ZkE9PSIsInZhbHVlIjoiYnovS2hSMkdicEE1V0tMeE9ST3Qxdz09IiwibWFjIjoiOTJlMzk3NTdhMGRjODI5NzhjMzEzOGNlYTE2ZDkzODIyZmJmYzJkYjFlODI3YjQwZDM5NWI3ODY3YTE2ZWY4MCIsInRhZyI6IiJ9/eyJpdiI6Ik1xNEhYbTlhRXpFRkxGa29wVnlTOEE9PSIsInZhbHVlIjoiWjNnR2N4Q2JEaGsxY3d5RHpaelhJQT09IiwibWFjIjoiMDUzYzg5MjMyZTJiYTk5MzRkNmE5ZDMxOTUwNzE1MDMyNmFmZWM0Njg0MjhlMWViOGUwNWUyMzg1ZTUyNzQ3OSIsInRhZyI6IiJ9/eyJpdiI6IklIYkMzdUpkbnFKR2pTYWo5NTFTc0E9PSIsInZhbHVlIjoicm5EWmR0bmdDc3Z6bnNqSnJ1T0N5UT09IiwibWFjIjoiNGI1ZGI5YTY0ZmVkMzRjNmJkYzg1MDI1OWNlMzA1OGE2MmVlNjI0MTNlZjMyM2U4ZmQwMzRkNTAxNmIzYTdkZiIsInRhZyI6IiJ9/eyJpdiI6InRoYmoxaTd2KzZxUFc5MGZsb3FwRGc9PSIsInZhbHVlIjoiTVFQTGFQREdlRUpoTnZFTWhzd0ZnZz09IiwibWFjIjoiYjkyMWZmMGUzYjA5NmZkY2NkMDA3Zjg0OGNiMTIxMTJiMzY0OWRjN2RkZDIwZGY5MzM1YTZiMjgzNjFmNTU3MiIsInRhZyI6IiJ9
Andhra Pradesh,2024,DADDALA NARAYANA,Kanigiri,Yuvajana Sramika Rythu Congress Party,False,865,DADDALA_NARAYANA__865.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkFSanR3Ry9SWVhoUERUb1V3WUtud0E9PSIsInZhbHVlIjoidnU4bDdNRndRSUVRQTdUb2QxaTU4QT09IiwibWFjIjoiYmMzMzVlZmQwMzc1YWIyMWMzMzk4NGFhOTliNDk4YjdlZDkxNTUyOTQ4OTZhOTg2ZTNkN2Q2MzgzYWY3MDU3NSIsInRhZyI6IiJ9/eyJpdiI6IjdHQTdHZFNTSGRReVNndUFVZ0RJK0E9PSIsInZhbHVlIjoiL3hJWDhIblpOWGdkS05xVHFpc0s3QT09IiwibWFjIjoiNjg0Y2JiNDE3NzkyYTY4ODA3MmIzZGJkMWE5MDA4OGM2NjJlOTliOTRjMDA2OWIyY2YzZDM0MWFkN2UwOGMxNSIsInRhZyI6IiJ9/eyJpdiI6IjlpU3E1ckhZYzhUZm95NytieSs2clE9PSIsInZhbHVlIjoiUVRBRG9IU2gxYlRTL3RRSXlqSTkwdz09IiwibWFjIjoiODY5OWZiMjc2NDg3NzU1YzlmMjhjOTQyNWNlMzRmMGY0Njk4OGU2MmMyNzk0ZjhkMjNiOTM0NDVmZTNjZTcyYyIsInRhZyI6IiJ9/eyJpdiI6IkdLZDZZdWF6QUJsYjlnbnN6SjBSWkE9PSIsInZhbHVlIjoicDRYZ094YnpYemFnN2Mya1FTRzMvUT09IiwibWFjIjoiNTBhZjM1ZTcwMDA4MjYwNDZlOGIxNjk0ODE2ZWFjNTNiOTQwMDQzYTI2MDBiZWY0MTJiODczNjc1MjdmNGUxOSIsInRhZyI6IiJ9/eyJpdiI6ImwvRmd6ckxyUnIrTEkvK2M1NzZjcnc9PSIsInZhbHVlIjoiSEpXK1hpNmVOK2VUZWUrNVZuVWFYQT09IiwibWFjIjoiMDhiYTRmYmE5MTRjZWY5MzgyYTAyNGZiZDYzYWUzMTVhYzJhMjZkYTMzMmQ2YjQ0ZmQ0YmQ3MDBjODU0YzBmYSIsInRhZyI6IiJ9
Andhra Pradesh,2024,RAMAKRISHNAREDDY. PINNELLI,Macherla,Yuvajana Sramika Rythu Congress Party,False,7283,RAMAKRISHNAREDDY__PINNELLI__7283.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkRvKzYrMG9nMDgzbisrREFXN1hJeVE9PSIsInZhbHVlIjoiMjhWT3pxR3ZkT01ibTV6cVJUYmYyZz09IiwibWFjIjoiMTg4NDA1OTQ2ZDAyYmE2M2U2ZDRmMTIzZjM1ZmRkYzhjZWI1NjQ2ZWQxOGMwNjExOGU1NWE3NWQ0NWQ3M2M0NCIsInRhZyI6IiJ9/eyJpdiI6IjZhdFMwTGgxZ1lUdnRwaFlaNitieGc9PSIsInZhbHVlIjoiam1MVVhoRUxlcGlsRjJBQ1BVc0dkdz09IiwibWFjIjoiN2NhYThiN2YzNTU5OWNjMzI5ZTBkY2JmYmEwMWYzNzgxNjNmNjFhN2RlZmViNzUwZTM5NDgyMjg2ZmFhZmIxZiIsInRhZyI6IiJ9/eyJpdiI6IjRsc2Ntb1JsUDdqK01NR2RaN1ROTFE9PSIsInZhbHVlIjoiZFBOSTJQWjhwY3Nxb0xPYUF0MHpNUT09IiwibWFjIjoiMzhlYWQ2NTM1ZmRlYjJjMTQxYjg3YWUwMzdhZGY2YjQ0MDYxMjhmOGViMWQwZWIyOTFjNmY2MDkwZjUzMjI0YSIsInRhZyI6IiJ9/eyJpdiI6InFkNDFjMmxjb2RubGVZUU11NWFMVnc9PSIsInZhbHVlIjoiTDRQUTJxUzFONTFrZ2JLd0VkKzdsZz09IiwibWFjIjoiOTBkOThjNTcxZDNjNWU3NWE1ZGEyYWEyNmYzNWFlZGM4YTk3ZmI3MmZlYjcyZjQ1YTdjZmFkODcxYWY4OWI4ZiIsInRhZyI6IiJ9/eyJpdiI6InNQbHNCdG5WOWIzSWRXcFVGaEgrUFE9PSIsInZhbHVlIjoiUE1YOGNnOEE0Z1JuSmoveXVSWGZkdz09IiwibWFjIjoiMGE1MjA5MDYyYWI3YWNjYWE3Mjk1NjlmZjViMDk2NmIzMDEzODg4OTI0Njk5MTkzZDM3NDg1YzhmYjk0MmI2NCIsInRhZyI6IiJ9
Andhra Pradesh,2024,DARA SUDHEER,Nandikotkur,Yuvajana Sramika Rythu Congress Party,False,,,
Andhra Pradesh,2024,DHARMANA KRISHNADAS,Narasannapeta,Yuvajana Sramika Rythu Congress Party,False,6475,DHARMANA_KRISHNADAS__6475.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlM4bWhlZzh2K3BKNW9PeUF1VDhKVnc9PSIsInZhbHVlIjoiZVVtcHpLK0lnYWdUNE4vMmIvTXllZz09IiwibWFjIjoiN2Y3ZjQ5MWY5MGU2MDQ0MjgxN2UxNTBiOTg2NjAxYjUzZTZhY2U0YjgwZjZkMzI5OTkyZjZhNmRmNzgyMjNhNCIsInRhZyI6IiJ9/eyJpdiI6Ik5UeWtLQW5QMzhzVWJkNWhpbFI0M2c9PSIsInZhbHVlIjoic2hNdkJ4cy8xRnpmWWZTWXhGUmcydz09IiwibWFjIjoiZTlhYmQ1NDE2Mjc5YzcyZTk4N2JiMTBmMjgxMGRiYWFhNzc4YWU5MDI0ZTE3MzM0NGFjZDc4NjRjNjQxNGQzOCIsInRhZyI6IiJ9/eyJpdiI6Ilk5WXlXemtvRzBUcmx2ZU1KUHB1THc9PSIsInZhbHVlIjoiZER0Ly8vVEE4VWVoUWlObFlrUWhpdz09IiwibWFjIjoiZTkzNzUyZDA0NzMzZjA3NzIzMDE5ODIxNzJhNzJiYzU3OTBlOTc0MTZlZTU3ZjJlMTMzNTQ3MTg1MGQ3YmQ4MiIsInRhZyI6IiJ9/eyJpdiI6IktyTVVLQkdoNFpQV1hjQ05mRERrUWc9PSIsInZhbHVlIjoid29TeG5xUjhDaHZXbm9Uek9ENGZQZz09IiwibWFjIjoiMTE0YWQ5NGJkOTljMGJlNjg3ODA1NTQwODE2NGM5YjRkZDNlZTk1YTIxMmFlZDZkNGFkNTJmMWM2NDgwYTFiZiIsInRhZyI6IiJ9/eyJpdiI6IlhFNG1QcFRUYm5KYnJ0M1pDdlhWZXc9PSIsInZhbHVlIjoiL2U2eXV6em5MZEJqeWk0Y0JTYWt1UT09IiwibWFjIjoiZmQ4NzQyZWM0Y2IyYWIwMmQ2MTQwZGIxM2E4YTZjN2YxNTZiODQzMGJlODhiOWVlYjQ2YmY5YzZlZDA0NzI3OCIsInRhZyI6IiJ9
Andhra Pradesh,2024,BOMMIDI NAYAKAR,Narasapuram,Janasena Party,True,2505,BOMMIDI_NAYAKAR__2505.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InNzTGM2cURtM2lUZ1ZCYkZZOHBvbWc9PSIsInZhbHVlIjoiK2NmVVRkL0xBVFRMUXB6Tnd0ck84QT09IiwibWFjIjoiNTZmNjE4Y2E5Yjg1ZDNkNTcxNGJjNmZlZTI4YTc4MTFkYWE5OTYwNzVlNDE5MWY4NTQ1MWVhNzUwMTFlMDcyNCIsInRhZyI6IiJ9/eyJpdiI6InFyRngwWnRRWTYvK0tQSHNZalhIeHc9PSIsInZhbHVlIjoieDBzRnRqd1ljYzhHUFpRem5tU2V1UT09IiwibWFjIjoiMGUyMjQyNGE2NWVjM2RlYmIxYTFiNjI5ZGJhY2E1ZTgwZGI2NDliNWViZjE3MzBmZWEyOTg3MGE4Yzk0NzRmMyIsInRhZyI6IiJ9/eyJpdiI6Ijdnakh5Z3kyOVE2emtHSVg3b1k5V2c9PSIsInZhbHVlIjoiTDVNUnlCOUMwd3grOG5oM3c3MTJCUT09IiwibWFjIjoiY2MwODQ5OTQ3NGVlZDk1NzNiNWIwMjk4NjQ5ZmIzYzBiNzNhNzJhYTNlNzhmY2JiNDdjOGM0ZGVlZDIwMGIxNiIsInRhZyI6IiJ9/eyJpdiI6IkIwL2VMaENGVUo0ZkRkOFJXSU5Fc2c9PSIsInZhbHVlIjoiMVdIaHF4N2EvTkoxYmRoTW9LdW9tUT09IiwibWFjIjoiYTc5YWU2ZDNkMWNhOWY1YWY0N2RiZmI5MWM3YTliNWJkODNiODVkNDcwZjkwZjNjNzYxODI2MTk2ZWNhZDU1NSIsInRhZyI6IiJ9/eyJpdiI6IlZpV2NsYitCSzRwOXBCVFM5dldFaWc9PSIsInZhbHVlIjoieFhBbGZSN0oxVTY1akZOcUN1ZnFYZz09IiwibWFjIjoiNDhkNzEwOWE0ZDYwZjY5OGM1OTMzZmMxNTZhY2IwNWYxOTQ4NTY2MzgyYzBkODgxZmQ3NDAwMzEyNDlkZjY5YyIsInRhZyI6IiJ9
Andhra Pradesh,2024,NARAYANA PONGURU,Nellore City,Telugu Desam,True,2143,NARAYANA_PONGURU__2143.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlhCdUdsYmxhNlhRNVhhM0FuWEFxOUE9PSIsInZhbHVlIjoiOEc4NnFaNUNra3JQZjExRGY4V0pYZz09IiwibWFjIjoiMmU1NzRkNWI0ZDVjYjM1ZmUzNjFmNTc5OWUxOGNjYjMxMjI5ZWUxNDMyMTEzNGZkZmIxZGEzNzY0YjYyMmVmMyIsInRhZyI6IiJ9/eyJpdiI6Inc5VWFuSElVbUFUb3JRaHR1K2J2WVE9PSIsInZhbHVlIjoidHh0RHlVa2RpMUVMdFNDNU1jVm5wQT09IiwibWFjIjoiOWY1ZTY5YzAwYzNhMjhmNDBkMzAwNDNmZWM2ZGMxYzE3ZjYzMzE5OGFmZjcyOTkzOWY1OWRmMDJkMzFiMThjMyIsInRhZyI6IiJ9/eyJpdiI6IjFQRXJvZkdlNVBJZTFEU2pwSE8rNlE9PSIsInZhbHVlIjoiTVQyNHo1c1NySUVrWW0vSU9oc0hydz09IiwibWFjIjoiZDgxZTc4MmE4MGEyZGRkODA5NmFhNzU1NThlYzcwZmYzODYxZjE0ZWE5MjNlMTYzMzcyNWZiNGFiNDU2NmE4YSIsInRhZyI6IiJ9/eyJpdiI6Iit5OTJpRDhLL1pySjNnZWJrWktDa1E9PSIsInZhbHVlIjoib0R2VG4ybU9EVXQxZktWemM5aU4xQT09IiwibWFjIjoiMTJmZjUzNDAyNWMwMTZmNWRkNDZkNGQ4NWQ4YTcwZTQwYWJhZjhiOWM1NjkxZGI4YmZkYTU0YmRkZDE2ZTJkYSIsInRhZyI6IiJ9/eyJpdiI6Ik1lckdKM1crdWp6eGNER09uemN4Wnc9PSIsInZhbHVlIjoiOXFFcDNxVTV6NCs0R0RuSUVPS1h2UT09IiwibWFjIjoiMzUyMDA0YmZmNDI1MWRlY2RmZmU4N2YxNTdiMTBiY2U0ZjU4ZGExM2ZlYTJkMmIzNjgwMzFmZTI3ZWQ3MjE0MCIsInRhZyI6IiJ9
