state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Bihar,2025,JITENDRA KUMAR,ASTHAWAN,Janata Dal (United),True,1748,JITENDRA_KUMAR__1748.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im5NR3B3eVhWNlBRU0owZDE1WlVTTkE9PSIsInZhbHVlIjoiUlRnOFA4VzdjcWJXOTlxekFiaHJZZz09IiwibWFjIjoiYTM1YTcyZmI3YTUxOTRlYzE3N2ZlYTMwZmE4OTYxMTdkZGMyNDExNmQxZDMyNzNjMzY1ODgyNzFkMTAxZGM2MSIsInRhZyI6IiJ9/eyJpdiI6IlNGNTNZYXh6S0JvRXFZZk1jaTVncnc9PSIsInZhbHVlIjoiU2tYdmlhcmlsWUhCaUNuaVpSK1RiUT09IiwibWFjIjoiMWEzMDRmNWI0NzhmNTkxYzVhNDA1YTQzNzI1ZTEzYWQzOTJiYjQ3MzUzMzgyOGI1MGI2Y2U0MTMyOTEwMzYxYSIsInRhZyI6IiJ9/eyJpdiI6InpyS1NBazl0dVVHSm9DdTlkN0YrQ0E9PSIsInZhbHVlIjoidWZkNDJpUDJneVZnSm9WWVQzZUgwQT09IiwibWFjIjoiYjUyMTRjNGNhZTJiNTkxYWRiOGExMWViNjgxYmViYjIyYzY4ZjdjOWVkMTVmMTY0MWM0NTk0YzY4Y2U3ZmY4YyIsInRhZyI6IiJ9/eyJpdiI6IlJ5dWM0cTFzSnVXZE90S2N4Nm93ZWc9PSIsInZhbHVlIjoiZGJ0WUY4aGNDQmZBU1RSQnpiVjBWZz09IiwibWFjIjoiYWExZmY4MjljNGUyOTE4MDk0YTUyMThlMDhlZmMwN2ExMjZjZjY5YzM1MDQ4MWZkODJjYjI0YmVmYzdjMzMzYiIsInRhZyI6IiJ9/eyJpdiI6InF0aTdrbUtld0szSHhBSFJUYWY0R3c9PSIsInZhbHVlIjoiS1pKTTJWa09FZUxSK3M3WkxzanZlZz09IiwibWFjIjoiMDgwY2UzYTVhY2ExNmQ0YzZjOWY2MGYwZGFiM2RiYWNhYWQyYzM1NTY1ZGE1NDZkNDE2NDA3OTc2N2E5MDE5NSIsInRhZyI6IiJ9
Bihar,2025,TANUSHREE KUMARI,BARACHATTI,Rashtriya Janata Dal,False,6037,TANUSHREE_KUMARI__6037.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkZ6SHBFd1N4SjhvN28wTnBob3BZSEE9PSIsInZhbHVlIjoiMW0zSjJGTW9ENm9YWUZwV3hHUHJkZz09IiwibWFjIjoiZWM3Y2EyMDBhODkwNzQ4MDE4OTQ1OWFlODA0YzQ3Y2JjMjU4NjBkYjEwNTA2YjhiYmEzMDQxY2E4MWVhODY3ZiIsInRhZyI6IiJ9/eyJpdiI6IkZKZTAwcnBTT1pjOTh2S2lROElsVHc9PSIsInZhbHVlIjoid2FkWU1zVGVWamlHdUxBWTRVRHpMUT09IiwibWFjIjoiMDM5MGJkZWIwMjgzNmUyNmExODhkMjI2M2I3ODkxMWZmYzllMWFjMWEwZGYyYzFiMTA4MDliOGMwNjdkMjUxMyIsInRhZyI6IiJ9/eyJpdiI6ImY2U3FVUFFEUXliV05FcHpqTzR2TkE9PSIsInZhbHVlIjoiYUFnRGpiOGlHMEhiS3h2cWZwcE96dz09IiwibWFjIjoiMTU1ZTU1MTY1OWFhOWZjZDY1YTkzMjkzNmU2MDk4Y2UxYjZmMzU2ZjUwNzY3NDNkZWM2ZDEwNzk0ZDZlNTkxOSIsInRhZyI6IiJ9/eyJpdiI6IjI0cGNaQ2x0UUNlZ2lJVG1BRzR6aEE9PSIsInZhbHVlIjoiZ093amlOdFVSbFpKTi9EV3lMNEYyUT09IiwibWFjIjoiZTNkODg0Yjc5MGQ5NmNmNmMxZWUwNDE4Mzk4ZTFjOThhYTgyNDA3ZjcwMzRiZWJmMDc2ZWNkNTFjNWJkNDA5NSIsInRhZyI6IiJ9/eyJpdiI6InUyRzdEU0NYbWk3TFBlMm90ZjgzSWc9PSIsInZhbHVlIjoiZGZrZExUU0lCOGE0WVhiazhqMEVEZz09IiwibWFjIjoiOWE2MjcyZTc5ZTdmMGUxYjc0ZDlkMGU0YzY5OTgzOTUwM2NhMjQ2OWJkM2EyOTZkNjYzYmJkZTc2MzBhNjQ1OSIsInRhZyI6IiJ9
Bihar,2025,MITHILESH KUMAR CHOUDHARY,BENIPUR,Indian National Congress,False,2326,MITHILESH_KUMAR_CHOUDHARY__2326.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkdwWU1uMmdxbURKMGRUMzhJeTIvMkE9PSIsInZhbHVlIjoicXVhcDA0Q0hiY25QT1Uxd2w0OW41Zz09IiwibWFjIjoiODM0YTQyY2Y5YjMxYjU4MDNlNWMyMjg1NDFhZmM5MTExYTk0MTY5NjZjNzBlYmVkYzI1YTkzZWQ4ZTBiYjUzYiIsInRhZyI6IiJ9/eyJpdiI6Im9kUXM3OWNCa0lYcFUvT3NQOHM1WEE9PSIsInZhbHVlIjoiWGV1Y2FHSE1MV29ERnJsODVLU3Y0QT09IiwibWFjIjoiMzhmOTllYmMzODFlNTM4ODlkMTcxNDYyOTJlMmE3MDdiNzdjZWQ4OGNmMjEwNjQ5ZDkyMGVhYzg4YTQ3Mjg5MyIsInRhZyI6IiJ9/eyJpdiI6ImxPZGM2UGNoVnNZaTl4ZFI4UE1FalE9PSIsInZhbHVlIjoiTVlaSWVhTUthNC90bWF6T2FLZjZNdz09IiwibWFjIjoiNzhjN2I1ZDdlMjkxM2RmNGY2ZTdmNTdlNjhjMWJjNTZiZDEzNjM5OWY3MjIxOTYyYmQ3YWQyODI2OWFjMThlNyIsInRhZyI6IiJ9/eyJpdiI6ImZ3eDNycklzUEtuWUVrT2N5emdsNUE9PSIsInZhbHVlIjoiMXVuaTJDNE1POEM2cDVlVzZhWm45QT09IiwibWFjIjoiNDZmYjFkNTViMWIxYzkwYzI5MTg4MGQzMjg4NWZkZWJmZmY4ZWM4MWU5ZDU3NDJiNWE3ZWZhYzhjMjUwMTdhYyIsInRhZyI6IiJ9/eyJpdiI6ImxXWGhLbjRnTm9SOG4zMm5vZGxEOEE9PSIsInZhbHVlIjoiVWQ3OGR1bW5IRFc1bHl3amd6UGRKUT09IiwibWFjIjoiMTMzZTU4NDBlYTgwYmUwYzBiNzA1OWQ1MWVjNGU4ZGU3MmE0ZjdiY2Q4MWZiZjFlZjYyMTM0OTg0NDdkNGZjMyIsInRhZyI6IiJ9
Bihar,2025,ROHIT PANDEY,BHAGALPUR,Bharatiya Janata Party,True,1921,ROHIT_PANDEY__1921.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImNONFhnTDlUcjF6eUlIVFBXNDZ3VHc9PSIsInZhbHVlIjoiMFBBY3pUU0NPOVhwZXZXTjdoMUJqUT09IiwibWFjIjoiZGNhMmZjNWMxZGI4ZjNmNjk3NzJlN2IwY2U2OTk4NDhlNWIyYTE2MjRlNDBkNjg3MjBjODMzZGQzOWExN2EwMyIsInRhZyI6IiJ9/eyJpdiI6IkIzbm5zak9pb1ZIa2tyZEFWVGdYNlE9PSIsInZhbHVlIjoiMHhiMnlORlg0Ky9nR1IyZ2xnME93UT09IiwibWFjIjoiNzAwNzE4ZGQxYjBmM2I2OWY0MjgxODJjOWZlNmQ0YWQ0MjZiMDgyNDFmOGE2NDY3MmI4MTZkYmU2ODE4Y2E4MyIsInRhZyI6IiJ9/eyJpdiI6ImpQMlJraDhhdjhXeUN6dWpwcGMrM2c9PSIsInZhbHVlIjoiNUdNb09KR0Y1b3h6M3R3OGl4NGtpUT09IiwibWFjIjoiNGFhMTIxNTIzMjA3MzZlZjVlZWZjMjlhZTIzNjYyZDU2MWJlMGNmMzExZmUzODk2N2ZjOTIzMjkxZTllMzdjZiIsInRhZyI6IiJ9/eyJpdiI6IjhGNXRpaHlHVXhTTmVnY1ZNRmVoUGc9PSIsInZhbHVlIjoiVzEzWlBsNlBaYjNabExkTnFDN2JQQT09IiwibWFjIjoiZWFiYWY4ODIyOTZmM2ZjNmRjYmFjYTMyYzU4MWM4MDIzYjBlYmZlNTI5OGZhMTFjM2M2Y2UwMTgxMjBjZTQ1YiIsInRhZyI6IiJ9/eyJpdiI6IjdScFhGWUtLVzhiWHBtOWFrN3l2RlE9PSIsInZhbHVlIjoiTzVSQWhsT2lsNVhoc3lEUEMvQmQrdz09IiwibWFjIjoiNzYzNmNhNTgzMzZhYzM3N2Y2NzhiZTdjZWQzZDgwMWUzYTEyZTZkODZiZDEwZDExYjQzNTU4MzAzNTQyMzY1MyIsInRhZyI6IiJ9
Bihar,2025,KUMAR SHAILENDRA,BIHPUR,Bharatiya Janata Party,True,4579,KUMAR_SHAILENDRA__4579.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkZoUmdPeVFVQmVHTkRLdndMcVNPemc9PSIsInZhbHVlIjoiRUhCcEhabzVORnRXQzgxcS85Z3dndz09IiwibWFjIjoiZTM3MDk3YmY3YTRmNmQyNDU1OTA1ODgzM2ZjNzhlYmIxZTEwNzFkNTI1ZmNmY2RlNzg0ZDljN2IxOWE2MzlmNCIsInRhZyI6IiJ9/eyJpdiI6InFoWGdwSkF2RjFqbFlKa0VrSE9SOVE9PSIsInZhbHVlIjoiSG5ZbWhnV2JEaWZVUmljL1pERGZxQT09IiwibWFjIjoiYzNkZDIxZTI4YWNkZWQ1NWM4MWU4ZjFhMjI2ZTllN2UyNTJmNzc3NzMwYTA4MThjMzZmNDRjOWIxZDc1YWE2MiIsInRhZyI6IiJ9/eyJpdiI6Im14Snd5SWRvUER5Um9GMG13QmJObWc9PSIsInZhbHVlIjoiMVFFeXdjL1MyTjlrMnRMZTE0SDJhZz09IiwibWFjIjoiMTk1MjIzZGIxOGNjNDUwYThkNjI5ZTA5NmVhYzgxMmVhYWI5YjE5YmNjZTkwYTVlMDViZjkzMjliMjUxYWViMyIsInRhZyI6IiJ9/eyJpdiI6Ikk3SHlQUDd1QXBINWZZbnBGdDM1RXc9PSIsInZhbHVlIjoiMVpMblFlSjR6K243YkhRejRhY3FzZz09IiwibWFjIjoiYmY0YjAyNWQzZjlhZGUwNWE1NGJlNWJjNmVhMjc4MWQxMmNjNGY2ZTU2ZWI5Y2FjOTRkNzk1OWY0OWM4Y2ZkYyIsInRhZyI6IiJ9/eyJpdiI6Im9Hc0JoK09UbE5HOW42Ryt0QkFjR1E9PSIsInZhbHVlIjoiQU94ZVlPUFZGK0RTNlc1czlYbFIvUT09IiwibWFjIjoiN2RiZDc3M2YyMDljOTQ5YTM2YzdiYWRhYzFlMWVkOTkwNWE1NDYzNDMyZGZiM2NiNmNhYTU4MWUwZTk2YmExNCIsInRhZyI6IiJ9
Bihar,2025,SUSHIL KUMAR,CHERIA - BARIARPUR,Rashtriya Janata Dal,False,2898,SUSHIL_KUMAR__2898.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjZsVUtkQW5LRWZ2RUxZVzhSWTB2Wnc9PSIsInZhbHVlIjoiUHlNWUFMSnQxeC9YRjd2emVSajlhQT09IiwibWFjIjoiMzFmZDcyY2Y2NTA1MWI0NTExMDVkNmEwNDZhNWM1M2JhZjIwNzYyZDc2NjUwMmIwOTEyM2E5YjU2MzNmMjdlZCIsInRhZyI6IiJ9/eyJpdiI6ImhxZ0xmVnUrL3c5QlVtZFoyU0IwSlE9PSIsInZhbHVlIjoiRjd0M2I5ZnpFblRRc2RrYThCVnJtQT09IiwibWFjIjoiMGZlZTYzMWRiNTgxMzkwNTg0MTcyODFmNmI3MzQ1ZmM3YzYyYThhMWQxOTAwMDMzZWM3ZTk4MjA1MGZkMGZhZiIsInRhZyI6IiJ9/eyJpdiI6IkFrdEdhYmE5K3ZJZHVtbnFOSkRUL2c9PSIsInZhbHVlIjoibHpKSy9IdjNuc2VSN0k1UFhPTXA1Zz09IiwibWFjIjoiMWRhMTFmZGY1MGRhMDg1MWQ5ZGRjZGQyY2QxOWYzMzRmNjA5Njk3YWQzMmJjOWVjZDFkODA4NDQ3YWM3NDE5YyIsInRhZyI6IiJ9/eyJpdiI6Inc1WjkrdkdrbXZLVDNpN0VoTnRBRUE9PSIsInZhbHVlIjoiQW9KZ3FMR1RvZzhPMktvR214cGl0UT09IiwibWFjIjoiOTBmZmQwN2RkNWVkNjRkMWUwNTgwN2FmNjY1ZTFiNDQxOGQ3NzY4NTdiYmFjZmE1YTE3MGRhNjI3NGI1YzhhZiIsInRhZyI6IiJ9/eyJpdiI6ImhaMkVmYTArZFpIb2dmbkJXQ2diNkE9PSIsInZhbHVlIjoid211bEFGODJqTEdPQ2FXL0RZRk1EQT09IiwibWFjIjoiMWNjZjZmMjc4NGRhZjI5YmIxZWUyMGMxN2M3M2NhYWNmYTU4M2M2Nzk5MTc2ZjQ4OTkyZjFiNTFkYjg1ZTRkNiIsInRhZyI6IiJ9
Bihar,2025,DR. VIPIN KUMAR SINGH,CHHATAPUR,Rashtriya Janata Dal,False,4858,DR__VIPIN_KUMAR_SINGH__4858.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkFQTUQvRGZKT2hTaGJaRHo3dVUzQlE9PSIsInZhbHVlIjoiV1Y2SGprT05DZlFhZ2RSRkh0RXcwZz09IiwibWFjIjoiYzhjMmZmZjg4MjkwNWVlMzI2MGVlZWNhNmY1ZjMwYzE1MmI4NWY0ZGMxMGViZWZmMzM1Njk3MWVjMzMwMTZlOCIsInRhZyI6IiJ9/eyJpdiI6IjRXN0U4cmw1cTcvYnJMbUhXYURUeXc9PSIsInZhbHVlIjoiRENEMlFKODlaUEtyRU9CMVpONVEvdz09IiwibWFjIjoiMzIwNzhiYzZkZTI5MTQyNjJjNTdhZTE5Mzc2M2ZkMGJhYWQ4OTJmOTA1NTgyNTRhZGY2MTM4YmE0YWRmMTY2NCIsInRhZyI6IiJ9/eyJpdiI6InZ0TS9Gam5CVGRsdzFPV3l0R2FsY1E9PSIsInZhbHVlIjoiT3pHU2NLK2xueE1uS0w1NTV1eDNrdz09IiwibWFjIjoiZjA1YzJiMmM3ZjE1ZDgyYTY5NTJmYjJjNzFlMzRjMzQwYWE0Njk5ZmI4MTA3NWNiMjRiYjc1NWViMTBjNzJkMiIsInRhZyI6IiJ9/eyJpdiI6Ikc3dWVzQkNaY0w4SHJ1WEh1RzlSVXc9PSIsInZhbHVlIjoiTjlsMU5Bd1k1bkR3OURIcDFGSFkrZz09IiwibWFjIjoiNGI4YTBjNWViN2MwOGQxNDk3MzI0OTYxN2Q4ODBmZGZhNDgwYWIyM2M0OWMxOWI0NTMwODY3M2QyMTJlOGU0MCIsInRhZyI6IiJ9/eyJpdiI6Ik1VaU5pQXlGTDdqZDRUR3MzM0M4Z1E9PSIsInZhbHVlIjoiaW01S0VuZmU3SjRTeHBCSWhvRFZTUT09IiwibWFjIjoiM2IyMThhYjE1OGNiYTMxMDY0ODI1YmZhNzMyOGNkMTllN2Q2YWRhODUzZDc1ZWRjZjI2ODI3Mjk5ZWJiNDc4ZCIsInRhZyI6IiJ9
Bihar,2025,LAKSHMI NARAYAN PRASAD YADAV,CHIRAIA,Rashtriya Janata Dal,False,4785,LAKSHMI_NARAYAN_PRASAD_YADAV__4785.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkJ0b09nSDBZbjNOY3NvSnVBQXJQK0E9PSIsInZhbHVlIjoiZDB5WUt6ZFFzSGVQUU9PbUFSaExtdz09IiwibWFjIjoiNzFlMmQ2MTM0ZjI0M2ZlZWQ4YjRkM2RkN2Q1Y2Q4MjhjYzk0OGFkYjU4YWJmMTg0YzkzNzQwOGFjNTY0MGIxZSIsInRhZyI6IiJ9/eyJpdiI6IkZRcUlYdDFYNnZNZUNCdnMva3hBWFE9PSIsInZhbHVlIjoieHV0NVErY3BZVHBuOUh1ZUJWWXk1dz09IiwibWFjIjoiODk0ZTIwZTAzOWRiNjFhOTJiMTdkYTZjYjhhNjc4ZjFiMjhhMmY5M2JmYzU4NWI2OTg4ZGFhMjA5NDkwNTk2MSIsInRhZyI6IiJ9/eyJpdiI6IkV3TFpUODJneDhDN25YWUx2eEFCeWc9PSIsInZhbHVlIjoibkkvUnU4c1V2TE5sZXMwOUxhTnB3UT09IiwibWFjIjoiOTY5MmJkYjg5ODdiNjU1MmRlZDVhNWI2MTlkOWU4MDY4YWRiYWQ4YmFlNTRmODQzMmIxN2FjY2Q4M2MxOWUzOCIsInRhZyI6IiJ9/eyJpdiI6ImMyMmhWYnNjTVZnb2p2WVl6NTU0MlE9PSIsInZhbHVlIjoiTnFTUS9idGtTbjBQTWZmNHhDV29sdz09IiwibWFjIjoiZTY2NDVjY2ZmYzg5MTZiNWU1Mjg1MWMwN2RlYTMzYTdhYjEzYmZiNWJiZDJlNjY5YWY0YjYyNGMxZmQxNTA1NCIsInRhZyI6IiJ9/eyJpdiI6IlhyZ3EvWm9GK0E5TWlFYWpaTU4zV3c9PSIsInZhbHVlIjoiQ2ZkQld3d3lvL3UzbTRwbE9UbzdGQT09IiwibWFjIjoiMjg4ZWQ2ZmZkM2Y5NjcyMDM2ZmVhYzZjNWE3MzQxYTFjNTkwMzRjMmRiNDhiOTg1MmJjZGFkOTA1NTIwNmIzMiIsInRhZyI6IiJ9
Bihar,2025,RIT LAL ROY,DANAPUR,Rashtriya Janata Dal,False,803,RIT_LAL_ROY__803.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImtFV0NnTGpQV2VnRGV5UkJncnVIbkE9PSIsInZhbHVlIjoiZWdJN2ZtTnZlNUFTbGxkUUplbXVDdz09IiwibWFjIjoiNzk3YTU1OWEzYzJjNzc2MTMyOTcxZTEyZjNmNjdjNDMzOWVkYThhZTRlYzIxOTg5NzcwYTA2OWI3NGU4NjM4MCIsInRhZyI6IiJ9/eyJpdiI6IjlqaWk1cnlWSWRGYzFGaTMvUWhpcEE9PSIsInZhbHVlIjoibnkzVDVlbDlkYzNSU21JY3JSSW5XZz09IiwibWFjIjoiZDZkYWRjMTI3ZjE0MmRiOGRmMGQ0ZThmNGE5NmQwYmViOTUwNTY1YTQ1YmJkOGUyY2NkMGM1Y2IwNGNkM2U1MyIsInRhZyI6IiJ9/eyJpdiI6IkRuVUlXMzlKK01pRlR1OEJKT0VzdHc9PSIsInZhbHVlIjoiT1lObUY2VnJQWERtQlBBTDdTUUlKQT09IiwibWFjIjoiMTM1MDQ5NmFhNTRhMzAwOTg5MTk1ZTkwZWE0NTFiMjhhZmRjOWZjNjM4MTdmZTMyMDUzODRlNzZhOTFhNzllOSIsInRhZyI6IiJ9/eyJpdiI6Ijh6b2pCajNPWFFNaUliZjY4aFdtWHc9PSIsInZhbHVlIjoieWFBSEZxR3IzMUhvVFFOdUlwaDYvdz09IiwibWFjIjoiNWYxMTU0YjhhNmUwNThlMTMzNTRkODkwMzViZTVmZmNhODI5ODAzNjFiZjNiZGRkNzI2NzkxMzUxYjg4ZjhhZCIsInRhZyI6IiJ9/eyJpdiI6IkR6eHN3MGxMeDV6aDlpRzZjSGw1MXc9PSIsInZhbHVlIjoicXEzRFVhSVpaMDVxYSszNTF0K0xFdz09IiwibWFjIjoiYTE0MWY1ODJkMDY2MDYzNDVjNzlmMzE4NmZkYWUzMGY3NGM1MWM2NTAwYmZmMDI2MjdlODI1ZTUwYjkyZjMxMyIsInRhZyI6IiJ9
Bihar,2025,KARNJEET SINGH ALIAS VYAS SINGH,DARAUNDA,Bharatiya Janata Party,True,1614,KARNJEET_SINGH_ALIAS_VYAS_SINGH__1614.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlR4cmhtdnM4QWdiclVtZ0dHZjdZeWc9PSIsInZhbHVlIjoiY1NBUVR0b0VhbEkwaThCSE5mbjV1UT09IiwibWFjIjoiNGY1YTA1Zjc3NWNlMGNjNjYxYTViOWY2YTA0YzdmY2JjZjBjZjhhYTM2MjFmODJiOWNhMTZkZTQxMjliNDBiOCIsInRhZyI6IiJ9/eyJpdiI6IkQyajVCbXJlRmlvdGxzTllDSDdheHc9PSIsInZhbHVlIjoiNkpvOFhGdUxOV3pRY3B0K0xMOExaQT09IiwibWFjIjoiOTFkNGJmNWIyMTI0YzZiYmM2MDFmYjQ4YThjMDg0MWEzYzM4YjI1ZGM3MzI5M2QxMDMwMGNiN2MwNmIzZmVhZSIsInRhZyI6IiJ9/eyJpdiI6Ik5PdHR4SmlNUmw4WUFrN0ZReDRGdWc9PSIsInZhbHVlIjoibUMySnIxZHlyY0tpY0NlcDEvNG5MZz09IiwibWFjIjoiNGJkZThiOTM4MjIxMTQwMTY5ODRhZWRhNDhmMjAzYWJlNzU2NTJhZDdlMWM0MDAxMDk3OTQ1ZTY0ZDhmZGFmMyIsInRhZyI6IiJ9/eyJpdiI6IlduSjQ5cVFpcVFzQ2dqR0hhdjdNRkE9PSIsInZhbHVlIjoiSTNhUFVRRFl3UjZCNHpleW1HeWYyUT09IiwibWFjIjoiY2JlMDhhYjkxNmFiZDk1YTExM2Q0NTVlMTFhYTU3OWE4NDBiYTM0NzYzN2ZhMmVlYWI2OGMwM2FmMDBmNDQ2NSIsInRhZyI6IiJ9/eyJpdiI6IjR0MWxqb1BnKys5ZFh1UFVWcy92VUE9PSIsInZhbHVlIjoiaGNrenN6bHFPT2RlaDNkM1dVK2dUUT09IiwibWFjIjoiOThlNjcwZjliOTBlYzVkYTlhNzZiZjkzZDcxZWY0YTlkZjcwYzk3ZDY1MmU5NTM3MDM2ZjBmZTA5ZTU0OGUxYiIsInRhZyI6IiJ9
