state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Chhattisgarh,2023,DOMANLAL KORSEWADA,Ahiwara,Bharatiya Janata Party,True,798,DOMANLAL_KORSEWADA__798.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ii9LekRLdG5HQkYyeUdjUjl0OGZvV3c9PSIsInZhbHVlIjoiVldnRk5qQll1cW5ZanB0NXFadmRjdz09IiwibWFjIjoiZjRhNGZmMjVhNzNlMTk1ZGVkYmUzYmE5MWM2ZDU3Y2Q3YmM5OWZlMGJhNjMyMTY4YWRhMjU1MTcwOTEzM2JiZiIsInRhZyI6IiJ9/eyJpdiI6IndWa1NmaHFuMDk5clVrQWxEU1F0SHc9PSIsInZhbHVlIjoiTkVPL2lnZllRZkJpMk1rdGRlTXdIdz09IiwibWFjIjoiZjczMzZlMmM4NGU3YzUxOTgxNjA1ZGZhZTI0MzI1ZGJkZjE1MzQxMGFlNGMyMzkzYThiOGQ2MzQwYzkxNmExNiIsInRhZyI6IiJ9/eyJpdiI6IjJnRmllUXJyTTYvdW5vRTRIOGsycVE9PSIsInZhbHVlIjoia3FWMXBlVHJwdjliQzZpOHlzbG0wQT09IiwibWFjIjoiOTE3ZDk1YjZjZDk5Y2RjZGVhOTdlNDZmM2I5MTVkZjRiMmNhODlkMWVlMmUwMzdiNTk5N2JkZDY0OTRkZjI5ZiIsInRhZyI6IiJ9/eyJpdiI6IkM5dkNDL0Q0aGhsQ3ozNGN3QVFJa3c9PSIsInZhbHVlIjoidjJFdEc1WW1nOTBqTHRTWGNIVWg3dz09IiwibWFjIjoiOTkyMDFlZjA0MWUxNzQ4NzA3NTI4MDViM2ZlZGY4NTI0NjcwNGJhNzRkOTc1MzQ4Njc0ZjdkMTc4ZDUwYmNjMSIsInRhZyI6IiJ9/eyJpdiI6Ikk3TlkwSW5qVHZyYlVEUmhYRkhxbGc9PSIsInZhbHVlIjoiUURXdGNMTW5FSjRNTlVKV1RmUldBUT09IiwibWFjIjoiODlmZmQ0MjgzZDIxNTgzMDFhZGU5ZDc1OWM5NmQ4YjYwZGM1YzNkMWIyZDNkODM0MzJlYjRhYjIzMmYwMzE2MSIsInRhZyI6IiJ9
Chhattisgarh,2023,DIPESH SAHU,Bemetara,Bharatiya Janata Party,True,2940,DIPESH_SAHU__2940.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InloaFgxYWp0TnYzeGZUVTgrSEZOUXc9PSIsInZhbHVlIjoicC96N0xVOUZ5NUFNMGRpcnhGY1N4dz09IiwibWFjIjoiZTAzY2MwZTQyMjhkYzBjY2M5ZDFhNWY4OWRmYWE3ZjU2NDljMWUwZDM2MjE3M2U5ZTYyOWFlYTM4YjA5OGQ2MCIsInRhZyI6IiJ9/eyJpdiI6IjM3RGNQSUJ5WGV5eUR5Q0h1enJxNUE9PSIsInZhbHVlIjoiaDdFbW5kd0Y2bjVvZEh4NXl5YndZdz09IiwibWFjIjoiZWUyNjVkN2ZmOWJiMmRhNWJkZDQzMWRmOWU3YWZkYzllOTY3NDI2NTU2Njg3MmFmYTExODg0ZmYyYmNlZDgxYyIsInRhZyI6IiJ9/eyJpdiI6ImZvb2pKeWNKUEwrWk9GeWdpVDMxeUE9PSIsInZhbHVlIjoiRmJJNmJ3RUNXazFDOFpkQnA0UDBkdz09IiwibWFjIjoiNDAxOTBmNThiMGMyZWY3YmQzYmY3ZDg1OTY2NTJlNzhmMDdhZThkMWI0NTdjOTk1MWE3ZjlkZjViMjZlYzNhMyIsInRhZyI6IiJ9/eyJpdiI6Img0ZGRlQk5Da1BpVnFGSGhjL0ExS2c9PSIsInZhbHVlIjoiRWZham03NkNzWkk0VDZZaHpXVWZDZz09IiwibWFjIjoiNmY1OTQzN2U0NzU4NWU0YmZjMzFkODIxZjczYzQ0M2JkMjhmNTNiMzE0YmVlZmYyYWIyNjgzMDM0Y2RhMjU2OCIsInRhZyI6IiJ9/eyJpdiI6IkVXQ3N0Vlp1YWpBeVMwN2E3dm5qZXc9PSIsInZhbHVlIjoiVW1rR29pZW5mNUpGU3ZHVHhUWlk4dz09IiwibWFjIjoiMGU5MDk2NmY3NTdlZWQ1MTY5NTQzMGQ0MDJiMjgxOTljYjUwMTI0NGQ4Y2VmMjUxMzQ1MTUzYTA5MjJiMTFmZiIsInRhZyI6IiJ9
Chhattisgarh,2023,CHAITRAM ATAMI,Dantewada,Bharatiya Janata Party,True,29,CHAITRAM_ATAMI__29.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkFBT003NDhreHVvMHV6K3FxeThaM2c9PSIsInZhbHVlIjoiVGN5Q1YyMGo5UGhtY3drSUlFYTNBdz09IiwibWFjIjoiYzY5NWZmZDJiOGM0YTczNmMwZjcyNjEwMjdjNTU4MjIxM2U1MWFiM2UxYWNiZmNkZWM2YTlkOWRlMjIzNWE3MSIsInRhZyI6IiJ9/eyJpdiI6ImkxYjd2ZTZVcElFanVJNXZXUEpDS2c9PSIsInZhbHVlIjoid3JCc0xWUkZyMXRlbUpvQ1hYcHZnZz09IiwibWFjIjoiNTA1OWNjOTAyMjEwOWNkMzVkNWEzZTljOWU4NTU2Y2U3MWFmMzYxOWVlOTE4MTEzMTlmMTM5ZTkxYTRiZWE0YyIsInRhZyI6IiJ9/eyJpdiI6IkUrT2poT1FZVW9XVUtKdjVIbmUvRHc9PSIsInZhbHVlIjoib09EajN5L3diTlF0N3M1blYvZXNJdz09IiwibWFjIjoiYjBhZWQ4ZWFkYTVhYWJkYzZjNjU3ZTg4ZGE0M2M2NTAyM2U5MzEwZDMwNDU1ZGFiZDBiOWJmNTgzOTE5YmI5MiIsInRhZyI6IiJ9/eyJpdiI6IlN5SWZjWUFVYy85bFpySGcxM0lsSnc9PSIsInZhbHVlIjoiOE15TzNzMURYODJQYzdVVW1lVW8zUT09IiwibWFjIjoiMTY0MGQ5Yzg5MjNiMTFiYTc3M2NjNzVhZmIxMzY4MDRmNTEyMDQ4ZjFmYjBkNGZmNGJkZWViMWE2NDFmNWMzYiIsInRhZyI6IiJ9/eyJpdiI6Imt2U3AxQm1XS2V5MEtrcURBaTkxUkE9PSIsInZhbHVlIjoiOHZFVmVNekcyY3B2aTdwWElZK29IQT09IiwibWFjIjoiMzYzYzk1MWU2OWU4ZTFhMjhkOTk1NmQ2N2QyZjc5ZGRiNTAzNTIwMWUwOTkxY2Q3MDIxODU5M2E3YTBiYjU0YiIsInRhZyI6IiJ9
Chhattisgarh,2023,ANUJ SHARMA,Dharsiwa,Bharatiya Janata Party,True,2415,ANUJ_SHARMA__2415.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ikhoa1FsTlN4d0dxQ3I0K1h3ZFZBanc9PSIsInZhbHVlIjoiVXRDbllHOFIzTmhaZXF5TVYyVVlSQT09IiwibWFjIjoiOTYzNjlkZGMwOWRhZGM0MzEzNmRmZjhjOWFkMWI0OTJjOGIzZDczNTUwZTlkNTAxY2Y1MmEyNWM4ODRhNjgxMiIsInRhZyI6IiJ9/eyJpdiI6ImVBUks4MXE3NkF2ckxEdXl6TW9hYkE9PSIsInZhbHVlIjoiTWhzMTZKTE1uWXdxbEJkand1RXVhUT09IiwibWFjIjoiYzI4YjUzYWM5YmY2OGFjNzlhOWQ3OWMwZDQ4OTQ1N2VkYjZjNWYxMTBiNmVlZjVmZTEyM2YwMWNhM2UxYTZiZCIsInRhZyI6IiJ9/eyJpdiI6IjdsSlJmYzdzWitaVUlHQndDWTZpdlE9PSIsInZhbHVlIjoiRzNtUUxlWlJIaEdPMlIxdlJScXNUZz09IiwibWFjIjoiNWEzZWFjNDAwM2ExNmRkMzc1MWVhNDZmY2UyODM2ODlmYzhkMDE0NmFmZTI0ZWM1M2RhNTdjNmU4NTQyNDZlZCIsInRhZyI6IiJ9/eyJpdiI6IjhsTGhFV2l2YzhyUUxBcVRZNmJIbUE9PSIsInZhbHVlIjoiajllelJDUjZMOFBhaGErcWE3WFZSQT09IiwibWFjIjoiNDE4YjVkYjEyYmY4NjU1NDNkYjA0OGE2NTExN2Q5ZDBkMjMzOTY1YWU3ZmVhMzkzMTM3MjcwZjQ1N2U3YjExNyIsInRhZyI6IiJ9/eyJpdiI6ImlMMTVLUkVLVlgyWnYxQU16c0RsU2c9PSIsInZhbHVlIjoiOFM3OGVyMGNGTjRBNXlKaUo4Z0JiZz09IiwibWFjIjoiYjRhYTI2NzVhMjNlNTA5Zjc4MGFlYjk3MjE4NjkwNzIzMDAwNTUyZTMyNmQ1NDc0ZjljMjM2Njk2ZDFlNmVhNSIsInRhZyI6IiJ9
Chhattisgarh,2023,KIRAN DEO,Jagdalpur,Bharatiya Janata Party,True,10,KIRAN_DEO__10.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InVDZUg5dGhDdmYydHdsUVB4Y1NpSHc9PSIsInZhbHVlIjoieXdmRVRtMEM5bFVnVVlwZDNKTnB6UT09IiwibWFjIjoiMGYyNzhkYWYzNmI0Mzk0NmEyNzEzNDE5YTVhMWI3MjcwMmJkMzUzNDJlYjQ5Y2M3NDljZDRhMDUwNDZlMjMyOCIsInRhZyI6IiJ9/eyJpdiI6ImYrQXJYbWdGWDVMaU44MjRWbm0wK1E9PSIsInZhbHVlIjoiL2VsdktBdEd2eVpGeHc1NDRwaEw2dz09IiwibWFjIjoiZjU3ODg5ZDU4N2YxYTE0NTcyNjBiMTNkMmRiZTdlMDcyOGI0YTJlNTU4MmFiNWNlNThjYzA1Yzg0ODNlOGM5OSIsInRhZyI6IiJ9/eyJpdiI6IjMxMTBzMzRMWGQ1c2V4c1VKWmRQc2c9PSIsInZhbHVlIjoiMXBDVGdGQlpSWE1vSFRCMTM3S1BaQT09IiwibWFjIjoiZTJmY2M3ZGFkNjUxMmI4ZTY1NDNhNGUxMDZlOGZiYjdhMGM4NmEwOTViMThiY2I0ZTM2M2E5ZjNjZjhjYTllMiIsInRhZyI6IiJ9/eyJpdiI6ImtoYlRLSmxsSElJRjJYQXRMbDZONEE9PSIsInZhbHVlIjoiU1d2b0xsTjBkZWxuQnB0NG04NHZtdz09IiwibWFjIjoiNjkzZTAxN2FiM2NhYzAxYmU1ZWI2N2RlY2Y4OTYzOWFlODRkNWM2NzhjN2MwNWQ5OGU1NDRhOGE5YWY2N2VmNCIsInRhZyI6IiJ9/eyJpdiI6ImlXUEZDY0pTR1Y2eHFQemZLZndQNnc9PSIsInZhbHVlIjoicDRHd2M2bVkwTFRjQWdOenNnV1VjZz09IiwibWFjIjoiMGY5MTQxOThhNmQ0OTM2YzZiZTJlNTcwYWMzMWVlNzY5YWNmMTk5OTNmODY5ZWJmMTVjMzk1Nzg2ZDBkZGFiNCIsInRhZyI6IiJ9
Chhattisgarh,2023,KRISHNA KANT CHANDRA,Jaijaipur,Bharatiya Janata Party,False,679,KRISHNA_KANT_CHANDRA__679.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjlwWS9pMmRnRjBLeTVSN0ZBeW9KYUE9PSIsInZhbHVlIjoiNE1Sck1NZkZibjlIeUp1aFByYVpoZz09IiwibWFjIjoiNzU3ZjViY2FiZWYxNjFlYWRlZmVkMzg3YzQ5YmI5ZGZiOGM5NWJiNzYwNDk2YmU1MTg2Njc1YTUwODU0ZWRjOCIsInRhZyI6IiJ9/eyJpdiI6Ik13ckErRWdWWm9UcDBtbEU5SUp3Z1E9PSIsInZhbHVlIjoiYnhJWkttRFFKOGREVXJzRDVWWk50UT09IiwibWFjIjoiNzM5YzBiOTZlYzgwMThmZWVhZTg1MDA5ZTU4YmJhYWJlZjE5MDljN2FkODVlMzZlODBlYTE0MmVmYzcwOWVhZSIsInRhZyI6IiJ9/eyJpdiI6ImZLYVhKS1JrdDF0OUVkNENHL0dDQkE9PSIsInZhbHVlIjoiaW5uTHAyK2hoSFIrbVdoTUM5dGxHQT09IiwibWFjIjoiN2ZlZmFhNjMxY2JmOWNmZjEwYjMzN2Q4MGM5MjExNjZmYWQzMzUwZTFlMzVkZTZiNmIzMDMyMDc0Yzk4YjcwNiIsInRhZyI6IiJ9/eyJpdiI6IjFLdkdEcmM3WDNTNFEwTUFSbGpKcUE9PSIsInZhbHVlIjoiSWZaWXNscVRsanJlNjRZVzA1WTB6dz09IiwibWFjIjoiNjk4Y2M4ZThiZWI5YTYzYmFhMGJjNGUwZGRhNDk4NjRhOTZkN2RmYmYyYWMxZDU4OWExYzYyYWYzMTYwMWJmNyIsInRhZyI6IiJ9/eyJpdiI6Imp0OGVtNHhPeUd5MExmeFNMKzl5V3c9PSIsInZhbHVlIjoiaVhKRkxtOStzWU44Skk5VUhHVURzZz09IiwibWFjIjoiMTAzN2NlODFmMThlMmNkMDNlMjk1ZTFmOWMxMzlkYjBjZmI1OWQ2MWEzZTk0MGU5MmM0OTFmMjEzYTM4NTkwMSIsInRhZyI6IiJ9
Chhattisgarh,2023,GEETA GHASI SAHU,Khujji,Bharatiya Janata Party,False,113,GEETA_GHASI_SAHU__113.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkJwUHlBUzBQKzFNbEhIKzFmVkNTRXc9PSIsInZhbHVlIjoiYXBZakJON0wvYm9aVzE4OEF0QlhNdz09IiwibWFjIjoiNGMwNGI0NGIyYTFkN2ZlOWQyZTI1NDRhMmVmNjk5ZGFlMjU2MjRkNmQ2YWMzOWQyMmM3Y2Y4NjA2ZjczODAzMCIsInRhZyI6IiJ9/eyJpdiI6IjJ3OW40cGpWTWZDa3VhVXFNdWN4bFE9PSIsInZhbHVlIjoia2w3M0o1NzBoYW5MRU1VZWxEOWlpdz09IiwibWFjIjoiMmVmMjM0NDY1ZDUxNzc2NmU1YzkzZTkwZmE5YjcwYjk5ZGFjYWJkMjZmNjZjYzIyNDJmOGQzNWZmMDE5YWQ3ZSIsInRhZyI6IiJ9/eyJpdiI6IjlhTzd3M0xFNEZIR1p6NGJ2M0d3ZXc9PSIsInZhbHVlIjoiVEliTGNMcHAvMTBJVnE1QlN4d1diQT09IiwibWFjIjoiZGE3MWU5NmIwZTg4YjQ2YjU4MzRjN2EzMzJhN2MwMGVlMjFiMWRhOTQ3ODhiM2E0YTZhNTcwNjc4ZTc5M2YxZiIsInRhZyI6IiJ9/eyJpdiI6ImEzR1RuVFlQY3FjUDZWTHZYR1o3Z2c9PSIsInZhbHVlIjoiWkUwODlyak1YZzkvRlMwUnAxTThCQT09IiwibWFjIjoiNTE4OTE1M2UyODQ2MzRkZmU4NTk2NTc2ZTIyMmU5ZWU2Zjc5NmRkM2VjZDhjMWJmODA3OTkwNGI3YzkwYTUyNCIsInRhZyI6IiJ9/eyJpdiI6IjBaSHdwWjBGay9BcHJVZS9QQVlhN1E9PSIsInZhbHVlIjoiN0NldFlkK0dENDFEbVpJRWRhd21oZz09IiwibWFjIjoiMjM1NTBlMDlhZjY4MDUyYmNlYzEzMTFjOWE4ZmU5ZjRhMWY0N2FkODM0MjBjMzc3ZDZjOWZmOTkzNWQyMDcwMSIsInRhZyI6IiJ9
Chhattisgarh,2023,SHYAM BIHARI JAISWAL,Manendragarh,Bharatiya Janata Party,True,2772,SHYAM_BIHARI_JAISWAL__2772.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjA1bEphdldFRUNrVHNZWC83YUt2cVE9PSIsInZhbHVlIjoicFZ0NmF5NVY3UlIxaDROeDZ3ZWRRZz09IiwibWFjIjoiOGU4ODkyYmFkNTQ1OWM5NjVmZmYxNWYxMDJjMzgyMzgwNjVjMDQ5YWNlNTJjN2M3ODQ4ZDI0OWM4YjU1ZDhkNCIsInRhZyI6IiJ9/eyJpdiI6InA2UXcwMW5GQ3E1R2w2UnhCT0hrQlE9PSIsInZhbHVlIjoiU3g0NFR5ZnFJd3p6L3pxeFJ4WDc1dz09IiwibWFjIjoiZTAyOTllOWJjZDkzOTg1MWVmMmM4ZTdhZDg2OTQzMTg4NTNlZDQwZjU0YWFjMzdjZTc2OWIzMTJjNmY2MDhkMiIsInRhZyI6IiJ9/eyJpdiI6ImNlZnVrbytzQ0VkcVhBUnFFNXF4TkE9PSIsInZhbHVlIjoieVRyTTlTZXh6MTUycHV0UlRMUzZvdz09IiwibWFjIjoiNzk2N2M2Mjg1MjA2MzIzMDhlMjViMDVlODY0YjljMzA0OGI5ZDJkNzczMWJkN2YwM2IxN2FhNmI2ZmQzZmU3YyIsInRhZyI6IiJ9/eyJpdiI6InVHT2xRczA3bnN0bDRJaEZOYW1wRGc9PSIsInZhbHVlIjoiRk1oelVwVkovN2xYbFpMTFBRYmFQUT09IiwibWFjIjoiMTc1YTAyOTk1N2JmMGU4ODgyYjc4M2UzYTgwY2E4ZjBkMjcwNWY4Y2YzZjFmZWEwNWVlMDFmZmI1YjgyMDJkYyIsInRhZyI6IiJ9/eyJpdiI6ImRRVlk4NW5CalBONnpDRXlVWGEwS3c9PSIsInZhbHVlIjoiS3FyRWZ3OERuVjd1d0NieDdVQnB5QT09IiwibWFjIjoiNzEwMDQxZWZjNjBmN2IwMWY5NzViMTE5ZDg5NDMxNWM2M2E0N2ZlZTMyNTkxYTM3YjRmODhjMGNlZjFhYzg4NCIsInRhZyI6IiJ9
Chhattisgarh,2023,SANJEET BANARJEE,Mungeli,Indian National Congress,False,1394,SANJEET_BANARJEE__1394.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InRsRmcxbThlVDd0aWJoTWczd3BYa0E9PSIsInZhbHVlIjoiOFBNRkFaNm1BY0lrbnA4SFFiTlcyUT09IiwibWFjIjoiMjNiODJmMjNmMjQ0NzdiODM2OGVkYmNhNTVkY2MwZjdhZmFiNWE5YTlmZDNkZTFkZjllMzFlZGFhZTM2MDNlOSIsInRhZyI6IiJ9/eyJpdiI6IlBZamNJVTJFQXNNb2NTVUxienY3Q1E9PSIsInZhbHVlIjoiYTUxUkJtaFJ2R0R6VFlzK2tBc2VaQT09IiwibWFjIjoiNjhmNmY4OWZmZjBlZmJjYWU0YWUyMTI3N2QxMTE1NzEwZWU4MzM1YTg5ZTU2N2VkYjVhYjI4NzYzY2YyMTNiYiIsInRhZyI6IiJ9/eyJpdiI6ImxKc3N1Y1Zjc053eTN4VEdOMy9tcWc9PSIsInZhbHVlIjoiOXVMRmJITElMdUJLekl6SUdWcFkxQT09IiwibWFjIjoiNDY5ZTcyMmU3YjcxYTM4NTJiZWM3OTRlZGUyNzNmYWExOGNiYzQ4MzliZDA2YWFmYmRhYTllMmYzOGM3ZmRhYSIsInRhZyI6IiJ9/eyJpdiI6IjAxT1c1a0tHZWd1Y1h0dnhacDk2Y2c9PSIsInZhbHVlIjoiY3JJZkFNMmtTUHJPUnhIakZOOFAxQT09IiwibWFjIjoiY2VhMGUwM2ZiOTFiZjdiODM1YzFlMzc0MzhlYTAwYTIzMzRkY2E4M2YyMjE1Njg3NGFlZjI4MjNiODk4NzQzMCIsInRhZyI6IiJ9/eyJpdiI6IkUzZ0Z4RE51U0lCbW5KYmRqQ1V6YUE9PSIsInZhbHVlIjoiU2xERXVLZG1nUVlMV21Cc2xCczFrdz09IiwibWFjIjoiNGEzYjNjODIwN2E4ZDE3OTRhMzVkNmExYWQ3NWY1OTIyMDMwNGRhOGY0MGQ3ZmMxODBhODlkYjcxMWIzZGYwYSIsInRhZyI6IiJ9
Chhattisgarh,2023,RAMPUKAR SINGH THAKUR,Pathalgaon,Indian National Congress,False,1269,RAMPUKAR_SINGH_THAKUR__1269.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImNKMDVFNDBTbkFtYjRtVnJkaHUzS2c9PSIsInZhbHVlIjoiRkxoZGhGYzZwTUJGRDIzNnlWRnN5QT09IiwibWFjIjoiNWNkZjI5ZjE0YWU1NzMzNDZjODU2OWVjMTE0NWE5NzVjZTBjZTQwYmE3ZTUzY2EzYTJmMzRiNTYxNmNhZmQ1YyIsInRhZyI6IiJ9/eyJpdiI6IlRUL0plTTdYbVVYd0NhTlFZdHVRSnc9PSIsInZhbHVlIjoiOVhLWURPZ2xERExna0JoaitLclNtUT09IiwibWFjIjoiZjI2NTJmZjY0MzBlOTM1MjMwODdkY2E5MDViYzQ1Zjk4Mjc4NDQxYWE2OGQzZjAyZGQ3ZGZjMDVjZjBiODhiZiIsInRhZyI6IiJ9/eyJpdiI6IlcxNEtUaml6cFhRVnduVmRTQlFZTlE9PSIsInZhbHVlIjoid3ZKa29VOWdOUjA3eDhiWUVDT0NIZz09IiwibWFjIjoiMDc4N2VkNGFkZmQxNDc0MDYzMTVlZmRiOWM3ZDlmNjQyODVkMDc3Mjc4ZjdmOWE4ZDJhMDA0Mzk2MjJmZDA5YSIsInRhZyI6IiJ9/eyJpdiI6Ind2MVJlc1RKZTNqNkUxeHpXUGdKdWc9PSIsInZhbHVlIjoiTHZ6eGNXOEpqUGlTMlh2bVVCL2xMdz09IiwibWFjIjoiMTNkMDFiNmI0YmNhNTVlM2FmYzQwYzg0OWY2NjJhNDQ3OWY5NWY3OTMxMmZiMTVmZTRiMTk2NzYwMjZhYTMwZiIsInRhZyI6IiJ9/eyJpdiI6ImpBYXRxUjU4UlBNamh2RnU3RXFMTGc9PSIsInZhbHVlIjoiNmtES0hNYk9HL24zeGsyTFowV3pndz09IiwibWFjIjoiNmIzY2E2M2IwM2YyZWFmYjNlYmQyMmFlNzY4ZTE1YTE5NTM4NmRhNDlhNDliYTI0MWI4MTgxZDRlMTYyM2U5MCIsInRhZyI6IiJ9
