state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Delhi,2025,ANIL KUMAR VASHISHT,BABARPUR,Bharatiya Janata Party,False,1100,ANIL_KUMAR_VASHISHT__1100.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ild3d25lVHNrSnNucVBza1NvcVZDQnc9PSIsInZhbHVlIjoiOWI1VjlwUjBJcCtmWVZCV1ZPT05DQT09IiwibWFjIjoiYjc5OTI0YjRjYjIxNTMzYTE4ZjMwZThlMzM5OWNiZjFhNjNmMGY5Yzg5NGQzZTQ5ZTJiNmVmMGU3Mzg0ZDBjNiIsInRhZyI6IiJ9/eyJpdiI6IndxZjVvTTlBUWtxby9Sd0pLODYvWEE9PSIsInZhbHVlIjoicTNoanVwc3M1MytsVHloNmZiMHE0UT09IiwibWFjIjoiMjk5OTllOGFlNGZjM2U4NjgxZWQ0N2E5MDllYTk0NTNjYTMzZjNhNzhiY2NkYzY1ZWU4ZWY0MjJjYWU4OWI3YiIsInRhZyI6IiJ9/eyJpdiI6InRxSENEd2VqRWhSVmJYVFVVOVh1OFE9PSIsInZhbHVlIjoieG5XVUxVNk4wMFZoZkRoKzU3VGJWQT09IiwibWFjIjoiN2Q5NmEzZmE3ZmM4MTIzYzEwMzBhOWFkMzkyMTA0ZWFhYzJiZGE1NDU5YTI5NmY5YjNhMDRjYmIyZjQ5ZmFmMyIsInRhZyI6IiJ9/eyJpdiI6ImQrcW90Vzdjb2YwM3ZEa3JCVWoreWc9PSIsInZhbHVlIjoiaS9QTUlGNjNjbWROazRKRFY2OW1YQT09IiwibWFjIjoiNWEyNWY3NTVmN2NjM2Q3MzExYTcyMDFhMmVlMzBhNjNhNTZkZjY4YjM1MTU5YmE1MmI2MGM5YzZlODdiNmQ5OSIsInRhZyI6IiJ9/eyJpdiI6InJhVTJqczZMS0IwUVB5SUVYbHZ0VFE9PSIsInZhbHVlIjoiQ3YzK3IwNGdwWUxTZ3hFNWpjYzlndz09IiwibWFjIjoiZTdhNDNkMTcwYWIzNjNkZmNiMDE0ZDQyY2NkY2I2MTg2YjA0MzBjYWU5ODQ3YmY2ZjZiYmIzMmZkMTE0ZTU3NSIsInRhZyI6IiJ9
Delhi,2025,MANOJ KUMAR,BABARPUR,Akhil Bharatiya Socialist Party,False,1519,MANOJ_KUMAR__1519.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkE2TFAwU00rT0NKb2JTczRWQmNYb0E9PSIsInZhbHVlIjoiMk1uNVVHMlZ3VXVaWDBiUDVNL0o4dz09IiwibWFjIjoiYTllOTU0YzNlZjYwMjhiMjJiMzU1NTEzZDIxNTY1MTVkYzUwNDhkOGRhYjBhNzUwZTg1NTJmOTYzODk0NjJhOSIsInRhZyI6IiJ9/eyJpdiI6Ii9zbzVTWHErK0ExZXgxU2RwMU5jREE9PSIsInZhbHVlIjoiVTBkRGxRenBlbUp2WVpQUG9GLzVVdz09IiwibWFjIjoiMWUwMjk2NGZjOTA3MzA1YTgzMmNmMjU5OTRmNTc0ZmI5MDQzZWY0ZmNlNzUwMDJhMDJmNTMzMWQzNzI5ODUyNyIsInRhZyI6IiJ9/eyJpdiI6Ino4MElraDNObDBxanFaaGdxYVVlV3c9PSIsInZhbHVlIjoiWjhRNGtJRVViay9zWWt2ZWdzNXFpdz09IiwibWFjIjoiNDA5MTdiNzg5NWE1MGZkMmQ0MjUzNzIwOGI4OWYyODQwZDBlNzc3YTkwOWEwNzhmOTEzZmYzMGE4ZjMzNzA0OSIsInRhZyI6IiJ9/eyJpdiI6IkJZWU9ub2t3MkxzeUk2bHVyUnZXNVE9PSIsInZhbHVlIjoiNWVLRkM0VHJYLzkxcjRRdVlPZ3Vrdz09IiwibWFjIjoiOGMzMjdiODJlMjcyZTYzYWQ1YWE4NTJiZTk0YWU0ZmYwNzk3NDRmYjMzNTAwYzg5OTQ4ZGMxZGRkM2VlZDQ0ZiIsInRhZyI6IiJ9/eyJpdiI6IjNNWlluZW1nUGdXb0E1REtqYlNjZkE9PSIsInZhbHVlIjoiQ29zbll2Q1FRTWJNOEkvVSt1bDFRZz09IiwibWFjIjoiZDUyYTMxNWJkMDc3OTAzNmI2ZTE4NTQxMmQ4MGYwOTFmNGY2MDlmMjY4NzI5YmViNzFjYjNlYjIxZTc2NGI5YiIsInRhZyI6IiJ9
Delhi,2025,SURENDER KUMAR,BAWANA,Indian National Congress,False,696,SURENDER_KUMAR__696.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImRjanVXS2xrb0JsUzlrWjhKMmJMY2c9PSIsInZhbHVlIjoiUTBwRFFYOEJxRDJDOGZjZHlBdTNoUT09IiwibWFjIjoiZWMwMDZhNmMwMjZjZGQ2ZTU2YzI2MjVkMDQxMmJhZTNmZmYzMTY5Y2VhOGNkOTY5NzIyMGRiYjZmMzAwMDZjNyIsInRhZyI6IiJ9/eyJpdiI6Ijl2amNXT1lRd2tQeTh4NytFblV0R3c9PSIsInZhbHVlIjoiWDdaRXR2NjFkQlBkU1Y2TUg2Yi9Idz09IiwibWFjIjoiMmMyZDZlYTA1ZTdlMDVlZWExMjcxNDc0ZjJhODExMDI5NzI0OWI5YTQxMzVhODRmODM0NWQ0OTljYTcxYmY1YSIsInRhZyI6IiJ9/eyJpdiI6InFSTnhDYTZab1BJTzVNN2JCTTdiMlE9PSIsInZhbHVlIjoiWkxKSFR0aWVzYmhad25tb1IrOUs3Zz09IiwibWFjIjoiM2Q4Mzc2ZDJmMDBkNWM4OGNiOGRjOWNjOWFlYTY5YWZiMzk1OTI5Zjk3N2Q0OTg1NDNhYjk2YjQ5OWVmNGI3ZiIsInRhZyI6IiJ9/eyJpdiI6InA3U3B6QmlmZGlEL1FoYi9oa2Y1MFE9PSIsInZhbHVlIjoiczcyKzgwMERWQ0ZFRTJNemQvWkh5Zz09IiwibWFjIjoiYzBkOTBlZDA3MmViYjRiMGY3MmJmNzc4YTRjNTYyYzVkYjIwNWU4MzA4NGY4YzBlMTVkYzEyMTkwNmQyN2JhMiIsInRhZyI6IiJ9/eyJpdiI6Ikdyb0xPWTI4cnJueFZjRU1vaWxGaXc9PSIsInZhbHVlIjoibkNBMnNWakQyVjVMd0lkRnRmakNDUT09IiwibWFjIjoiZWI2MmRmNzlkYWVlMTljMTVjNzcyNjI3NjE4YWJiNmU5MmYyNjQ4ODVmYWMzMTAxNDc0MDg2OTkwODZlN2IwOSIsInRhZyI6IiJ9
Delhi,2025,LALITA TRIVEDI,BIJWASAN,Bhartiya Krishak Dal,False,1847,LALITA_TRIVEDI__1847.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlNTbEhkTDIzT2EwZE9nb2NTMStBZHc9PSIsInZhbHVlIjoiRmRKU2VLaEJySVUwMWlqSURqOFQ4dz09IiwibWFjIjoiZGQ3NjBiYmYzNDcyMmMyNjllMTM1NzFhNGFiMjBjN2IxZTJjYWQwZmQ5YzBkZDQyZGYzNzNkODY1ZTRlOGYwMSIsInRhZyI6IiJ9/eyJpdiI6IktkS25JNTVWN0ZsOS9SYTE0UE8zM1E9PSIsInZhbHVlIjoiMkVGNk9oVldFYWhEZlJybW4vR1lYQT09IiwibWFjIjoiZTg0MTlmODY2YWQwMTljMjIwZTNiYjVmMDM0OTNlZTQ3OTgxMDU0ODUyMjRiYWMyNWUwNmJhOGU3NzA2MWUxMyIsInRhZyI6IiJ9/eyJpdiI6InpYZmFwM2xJeHd0STZ6MVRNc3dDSlE9PSIsInZhbHVlIjoiT2ZRNGp1V2JkTEh3MEFLYSsxOUd1Zz09IiwibWFjIjoiY2QwZDg0YWZiMDJkNWY1NzhkMTgxOGUyMGQ0MzA1YTUxMzI5ZWYwYjdhNjFhYmFjYjRhODY3NWNlYjhhN2QzOCIsInRhZyI6IiJ9/eyJpdiI6InI0VjR4b2x2MGFIM0dnQmZjRVlSY2c9PSIsInZhbHVlIjoiYnFHOTFDeXpmOTZ3ZERCVE9DNmhydz09IiwibWFjIjoiZDk1NzAzNTNkM2YxMzA2YTJhOGZjZDA3YjQxMWRkNDE1MDU4YjNiMDJhYzMzN2E5Y2I5NjBmMDhlNWQ5NmIxYyIsInRhZyI6IiJ9/eyJpdiI6IjVUSzRvYUQ0aG9GaUtWczE5YkhNTHc9PSIsInZhbHVlIjoiMG16UXRYL0drbFBlTVpJSzZZNFhRdz09IiwibWFjIjoiZTIwMzQzYTlkMjYzMjVjNDAwMTE5MzYzNGQ0MGYwNGEyNDdmNWZjMmMxNDJkN2Y1Mzg1NDY0M2IwYzJhMTAwMSIsInRhZyI6IiJ9
Delhi,2025,SACHIN,DELHI CANTT,Bharatiya Sampuran Krantikari Party,False,500,SACHIN__500.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InRQRnRpblZ4RUlGWHZ3Y1VSNXdUZ3c9PSIsInZhbHVlIjoiSVFUT2tvNnRkVHRoODNqQzIrZVFYQT09IiwibWFjIjoiNWE5OWM3MzZlYzAyODRjNzY1ZmQ5Mzg3MTI3ZmQ4MzAzMTk3MWMwOWQ0N2ZlZWUyNDJkMTk2YmVlOGZiNjA5YSIsInRhZyI6IiJ9/eyJpdiI6IkVBRjdHbEc3MXc3RE83WnB2M01NQ0E9PSIsInZhbHVlIjoicTEvRWsxTlhtdTNUUW14RnYvZnNNUT09IiwibWFjIjoiOWE5MTdhMTZkMTQwOTU5MjU4MGRmZDlmNDVjZDFjNzI3YmMwZjZmNDAzODI4MDI2NDZhZjQ4MzdhNGYyMTBlYyIsInRhZyI6IiJ9/eyJpdiI6InBWV1RtSy8xTWxUVGgxUXJPL2xXUFE9PSIsInZhbHVlIjoiUUNNb3VUUTdvRUZ4RjhScExzeDRmUT09IiwibWFjIjoiZjRmYTMwYzIwNWI5YmMwZWEwNzFkNzE4MWQ3M2JmMDM1YzEyMWM4YjkzZDM3NzRkODlmMTYwMWNmZDliNDYwMiIsInRhZyI6IiJ9/eyJpdiI6IktjQnp2dERkRVFuWXVVRTZhU1VnSFE9PSIsInZhbHVlIjoiTUhLajYwL2JwbVcyRTR5SVdsdUxzZz09IiwibWFjIjoiYmRhZmY5NGRkYWIwNTc2NmQyYWZhMDMwMjczMWFiYjk4MjEyYjcyYTQ2NTQyOTc5Yjg0MDY2ODNhMjVmNzBkNSIsInRhZyI6IiJ9/eyJpdiI6Inp5M0RaUzZFSWVBRnk2bVd0aEJmUUE9PSIsInZhbHVlIjoiYTJidVhKV2J6cmhuRnV3Z0tHZXBBQT09IiwibWFjIjoiY2RiZWQ5YTRkMGJjZjdjYTZmZTc3MDhkMWY5MGYxYzgwYTRkNjYxYTUwYmY0MWU4ZmVjNzJiMWYwZjEwMzE5YSIsInRhZyI6IiJ9
Delhi,2025,ASHOK JINDAL,DWARKA,Independent,False,880,ASHOK_JINDAL__880.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkdZamFBV3VJNDlpRUM1RmJmVjFtM3c9PSIsInZhbHVlIjoianN5Uk1icXNIaWwvZzltaVdDRWZVQT09IiwibWFjIjoiMTdiNTQwMThmYjMyMzc3YTM2ZDE2ZGFjMWYzOWVhMmRjZGM3YWYzZWUyZGY4MGQ4YjYyN2U2NTNjNmUyODI4NCIsInRhZyI6IiJ9/eyJpdiI6IlZqVGNGQTlyOEttUmJoMWhueFlRQ1E9PSIsInZhbHVlIjoidHN1L3A3Wnludk1vNndoUnhvbUYvQT09IiwibWFjIjoiYjhhYjA1ZGE5ZGVmYmEzMDI1NzhlM2UyNDM3Yzg1M2U4ZmRhMDM2ZjVkNmE0NWYwODA2NDRjMGExNjQzMjEzMSIsInRhZyI6IiJ9/eyJpdiI6InBYNnRsYUtKVnNBTkRZbVJMV0tSMGc9PSIsInZhbHVlIjoibDRMQjVVemgwU3BTcmlQdG1PRmFqZz09IiwibWFjIjoiNWM3MWMxMTg0Y2VjMzAxMTk3NjFiMDRiOWUyM2Q3MmEyYTk1OWE4ZmQzM2NjZGYwMjIyZDcyZWQ4YzhiMmI5MSIsInRhZyI6IiJ9/eyJpdiI6IlE3Z0d1S0ZsWDAyeEw1dm5KcDQxRWc9PSIsInZhbHVlIjoiKzNwdXR1bnVBLzZPaDUvdFc5akhNUT09IiwibWFjIjoiYThmMjg2NDliZmU0ZTA0Yzk4NTc3ZGZiMWU4NWZiNWZhY2U0YTA4NmUxYmVhNjVkM2YxOTg2ZmM0ZjEzNjgxZiIsInRhZyI6IiJ9/eyJpdiI6ImVWUS8wdXg2MTd5cXNVdUpxZWtLamc9PSIsInZhbHVlIjoidGNqdHVHQjVPTCsxR2xVRnV4ODBtZz09IiwibWFjIjoiY2FlMjc3OTg1YmYyZGFhZTFiMGFmZDM1ODczZDE4ZTQ0N2M4NTE5Y2YyYzQ1ZTU3ZjVjMGQ1MDVmODM0NDczNiIsInRhZyI6IiJ9
Delhi,2025,BIR SAIN,GOKALPUR,Bharatiya Sarvodaya Kranti Party,False,1263,BIR_SAIN__1263.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InJQaENKQnpwS1BqQmlBbHlBcEozVWc9PSIsInZhbHVlIjoiYTdKMnUxTE1BZ0txMXNXTEFWTzR1QT09IiwibWFjIjoiMDBkYTJiOTUxOTk4NjkwMGNiNTQyNWNlM2M5ZThhYWVkZDNmN2YyZDM2NmMwMWI2ZmMyZTI1MThkMzFhYTM2ZiIsInRhZyI6IiJ9/eyJpdiI6IjQ4bWhrUm5TL3VmVTNlZTJVU0V1V0E9PSIsInZhbHVlIjoiWmFBZGJ3OXhVNlc3MXZzQlA1WXNpQT09IiwibWFjIjoiN2MxYmJlNGJkNjEwMDZjMjYwZTNjNjhlMTAzNWEzZDRiYjU4MWRjZjA0YjE4YTAyZTQ4YjUxOGZiY2Y5ZjQ4YSIsInRhZyI6IiJ9/eyJpdiI6InhGanduWTZvaG5DaWgvQzZKaC9ZWmc9PSIsInZhbHVlIjoibHBTc2JQbi9JRXNnbC93ZWFzdjBJQT09IiwibWFjIjoiZTczMjViMWU5YmRiYmM2NjZkM2NlYjk2ODMwZDlkZTcyNzU3NWQ0NGY3Y2RiY2UwODFmZGY3MTYwY2E0Zjk1MSIsInRhZyI6IiJ9/eyJpdiI6IkwwMjRHYVl4UmRRK2RvV0lWUGliUVE9PSIsInZhbHVlIjoiSGdtTGtkdGNld25UM0wrRTZ5eXEydz09IiwibWFjIjoiYjU3NDVkYWMwNGNhNTI2NDhhNmQwMzlhNDdmNzViY2ViNmYwYTM2NmRiMjZmOGJkNDgwNzZmMzBlOTk4OThmNiIsInRhZyI6IiJ9/eyJpdiI6ImhMZk5pcjZZSGFiVW54dG9VOHZLd2c9PSIsInZhbHVlIjoiRi9uQVRxOGh3cVpENXN2MmxuZFFLUT09IiwibWFjIjoiNDRhZDQ1OTk3NzFhODI5YzI4ZWY3NTQ4YjMxNzc3M2Q2MDZlZjA0YjM4Y2E1ZDc0MjA4MjIyMTgxMjMxODA4NSIsInRhZyI6IiJ9
Delhi,2025,MANJEET SINGH,GOKALPUR,Jan Samuh Party,False,1214,MANJEET_SINGH__1214.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImI2TXNoOFZkMkRvUWlJL2hTZSs0QVE9PSIsInZhbHVlIjoiOWV4K3NBUjdJWUtOMmhhd2tZRGFHQT09IiwibWFjIjoiOTliNjAwYmEyMzNhZmNmNTFkOTE5N2M1NjVkYTdiNTVhZWQyYjI3M2ZlNzE1ZmE3MGZjZDc1ZWE0ZDllNGE5ZCIsInRhZyI6IiJ9/eyJpdiI6ImdQY0FpeFJlRENmL2lYUEJ3UWlLQXc9PSIsInZhbHVlIjoiRk5RREg3OWxoWTZjcHRsbjNHSktuQT09IiwibWFjIjoiZDRjYTIwZDViYjM1MzQyM2UzZWY2MzRmMTdlYTdiNGQwMDg1OWJiODNhZmZhNjQyY2RhM2NkMWU1MjQzN2M5ZiIsInRhZyI6IiJ9/eyJpdiI6InI1QW54S3VaRzNxQ3pZNnJKYUxkOFE9PSIsInZhbHVlIjoiMkcyNCtPY3l1d0JNVEk2bS9LbUJNdz09IiwibWFjIjoiYWE1ODBiYjAwMDBjNTJiNTRhNDI0ZTJjODg5NDc3MmQwMWQ5YWEwMDQ4MWQ1ODY2MGI0YzhkNDI3OTE4NjZjZiIsInRhZyI6IiJ9/eyJpdiI6Ilo1YTNwNGxEc0J5ekgxVHEyRWFyNVE9PSIsInZhbHVlIjoiZHlvM2srbEw1NFd6R1ZaT05DNnBOQT09IiwibWFjIjoiNWIxZTdkZjM5MGJhNDc4Y2ZkYzVkNGI3MmI3ODQ4YjUwMDZmNzNkZjJjOWE5YzY0ZDYzNGYwNjczNjBlZTMxNCIsInRhZyI6IiJ9/eyJpdiI6IlVvT1Y4NTN5SExMUXo1akNFT2VqNnc9PSIsInZhbHVlIjoiWUNkU25zSDZ1OVc3cWxncXh0TERVUT09IiwibWFjIjoiNTI5OGU2OGJiYzNiNmI1ZGUyMDU1MjdhYWIxNjMzNDEzMDEzYWE0ZmE4NzI5OGIxNTFiYTA2Y2U3MjRmMGI5ZSIsInRhZyI6IiJ9
Delhi,2025,RAKESH SAGAR,JANGPURA,Blue India Party,False,1913,RAKESH_SAGAR__1913.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImlteUVnVHQxaXRhNUo2SWxFN3lkcUE9PSIsInZhbHVlIjoiQldtZ2ZYNC81YWN3QjBodWJZVStFZz09IiwibWFjIjoiNTI1MmUwZTc0NWEyZDYxZjY4MDdiY2IxMmQ4NWIzN2Q1ZTI0YzA3M2MwNDM5MTlhNDFhYWQ0Yjg2YjMyNDZlOSIsInRhZyI6IiJ9/eyJpdiI6InI4Rk1yczVicDkyOXpFc0Z5Zll3TWc9PSIsInZhbHVlIjoiR0IrVGM4L0xiYVVyY1ZPTDdtN0hPZz09IiwibWFjIjoiOThhNDM0YWIyOTVhM2Y3NTUwMWJlYTkwNjc3YjUxM2IyZGNjZDI0MjQ5YTY1MmEwOTIzMmUxYzJhYzQ0MGZlNiIsInRhZyI6IiJ9/eyJpdiI6IkVyZjdsZ2pOd0FCZ3lmNk5iS2VWM1E9PSIsInZhbHVlIjoiYkh1VlpHYk9BYURIekpueFZFanp0Zz09IiwibWFjIjoiYTFlMDFiMzkzYjcxOTYyMjI5ZDRmYzg4NTk2ZTA3OTExYjQ5NTZkNDQ5MzAzNGMyYTI0MTgwNzVlNzM0YjA4YiIsInRhZyI6IiJ9/eyJpdiI6IkVnZnN3c3YzQXJlaHFOb2dVSkN1YXc9PSIsInZhbHVlIjoiNFc0eENpOHg1Q0E5OGlkb2tobG5ldz09IiwibWFjIjoiMjU0YzRkMTZhYzY5MTM0ZDAyNGE5MjgyZDM2ZjM0MDk0NmVlODVhYmNlOGYwZjIyNzgyOTc4NmYxOWQ0Yzk2YyIsInRhZyI6IiJ9/eyJpdiI6ImlySEk3MzN3c09pYnpJSmJZa0xvdmc9PSIsInZhbHVlIjoibnR1NEREeCtnUWxXdWV4YzVPU1A3Zz09IiwibWFjIjoiYWQyOTMwMDczOTIwNWQzMzY0NzkxMjczYTFiZTY1MGFjODdkYWQzOGRmM2E0NTk3YTU3ZGJhMWQ2MDNhYWY2YSIsInRhZyI6IiJ9
Delhi,2025,RAJAN SINGH,KALKAJI,Aam Janta Party (India),False,209,RAJAN_SINGH__209.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImIrSHpHeFJhdjRGQW9UUzNwMnNlQUE9PSIsInZhbHVlIjoiNVZXSE5xbjBJc0x1Y1lkRVVjUU5idz09IiwibWFjIjoiZjBjZjM2ODIzMDMwZDQ3ZTU1YzFiODg0MjM2MzViYTI5Y2JhNzFjNmY3ZGU0Yzg3MzZmMjFjOGE1NTBmYmJkMiIsInRhZyI6IiJ9/eyJpdiI6IkgweWpST0FXb1M1NFJHQm1MUlVJb0E9PSIsInZhbHVlIjoiZ25pNXoyVnZmaU14WUtHRFM5bWhhQT09IiwibWFjIjoiMmZiZWU1NjA2MTcxNzBhYzNkNzIxNWIxZDBmZjhjZWFjNTdkMDg3ZDVlMzkwYThlYzYwOWY0NmQxNzgzNGFiOCIsInRhZyI6IiJ9/eyJpdiI6IlZsWVY1R0xhUkVEdnJXRXUrNy8xS1E9PSIsInZhbHVlIjoiR3FOcXU4UDZ3bURPN28vMUFNS1hoZz09IiwibWFjIjoiOWVkYjEwNzViNmMzYzNlOTM1NjkwNTQ3ODQ1ZmY4ZGFlZDFkNjQ4MDM2OGIyNDc3NDIzYWJmMGFlZGI3ODE5MyIsInRhZyI6IiJ9/eyJpdiI6IkZERDlmRmIvNGJZcCtJTVRpT1dDMXc9PSIsInZhbHVlIjoicWFWRkRPNnZ4K0FqTVhDdnBOZnNmdz09IiwibWFjIjoiNTdlMWE1NTNmYzMzODYzNTM3NjAyZmE0ZjUyMTU3YzliOTBmNTQ1OTQ1Zjc0OThlNzM1M2U1NDRmOWEwM2Y3ZSIsInRhZyI6IiJ9/eyJpdiI6IlIvSzNXZDM3UmNqL1hzSlBMMmJFOEE9PSIsInZhbHVlIjoibVB5UEdVZmp2Um5nMGRiSnhtOHR6QT09IiwibWFjIjoiODJiMWU0MDc5ZGNhYTkyNmI3MjQyYjdmYjVhNWZjNDYwODI0OTVhNjhmZGY5OGYzNGMxZGZhMWFhZmI1YTI3YiIsInRhZyI6IiJ9
