state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Goa,2022,JANITA PANDURANG MADKAIKAR,Cumbarjua,Bharatiya Janata Party,False,2643,JANITA_PANDURANG_MADKAIKAR__2643.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IllhM0NiNDNkR0Fha3QvMHhKby9YNEE9PSIsInZhbHVlIjoiSjZ4Smd0OGxrRi9iZXFQamYvSDM0UT09IiwibWFjIjoiMjVmNTkxOTU3YzQ1YmY2MzcyODE1ODk2OWYwMWQ1MTI2ZDJlNjAzMmY0YjRmYzBiZDVmNjc1MWI1YTNiMDE5NCIsInRhZyI6IiJ9/eyJpdiI6IkVOWmdvWFAvR25qVlVXNFRsZFc3Zmc9PSIsInZhbHVlIjoibjd0Nno1K21pUG5HUmljU1ZhcVA3dz09IiwibWFjIjoiZWVlMDhjNGVlMWY4MzNiNmMxZDQwNjVhZmEzMjZlNzdhMTI5N2FmZWE4YTdlMTJiODA4YjIxOTcwMmRjZjdiNCIsInRhZyI6IiJ9/eyJpdiI6IjNVc3VnS1E3WjdXVXNsb3o2YVNuMUE9PSIsInZhbHVlIjoidVpUemdhOHRBUHlRVTRpZE8raFIyZz09IiwibWFjIjoiN2Y1ZjJkZDU3YjE3YjZjM2UzMDBmNmFhN2I2YTUzYWQ2MWFiMDg5Mzc2NjczZDU1YWQ4M2EwNTdjNTQxYjMxZCIsInRhZyI6IiJ9/eyJpdiI6Ijdmam43SGZJYkhraUxJUmVHeDBDWWc9PSIsInZhbHVlIjoibkpaVXE2VUNoV1FtTHZrbHJzOXUvZz09IiwibWFjIjoiM2RiNGJhZGFiZDZhYmQ4NGE1NGUwMmJmYWUwM2FmNTIwMzQ1MTA5NDEyNjNmYzA0N2U0ZmU0YzBhNWZlMzE0MyIsInRhZyI6IiJ9/eyJpdiI6InNaREdiSXJwQ1g1SVpOOUhJLzcrNXc9PSIsInZhbHVlIjoiNHc4YTVmbUdwalk5aFlEQndJMThxdz09IiwibWFjIjoiM2U1MzY4MjU1MGM2OGVmNTJlMzA2YWRjODhlZTQyNzE4ZTUzNDQ5ZmRkMmI1ZjIxNDFmNmM2NmFmOTAxYWE2YyIsInRhZyI6IiJ9
Goa,2022,MARIA CHRISTINA VARELA,Cumbarjua,Goencho Swabhiman Party,False,4300,MARIA_CHRISTINA_VARELA__4300.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlNyTUF1M0JqR0xSdjFkTHpxYU8ySUE9PSIsInZhbHVlIjoiZzdQZ1RyckJIbWlsVUtRdGVnalo0Zz09IiwibWFjIjoiZWRhYmVjODBkZWFjODY4ZjcwNjViNDg1MjVhZGNiNTEwMmJiNzQxM2U5NjNkNGE3OTdlNzc4NWNmZTE0OGQ2NSIsInRhZyI6IiJ9/eyJpdiI6Im10SnZFd0trOU1haHhFZ1dFN3ZQZ1E9PSIsInZhbHVlIjoiclVBSU5sVVpCZFFBVW5lT2NaUmlaZz09IiwibWFjIjoiNzA5MjUzMmFlNThkODBhODBlZDYwMDJjNTBiZjkwY2RmZGZiM2QwMzJmMThjZDNkNjQzNDIzZjhmN2MyMGFmZSIsInRhZyI6IiJ9/eyJpdiI6InYxdXVZQmxkb0RoS2pDb0g0RjN2bXc9PSIsInZhbHVlIjoiaFlKT1FWM2lFTXBPQWJqZVBtUGRVdz09IiwibWFjIjoiODBkYjU3NDQwM2IzMmNlMjI4MDAwZTJjZmIyZGIyOGM3YjAwNzZmODA3NDNmZjA5ZjI3MTczZDg1MzhiMTExNCIsInRhZyI6IiJ9/eyJpdiI6IjlvRGpmVXdEV01sUmdVaGpld3FjMHc9PSIsInZhbHVlIjoiTDNRZE1xY201UEZTd0dHdU9GTFM4QT09IiwibWFjIjoiZTExYjBjMWE1YTE4ZmEwNzRkZjgxMzhiZWQwOGNhYjNmMDkxNWI5NWNiMmIzYTMzOGM2OGI5MGI3ZDBhNDc5OCIsInRhZyI6IiJ9/eyJpdiI6IitDQ0U5L1ZDVlduK0NKVGM0WDFFT1E9PSIsInZhbHVlIjoiU2JNVXVTdU9QbDBXS3ljWmQ0a3Nzdz09IiwibWFjIjoiZTJhMTk3NmE1M2UyZDAwM2I1NTdmZDVlMGRlMmRiMDJiZTU4ZjAzMjIyNDkxYmViZmY0NDBiNzQ4NzAxNjI4YiIsInRhZyI6IiJ9
Goa,2022,RAJESH FALDESSAI,Cumbarjua,Indian National Congress,True,2827,RAJESH_FALDESSAI__2827.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjFxUTNheDVUOExOaDd0Q0FUTS8rSXc9PSIsInZhbHVlIjoidU9Fb1QwU0t0WmpVY3JTZFEzckRYZz09IiwibWFjIjoiZDA1MWM0MjVjY2Q4MWQxYmQ3ZWUzYjQyY2M5ZWRjZDVlY2RlYzczYzNjNjQ3YTNmYTViZTc1YmE3Mzg1Mzk0NyIsInRhZyI6IiJ9/eyJpdiI6InNzQWdaWURkb2txaklmRzBhenVZRmc9PSIsInZhbHVlIjoibHVxSml3ZlVGVEk3NDZUTTVCcVVXZz09IiwibWFjIjoiYjUwOWU3Yzg0YTAxNTY4MGY4Zjc4MGI3OWRjNjNhZDA3NDliNzUxNTA1NzQxN2M4ZGU4MjQ0MzhhM2EwZWViNCIsInRhZyI6IiJ9/eyJpdiI6IlFjcUJLb3d2TjlWL3FGUlF0MXpSSVE9PSIsInZhbHVlIjoicXdYODZoaW5QMFJUckxSZU92bnc2dz09IiwibWFjIjoiOTU3ZTdiNDNhMDYzMTNlNzNhMjc5MjZmNmU1OTQ0M2NmMjFjOWY0ZTA0MzI2YmQxYjBlNzhkM2I4MzFhNDBlOSIsInRhZyI6IiJ9/eyJpdiI6IlgzN2tWNmZSMXRxOGQvQW44NEVPZEE9PSIsInZhbHVlIjoiNXpwREdZc0pPbXNGdTZENTJrSzM0Zz09IiwibWFjIjoiMDFkOGVlZWYwOTRmYjc5YzZjYmJkNDk4N2JlMGJmODg4OGY5ODVhOWFmZmM3MDQwOTVlNDhiNjc0OTg0ZmJiNyIsInRhZyI6IiJ9/eyJpdiI6InRyS294NzBjTmFDUTB1MTNzakRSeEE9PSIsInZhbHVlIjoiakVDd2ErVnUwYnlDRk41bmlTWVJVQT09IiwibWFjIjoiM2JhYmMzZDk5OWM4YTZlNjNjZjFlNTJjNzY0NjQxNzUwOTcyYTU2ZDcyNGU4YjA1NGY0MGVlOTY1NjUzZDE1YyIsInRhZyI6IiJ9
Goa,2022,ROHAN RANGANATH HARMALKAR,Cumbarjua,Independent,False,2826,ROHAN_RANGANATH_HARMALKAR__2826.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkdtWWZYNUwzYXkvN1ozaGVyTEtMQ0E9PSIsInZhbHVlIjoicnViTUkwdk5TNXFZTEpPZDIxY203dz09IiwibWFjIjoiMzMxODk2YzcyMjlmNTNmMzg0YmYyNTg5YTYwMDE0ZTkzMmYwOWRkMmYwYTA0MWVmMDc0MDdjNjg0YWUzOGEzNSIsInRhZyI6IiJ9/eyJpdiI6ImNVeVJTYkozcW4zMStjNGhMSEdiMGc9PSIsInZhbHVlIjoiNitiemdLVnh5T1d1WFZzbFJ3K0luQT09IiwibWFjIjoiY2I5MzcxOWI3NGE4ZmJhOWQyNzFjZjZmZmM3NzZiMTRlZjZlMDkxYTU2YTA2MDJkNTVkM2YyZjg0NzA2MWE0MyIsInRhZyI6IiJ9/eyJpdiI6ImFteVg4RmFTWWF1TW1SVUtVZ3IxMVE9PSIsInZhbHVlIjoiS21uenFlWHJKUFBmbCt5N1B2TFlKdz09IiwibWFjIjoiYmUzNmQwNjNjOTE3OGM2NTMxYWNmNzcxY2FiY2EzNjE0MzBiMGM1YTAxYTNiMmM5OTIwYWRlZDc0YTQ2NTMyOCIsInRhZyI6IiJ9/eyJpdiI6IkZ3RVlHZXRnMnJnbWx5YjBvS3M1SlE9PSIsInZhbHVlIjoiNi92L2xyWU9NYjE2TnpNTXVpenJmZz09IiwibWFjIjoiZTc2MTA1NWE2ZDJjZDNhOWY0YTU2ODVkMDI0ZmE0YzIzOTMwNzlkNTRkZGJlNTZjNDczODQ0NzE0N2FjZmU4ZCIsInRhZyI6IiJ9/eyJpdiI6Ikl6RnRIMmE2N0l4aEVCUlVjZE1FaWc9PSIsInZhbHVlIjoid2R6S2RMMExJa2pxTHY1aks3UStudz09IiwibWFjIjoiZjdhNTFkZTc0Y2FkNGY5MjA5NjVmMDFiY2JhOTIzZjM2MTRkNjQ1NDdlOTVmNzM0ZWRjM2YzMjVjOTUzMDMxZiIsInRhZyI6IiJ9
Goa,2022,SAMIL AUDUMBER VOLVAIKER,Cumbarjua,All India Trinamool Congress,False,2521,SAMIL_AUDUMBER_VOLVAIKER__2521.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImJTbmhtN0pPNEwzVUhZVlVuMGFOU1E9PSIsInZhbHVlIjoiU0pieDkwWHNwdmdUdHhGVk45MitzUT09IiwibWFjIjoiN2Q2NGM1MGY0YzZlNTRmMmQ4MjFhOTRiYWVmN2NlOTk5NmYxM2QxZmQ5OGUwYWExNGE3MjdlZmY3ZTc3YTUyMSIsInRhZyI6IiJ9/eyJpdiI6Ino4Ym4vZkJWVXJDZFFBV0xlajJPOVE9PSIsInZhbHVlIjoiMGsxNUhTWHBYUklqeFJIdmx2eGRrQT09IiwibWFjIjoiZThmMzg5NWUwMDZiZjZkY2MwYTYwMDYzYTk2ZTNlMjZiMWU0YzI4NzdlOGJlNWM5ZDUyNWE4MWZlNzg5MWUzMiIsInRhZyI6IiJ9/eyJpdiI6IlkzNWpRNmRRRWlFdmRtbENjYWtTOVE9PSIsInZhbHVlIjoibXlsajc1ZDBROG43SW1talMrSGhYZz09IiwibWFjIjoiMGFhNzZjNzA3ZTBmNjUxNGZmZjZhNDA2N2IxMmY1ZGYxYmI2OTg2N2Y0YjhhZjc3MTAwNTBkODVlNDM2NWRjOSIsInRhZyI6IiJ9/eyJpdiI6ImIzUnkzUTFzODdYam54UkhjWlVqMlE9PSIsInZhbHVlIjoiajhvMitSdXB5T2pXZDVpQU1Obi96Zz09IiwibWFjIjoiNGQ2MDUzNjkzYzQ0ZjE0YTAwZTIyZDc0YmViYmQzZTQ0MjA0YmE3NWVkMDI5NDc1N2Q1YTZiMzU3MGQ2YzZkNCIsInRhZyI6IiJ9/eyJpdiI6ImxXWTY1SnJwUERTczROSDV1ZnVSYkE9PSIsInZhbHVlIjoiWXpoNWV2WEJ2MnhFanR1Y3dpK1l0Zz09IiwibWFjIjoiYzg0Njg4ZTU3ZjZjYTMyZDgxZjY1M2I2ZDU3YmMwMmVlZWYzNGJkZTA1OGMxZGYyNzM0OTIzNGZkNGM4NThlOCIsInRhZyI6IiJ9
Goa,2022,CLAFASIO DIAS,Cuncolim,Bharatiya Janata Party,False,1632,CLAFASIO_DIAS__1632.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImxaSW5BY2JQZTlXTEViMURkTUpzYWc9PSIsInZhbHVlIjoiYU1OdXZPa1YxWUxNRWFjOXVhMWRYZz09IiwibWFjIjoiMmEwODVmNDU1ZmJkZmU4YmViNWQ3YmU5OThjMjJiMjNiZGE4YzU2ZmYxNDg0ZWI0NDVkOTU0MzIwMWIzOGE5OSIsInRhZyI6IiJ9/eyJpdiI6InZrbnNsT294aU1kTHNZQm53UUVac1E9PSIsInZhbHVlIjoiZTFZUUpyNnVQMzdBMUh2bWR0Q2xXZz09IiwibWFjIjoiYTk1NzRjMWZkOTRmN2I0ZTdmYzY5N2EwMjRiMTgwMDNhYWJlM2Y2NjA3ZDIwMzMxNzE3YmMxZTY4YTA2ZDkzMCIsInRhZyI6IiJ9/eyJpdiI6IlZ3S3JQYm9VNTE4L054T1BuTU9wVFE9PSIsInZhbHVlIjoiOXhNN2NBSUlOV0Y3SDFaQWJMS3hMQT09IiwibWFjIjoiMjZkNjgxNjQ2NDE1NjdkOTY5Mjg1OGFhZjQ2NWI0OTg1YmE3MGUyMzY3YWMxODQ2ZDVlOTM2YWYyNDhlZDRkZCIsInRhZyI6IiJ9/eyJpdiI6IkhoQkxKbkpFQnYwekU1bE1ucHl4NUE9PSIsInZhbHVlIjoicEE4WHRFMXVnTmlGUkxkQUIwR3NOUT09IiwibWFjIjoiOTk3OGU5NTQ5NTczYTdkMDIyZTNmZGEyM2M4MDU1MmYzZjJiNjM3MmMwNjFmNDVhNTdlNGFhZGVlM2EzNTNlYSIsInRhZyI6IiJ9/eyJpdiI6IkhsNDdDTWgzWkkwamppR3JvYjBpcmc9PSIsInZhbHVlIjoiZnFvOGFCN0JCWEpRcGgxSkw1N0szZz09IiwibWFjIjoiM2RhY2Q5ZGJkZjc3OWUwMjUxMWE0MzBlZjBjNDZhMDc5OWQzN2Y3OTkxODZiYmM4MWViODhiOWRhNWRmOWUwNyIsInRhZyI6IiJ9
Goa,2022,JORSON PIEDADE FERNANDES,Cuncolim,All India Trinamool Congress,False,2791,JORSON_PIEDADE_FERNANDES__2791.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImRkMjgrMFpQZExNUU50YzdSNXhoK1E9PSIsInZhbHVlIjoic2thVGpJL3BQRy9LQjRGdmRtWFordz09IiwibWFjIjoiMzAxZGQ5ZjVhMzZjNGIwNGIzMjkyZmVjMDYxY2I0MjczMWExODllMDAxNTI3MTkwZjc5ODg4MzFkNWY5NDIyYiIsInRhZyI6IiJ9/eyJpdiI6IjI5VnVpZmhseVE0T0UwMlcvbkJwaEE9PSIsInZhbHVlIjoiREdnSUQ2b2RSWU41OVFkVEJrZEEzQT09IiwibWFjIjoiMDMxMzZkZmZhMDRjZmUwMmM2MmY4MWVhZWYzNWYxNjMwMTg5YjVlYmRlNDFkOWM3OTlmMjkxZWI1NDhkN2NmZCIsInRhZyI6IiJ9/eyJpdiI6IkRUSkRiNEc0cm0rSTNxNXMvTW1VV2c9PSIsInZhbHVlIjoiMWQ5L3JpZXZBUUZ0cS8vclU5ZklJdz09IiwibWFjIjoiNDFkN2JjODI5ZjU2YWE4MWE1YjVlZjMxMjc2NDhmMmJiMTNiZTA0NTc2ODE0ZjU1MWNjNGZiOGY1MjdmZDIyNyIsInRhZyI6IiJ9/eyJpdiI6IlA1Y1FZMit5VkVqcXhvdmpaVmNZZkE9PSIsInZhbHVlIjoiNGxaUGlPc2h5OEluZUZnMzg5TkJxQT09IiwibWFjIjoiMDU4NzAzZDI5ZWVhZDAyMGZiOWU1MGJmOTE5MTFmMWM5MTU2NWJiMmVmZWE1ZmZmMmJkZjJiY2MwMGI1MzQ0NiIsInRhZyI6IiJ9/eyJpdiI6IlF4YzFhUnA3UzM3THphWWlQeUE4VkE9PSIsInZhbHVlIjoiYXBmMEEvR3p6aW9RbGpISkxGUXlhdz09IiwibWFjIjoiOWRhMTI1ZTc0NmVkNTEyYTE4MTM3NTc0MjMzOWY5YWQwOTEyNDBjMzU2NDhkNDk1Y2U5M2ZjOTc2YjM5NjI1MiIsInRhZyI6IiJ9
Goa,2022,MILAGRES GONSALVES,Cuncolim,Independent,False,2777,MILAGRES_GONSALVES__2777.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkEzVjZ1dFZLN3kwTkFnWklVZ0VQQ3c9PSIsInZhbHVlIjoiSVNBWmovMEM5SW85SHVjd2oxOUVDdz09IiwibWFjIjoiZTg0MDk1ZjkyMzIyNDVhYjRkOWNmZTI1NDYzMjM4Mzg4NWMwY2IyNGFiMjQ5NjIxY2M2YmNjMzQ4NzJmYWFjYSIsInRhZyI6IiJ9/eyJpdiI6ImRIaFV4b3E4d1JHSDRMUFc2aFNiOGc9PSIsInZhbHVlIjoiTTVVejFxeDdLK0p5Y1M1TE1FbXJzUT09IiwibWFjIjoiYThiZGQ2YmFiZmQ3NGNhY2MzZjc4YjM5MTMzZTljNTYzMDE5ZjBjMWExZTg4MWFkYjYzYjEyZGEwY2M5ODc2NyIsInRhZyI6IiJ9/eyJpdiI6IkF2N2JodkRHd0pSWXUwa3c3ZGZLdmc9PSIsInZhbHVlIjoiZHZoNjd0cUJlakpTSm5RdW1MbW5uUT09IiwibWFjIjoiOWIyNjY2ZGUwODE1MTU5NWI1ZjE5ZjgwMDg1ZjhkNWI0YWE3MWNjMzIwODc4MDY4ZmNkNGMyODkwMzAzZDUyZiIsInRhZyI6IiJ9/eyJpdiI6IjhzNjl6QnZhVnJGM2JiUVc3d0cwdEE9PSIsInZhbHVlIjoieXZzbTZEbDhsR3p3K2pUSkoyRHhQUT09IiwibWFjIjoiNWQwNjdlMDNmNjcxM2RhNjA4OGI3ZTE3ZjJhYzYzOWQ0OTdlZDI3MDlmMGQwOTVhMzg5YTExNzhkYTcxOTNlYyIsInRhZyI6IiJ9/eyJpdiI6InNIT0ZMb3gwM3I5KzhTdkpWbnZPN3c9PSIsInZhbHVlIjoiMTA4aHYreG5nMTk0RTlQYWx3UWdHUT09IiwibWFjIjoiZmM3ZmJiMzM2ZDJkZWMzZDI1ZDc0ODg3NDZlNGZlZWE2NzgyN2ZmMjE0Nzc2MTM5YzI4NzllMzM2MWNkMDc0MiIsInRhZyI6IiJ9
Goa,2022,MICHAEL FERNS,Fatorda,Independent,False,3219,MICHAEL_FERNS__3219.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ill0SFJLM1h2blk5Z3diNHN0TUlDN3c9PSIsInZhbHVlIjoiUncxTjlHTG1hbEJybTNYZVZRdGxXdz09IiwibWFjIjoiODYxMDljZWUxNTdkNzI0MzNiYTM4YTM3NjEyYTBmMzZlZDg0MGE4YTNhNDk3OGMyNGYxNDZjNzQyZTZkMjc5NCIsInRhZyI6IiJ9/eyJpdiI6IlA2N3lvYnkzRnUxdCtIbUdpT0EyUFE9PSIsInZhbHVlIjoiT0RIN1krTU5mZENFSVZQMThHYklEZz09IiwibWFjIjoiZDI5ZTg1N2M1NmFjMWEzODBkY2Y4MzliYjZhZDllMDYzNDQ5MTEyMDg3MGVjZWRmNTczZTYxZGU2ODljMmYzNCIsInRhZyI6IiJ9/eyJpdiI6Ikk4cVNNSkhTQ0VEZGVCK09QRmRwNlE9PSIsInZhbHVlIjoiR1FOTEIwTndzK2cwcERkTUdycmtFZz09IiwibWFjIjoiNjk5ZTZjMjMzMjAzNTIzZTAyNDlmNDBmMTBkODAwNmUyZTBmZjVjY2M2OGU0ZGZhNThmOGU0YmE4YzA4ZDlmYSIsInRhZyI6IiJ9/eyJpdiI6InNhM2pxQnFaNHIvZUFmd0JiT0ZsU2c9PSIsInZhbHVlIjoid1pBQ29QSWx2elhjNE13RjczTjFoZz09IiwibWFjIjoiZjQ1NTcxOGU5OGNmYTc5Y2U4YmIzZWRhMzQ4ZmYxNzVjZWY2MjBmYTQwN2VkYTRhNzAzYjBhZTQ4NzdiMjJmYyIsInRhZyI6IiJ9/eyJpdiI6IlpCNzdjUlZ1NUhCREwzREYrYndab3c9PSIsInZhbHVlIjoicGZISnRQeGIvM25CVnRQdWhsVndPZz09IiwibWFjIjoiMDk1NGQ0NmMxMzU2ZmQzZGY3Y2IyZDk5N2MxZDQwNjU5N2VhYWUzMzJjMzFiNzU0NTA2YzIyNWI2ZmYwNmNkMiIsInRhZyI6IiJ9
Goa,2022,DATTA BORKAR,Nuvem,Bharatiya Janata Party,False,1382,DATTA_BORKAR__1382.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjVoSzl5cXVKZWxMWjc3Yk1KS0c5MXc9PSIsInZhbHVlIjoicithTS80SzZxSnUwSzdNa0I0aEVUQT09IiwibWFjIjoiOTExNGE4YmMzYjdlNWJkYjE4ODY1MjQyNGMxNjcxNmYyMzYwMDRmYzg4NzNhOGI1NzBlOTJjMmZkY2Y2MjBlYiIsInRhZyI6IiJ9/eyJpdiI6IjlvQVJudGloMEkxN0NYdkMzVHUrYkE9PSIsInZhbHVlIjoiMGlia3dsTzdCNTdWRVJEdVlpZmFpUT09IiwibWFjIjoiN2I0ZDE3ZDRhOWNjMTQ3YjdiNTUwMTMzYjAyNjBlNTg4MjNkNTAwMTYzMzNmOTAxY2ExNWI1MzlkYzIzMTA4YSIsInRhZyI6IiJ9/eyJpdiI6Imk1QmRoNjJ5ZHE3NFl6bkxJSlFxcFE9PSIsInZhbHVlIjoiZ0kzSHVzd0FzZXQrbmpPclBrTE1RQT09IiwibWFjIjoiYTM4N2FjZjc5ZmRkODZhZGU2NGUzYjliNjE2MTMyZWU2MWNjMGViMDJiMWZiMjAwNzZjODg1M2U4NTM2NmUwOSIsInRhZyI6IiJ9/eyJpdiI6ImRZUEFaZlJNQ0NpeDhlY0NHZi9lTXc9PSIsInZhbHVlIjoiWXFVaWZidUlyQ3ArNU1XOGdRZTNQZz09IiwibWFjIjoiNzU2NTliNzVhMGZhOTI4ODhhNWM0NjdmZDEyNzk2OGU5YmE4MDgyYjk2ZjkyY2JlZWRjNzk1ZjliNDc4ZDVkMyIsInRhZyI6IiJ9/eyJpdiI6IlFIMHFxcXI1eGxac011N3haTHFBWmc9PSIsInZhbHVlIjoieldGa1g2dEx4K0hlOXdmTG5ialVkUT09IiwibWFjIjoiYTI1YTAxYzZhMDU2ODgwMWI5ODY2NDEyYzgyZWU4MDk1ZjdlMTFjOTg0ODAyYThlZmQ0NDIxY2ViYmEzOTRkMyIsInRhZyI6IiJ9
Goa,2022,DATTARAM TUKARAM SHETKAR,Priol,Independent,False,3391,DATTARAM_TUKARAM_SHETKAR__3391.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjhLWWJSUktaUCtCWS93ZVJwUkkrL0E9PSIsInZhbHVlIjoiaHV3RnVzaGxmQU1ybTVMWHRMVEtHdz09IiwibWFjIjoiM2Q0NzhkZGY0NjM1NGZlNDkzOGE3NjRjOGFjN2VjYmY2ZmIyMzkxYjA5MTRlZDNmYWUyZDViZDM2MmJhM2ZiMSIsInRhZyI6IiJ9/eyJpdiI6IlZNZEVtaDFNbC9TTzFxNkc5NWhKbUE9PSIsInZhbHVlIjoiQmtBTzJrS0FUdzNkSFpicFA5MEFOQT09IiwibWFjIjoiZGMzNjczY2JmN2Y5ZGFhMWY5YmMyZTg2YzQxY2QxYWZhOWRjNDc4ZmEzMWExM2VjMTNhNzllYTI0Y2FjNDYwOSIsInRhZyI6IiJ9/eyJpdiI6Ijk3ZmFjdWc3elJ3K0xvaWtVbEtDTFE9PSIsInZhbHVlIjoiZkRyMUYxTFgzd3pYQStMQS9NREVLUT09IiwibWFjIjoiMjQ2NTBmYjBlNzYxMWU1ZmZhYWQ5MDRmNDIxZDdiYTc3ZjA0NDEyMDk0MWNjYTg1NzM1MzA1YzcxOTA1NDY2YSIsInRhZyI6IiJ9/eyJpdiI6IlZyOEh5RlAyMXQwemxaWGFuN0lBQWc9PSIsInZhbHVlIjoiV3c1UHBIa3BhQmh4aVAwRlhMT0JCdz09IiwibWFjIjoiNmIwZTZmYzU0YThmMjA0YTBlNmYxOWIwNjlmNTRiMzQ4N2I5Y2M4MGYwYjY1ZDJkMDlmN2FjMzRmZTg3YjMyZiIsInRhZyI6IiJ9/eyJpdiI6IkQxQTd5MUpZYVhjT3h2RkpKUmsxYXc9PSIsInZhbHVlIjoibUJGczZDVTlZTzh4OEJDeEJoZVZnQT09IiwibWFjIjoiMDgzNTgwZWJjZWE0ZjI2OTA4M2JkNDhmNDAyMzc1NWNmYzVmYzlhYTdkMjNkMDkyY2UwZDlhMGRlZDBlYWMxMSIsInRhZyI6IiJ9
