state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Gujarat,2022,P.C.BARANDA,Bhiloda,Bharatiya Janata Party,True,2737,P_C_BARANDA__2737.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkNXNm4wcHlUR3BKQmxOcW9aSTV4QUE9PSIsInZhbHVlIjoiYXFZWkh0Q0d0ZFB3R3JtNm4vTGFoUT09IiwibWFjIjoiZmM2MTlhNzgwMWZkYzcyOTg0MTY5ZGZmNDllMThjMTg0NzFkNjg1OGVlNGI3ZmFhMjQ1MGFiODZmNDk0NDg0NiIsInRhZyI6IiJ9/eyJpdiI6InFMaGM0VTQ0UWZxbXY2cyt5bmJvV3c9PSIsInZhbHVlIjoid3l5YWptVEc5eEZQKytyYmRiSkFUdz09IiwibWFjIjoiOWNjOTg4YTM3YWM3OTgwMWM4YmNiYWE3MzFiYWVlNmQ4OTQyNjFiNzNkNmY1OGM3ZTg4ZmQ5MWFhMjJhODEzZCIsInRhZyI6IiJ9/eyJpdiI6IkJocGNaOUR2a1NUNkliUlVsYjVJN1E9PSIsInZhbHVlIjoidUxLQTMwb2NPdit1ZEpNZWdwSEFKZz09IiwibWFjIjoiZmQ2YmRkNTZlMDc1ZTIxNmQ2ZTk4MTdhNWE5NjUyOWFhNTI4Nzg1N2JhNWYyMDc3Y2YyNjQzODNhOWFhZjFmNiIsInRhZyI6IiJ9/eyJpdiI6IkovSnAwajJOTmdFaDB3UXZaVEIweFE9PSIsInZhbHVlIjoiblVzckFRcGh6dUlWV2RpYWxXZUt2Zz09IiwibWFjIjoiYzk4M2U4YTY3ZGEyMDgzNTliNjBkZGI4YTczZWE5MTlhZDRmMmY5YWMxNjAxZjBmMDcwYjZhNGU5NGY0MTM2YyIsInRhZyI6IiJ9/eyJpdiI6IlYrSTVHaENDN2F6K3VVSHpYano4OWc9PSIsInZhbHVlIjoiWE00OUhxSXJXZjBxSEduRHpDMnJhUT09IiwibWFjIjoiMmI0ZjQ5NzczMjNjOTVmODIzNWRhMzQzNGY4MmQ0ZmVmMzcwNGNjZDgzN2RmNWQwOGNjMDUxZTU3MTRjYzAwYSIsInRhZyI6IiJ9
Gujarat,2022,RAJENDRASINH MOHANSINH RATHVA,Chhota Udaipur,Bharatiya Janata Party,True,3542,RAJENDRASINH_MOHANSINH_RATHVA__3542.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkFwYy9uL3kwTThxbEpTTlNueHBKQ2c9PSIsInZhbHVlIjoiaWQ4QUNZK1JVeEJLL3JYSTBobVRoUT09IiwibWFjIjoiMDVkYjZlN2E2NGNhMTNhMjUxNGNjODE2NjA0MTg1YjA0NjUyNTI2NTdiYjYzZTI3YmRhNWYxYjE3M2U2Y2JlMCIsInRhZyI6IiJ9/eyJpdiI6Ing0VmVzRVA2VGhvM3JOeVU3QXI2cHc9PSIsInZhbHVlIjoiNG01ZUtETzBJWGlXQWxiSll5eGpRZz09IiwibWFjIjoiYjk3ZTUzMDczOGRiY2U2MGUzN2JhNTBkMjA3ZDEzZjVjMDFmZWMzNjJiNmNkOTdkMzIxYzM3Yjc0NzFkNzlkYiIsInRhZyI6IiJ9/eyJpdiI6Ikc4TTZ4Umw3WVJqT05FSWc5L2hMb2c9PSIsInZhbHVlIjoiQTlFUysxTUVHSW9zMXR0Uktxamg3dz09IiwibWFjIjoiZmUyMTNmOTMzYjliOWE2MDM1NzgyNjg2MDFhMmExOTk4NWQ3OWUxNzg5ODFkYWJmMThiM2Q5ZDdkZjVlODhiMyIsInRhZyI6IiJ9/eyJpdiI6IjlGaHdXMDNSYkJ2WVNWWGRDSFNOTEE9PSIsInZhbHVlIjoidjhUUU5rS1hTNU50WkRIektkeUlJUT09IiwibWFjIjoiODYzYzM2ZjEyNDJiOTIzNWM2N2Y0YmM0ZmE2YTJlN2Y2OTNlYjEyMmIzZThkMDA1OTgzYmFjZmZlZTAzOTc0YSIsInRhZyI6IiJ9/eyJpdiI6Im54NGlOaUVvNXFJQmFQbXc4YzFnV2c9PSIsInZhbHVlIjoiODB2ckF5TjgwczdWWW13b0x3SVpLZz09IiwibWFjIjoiZGNhMDBhMWJlM2Q4OTJlZmQ4ZGM5ZWYwNTJkYzQ1NDIzYmQxMjllZDRiMWQxY2ZmNDQ1ZTFiYjhmYTYxMDFiZiIsInRhZyI6IiJ9
Gujarat,2022,KANTIBHAI KALABHAI KHARADI,Danta,Indian National Congress,True,3037,KANTIBHAI_KALABHAI_KHARADI__3037.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImVoWTY3UE91a2I5WEpxVG9rSk1Rc3c9PSIsInZhbHVlIjoieXdHWDZaVmpGL2Y2VkgxNG5xd3FOUT09IiwibWFjIjoiMDA1MmYyNDdiOTY1MjZjNDM3NGQ1ZWU5MmIwZTJjNDMxZjZiOGRkYzc1OTliNzJjZGUyM2VjMWZjMTM0YzMzNyIsInRhZyI6IiJ9/eyJpdiI6IlVhNkNCZEhCYllKRVluMjF6UEpaWXc9PSIsInZhbHVlIjoiQmJuSEJxclFURVQ3VWViblBsc25FZz09IiwibWFjIjoiNGFkNDZiM2FkZTJiYzBkZjUzZWI2MTdjMTJmZjE3Y2EwYmM4ZGYwZmNhZDc1ZmJiZGI0MjVlZWVjMDI0ZmU3NCIsInRhZyI6IiJ9/eyJpdiI6IjI3WU5aMEw2aldwbWRzTXMwSDUyS2c9PSIsInZhbHVlIjoibk91dlBJbWVmSmNIZS9Kalh4MEZZUT09IiwibWFjIjoiZGNjMDdiNjMxNDlmZjE4NWViM2VlNjkyMDBjMmYyMWM2YjQzOTIzMTRhOTgzNWQzYzRjNjViZTc3M2E3MmU0ZSIsInRhZyI6IiJ9/eyJpdiI6InVhZXoyMDR4TlNaWHpIeklKQXAxT2c9PSIsInZhbHVlIjoielFFWHF2cHJQQzg0eFp3RFFPOFhzUT09IiwibWFjIjoiM2M2OGQwNWI1ZTUxNDRmYjNlOWM1MzE4NTVjMWNkNTQ2MjRhYWY4NDcxYTJkMGMzMGQ3ZjcwZmE5YzYyM2MxYyIsInRhZyI6IiJ9/eyJpdiI6Ik5zaTZlUURuSUZWQVdEcmo2VnJtWnc9PSIsInZhbHVlIjoiaVVLQ3lDRDV4c1padGZQd0RETWJZZz09IiwibWFjIjoiZWE2ODQ3NmNjYmEyN2FhNjQyNDEzZDljNGFmZmMyYjA4YjgzMTdmYWE2ZGQ0OTQ1OGY4NjVjMTRlMGU5NmZhMCIsInRhZyI6IiJ9
Gujarat,2022,KESHAJI SHIVAJI CHAUHAN,Deodar,Bharatiya Janata Party,True,2822,KESHAJI_SHIVAJI_CHAUHAN__2822.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkdqK0ltTHd5MmdDemlIUnZxU2RoSGc9PSIsInZhbHVlIjoieTF4V25ON0ZkZGZNYk42ZUJkSkp1Zz09IiwibWFjIjoiNTA2ZGRkOTg4NTg5YjM4ODA5M2EyMWZmYzMxOTViMDNkY2ZhNjg4NDNlM2Y3OWUzOWRhNjg4Y2JlYTBlYTgzOCIsInRhZyI6IiJ9/eyJpdiI6IjM4Ui9oK3ZMdExIU2ZzelFEdzBHVUE9PSIsInZhbHVlIjoiMytMWExnanJmVlM4RVhTOEtQNDBsQT09IiwibWFjIjoiNDg3NTJhZTU0NzQ5ODFjNGMxZmJkMGQzYThjYmI5MDI0NmE4NjE0Mzg4OTRmNTQxNzk2ZTc5MmNhYTU2MzE3YiIsInRhZyI6IiJ9/eyJpdiI6InQvY0FmSlg1WEdIb0lERmE2Q21kdFE9PSIsInZhbHVlIjoiTjBQb3lPd2hWbzZIaTdYUXpTOW5udz09IiwibWFjIjoiMGQxOGM3Yzc4ZTg4YjkxOWU3NzI1MGJhZDE5MjE4YjE2YjI0NjlmYzA2ZjdjOTdiNzczNTdhNWYwZDE1NTU4MSIsInRhZyI6IiJ9/eyJpdiI6InRwS1F3Qmd1OXhYYTZnbmtmbTdJM2c9PSIsInZhbHVlIjoiVUxlZUFJRG1kWHpVeThrMVRMenVMQT09IiwibWFjIjoiMzRiNDg3ZDJlMjdiZDkzMzQ5NWE5YWRhYzZiNGZhYjFmYjI4NTUwY2QyOTIzNjg4ZmNiOTczMzFkMDVmNjY2YSIsInRhZyI6IiJ9/eyJpdiI6IlQzdXdyZjZzekNOVkRiTkpkbTVWMEE9PSIsInZhbHVlIjoieXEzQnRJRlp1Nkt6OXVLMVRxWmRiZz09IiwibWFjIjoiZDJjNmMxOTQ1NzRhNzVhMzM5OThkN2MyZTk4YzgxYmRlMDFhMTk5NjViZjY3MzAyNjYxM2ZmMjllZTBlMWJjNyIsInRhZyI6IiJ9
Gujarat,2022,PABUBHA VIRAMBHA MANEK,Dwarka,Bharatiya Janata Party,True,1272,PABUBHA_VIRAMBHA_MANEK__1272.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InpOaHRUS1MvS2Z5eHZFbnVWVmgrZ3c9PSIsInZhbHVlIjoiaWg2RGZtWm5DbUg2ZEgyL2VURFFRQT09IiwibWFjIjoiYzcwMjcyOWM3Nzg2ODE2YTJjNGRlMzgxMjQxN2NlYTlkOGE1MmNlY2IzZjBjODJhZjNjYjVkYTY2ZTExZmU1NyIsInRhZyI6IiJ9/eyJpdiI6ImtRSGY1dFpBa1Nyd3BhR1ZnWVUySnc9PSIsInZhbHVlIjoiODNYYnpnczdoT1NEWnNXV3pXLytYZz09IiwibWFjIjoiNGMzZWIzNmI2MmI1MmQxYWI4MjU5ZGI0NDhlNzQwMTY1MTA2OWQyYThhYWQ5NWU4YjQ1YmY0OTc3YWQ3MWNhMCIsInRhZyI6IiJ9/eyJpdiI6ImU1YzZoUFF0ODFxcWlwY3M0NjBPVEE9PSIsInZhbHVlIjoiMzNMOFdXK21Zbnk4M0tqMXc4Nklrdz09IiwibWFjIjoiMDM4MDA3MDQ5YjA5ZmM1M2YwYjEyMGMyNzQ0ODI5YWExNjQwNGZhZGU4NDk0MjVmNmJkOTAwN2FhM2I0Zjk0YiIsInRhZyI6IiJ9/eyJpdiI6ImNTcThFOUZlTHI5aWJ2TkhhbDUxdXc9PSIsInZhbHVlIjoiM253OHNXOTBNRDhBRmJ1VzZrRU93QT09IiwibWFjIjoiNGY5Yjc5NjU0ODE5MGE4ODMyN2NlZjFiZjM3ZGFjM2ZmNDBmYTc2ODM2MTNmNzQ5MDY0MGY1MmUzYmVkMTAyMiIsInRhZyI6IiJ9/eyJpdiI6ImorempxOUNJNVBXLzRvSTFjMSswblE9PSIsInZhbHVlIjoicHZOeHdjaHVwY3FrZHV0THVmajNSUT09IiwibWFjIjoiYmEzOGU0MzkxNGMzMzUzYzNhNTc0MTk3OGU3MzZiMzY2ODhjMzdlNDZhNzJlMTlhOWMwYWU2YjJhZjQ1MmU1ZCIsInRhZyI6IiJ9
Gujarat,2022,JAYDRATHSINHJI PARMAR,Halol,Bharatiya Janata Party,True,3036,JAYDRATHSINHJI_PARMAR__3036.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImFiVHF2RGh0L2oweVl1NHgwTXZpQ3c9PSIsInZhbHVlIjoiSmlDY3FSUHljbjhncFFacmhiSkdGUT09IiwibWFjIjoiZGRlMzU1Zjc1ZTRjNWJiMmJiZjdkNTVjZjgwNDk4OWMwMmVkNzMyMTdkMDc5ZjI3MjBmODZiYjUwOGVjMDNiMSIsInRhZyI6IiJ9/eyJpdiI6IkJwQlBsRGF3Qmh5L0VFTHJ3NFVUY3c9PSIsInZhbHVlIjoiOXFZSFoyd295bHFQQU1UUXBLY2RHUT09IiwibWFjIjoiNzRiZmRjYjg3YmFjZWNmOWMxODhhMGFjYjQyZjY5MjI2MTllNGVjYzhiMzFlNzUxMDMyMzhhZGRlZmQ4YjhkNiIsInRhZyI6IiJ9/eyJpdiI6IlZiWFZaY1Z5MXpJY3J6Y2g3UEhpTUE9PSIsInZhbHVlIjoiM0xSTlBUK0kwSDc1N21VNmV5UWVvQT09IiwibWFjIjoiMTk4MmVjNDNlYTAxMWI4ZTM5NDM4ZGQxOGY4NzU0NmJkZGVmNTQwYWJmOWU5ZDdlZmZkMDM0ZTc3ODgwOWJhOSIsInRhZyI6IiJ9/eyJpdiI6Ikh1NWpUazRYVDM0NTRQWUpKVlNFNkE9PSIsInZhbHVlIjoiR2Q2bzNralQ3QUZlTTJDQ1F4OGZ4UT09IiwibWFjIjoiMzZkODlhYzNhNGY5ZTZlZTlkZjViZmY4MTNiNjQ2MDAwN2E2OWIzMzFhODJlYjI4YTA1MGE3YWQyNjBiMDRlOSIsInRhZyI6IiJ9/eyJpdiI6InlKWEErdiswV0taMlFpZmJ1Z3VmUnc9PSIsInZhbHVlIjoiYlhjaXZLVmlpN2FmMkdXdTlTZEo1dz09IiwibWFjIjoiMGM4YTQ0NWNkY2ZmYTY0ZmU3NWVjYzUyNmZlYjZhM2Y0N2IxNWI3YTA1NWIyMTMxOGQyZGZmMjVmYjc4OTg4YSIsInRhZyI6IiJ9
Gujarat,2022,RANJIT (MUNNABHAI) PANCHAL,Jalalpore,Indian National Congress,False,941,RANJIT__MUNNABHAI__PANCHAL__941.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjBLZ1N5SGtTQ1J4ZFpScGVkeExsOXc9PSIsInZhbHVlIjoiNEtlY25YRk5OL3QrQlE3T08yTHBmZz09IiwibWFjIjoiZjY3YTU4YjZhM2RmZTM4Mzc0NjhhMWU0YzVmOGY1NWZiYzZmM2Y2NjY2MWYyNjBkMjgxMjFjZjVhOWUyNGM2NiIsInRhZyI6IiJ9/eyJpdiI6IkprNnNMWHMvY2tqb1pMVTQ0K2Zqa2c9PSIsInZhbHVlIjoicHQ3b3BXTC9Ncyt1NlhNRzNrWVVqZz09IiwibWFjIjoiMGFhZjJiZmZmZDI2NGZmNGM5MGIxNjM2Y2U0MmQ1MDVkZDY1MzBjMWUxMzEzN2VhM2ZlYTBiYjk1OTJiZGRhNiIsInRhZyI6IiJ9/eyJpdiI6Im45Q0kzalBlUnlNcndnaEdVbzA2WUE9PSIsInZhbHVlIjoiSlRKNEgyclFCQUZrcURrd0dCNVEydz09IiwibWFjIjoiOGJmN2U5NTNlNWMwMDgyZjdiYjIxZTExYmM3NTMyOTk4ODU3N2MyMzEwMTBlYmZjMzA1MDI1MmNkYjNlYzIwNiIsInRhZyI6IiJ9/eyJpdiI6IkVHdHV1NjlUendZMzBneDRoWmRZWVE9PSIsInZhbHVlIjoiZ1J4Nm5JQmtBTktJSG0vS0plYms0dz09IiwibWFjIjoiZGY2ZjY1Mzg3ZWVlMjM2NWFkNTdjNTY4N2EzNDIzM2Q4Y2ZkYmE3ZjY5YmYwOWVkNDhhZGU5M2ZmNWVjMDQxMyIsInRhZyI6IiJ9/eyJpdiI6InBuRHB0TVJlT3VTbzlvMFpXVVZNeEE9PSIsInZhbHVlIjoiNVhlVGlIdHFnY0lUNDFmRW01NC9yZz09IiwibWFjIjoiY2E1OGJhYjE0YmJlMzE1YzcwMzcxOWQ0YTE5ODgyNDZjZGNhMTAxMGUzODNmYTc4MWNmMjllZTc5ZmJlOTI3OCIsInRhZyI6IiJ9
Gujarat,2022,KARSANBHAI PUNJABHAI SOLANKI,Kadi,Bharatiya Janata Party,True,3318,KARSANBHAI_PUNJABHAI_SOLANKI__3318.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImZYNmIxRmlFdU5jODU5cDlQelgxNmc9PSIsInZhbHVlIjoiRVZPcmtSalJJbDNzd1NuUEdZUWs5Zz09IiwibWFjIjoiNjk1OWUwMGQzYjdjOGNlNDg1YWY2MzgwNGE1MmRkNDBjNTAwNWRkN2FmMzNlMGJjYjQwOTA4MmNhNjc2NGZiOSIsInRhZyI6IiJ9/eyJpdiI6InZoMUxuUUgrd1l1N0J3eURsS1FwcUE9PSIsInZhbHVlIjoiNnFray82dXRKdkdkTWdkWmJLS2lCUT09IiwibWFjIjoiOWNkMzY1MTI0NTJiNDEyNDY0ZTU0OTBkYjhlN2MxYzUyZTg5ODdmZTM1NjNhNWQ3ZjU5YTQ1M2U3YWJhYWYzMiIsInRhZyI6IiJ9/eyJpdiI6InBSM0VTamxUMS9qZi9pd1NDSkI1clE9PSIsInZhbHVlIjoiRTAvY2NHeWJURGtyamxoUDJuMU9zQT09IiwibWFjIjoiNWJjMWMwMjRlNGNhMzk3Y2EzYTllMzJkZWJlYTI0Yzk0MGIzYzUwNDI0MjNkOWQwMGRiY2YyYTdiMTUyMmI5MiIsInRhZyI6IiJ9/eyJpdiI6InV4dWdFSFhFMlJVRE1DRStWQTZtenc9PSIsInZhbHVlIjoiZXZSTDdSNFRIakRjZENiKzM0YnIrZz09IiwibWFjIjoiOGM1MzFjMDdjMTIzOWI4ZTVhMTg4YjcwZTg1NWQyMzNiM2U5NTI0YzA4YmUxMDZlNjgyZGNkN2UxNjYxNmM4NyIsInRhZyI6IiJ9/eyJpdiI6InYvWG5PeGJ6RXE1SDNxS29BTGVvcXc9PSIsInZhbHVlIjoiWVdMZmQ1OUZXMzVpU0NhbUt6NDNxUT09IiwibWFjIjoiODE0NjViMzk5YWUxNDY0YzZkZmEwMTQ2YzdlMGExMmFkNzJlMGJlOWU1MmY1N2VjMzBiZmM3ZTQxMzg3NTZlOCIsInRhZyI6IiJ9
Gujarat,2022,FATESINH VAKHATSINH CHAUHAN,Kalol,Bharatiya Janata Party,True,1671,FATESINH_VAKHATSINH_CHAUHAN__1671.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkFHMUhCK2hLTGtsTWxaN1huVlhCRUE9PSIsInZhbHVlIjoiejM3MzBrMFZKeldzMm0vZ2RKeHNTZz09IiwibWFjIjoiZjJlYjRiYjM3ZDJmZWI2NzJiODdlMzZjY2E3YjY4MmNjNDc2YjQ1NGFkMGJlMDAzM2VmOTlmMDc0MTgxMjRiMSIsInRhZyI6IiJ9/eyJpdiI6ImhOaDhJay8zR0hKYnB0Wks1OWRPV1E9PSIsInZhbHVlIjoiZW1LSzVPSTAzNGw4U3hSSDlFdlRQdz09IiwibWFjIjoiYjYwOTQyOWJmMDQ0ODRjNTY2OTY5MjYxYmM1MmMwYmY3MDA2Mzg2MWUyNDM0YzBhZmI0MjE4ZDRhMjBiZmMxYyIsInRhZyI6IiJ9/eyJpdiI6Ilh3MHVhRWM1S3Q3S0t2bnZkZGlueUE9PSIsInZhbHVlIjoia3ZYMlZ6alZRQkJBRGNYSEZUclBkZz09IiwibWFjIjoiZTlmYmEzMzBlYzNmODMzYjQ1MGZiZmU0MmYyZWY5NjliOTlmOTMwYTAzYmNjNzA3NmZhZjhiN2ZlN2M4ODMzYiIsInRhZyI6IiJ9/eyJpdiI6IncvdTh1VjAwczFoR3N6MU05blBsaVE9PSIsInZhbHVlIjoiYXE4WEFQV1RqVkhuMm5IU3Q0bjFhUT09IiwibWFjIjoiOTczODY5YmVlYmVlZDlmYzFmNGEzOTQwNGVjYjgwMDU0NDliMTE0NzMzMGY1ZjczNDYzNTc5YjllMTFjNDg1ZiIsInRhZyI6IiJ9/eyJpdiI6IjJPaUtpancwRHloRTVId2pETWRZQ2c9PSIsInZhbHVlIjoiRWl0cmJPL09ZYlZDeVM5NVZLRFVQdz09IiwibWFjIjoiY2MzOWJhMTRkZjMxODIwNTY0ZmNjZDRmMTQ1YmRkZjA2MjBkOTAwMjM0OTYwNmJiYmFhZGFiMTVmZDMwMmU0YyIsInRhZyI6IiJ9
Gujarat,2022,MANOJ SORATHIYA,Karanj,Aam Aadmi Party,False,1017,MANOJ_SORATHIYA__1017.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InRhb1hGcFMydFZhdk1pdHQ4M0V4MHc9PSIsInZhbHVlIjoiYWZOU0xQMnFMaENlblhIOVhodlVQQT09IiwibWFjIjoiNzc4YmI5YjUwMzAyYTM2NTFjMjJhMzhhMTgxNzkxMDc3NTNhYjc5YjcxOGU5ZjA1NTFhYmFmMmYzNDdjOGQ0ZiIsInRhZyI6IiJ9/eyJpdiI6IkRGUGhjRkYvYnI5S3B5ZGxjOTVsR2c9PSIsInZhbHVlIjoiOVE0ZHVZWDdZTDZ1RVRBelNJaHhNdz09IiwibWFjIjoiYzhlZmM1ZmFmODcwMTFlYTY0OTE0MTIwMjZhYTlkM2M5NzE1ZGQwYzdjNDA4ZGFiNzA1MjYzNzY5YTY1N2Q0NiIsInRhZyI6IiJ9/eyJpdiI6IjlPWUZUaG5MY2FnRE9IRmtIM3VsOEE9PSIsInZhbHVlIjoiQTlmR1l4MkJaRWdyZEJPR3N5V0QrUT09IiwibWFjIjoiOGRkMjNmMGE2NzFkNjIwNzAwNTNiMmE1YjE4NjYwOTA2YmFiMmNiYmFiYzIwMjEzMjE4MDVhMTFiOTdiYjcyYiIsInRhZyI6IiJ9/eyJpdiI6IkNLREpHb2htdXVjTXNNcmU2ZzRHcFE9PSIsInZhbHVlIjoiZlN2RUh6R2hIRHRHUHo1TlYrVFR4UT09IiwibWFjIjoiZWVkZjcxMDllZjVmZWIyODc2ZjQxNjZlNWY1YjZmMWMwZmZhZGUxYzY1ZTdjNDY0ZmZkNmQwZTdhODRlNDhlMSIsInRhZyI6IiJ9/eyJpdiI6IlhJODBCQ0FIZ2xmZjlsVlpNNm5tYkE9PSIsInZhbHVlIjoicXZCRUxSMG9Kb3k5bTN3VC9qc1BpZz09IiwibWFjIjoiNWIxYjFiOWE2ZWM2ZTZjM2UxNTc5YjBhZTljZGIzZWZlNGM5ODUwM2I4ODg3M2MzMjM1MmEyYTI4NGRjYTc1MiIsInRhZyI6IiJ9
