state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Haryana,2019,JASBIR MALLOUR,AMBALA CITY,Indian National Congress,False,6980,JASBIR_MALLOUR__6980.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkpEbVd4Y2xCNmJUNXZxYmJXZ2lCMHc9PSIsInZhbHVlIjoiYWhQbVJZZU9tdWh2aU1JSXk3bjVPZz09IiwibWFjIjoiNzk5OTEzZjgwYWM0NTQyMTRjMDg5ZGE5ZjM0MTUzNzFlZTM1MmEyMDY4NGVkODE5NTExNjdjYjI1YTRkZjE1NyIsInRhZyI6IiJ9/eyJpdiI6IlRyQkZGclNQY3lGTnlWVGRWZ05DNWc9PSIsInZhbHVlIjoiT1BINjYxSzRFTVRoSG1ReFU3WmZmZz09IiwibWFjIjoiNTAzNDcyMTBhMjU4MTA5MzEzOTEwNTViYzM1MGQxNjg2ZWE0NzgxZTk4OTQ2NDNlMWM3YjUwMThjNWIxYjRhNiIsInRhZyI6IiJ9/eyJpdiI6InAyT0trWlZxcmdMa0RUTnN1NFZQZ1E9PSIsInZhbHVlIjoiVmFucUo1bXJoMHBDYTI1Nit5aytEQT09IiwibWFjIjoiZjllM2NmNGRiZTc3YTdhZmIyMmNhMTlkYTc2Y2Q4YzdkZjg3OGMwOWQzM2U0YzExOTlmMDI4OTMxNDJiYTE1YiIsInRhZyI6IiJ9/eyJpdiI6Inl3YjF5TEE1Z3ZqSjg4cGVhLzdzSVE9PSIsInZhbHVlIjoiTmN0bmRzU0pzQjZmMGw0Z3NrT0xhUT09IiwibWFjIjoiMjYxMGQ1MmE4MzQxZWQwNjYwMGViMzY5MWYyY2UyNzczZWE2ZjhjY2RmMjQwMmI2MTkyZTMxMGIxNDFjOTZiYiIsInRhZyI6IiJ9/eyJpdiI6IlVNVVc4NFA2VjBySTBtbS9iMFV5VEE9PSIsInZhbHVlIjoiNXNQUmxMemlCVWFBeno2V3NDL295dz09IiwibWFjIjoiOGY3NGYzMjUzZGY4NDdlNmQ1MGY4ZDdlZGFkYjhmZGQ1OGQ3ZDk0YzAyY2VhMmM1YzU0YzU0YjlkMzMzNDU4YyIsInRhZyI6IiJ9
Haryana,2019,RAKESH BHARDWAJ,BADSHAHPUR,Independent,False,217,RAKESH_BHARDWAJ__217.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im5ud2YxSGxiVWFKNjgzQnNaNjVQdnc9PSIsInZhbHVlIjoiNktDaHBldTdFdzdDaDc3ajNqN09OZz09IiwibWFjIjoiNjA1OTNjYTk1YTBiYjNhNDZiOGQyNjI4NDFiMjg2OWE3MjUyZmM3MDE2YmMxYmUxYWM5YzZiYTU2MGI4MTUzNyIsInRhZyI6IiJ9/eyJpdiI6IjBUTjRXcDdGMlVDV3loSzdrbUp3bVE9PSIsInZhbHVlIjoibXN0RzlXdEZHV200QmlkdG05Nkp5Zz09IiwibWFjIjoiYzk3Mzc0N2I5NTUxZGZiYzgwNTM1MWFmZDZlOTM3MTE5MWZlMGQxZGE2ZDEzYzRkZGE2ZmI4OGE4NWMyZDkxZiIsInRhZyI6IiJ9/eyJpdiI6IityRHZwSm5QM2lFeGd6Q3dyMExZdEE9PSIsInZhbHVlIjoiMUZidWJWa0Z3cEs1NVg0cWlyZVdpUT09IiwibWFjIjoiOTQyYWZkN2I5MjQ3MmQwNGFmODVlZjEyY2U1ZjdlZDg0YTExYjdkZjFkYmRiZGEyNjYzYTBkNWMyYzk5ZWNkYSIsInRhZyI6IiJ9/eyJpdiI6IkxHK01NbDN4WlhLWlRCUUFlZGtrZEE9PSIsInZhbHVlIjoiZldvYk5Bb3BIS3hHVWc0cVFFdkhCQT09IiwibWFjIjoiZjJhNzgyOTRjMmJkZGRjNmMxZGI5ZTU0OWEwNTIyYTZmNzkwMmQ2NGRlMmNiZmM1ZTYyYzYxOTU4NWExYjY1MSIsInRhZyI6IiJ9/eyJpdiI6InFVVDJEaTlyVGRCMUFyNXNKbWxheUE9PSIsInZhbHVlIjoiMTRuWWpySCtPVEV6YU02eVhWeWtNdz09IiwibWFjIjoiNzE0ODc1N2JhMGIxMjdjN2YxMjI4OWE2NjhlMDI4ODQ0YWE0NGJhMGE5NjM1N2QwMzllMDNkMDFlNGQxMzI5YSIsInRhZyI6IiJ9
Haryana,2019,NARESH,BARODA,Bahujan Samaj Party,False,7654,NARESH__7654.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im5ZZ1p2eGRpSTZybU5VVXFTMERXc1E9PSIsInZhbHVlIjoiZUJzK2FBbWEvQWZlTnNOemtoV1R2dz09IiwibWFjIjoiOTViYzNkZGE4NzE4NWE4ZDEyMjdmOGEwY2YwN2JhZGRiY2VmZjZhNDQwNTUxMmJhMTI5Y2FiYTQyZTRmYTVmOCIsInRhZyI6IiJ9/eyJpdiI6InU0S2ozTE50MVpjYnozcEFxMDlkVnc9PSIsInZhbHVlIjoiYmdrVVdnMnByUytSS09JSDNnQVhXQT09IiwibWFjIjoiZDAzOTRhZmZkMmExMThkZmZlMGQ4Nzk4ODE1ZDE2OWEyMjdhNTAyNmRkZjdkYzI4MGVkYWIwNDljMGFhM2U5NyIsInRhZyI6IiJ9/eyJpdiI6InpscmtCRzRFT25FTGpGYnFJUWdsd0E9PSIsInZhbHVlIjoiZ2g2Qmdtc0lkYm9LQkhtYnZFNVpZUT09IiwibWFjIjoiYjFmZDczNWE3Zjk1ZTlmNDYyYjIyOTViNDA4ZjNkOGFhZWI0NjcxYjQ3MTc3NjI1MTAxNWY1ZTJiNWJjOWIxMCIsInRhZyI6IiJ9/eyJpdiI6InR6MDdUQjMySytQMjdHVSt5RHB5T2c9PSIsInZhbHVlIjoieXZiYThkZSt2aVgrUU5lYWtMNExMQT09IiwibWFjIjoiNGQ2ZmMyZmI0NDdjMzRjNDVlNWRiYTFhMDUwMjI3ZThlMmQ5NmM1YjUyOGE2YjQ3M2VkZDBlZmQ0YzAzOThhOSIsInRhZyI6IiJ9/eyJpdiI6IlpodjBSbVFTUHpLOUYrZ2ZRRDVTa1E9PSIsInZhbHVlIjoiM21BTUFLMzZER1NVWnA0UXZuekZ4dz09IiwibWFjIjoiNTg2NmFhNjlhMWU2YTZmZThjMWU5MzgyMDM0ZTM4ZjNkYmVjNjY3ODk3YmFkZDYzOWM1M2IzZjNkYzgwYTljOSIsInRhZyI6IiJ9
Haryana,2019,SATYANARAYN,BARODA,Loktanter Suraksha Party,False,8138,SATYANARAYN__8138.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkdYNWtMWTMxaDZ0RE5HREl0dWxkVWc9PSIsInZhbHVlIjoiUmpXQWRyVGxJa3hvR3hQR1pTVzRwUT09IiwibWFjIjoiYTg3YWUyMjFkNzZmOTlmMGQ2MjA0ZGNlZDE1Mzk0Yjc4ZWQ3MzUxZThkZGRkODlkMTBhNTY4NmNkNzEzN2I5ZCIsInRhZyI6IiJ9/eyJpdiI6Imt0Vm9vUnRCdEhaTTFtaUJSd3dHV1E9PSIsInZhbHVlIjoiL0JpWXBSS21DSlFQMXFiQlgxR0JRZz09IiwibWFjIjoiZjYzYTZiNDA3MzIwZjc3ZTZjM2ViNWY5NTNmOWYyMDE5Y2JiMDA5MDg5MjQ2Mjk1OWE3ZTExYTFhZWVkMDU5YSIsInRhZyI6IiJ9/eyJpdiI6ImpTcUFEWnRBcFVXa2duNHBVSG9oZlE9PSIsInZhbHVlIjoiWGtBY0NndTR3RkFET2FQbmZldERhQT09IiwibWFjIjoiMTBmMmQyNjdjMzIzZTJmYTc2ODA5YTVmY2FjMzQwODg3NTZiNWEyNjk1ODY3ZTkwMTJiMWRkOTA1YTI0ZGQ3MSIsInRhZyI6IiJ9/eyJpdiI6ImNCYVBEZkxFUmg1aTRlejFLeHRHVGc9PSIsInZhbHVlIjoiR1NpQjFkQUtEZVhDUUFWdlowUE5sUT09IiwibWFjIjoiZjk4NjIzYjIyMmRkZWZkOTU5YzBlNjg5MDQ3MTNmZDRkNTk2OThmZTlhNWY4ZGZhNTgxYTIxYmFjZDEzNDgyZiIsInRhZyI6IiJ9/eyJpdiI6IlpXMkdncmFwbm9ZczlRQW01UUd5bnc9PSIsInZhbHVlIjoibFNROEJLQ1Q3ZUlnZlptVk9RQVU3dz09IiwibWFjIjoiZTZiNzliZjZmNjQzOGI3NDdkODQzZjY5MGFhMGQwM2NhNTk1ZTdkNzNmNzA0YzJkZDVkN2VkM2FkYmMzMjkyMSIsInRhZyI6IiJ9
Haryana,2019,SRI KRISHAN HOODA,BARODA,Indian National Congress,True,1618,SRI_KRISHAN_HOODA__1618.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImpTZGJPMndqVHE2RVc4UXZpSVVmV2c9PSIsInZhbHVlIjoiam5lTmJjbE0vU0Npd29hbGVMMGY3UT09IiwibWFjIjoiNDhkNzVkNDFlN2JlYTgzZTcwNzk4NjJhYTNlNGM1MDRlM2NmMmFiM2Q0MTlkOWQ2Yjk4NGIzNGZiZGVhMDBhYiIsInRhZyI6IiJ9/eyJpdiI6IjA0Z3dFaGE2ZysxZVErQnRUZ2x4MWc9PSIsInZhbHVlIjoidWk3YWFaSkhRN2F5M3JkU3pKck5HUT09IiwibWFjIjoiMzVhYjA4OGI1NDUwNGIxYjc2MWM1NGExNDUzN2ViYjU4ZDVhYWQyOTkyOTI2NTc2NWVjZDc5NTQxOWRjN2VlYyIsInRhZyI6IiJ9/eyJpdiI6IjN4aE94OWZVWDhwSWJjdjladCsyVGc9PSIsInZhbHVlIjoiQ3NkNm94U1NNS3pRVWp0aFo3WkJldz09IiwibWFjIjoiZTIzMGE4NGNlY2U5YWZmM2MyNGM4NGQzOTc0ZmVkZGM2Yjc3NzYzOTk4N2VjOGE4ZWY5N2Q2ZWVhM2JiNjBjZCIsInRhZyI6IiJ9/eyJpdiI6Ik55bHozVGxjQ3Y0VDVLOW1NOGNDYUE9PSIsInZhbHVlIjoiS0ZFcU5EMU43RExzOWRVYlZNdTc5Zz09IiwibWFjIjoiNTAwOTcxNzhkYmM0Y2VhZDgyMmFlNGM5ZGQ2ZGI3ODc1YzFiYWU2ZjczNTdmZDZmZDQyOWU1MGM0ODk3MzA0MyIsInRhZyI6IiJ9/eyJpdiI6Ik9JVXRBWm1WcFdEcWJYWExoUFlBMkE9PSIsInZhbHVlIjoiakNQUU1GaTlNcTlEbXdCbjNXQzdDQT09IiwibWFjIjoiMjVhZWYwNzAyNjAwYmM1OWJkNzQxM2NlNzdmZDI5NTMwNDJjNTg0ODhjNjViZWI1MzU3ZGUxNDcxMDUxMmJmNiIsInRhZyI6IiJ9
Haryana,2019,KALU RAM,DABWALI,Bhartiya Shakti Chetna Party,False,5432,KALU_RAM__5432.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImpIU1hkU3NVQUdxVjJLRUU3Z1hPb2c9PSIsInZhbHVlIjoic3Qrb3YweW02MXZaUTNjMmlMTjZTZz09IiwibWFjIjoiZmQ3NWRjNDMzYWZmN2NkYzZiMTBmM2MxY2FjZWUxYTcxZWE1YjRlNzZhNGY4NWE5MWI1Nzc4MWVjOWZiMjU5NCIsInRhZyI6IiJ9/eyJpdiI6ImFlU3MwcERHWXdnYnIxVDZvb3NON0E9PSIsInZhbHVlIjoic29XRlZ1RGc5K21ENWpCTlEzVUY1UT09IiwibWFjIjoiMWFlOGI3ZDQyYWIwNGIzOWY4NDJiYWUyZWY5MDBmMTIyODY4YmYwNWVkZWY1ZTRhMzlmNzAwYzc0OTljYjQwYSIsInRhZyI6IiJ9/eyJpdiI6Im5OSUdnR2pIQmJyMTUrZXAxQjcwMGc9PSIsInZhbHVlIjoiRnM0SWNDOTJwQUxERWdFSFphY1BzUT09IiwibWFjIjoiOTMwYTNjOTRlMTFkZWNhYzZjNDAzZjIzZjg0NmQ4NDFmYmY4Njk3NDQyNjM2OTk2MTJmZTI0MDk0NmY4MDJmMyIsInRhZyI6IiJ9/eyJpdiI6IlpWRDlRK3BGWVpTMVRTQzNEM3JJZUE9PSIsInZhbHVlIjoieE5lbWtKenUwWXBOZHRZbE4rNCttdz09IiwibWFjIjoiY2E2MGViNDQyMDA1MDUzOGNjOGM4ZWQ3OWY3MzY1MzMzMzQzYzczYzg0N2MzY2RmN2Y1MzUxMjU0YmViZGViNSIsInRhZyI6IiJ9/eyJpdiI6IlY4OHRaZERDZnpWQVhzSFlsendKaEE9PSIsInZhbHVlIjoiUDQzdUhFTWFVZzZqMWp3TVFyZ1BiZz09IiwibWFjIjoiZjk4YTY1NWJmNDhkYmU2OGNkNjJhODQ1MGRjZDMyMTNkZjliNGJkMjdlYjk3OWEyOTlhY2Q0ZGQzMmQzMWYwYSIsInRhZyI6IiJ9
Haryana,2019,SANJEEV KUMAR,DABWALI,Independent,False,2052,SANJEEV_KUMAR__2052.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ino3YjVUMFZmWlVod21jd3M4NC8wQnc9PSIsInZhbHVlIjoibG95bWtZQy9jQ2JGMm5qSzhNc2Iydz09IiwibWFjIjoiNTA0YWE5ZTMwYWFhMDc3ZWFlYTdlNTU3N2M1MGQzMjY5OTAwOTUwNzQ1MGFkNzI0NGQ0ZWRhYjU2NDk5M2JjYyIsInRhZyI6IiJ9/eyJpdiI6Im0zcDhEMS9qaG5HRjM3bDJsZHBtWHc9PSIsInZhbHVlIjoibkNxSkdRZTJCUWp6RklhbEc5L3NQUT09IiwibWFjIjoiNmYzOTkyYTYzOTYyMTc0ZDVmOWI4NGM4Y2ExMzYwNWZkMmEzOTViMDhjZDkyODFjMmVhMzhiMTY1YjUwZjAxNiIsInRhZyI6IiJ9/eyJpdiI6InltYzlZMXFyQzNqdDY3RHdHZlpSOUE9PSIsInZhbHVlIjoibGZpRjMxbFQzZmxmMWc2c1NHRnJZdz09IiwibWFjIjoiZGJkYWE0M2EzNTFjMmMwOWY4M2NlZTg3NWYyYTZhYTRmYjRiNTcxN2VmZDI5MzAwYjQyNzcxNTA3ZDViNzdhYSIsInRhZyI6IiJ9/eyJpdiI6Ik9RbU9GWDhLeWd3N3NoOUI0ZGlJbWc9PSIsInZhbHVlIjoieVNmQ0srSEZjanc2WXRZd1Mzci9zZz09IiwibWFjIjoiY2QwZTNmZjM3YWY1YWMzZTNlNWM5YjdmZTVlMTc5OGQ4NjgzNDNlNGY1OTdiZjEwNjliMTU2NzlkYzE3ZjZlYSIsInRhZyI6IiJ9/eyJpdiI6Iko0MXFIQjhYaEVVVGE3YlBVRC91QUE9PSIsInZhbHVlIjoiUWtZam1CRHhrMFhyTllNVFA0cVh6Zz09IiwibWFjIjoiMWQ0Njc2MzkxMThkYjc5YjljYWFhYTI1OTk0YjU5YmUxNjA5ZDQyZDViNWZkYTEwZTNjZDRhZjFhNTkyMDUxYSIsInRhZyI6IiJ9
Haryana,2019,SANT LAL,DABWALI,Loktanter Suraksha Party,False,4928,SANT_LAL__4928.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IktURTk1TTdWWXJNZEtGMTMyeUUzVWc9PSIsInZhbHVlIjoiVE1sQzNkY05pNTNPVytRU0xLRVU3dz09IiwibWFjIjoiMGQxNjU3YTI0NDY0NDMxYmVlNGU4OTQ2MTBjMmFiYjJlYmE2NTY3MjI3YjQ1ZGMzMDE3NTFiYmQ0ZjY3YjlmZSIsInRhZyI6IiJ9/eyJpdiI6IkgzMDhFUEFSZHZRdjFXNnk5TU5lR3c9PSIsInZhbHVlIjoiWEFxSGtNK2N1TFdRQktYUzZFeDJJQT09IiwibWFjIjoiNjk4ZjAwZmYyZmMzYTc2ZDI0YjA3NDJhOTlkMTY5OTExYjFjNTZiNGY4OTUzYjIwOWIyOTA3ODQ1M2ZjZDZkYiIsInRhZyI6IiJ9/eyJpdiI6InBsZnpCSkpLMk5RTEUwZm1ENElwcHc9PSIsInZhbHVlIjoiZ2p5ejBkYS9sdWQ1WUN3UlpDL1ZqQT09IiwibWFjIjoiZjgwZjg4OTAwZjEzOGYzNTNlNGUzNWY3NDI0ZTViZTk5ZDVmNzIwODdhYTM2Mjg4MTQ1MmQ3ZTQxOGU3OTllYiIsInRhZyI6IiJ9/eyJpdiI6IjhUYTFKYlYxUW9wM3FaZS92UHIzcEE9PSIsInZhbHVlIjoiU1JoQ2ZXYVhuQjFacDR0dFVEd0tLUT09IiwibWFjIjoiNzcwYjQxYzQ2OThiMjNiNjRhZTY1ZWQyMGNhNGNjNTA3YWFmNjA3MGY4ODhlYTVkZjlhN2M4ZmExY2U3ZTZjZCIsInRhZyI6IiJ9/eyJpdiI6InhBUW9DUTRSaXEwZnJBTm5TM3ZRcmc9PSIsInZhbHVlIjoiSm9CeEllTU15d2wvSkhXWXBkdCtLZz09IiwibWFjIjoiMGJiZTgyNTNkOTFmYzRlOGE2Zjc1YzRjNjgzODMxNDZmNzY3OWUzNjllNGYwZDQyZmJjNDFmMjk5NzhlODFiOCIsInRhZyI6IiJ9
Haryana,2019,SHARVAN KUMAR TANWAR,DABWALI,Independent,False,4281,SHARVAN_KUMAR_TANWAR__4281.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjJGaWNUVVFzOVhMdVBJZE9mbXNEcnc9PSIsInZhbHVlIjoiQ3EwcmV5RHNIRzRSU0hoaUUzNEhIdz09IiwibWFjIjoiNDFhNjJkYTNmMzY4NDE5NGY2NDI5MDYxNTM5YWQ1ZTBiMzJiZjRkYzFiNjAxMTI5MTI1ZjFmMzZiZjdiMmMyMCIsInRhZyI6IiJ9/eyJpdiI6InpuaGc2SjVIaXQ0a0ZvbnNzQktwbnc9PSIsInZhbHVlIjoieXBRQTBxZE5SZWxjMTVFMENIV1pydz09IiwibWFjIjoiYWUyMThjM2ZiODYwMjdkNDVkZTUxMWI3ZTMyZjRiYjVjZTdjZTBlMGQzMWQ1NzhmOTk4NWM0YTA1MjI4YjQ1MCIsInRhZyI6IiJ9/eyJpdiI6IkFqaHdLQS9HQitoSU5zc002dWc2S0E9PSIsInZhbHVlIjoiOXNIamswbHBwYnl1UVNTaWlDNmszZz09IiwibWFjIjoiYzU2N2U1Yzk1OWJkNGI3Yzg0ZGMwYWJkOWQ5MTY2NmM1YzViN2EyMjU2YmI0MzBmZDIyYzg0YTRhYjY3YjdjNiIsInRhZyI6IiJ9/eyJpdiI6InU2V1VIMXhtVGVubndpVkNPRjF2bmc9PSIsInZhbHVlIjoiSDZlUUdFVEFYSVR0L0luOTVnWGVodz09IiwibWFjIjoiYTY4ZmIyZjY5MTM1ODg1MGI1N2U2OTJmOWNjN2ViM2EyNzA1ZTYxNjk5NzNmZDA3MzVkZTczMmE5ZTE2ZTkxOCIsInRhZyI6IiJ9/eyJpdiI6Im5jd3gxbnp1WGR4QUFObHp0M3V2RVE9PSIsInZhbHVlIjoiRE9QZ3pNWU9HYys3d1MrN3J0NmMwdz09IiwibWFjIjoiNjI2MWY0MWQzODI3Njk1YWVkMDUzZWNhZTA3ZDE5YjA1ODlhYTcwZTJkZGEwNDVjNDNjMGZhOGM1ODk0Y2IwOCIsInRhZyI6IiJ9
Haryana,2019,SUBHASH CHANDER,DABWALI,Bahujan Samaj Party,False,4037,SUBHASH_CHANDER__4037.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImZaNnRkeEljemxhNktadDEyWWJxdGc9PSIsInZhbHVlIjoieFF5cmw3R0EvV1ZRNm9JUGV2akJtdz09IiwibWFjIjoiZWRkNjY5MzNkNTJlZmRhNTUyZTkxMjRiNzFmNTgwOGUwOTVhMzZhOWRlNTIyNWEzNzhmOWNhYmNhZTdmYTBlNyIsInRhZyI6IiJ9/eyJpdiI6IjZhZmV5QzRBWi80Tjg3aW1TZEI1QUE9PSIsInZhbHVlIjoiV3FSN3VlTXdMZlZPV2JObXovMERHdz09IiwibWFjIjoiMzk4YjY0MDBhYWE1MDM0MDA5NDQyZjE3M2ZhMzQ1MTRiNDU3OWYxNGM3NGFjM2RiZWU0NWFhOGVmZmIyMTAyMyIsInRhZyI6IiJ9/eyJpdiI6InFZRk1QYUQwZWs1NW14Q0JCSUlrd0E9PSIsInZhbHVlIjoiYisvY3o5VUFLaERrdERIaDZqUzk1QT09IiwibWFjIjoiYTU5YTlkODI3YmI4N2QwNzY4NjUzNzZhZTg0NGI2YjY1YWY4NmM2MTdjZTk1NTJkOTY3NjE3ZTc4YjVhYTAwMCIsInRhZyI6IiJ9/eyJpdiI6ImlqSmxZOUpYOG5FUHBUTkVYVWJ4S2c9PSIsInZhbHVlIjoiT1FubVRlYU8zOUkycHJUSkNVeGVRUT09IiwibWFjIjoiY2U5OGY1ODE3NTlhM2RhYzYyNzg4YTRiNjU3NTFlM2Q4NGIzMWRmYjllMjZjMTgwOWNjODkwOWI0OTYxNjU5OCIsInRhZyI6IiJ9/eyJpdiI6Imx6WXpSNU1ZV1VBYTlvakk3OWNCTEE9PSIsInZhbHVlIjoiZGhzZWtqVmVNcEsralJsQW9CdXF5Zz09IiwibWFjIjoiZDlmNzY5ZDE5OTg2YTQ4MmVjMWRlOWM0OTI0MDA5ZTA4ZWVlOGU5ZDA3MzFkMzc4OWE3MjBlYjBiODEyMDc3NiIsInRhZyI6IiJ9
