state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Karnataka,2023,K.R.SRIDHARA,B.T.M Layout,Bharatiya Janata Party,False,4338,K_R_SRIDHARA__4338.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ik4veWlsTlh6MFBzRXRvdXVxcDdCZmc9PSIsInZhbHVlIjoiMnVNSDYzYXZrbXVUaTlCQ21JQytwZz09IiwibWFjIjoiMzgwMzhjOTEwNWY0ZjBkNmQxZjQ4ODlhMGJhYTBlOGNhMmZhMjI1MTA1OTI4YmRmNjMyOTBkZDZiZjJkOTQ4NSIsInRhZyI6IiJ9/eyJpdiI6ImhNdnp1TUlDWVM0a2JLV1RXOTZUcEE9PSIsInZhbHVlIjoibE5MRy8ybGFHVlZPZlFpdC9nclkrUT09IiwibWFjIjoiYjQ5Njk1ODhhN2IzNzNhMjRhNzk5YmExOGI0N2UwZjhjNzJhZWU2ZjhhMDMyZmUwOWVkY2FiYmUwMGFlMDU1ZCIsInRhZyI6IiJ9/eyJpdiI6IkVyYUVISzMyM3Z0UVo5a2wrK0g1MkE9PSIsInZhbHVlIjoibWMrK1NBaWJrTUhXVHl2Vm92VTBMdz09IiwibWFjIjoiMDFlNDk0YjQwY2RkNTNlMWZjYmFiZDdiY2U1ZDgwYzcxZTFjNjlhYTY0YTM5YTMwYWI0OGQ1NTAwOGI1ZWY4MiIsInRhZyI6IiJ9/eyJpdiI6Ik1XMUpDUDVZYzM4aWhreWlKWGg0MUE9PSIsInZhbHVlIjoiOUxtZFA5d2JmTjkxcnJFUUcyOWYxZz09IiwibWFjIjoiYzlhNmJhZmEyMjE1YWQyZDI1OGJkNWYzYzhmNTJiZDAzMTYzYzJlNmI1ZmQwMDczNGJkMjNhNzRkOGQ4Nzk0NCIsInRhZyI6IiJ9/eyJpdiI6IkFTVDN3RDlyL2tmemdsNkZ0UUl4Z1E9PSIsInZhbHVlIjoiMUtiSXBYVWRoMHlQNDhtLytOdzhRZz09IiwibWFjIjoiMjY3OWU0MjBhYWZjOGRjZjdkZWE1ODg2NzVhYTcwZDM0MzUzMzMyY2Y4NjEwZmNjMTQ4MmE3MTZlNWU1MzczZSIsInRhZyI6IiJ9
Karnataka,2023,H.K. SURESH (HULLALLI SURESH),Belur,Bharatiya Janata Party,True,1145,H_K__SURESH__HULLALLI_SURESH__1145.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlpaRjhDRUNOQ050cHNYWCtPN3EwM1E9PSIsInZhbHVlIjoiV2xRTDVJTXZ3REJoK2t4T3lra0kydz09IiwibWFjIjoiMzk0ZmQ4YTBhOWE2YjBmNzM3MzdlY2RjM2Y2NTQ0NWE2YTc1MjY0Nzg1NjBiZWU1MzNjYjExNzVmM2E4N2YyNSIsInRhZyI6IiJ9/eyJpdiI6InBMeThISnNud1d4NFhXTE1zUGJYenc9PSIsInZhbHVlIjoibFZkVXVsSTBQZEIvQWdiekVJc09FQT09IiwibWFjIjoiNWExNjI0ZjlkNTczZTMzNGE0NTg2MTQzY2I5ZWU4MmIwNzQ1NWRjY2E2NzVhMzZiNjhkN2VhZjdjNGYzZmI1NiIsInRhZyI6IiJ9/eyJpdiI6ImVJVUR2Rk9maEc0em1HekE5NmEzQkE9PSIsInZhbHVlIjoiOVlXRlJLNU82anJ1MTIxTzczVkF2UT09IiwibWFjIjoiZjIwNDVhNmMxYTJmODNlNjA0ZGRiNDk1MzE2MmY1MDNjYmFhYzNiMDgzNjBiMDk3NzQ4NDU3YjBkMjg3NTAxYiIsInRhZyI6IiJ9/eyJpdiI6IkRUZGNKcTQ1RGVuRDJkQTVlM2FrNkE9PSIsInZhbHVlIjoiMHFyd1BvbHpxMUFIT202NDE0MlBqQT09IiwibWFjIjoiMGQxYjM3NDRjYmQ0NmZlMmU1NmM0ZWY3ZTBhMDlkMjYxZjE2M2I1NTZmZjI2YTFkMmE3YzNmZDU4NTllOGM1MSIsInRhZyI6IiJ9/eyJpdiI6InA4MEVJb1ExbDFaU1Y1U2VMUUZDYVE9PSIsInZhbHVlIjoidjdNOGZDZ3RnSFZNRmNOOGgwa1VMQT09IiwibWFjIjoiYWI3ZjFiNDFlODI0YWRiOTkyZWY1OWNlNmFmODk5NTNlZjRiMDljZGJlMWNlNTYxOWY3MGIzM2Q4MTU0M2RkYiIsInRhZyI6IiJ9
Karnataka,2023,BHASKAR RAO,Chamrajpet,Bharatiya Janata Party,False,631,BHASKAR_RAO__631.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InZ4NXlGZm1tZm9lbzF1UGVNa3ovVWc9PSIsInZhbHVlIjoiY0FDRzd0ZGExNTZMVllqNCtWVGJLZz09IiwibWFjIjoiNjk0Zjk0NjFiNzI1ZmQwZGY2YjAxYWUxMTc5OGI3M2JhMGJlMGU2ZjM0NTcxMzdkZjUxMjU3YjcyNDUwNjE4NCIsInRhZyI6IiJ9/eyJpdiI6Imc2bjFBQXNvTyt6NkxLQUxCM3V6VXc9PSIsInZhbHVlIjoiUEh5VWZZZ0kvS3lyb2VTK0dnM3Jmdz09IiwibWFjIjoiYzk2ZmU3YjcyM2JkYmJlMTA1MmE2MTAyZWMzZTE5NTkxNGY5ZGI3YWNmZDUzNzBmNzU0NTQ3YTExYTk3ZjIyNiIsInRhZyI6IiJ9/eyJpdiI6Ikc1TDZWZ3dQVGxsaVdITnJheklKUlE9PSIsInZhbHVlIjoicXU5aGhQWlg1My9xYTNmN3dxRjY0dz09IiwibWFjIjoiMjQ0ZjhiM2M5YjQ1YjFlN2ExYmFmN2ZjODMyZDJlY2I2MGUxYzg0YTY0YTg5ZTg2ZTFkZWMzOWM4MjU2OTUzMyIsInRhZyI6IiJ9/eyJpdiI6IkdCUkxTYWZDV2xjMm5GcnY1ZDJodlE9PSIsInZhbHVlIjoidmFqVzlLWlYxMFlqVzAvdjlZUGVUZz09IiwibWFjIjoiZDhiYjMzOTVjMWQ2OTgxYjcxMDVkZjBiNjA1YWY2YTYxOTFmZjIzNWQxZmRlZWYwZjVkNzA3NmY1YmVlYzFjOSIsInRhZyI6IiJ9/eyJpdiI6IkFBUkV1VWp1aENNMkFQcStIZWVNT0E9PSIsInZhbHVlIjoiZDFTaHRyMGlpZlcxYS9ZZk44N3VxQT09IiwibWFjIjoiZTdmMDFmMjdkZGQ2YzRmNTI4MTY5YzQ1NTNmYjdiMTRhNWVlMmQ4YWJiZDM4NjFlMDlmMDJiYmE1NWJlMTE3YSIsInRhZyI6IiJ9
Karnataka,2023,MANIKANTA RATHOD,Chittapur,Bharatiya Janata Party,False,4641,MANIKANTA_RATHOD__4641.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ilo2WUw1MkIxVFlIMGJGNk1Hc3J4YXc9PSIsInZhbHVlIjoieHRZeG0ya0o4U2o4b3NROTFkSzAxdz09IiwibWFjIjoiMTQ4ZTUyNTA5ZGZjNDU3ZDIzZjRhMWI1NDI5ZDI2NmJmYzc1OGE0N2ViNmZhNGQ3M2ZhMWZhY2YzMWRlZjEyMyIsInRhZyI6IiJ9/eyJpdiI6IktWcW9zaWJyWTEwK0d1bXhMTS9KbVE9PSIsInZhbHVlIjoiS2lvVlIxRzNPZXN3U2EwZEJoYWM1QT09IiwibWFjIjoiMGViMmEyMzk2OTJlZDM0NTM2YmI2MTQzZGMzYTU4ZmFmYmJkZmNjYzc2NWRhNWMxMGI3ZTNhOThlZGU3Y2FjNSIsInRhZyI6IiJ9/eyJpdiI6IjNMd0ZFa1ZuMnAvOW50bHZnUkdiK2c9PSIsInZhbHVlIjoibzVwdHlITEppS2w1OGtZc1hPZENZQT09IiwibWFjIjoiZDQ5MDk0YmNjZGJlZjUyNzlmOGQ2Mjg5MGM3ZTYwN2ZjNTlmZTQ5OWZlMTIxNzg0NTMyMzgyMWI3OWNmYzI1ZSIsInRhZyI6IiJ9/eyJpdiI6InVtcmNGRVZSTThNSnk0Ykx5a2RvMnc9PSIsInZhbHVlIjoic011SnRRUzhWUjBCNlI2K0RiaWd1dz09IiwibWFjIjoiMGQ3N2U2ZDY0NWE4YjEyZDg1MzVlYmIyOTFmNjU5MDc5ZDc5MTliZGE2NjFkN2Q2NDcxMTFjNzE4ZTRhMjhlMiIsInRhZyI6IiJ9/eyJpdiI6IjJQc1M1ZzZ3dFNUYmVZS0Z6K1pUb2c9PSIsInZhbHVlIjoiMDA3cWVGMGFTNHdoRXJXYXJvWFJNZz09IiwibWFjIjoiNzE5MmJhZDExYzU2MTFkZGMyOTExZThhMjA0MDcyZGI1NDk1YWQ5MmYxZjFkZGIyYmRjZGNjYmZiMmRjZmFhOSIsInRhZyI6IiJ9
Karnataka,2023,IQBAL ANSARI,Gangawati,Indian National Congress,False,2457,IQBAL_ANSARI__2457.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkVGQjJ1b2hxaE9YdE9HV0xwWmF2N3c9PSIsInZhbHVlIjoiWUwwU1VMc0RsZWtvUXJlRkRyNmlEQT09IiwibWFjIjoiMDgyYWEzNTQ3NDg1NDFlNzA5YjE3Yzk0YTE3ZTZhMWY0ZWEwNTdmOTllOTU0MmY5MDA3MjI5MzA4ZDVhMjI3YyIsInRhZyI6IiJ9/eyJpdiI6InIwN0Vtemlndy8xTTBNZHpQQnNYRGc9PSIsInZhbHVlIjoiZ3NYWGFoNUQ1VkdBNUVWTFdacTFBdz09IiwibWFjIjoiNzUwZWYzZGU3NDQxOGVlOTc4MWVmOTk4OGFkMmJlMzUxY2Y2MDZlYmE4OGU0MTllMWNmMjBlOWRiMzQxNWM2NSIsInRhZyI6IiJ9/eyJpdiI6IkpLQm9tSmdsdDVmMEcxVEV1VVE3YUE9PSIsInZhbHVlIjoiYkJtcFc2RlZPZHRtRnRSWjEzWWRsUT09IiwibWFjIjoiMjY2YTQ0MWE1MGMzNzhjNjAxYzljNWI2YThkOTg1ZjY1ZDFjZGIxMGM2MDFkNjE3YjQ1Njk4ODEyZTg1NWU5ZCIsInRhZyI6IiJ9/eyJpdiI6IkpWWENGSXh0NjZpR09xbXd5cGdpYVE9PSIsInZhbHVlIjoiWEhCNzFMM0N5alFSKytQcHhtazJIdz09IiwibWFjIjoiMzg5OWVlNjgzYzg1NGM1Zjc5ZWUyOTE0ZjBhYzE5N2UyOTBhZWZiZTI4MjI3Njg0YTA0ZjRmNWE0Mzk5OWQ5NCIsInRhZyI6IiJ9/eyJpdiI6IkdlVnFtRFZGaEZlU3ZUYlB1ZEs0d1E9PSIsInZhbHVlIjoiRDNvTU52NkJ2RkZBTjJWRlY1K0ZaZz09IiwibWFjIjoiMTdmZGM3YjNiNmE1Mjg2ZjJjYWE4NzM4MDlmNDZiYTVkYTAwMGQyNTM1MGM5Y2UzZmIwMDI0NzM0ZjZlMWZhYSIsInRhZyI6IiJ9
Karnataka,2023,R. NARENDRA,Hanur,Indian National Congress,False,1297,R__NARENDRA__1297.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IklYSkJYVlVuSWsyQVVoRkpmRTd1eWc9PSIsInZhbHVlIjoiRnJFTFVWOXJlRVk4RGpBZzdBeHJ2UT09IiwibWFjIjoiYjVmYzIyNGRiMTQwODU3MTI2NGVkYTRiZGRkNGM2MmQxZTg5NjI0M2Q0NDE3MzcyOGZiOTRhODRkOWQwNTEzZiIsInRhZyI6IiJ9/eyJpdiI6IjdOU0Zjc3d6S2U1eUFQbDNPZ0RnUnc9PSIsInZhbHVlIjoiVjZCVmNEV2pYaXNOSXhiSmZvSkF6dz09IiwibWFjIjoiM2ZlYjc0NDU4ZjE3ZTFjZWI4MGViODliMjkxZWUxMjJkYTkyMmU1NGIyYzczZGNmMjk5N2JlMWYzNzYwN2Q2YyIsInRhZyI6IiJ9/eyJpdiI6InFNUG80M0RPSEpsUWtmb2tKNEpja1E9PSIsInZhbHVlIjoiVHRlbExobGMrOGJkZWoyV01NUWcyQT09IiwibWFjIjoiZWM4OTc3NDEyNDhhNGJkYjBiZmJmZjEzYzRhZDA1NDkwNjNiOGJkZGY5NzcwZGNlYWY1NTViNjEyMmYwYTZiZCIsInRhZyI6IiJ9/eyJpdiI6Ik9vemZuN2VUTXE0QVdxdGFFNFlvVFE9PSIsInZhbHVlIjoibUZ1aVRUMnRjSkxXdGlQUktTeWVRdz09IiwibWFjIjoiMGE2ZTNhMDFjMzUwYjVmMzliZjkyNzNmMzkxNTFlMjk5ODgzYjc0ZGM3NzUyMWZjMTUzNjJmZDYzYWQzMTc0MiIsInRhZyI6IiJ9/eyJpdiI6Illua3RNNDRmYW9rVGw0M1pBUG1IbFE9PSIsInZhbHVlIjoidm1WNXh6MFRXZTNPZEZWSThLTjBOUT09IiwibWFjIjoiMzQ1NjNiNTAzNzUwZGQ4NTc0ZDhhYmZlODk2YTY4MmE4MzI4YWJiNTUwNDUwMzVlMzdhNDk1Nzg3MmVhZWI0OSIsInRhZyI6IiJ9
Karnataka,2023,UJANESHWAR BASAVANNAPPA BANAKAR,Hirekerur,Indian National Congress,True,3354,UJANESHWAR_BASAVANNAPPA_BANAKAR__3354.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlgxdSsweUQxOXRwcVhZTHd6RStqMXc9PSIsInZhbHVlIjoiSGFtZ1R0U3VRY1BqeFVaRmhyQjZTUT09IiwibWFjIjoiYWVhODAyMzBmODY4N2E4ZDMxNzhlNWZiZGQxYjVjNDEwZTNlNmI5M2UzNWI4MzQ0MDIxY2UyMWYwOTM3NGYzNCIsInRhZyI6IiJ9/eyJpdiI6ImdMYWtUbkYzQ3JFUTFkR0tTcFpvbVE9PSIsInZhbHVlIjoiVmpqeXdRQm1aZ21Ud1JwdWJKZ25pUT09IiwibWFjIjoiZjM2NTQ5NzA2YTM4NDQ2NDQyMGMzZTRiYzMzNGM1YzkzNDM2MjQ0MGQ2NjUwMTY5OGIzOWFjMjhjNjIyMzUxNyIsInRhZyI6IiJ9/eyJpdiI6IjNvQmgyekp5RFVHa2p6TGVHTGJrbkE9PSIsInZhbHVlIjoiOWtGSWlvUkFrYzd2RDFnNkpndEE5QT09IiwibWFjIjoiZjUzZjYwZGY4Y2JkMzdlY2ViMDM3NWU3Mzk3ZmNlMDA3YmI1NmQ4YWUyYTVjODA0MjhjZDg2OTNhZGRjZTNmMyIsInRhZyI6IiJ9/eyJpdiI6Inl0MWp1eHgxbksvNUtleDY3MzAzUEE9PSIsInZhbHVlIjoia0llRTFobHhRaVhuWjlEOW1ta2UxUT09IiwibWFjIjoiZGU0NzEzZGRlYzYyZDNhYzJkZDZhMzBjZWNlMmQ4ZWQzYzQ3MmYzODE5YzJkM2EyM2YwYTk0OTFlYzE0ZTNkYiIsInRhZyI6IiJ9/eyJpdiI6Inp1VUJMakVHUHcyemV5V2x6SXdVY0E9PSIsInZhbHVlIjoiZWVFWWtNaXRoYXdRTTAzeFo5a2s1QT09IiwibWFjIjoiOWEyODFjYWI5ZGQxODFlYWZkOGMyOTFjYTk0YmQ5YjBjNTFhMGM5NDkzZDQ3MDFmNjdhMmRjOTFiNDU4N2Y5YSIsInRhZyI6IiJ9
Karnataka,2023,N NAGARAJU,Hosakote,Bharatiya Janata Party,False,1019,N_NAGARAJU__1019.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlkyQVRyWDZNS2VWSDZER1RFMG85c2c9PSIsInZhbHVlIjoiaVBXTEMzQTlCc0pJOXh3UlJMVW40QT09IiwibWFjIjoiYjc5MTY1YTNjNDUzZTYzMDEzZjM5ZDA1ZTUyOWU2OWZhY2YwY2NlYzE2NWNmZTZlMmRjMDFlMjhmMTdhZTY0YyIsInRhZyI6IiJ9/eyJpdiI6InZteDRkdi9CN1VITi9xNkl2YnU4VVE9PSIsInZhbHVlIjoiQkNTdDFObDl4dU5CRG16VXlZVm1sUT09IiwibWFjIjoiN2JjZDU0ZTkzZGQyZTRjZmM4NGNiZGU4NjE3MGMxNDU0ZmYzY2I4NmE5MTdjNjNkYTBhZGUwMjczYzE2YWNkNyIsInRhZyI6IiJ9/eyJpdiI6IkRGMlVKMWZtMjhlaERtNmIwdVAxZWc9PSIsInZhbHVlIjoiN084RW9PL0xTU0dhc2RRaWJCRklpZz09IiwibWFjIjoiZDZiYWUxNWU5OWEyZmMzODcxZTJkODc0ZmYyZmYzOGZmNzE5NTU0NjM4MjIwZDg2MzRlNDhjYmVhOGJlYTAwZiIsInRhZyI6IiJ9/eyJpdiI6Ijlld1duaitqcVBNQXUvZ2g3bEQ2YlE9PSIsInZhbHVlIjoiMnJjY2VkTDd4MWtZeEd3Z0h4NmZEUT09IiwibWFjIjoiYTMxZmQ4ZjQ5MTFlMGFhNWIyNjM4ZjhmMDRlYmU5MjYyYzgyMGJmMmM2YTMwMTg3ZjljYmQxNjg2M2Q3OTJhNCIsInRhZyI6IiJ9/eyJpdiI6ImM3OENvcHJmUldWd3BtWXBadkRld3c9PSIsInZhbHVlIjoiOWtUR3QrS3FTa3oyNFJUT3htV3RvZz09IiwibWFjIjoiYTI0MGE5NDIwMjg5MzFiY2U1MDFjYmU1ZTgyNTFkOWY4NGUwMGNhMDJhYWUzYzRjZjIyNjk1YjdkZDU2NDJkZCIsInRhZyI6IiJ9
Karnataka,2023,DODDANAGOUDA G PATIL,Hungund,Bharatiya Janata Party,False,1288,DODDANAGOUDA_G_PATIL__1288.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkdncHM3eXlKS3J6WFUzQ0tTWi9ZNkE9PSIsInZhbHVlIjoiOHJwWjV5azFtc0djd0FyamVNRk9OZz09IiwibWFjIjoiMjBkMWM5ZDEyOTE2MzI0NWU3OWVlZmM1MmFmY2M5NDFjMmQ1OTI1NWU2MDgyODk1OGRkN2E5ODVmMzMyMTE0ZSIsInRhZyI6IiJ9/eyJpdiI6IkF2cnBldlJNN2dDUXo4clBGZll4UUE9PSIsInZhbHVlIjoiR1pUU2xaS1Z5cnpTTEtGWWlFZVNSUT09IiwibWFjIjoiZWM4YzY2MGIxMGI0MTZkNDQ0YzAwNmVjNmYxOWQzMTRmNmFlYjIwYzQ3ZDYxMWRmNzIzMTE5YmEwMGNmYjRkMCIsInRhZyI6IiJ9/eyJpdiI6Ii8wZnkrVjM1S1RBS004U1BuRVFXMEE9PSIsInZhbHVlIjoiQWtvV29zemcySFRsQ2dVVUFmRHBUdz09IiwibWFjIjoiYjg2MDBjZTkwNTZiOGE0NmUyM2ZhNTcxMzkxMDc5MjQyNjNmNzNhZDExODcxNTQxOTg0MTVkMjFjYmZiNDg4OCIsInRhZyI6IiJ9/eyJpdiI6IjJUUUtZWVBNZTNqeUtGOWN1cDlrOXc9PSIsInZhbHVlIjoib2M1MklUNEYreStIL3I5b29iblFJZz09IiwibWFjIjoiODRkYzFhYmZlMTAzMWQxNzMxM2NlM2UzMjNjOGIxNDM2MGJlNTRkMzlhMjM2YWM1YjljNjljZGMyN2QzMzI0MCIsInRhZyI6IiJ9/eyJpdiI6InVsK0FjcHkrWFFzZmkreFpPbmxZWkE9PSIsInZhbHVlIjoiN1Uyek81dmlERjR3ME50K0V4S2lEQT09IiwibWFjIjoiZmM5N2ZiMjMxYmU5NmU4MTcxYTAwMTdjZDc1Y2UyM2MwYmQ1OWE5YTZlY2FjNjdiNjFjNTJlNThmMWEyMTFjMSIsInRhZyI6IiJ9
Karnataka,2023,AJAY SINGH,Jewargi,Indian National Congress,True,1219,AJAY_SINGH__1219.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkVBNjJsYkdQNXJlRjVaNE9tdHpWbHc9PSIsInZhbHVlIjoiSzhQZmQ0V0R6NDMveUZSN0VmbEZ5dz09IiwibWFjIjoiNDBlOWY1Yjg4ZmJkNTcyMzAyNmVkMmQ0ZjgyODMxZDI0YTIzYTZkNTRhZDMwNmJiOTZmZWIxZDgyYTJjNmUzYyIsInRhZyI6IiJ9/eyJpdiI6IllEbEkxUWhmQ082K3Z6ZTNMT20zNFE9PSIsInZhbHVlIjoiZzQyU1pLbFlYSzM4YnRlNkVWOWhwdz09IiwibWFjIjoiNWRhMzc3YmNmOGU5ODUyYmUxNjM4ZDJkNjlmM2M2NDJlY2JhMjVlNWE2NTU0NzY1ZjYwZGU5YjNhNTU3YWJjMSIsInRhZyI6IiJ9/eyJpdiI6InltT2d2UXZiRE1TSnAxUG9RY2llWVE9PSIsInZhbHVlIjoiT29JYVZSaHVMMHhJV0NRWWpCck9UZz09IiwibWFjIjoiZDg0MjEwZTEzNjdiNDNlMWYyZWIyZTRiZDMwMDc2NDZhMmJiZGQyZmI3NTRiNmUxNDllYWY3Y2U5MGZjMTI5NiIsInRhZyI6IiJ9/eyJpdiI6IkRBaFcybHFlSUVUbE0vcGhhZXZEWWc9PSIsInZhbHVlIjoiNVhWVU1sMlFwdFBpdkVLWFFoMVlKZz09IiwibWFjIjoiMzU3ZTM0N2EyODA1OTkzOGM0ZTMxYmJlZWZkNmI2OWMxMjY0MjI3NTFlOWI0ZmU3OWY5NDI5MzkyOWQ1YjRmZCIsInRhZyI6IiJ9/eyJpdiI6IkR2NEx1QWdHRG5PY1R5ZnNXcjlubGc9PSIsInZhbHVlIjoieHhRWVlpTm81Q0pJaEoxUkFIazB4QT09IiwibWFjIjoiOGNiODE0MDcxMzNkMGM1Y2E0MTM0MWE0NWQwYWI5NTZmYTlhZDJhZTc4MGQ5MWViNTg3OGQ1YWUyMzA1NDYxNCIsInRhZyI6IiJ9
