state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Kerala,2026,O.S AMBIKA,ATTINGAL,Communist Party of India (Marxist),True,910,O_S_AMBIKA__910.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkpXeUVRQmZ0Z1NPSm9QUTBGL3J3V1E9PSIsInZhbHVlIjoiOTNIMVdFeHVrZWJ6OFM4V2dHVUpGZz09IiwibWFjIjoiNmNmMTg4NTI0M2JmNWVhZWI1ODNjNDc4NGJkZGIwYTk5NTIxOTU5OWM4MmFlZDVkZmJlN2YyMmE2M2RhYTZhZiIsInRhZyI6IiJ9/eyJpdiI6IlJncnNiL3lmcUQwMUZuc1U4UkZ6ZVE9PSIsInZhbHVlIjoiU3BJaURETGNZWUlFNEt6bDZ1Z2R0dz09IiwibWFjIjoiYmI5ODYwNDA1NzFjNjYyMjAzNmMwMWJmNmJiMTc2NTI2YmEyMmQ2YzRiYjQ3ZTU5YThmNzIxNDZkZWIzNTk1YSIsInRhZyI6IiJ9/eyJpdiI6ImdTNzRidm85M3Npc1R3Qms1bllWVnc9PSIsInZhbHVlIjoiOGtlL051OW0rWHZmMWd0eXRXWEthdz09IiwibWFjIjoiMTM2NjQyZWVlZTJhODhlNzM3ODNkMjRmNTA1NzYyNTJkYjFiNjkyYjE1NzRkMjVkOTUwMThiN2Q5YWI5YjUyZCIsInRhZyI6IiJ9/eyJpdiI6IjFPZEo3cUJjUjlnQVBlNTJkTlpmUUE9PSIsInZhbHVlIjoiK00wWjQ4UnE4Mnc2TEYxZXFTd1VEUT09IiwibWFjIjoiZjVjNWMwY2U1NjFiMjIwZDQzMTcwYTQyOGUyNjJhMmIyYjM4NWM0ZGMyNjQ3ZjdhOTAzNTM4ZGI4NTc5YTA1OCIsInRhZyI6IiJ9/eyJpdiI6IlE2TmJwY050MVJzOFlwNXJsbmxjcVE9PSIsInZhbHVlIjoieFM5ZHlQMWtyYTVhcHBIVVI4NG03UT09IiwibWFjIjoiMWEwOGU1MGVhNTM3MTE2MjVmZjAxMWZjZWI5NGEzYTQ0ZWY2NmY3MTcyMzkyYjVhOWJiN2I0YzIzOGU2YmZlMyIsInRhZyI6IiJ9
Kerala,2026,M. M. NASEER,CHADAYAMANGALAM,Indian National Congress,True,4065,M__M__NASEER__4065.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImVRblF3VW9RQUk3Nk9xV2NMaGhQNUE9PSIsInZhbHVlIjoiWnN3elp6NGlPUkdVNUthbDRNR25HZz09IiwibWFjIjoiM2M2MzJkOTU4MDlkNDE0Mjg4NDM1ZGQ5ODJjMmI5MDZmMTRlZmQzNjU4MmQyZTZkMjJjZTA5NWFjNWI0ZWI5MiIsInRhZyI6IiJ9/eyJpdiI6IjVEbTg0LzRsWDllZEpzZk81NFcxM1E9PSIsInZhbHVlIjoiNVFkUCt5dWlGbWdNMXd1YzM2YVE0QT09IiwibWFjIjoiNWY1ZTIyZGRhYjZkYzcwMDAxM2FjMzAzNGUyNWQ1OWQzOWJkMjM5MTQ3YjM1ODJjYmEwMjdlNzA2MzE2NzYxYSIsInRhZyI6IiJ9/eyJpdiI6IkR1OUNkenFxNHZDQzVyZ1ptUG40eGc9PSIsInZhbHVlIjoiUW9qUmRNRTNiSytWM2lEQ0VBSWRyQT09IiwibWFjIjoiMWQwYWQ0MmYyZWYzYjVkOTYxZGJiNTYwZTUzYmUzZTgxMDViNWFjNWJkYTJhMmQzZjZhZjNkMzQ2MTI5YjVkNyIsInRhZyI6IiJ9/eyJpdiI6InVUbzAzZ0VsbXNabms3N3NZL09VY3c9PSIsInZhbHVlIjoiYXI0WjduMmEvelMyTHRQeUpuZmNtZz09IiwibWFjIjoiY2JiMTMyMmQ5MDMyMTcxMGQ4MmQ3MWQxOGQ4MGNkMTA3OWZiYzI5ZTMxMzdjMGRlZmQ4MjNkNWNmNzExODFkNiIsInRhZyI6IiJ9/eyJpdiI6IlQ2Slo5YVZwakozUkFFOXhNaDlBSFE9PSIsInZhbHVlIjoiZjVjTVJscTYxTjlZSmxHZG9rbm5ndz09IiwibWFjIjoiNmQ4ZTI3OTFlZjA4ZGFkZGY0NzMxN2JkYWVmNzljNmFiZDUzMDk2ODJiYjVkYTU0MmMyMmZhZGQ1MjA0NWE1NCIsInRhZyI6IiJ9
Kerala,2026,B.B.GOPAKUMAR,CHATHANNOOR,Bharatiya Janata Party,True,767,B_B_GOPAKUMAR__767.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlR2SHRGcDBiQW5kazRYc2p0Qkd3dkE9PSIsInZhbHVlIjoialRKWnhZRUdoSVh5NXZIR05NTU5FQT09IiwibWFjIjoiMWUyMDZmNzU3OWI4NjFlOTU4NjBhZGY3ZmE4Yzk0OWFmNjJlN2YyODk1ZGM0ZDBlZTVmNTQxYTljZTI0ZTI2NSIsInRhZyI6IiJ9/eyJpdiI6IjVpTkE3VGQwN25MZ2krK1FTWDB0V2c9PSIsInZhbHVlIjoiempja0Rkb2J1QllJcTdUQVpKNENqdz09IiwibWFjIjoiNzBjZGUzOTYxZTE3OWFlYWE4MTZjMTVlNzRlOWU5MjRhYmFiNGFmYzlhNzU0OGQ4ZWJlZjc0MzRjMWQxNDI4ZSIsInRhZyI6IiJ9/eyJpdiI6ImZ0ejZtaXhyQVN5ZHVJVURhSmZVK2c9PSIsInZhbHVlIjoiWlVZeWZETndFV3lyOW5rZGtsVk85QT09IiwibWFjIjoiOTBiMWU2NzU5MWM1OWZmMjFlYTkyYmU3ZDZjOTc5ZjM2ODUxNTA4NzBkMGI1YzgxMjA3YzJjYWRiZjBjZjIzOCIsInRhZyI6IiJ9/eyJpdiI6ImJOVWRCQjl1T1ozM1FTd21yTnF4RGc9PSIsInZhbHVlIjoiVEJ3ZUtjbHdRbnZ1MnBNMW9jN2lxQT09IiwibWFjIjoiODE2NWI2NWIzMTBjYTA5YWE5ZGEyY2VjNjIxYWVmYTgxYzYyZjc0OWMwZjk5NzBiMDdjNTM0YTFhODQ0ZGJkZiIsInRhZyI6IiJ9/eyJpdiI6Ijh4bFNhTHdWOVFHZWtDS0h4Q2ZpdlE9PSIsInZhbHVlIjoiSjJGdUN1Y1puM3pDNUMza3VIZTRWQT09IiwibWFjIjoiYjMzZGEzMzE3YWFjMDhlOTc0MjFlYzY1ZjY2MTY2YWQ5YWVjN2M0MDVjYWU2Y2Y2NjA1YmEyZGE5Y2RiZWYyZiIsInRhZyI6IiJ9
Kerala,2026,SHIBU BABY JOHN,CHAVARA,Revolutionary Socialist Party,True,566,SHIBU_BABY_JOHN__566.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjFHdWJwSHNpUUMvbThxR1FrQWxHN0E9PSIsInZhbHVlIjoidmhNTHArS0tDYTROSVNjR1VncFkwZz09IiwibWFjIjoiYTEwNzJhYjE0MjkwZTZhMDAzOTU2YTI5N2I4MGE0NmJiYmMwYmM2ZmI2NjM1Y2ZjNmM0ZGI2ZTlhZjMxYjhkYiIsInRhZyI6IiJ9/eyJpdiI6ImZnT2VBZEQ2Q3VlNzMvYkk4RTFTc1E9PSIsInZhbHVlIjoiOEVVNTFEb25tblNVOEZMS2YzckVCQT09IiwibWFjIjoiNzRmYjI4NzQ1ZDY0OTk4NTNmNDU4M2FmNWFjN2FiODBmYzU5NjFkNTdjMjA0ZTkyODBmMGJkNzQ3ZGIwMTI1ZiIsInRhZyI6IiJ9/eyJpdiI6IlBvK3AzblpvUS91b3d4SUFXTnZYV3c9PSIsInZhbHVlIjoibzV6c3QzVmlMOUJkalBQODVMdXpTQT09IiwibWFjIjoiMzNlMTA1YTlkMTM3NWM2MTI5ZTJhODFmYTM1NjQ4NjhhMGMxY2UwMGEwNTFiYmQ5NmY4MWFjYzczMzg0MjM5ZiIsInRhZyI6IiJ9/eyJpdiI6IjVDWklOS00xZ3Y5Q09FTkFyVXR5K3c9PSIsInZhbHVlIjoicnNNU0M4L05ITkN4d2tkZHphVE54dz09IiwibWFjIjoiNWM0N2UxNTQ4ODc5YWUyYjVhNjFhYzQyYWMzNzBjZWJhN2Y0MWYyNTI5ZDViMDlhNDc5OTI2ZTQwZDFlZjY5ZiIsInRhZyI6IiJ9/eyJpdiI6ImpuTGRtL3ZLTklyMDlCVFZ3akRWdWc9PSIsInZhbHVlIjoiZUVGL1lHUVdVT0FrYkNnQVFmTjAyUT09IiwibWFjIjoiNDc4ZDgwYmQ0NDU3ZTQxZDE3NmY4ZjI3YWRmZjVlMTU1MzIzM2I5ZDY5OGZlNDg1YjliNDY2OGZkODJmYWViOCIsInRhZyI6IiJ9
Kerala,2026,MANOJ EDAMANA,CHIRAYINKEEZHU,Communist Party of India,False,503,MANOJ_EDAMANA__503.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlpaSHpvd244bnlzMnl1M0pIakxYamc9PSIsInZhbHVlIjoiU1BJVlh4OHNCdG51WWYzMmZFUVRiZz09IiwibWFjIjoiMTc0YmQzZDNmZTZmMWZkMTY4OTI4NDczMzJlODZlNzFjOGY1NDY4YWE3MzQ4ZDFkMmViZTBhNGZjZTkzYmRhYiIsInRhZyI6IiJ9/eyJpdiI6IlNMMW5qWE5YZ3FtWjRKcW1sdENVQmc9PSIsInZhbHVlIjoiTXdjU2xuMTgvYzNVNGhoMUh6R08vUT09IiwibWFjIjoiMjBmMjU5OGQyNDAxZjQ0NWRlODk2MzViMDEyNDdiYTRmNDcwMWQzYzMzYzcyYTE4N2Y1ODM4MzdhMDA0ODc3MyIsInRhZyI6IiJ9/eyJpdiI6ImJ4L0xJbDVTSVVCRUo0RVNTRU5OSVE9PSIsInZhbHVlIjoibjlhamdUZG5JWmxrc2RDTE93Q0VmZz09IiwibWFjIjoiZDI2ZDkyOGQzYTliMzk1MDBhNTQ3ZGJhODYxOGIwMDdjMWI5MzNiZDVjMzY2NTVjMDM0N2Q2MmRkMDZkNmMwMSIsInRhZyI6IiJ9/eyJpdiI6IlJVWkp1bDJXbGpHc3paSW9pTjFLdnc9PSIsInZhbHVlIjoiU1RzQ3haZGFiU2JVMU1GNURPUW54QT09IiwibWFjIjoiYzA2MWM5ZWM2MTBlMmQyNTJkZGU2NzBmZTdhNDMwZmZjNWM3ZjhiZmIwM2Q3YjA3YzhiMWQ2N2Y4NGMzM2Y3MSIsInRhZyI6IiJ9/eyJpdiI6ImxTQXh6YXVVbk1HNDZyRTlGampVbXc9PSIsInZhbHVlIjoibmdvdzdHTGV6WTVaVmNrMGdMdFM1dz09IiwibWFjIjoiZGZjOTMzNTlhYTkzMWUxMGNlN2FmODlhN2Y5ZjVkNzIxYjM3OTZjMmI0YzRkMTE2ZTcwMzJlODc1YzA5NzQwYyIsInRhZyI6IiJ9
Kerala,2026,NATTAKOM SURESH,ETTUMANOOR,Indian National Congress,True,1442,NATTAKOM_SURESH__1442.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InI0UXR3b3ZReldkQTB5anR1Ny9xRlE9PSIsInZhbHVlIjoiejY5YzB3NGN4Y1FFZFZ5MFNjYjl0QT09IiwibWFjIjoiODc4YjAzNzRiNzIyOGFiZTg4NWI1NTlmNzkxYTM4NGRlM2VmYmViOTczMDQ3ZTA0Yjg3NjAxZTM3OWYyZGU4NSIsInRhZyI6IiJ9/eyJpdiI6InhuZmZzNFNxRU1UY28zRWxDVXV5d3c9PSIsInZhbHVlIjoienZMTEVoTGN6aU40WnVob2gwc2NOQT09IiwibWFjIjoiYTc2OTBlYzQzZTU3M2YyNjE4NDIwMDc3Y2MwOWVmZjg0YjFlOGYyYTU0YTUyZDMwNzgxYTQ3ZWZjYWRjY2U4MyIsInRhZyI6IiJ9/eyJpdiI6IjA2UzF6WW5pY09DcVIxTjJjWXh4SUE9PSIsInZhbHVlIjoiekhWazZrcG9iOWZtTHl3U2JxWDN5UT09IiwibWFjIjoiYjA4NzA3M2I0NjlhYWNhMWFkYmMwODExZTMwNDEyOTQ3ODAyY2JiZjRkNjNmZmM3MWMyMjM5MmUwODlkM2RiYyIsInRhZyI6IiJ9/eyJpdiI6InFncHk5c0ZBM3NOYjdtdnVEWVlmeFE9PSIsInZhbHVlIjoiNGxkUDNpSENvRDZBVGdDUHdPSlIxUT09IiwibWFjIjoiZDYxYjVhMDg1NGI0ZjJhZTgzMGY2YjNlYWI0MjJlNTczOGVjNTRhYjgwYzVlMzhmOTczYTIwZmY1MTgyMzYzOSIsInRhZyI6IiJ9/eyJpdiI6ImFLaFhRdWRzNDQvMzkvYWdtcHZWM0E9PSIsInZhbHVlIjoiY1VhcWxYM0t1N1FMTWtRcUw1R1NBZz09IiwibWFjIjoiYzA3MDgxNDI2OTA3ZjdhYTNlNDRlZjQxNDZmMTBlNmM4YWZiZjRmYTRkZDY1ZWZiZjJiYTZhNmNkOTIwYWEzNiIsInRhZyI6IiJ9
Kerala,2026,KALLATRA MAHIN,KASARAGOD,Indian Union Muslim League,True,1572,KALLATRA_MAHIN__1572.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im1KTHhRWjJTTlc2Qmlmek5pUEgra3c9PSIsInZhbHVlIjoiT083eTUwdFNTUXJyMzRPMk9HeFZZUT09IiwibWFjIjoiMTUzMjg2MjcyYzcwNmZlODQ3MDYwZTNjN2Y3MDlmNGVmNDQ2ZDEzYTUwZWJjMzY0OWYxMDIxZTUzOGQyMGVlYiIsInRhZyI6IiJ9/eyJpdiI6IitjSGJmcWNGeFNBQUVYdUFXaUVLbEE9PSIsInZhbHVlIjoibEVDamE4THpkbEZLRERoTWN1WEhDZz09IiwibWFjIjoiMmMwMjc1Y2NkMjQ1MTBiYmVlNGM0OWFmODg2YTNjMWM5M2RmNWRiYTYwNmU0MTNlMjkzNzYyODUxY2ZiODhmOCIsInRhZyI6IiJ9/eyJpdiI6InhCS25lMFFNaUVzcnJvK3ROMll6SVE9PSIsInZhbHVlIjoidGUxN0t3MncxOFdkckhOZk1xTnc4Zz09IiwibWFjIjoiODkzNGMzMjMzOTMxYTFkOGRhNDgwYTQzYmI2NjYwMDk4ODI1MWQ1MDQzNWUwNDVkZDc4ZTNlNmZkYjgxNjkzOCIsInRhZyI6IiJ9/eyJpdiI6IlB6Rm5jWGpMZHdCMTJiRXBydThBdFE9PSIsInZhbHVlIjoiWVUvczBKU0c1TFo5OStLZ01WOFl1Zz09IiwibWFjIjoiM2EyYjJjMzRjY2JlOWMyNmRjNzRkZDVkZWZlNDA4ZWNmNTAzNTBlZjU1ODcyMjBlZDZjYmIwOWI5YmVmYTA3ZiIsInRhZyI6IiJ9/eyJpdiI6IndrWjdEVHk5S0hGQ1FzZ1FaNXFuNXc9PSIsInZhbHVlIjoiMmYyRjF1dDhvQXppbGhOVTZHYTRNZz09IiwibWFjIjoiOGI2YWY4ZTk1ZDc0NTFmNTNkMTdlNjNlYjE1Mjc5OWIwOTgyYmMxOWIwNzZlMjhkZDA2M2NlZmM0Y2ZmYWY2YyIsInRhZyI6IiJ9
Kerala,2026,ADV.U.PRATHIBHA,KAYAMKULAM,Communist Party of India (Marxist),False,1047,ADV_U_PRATHIBHA__1047.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ikhkc0E4Wk5VeVRmNkR3eFBaNDlnQUE9PSIsInZhbHVlIjoiYkFKK2E2WDFGTklpR1RFVEUzQ0R5QT09IiwibWFjIjoiZTBkZGY5Nzk1YjA3ZDVkOTIzNTdlZDkzNGY1MmFjMWVjZGY3N2Y4ODc0NDY1YjgzMGJhNmQ4ZjM0Y2IyYmJmZCIsInRhZyI6IiJ9/eyJpdiI6Ind5MG9wbk9WcFpOd1J6VTNwTkpjVGc9PSIsInZhbHVlIjoiSEEvbmJwVDJpNXhOZTdWVXF1TUpWQT09IiwibWFjIjoiMjhkOTAzYjdkYzlkN2IyYjIzNDIzNWRhNjI2MzEyZGJlYWRiOWU5N2Y2YjU4NWYzZTM0NmUyZGQxZTEyMzdmZCIsInRhZyI6IiJ9/eyJpdiI6ImpBRjBGTU56ZDNDR3FwMWtJd3JtMnc9PSIsInZhbHVlIjoiMDFPWFdMOXBzQjBna0JzWE1VUU5QQT09IiwibWFjIjoiYTQ1NjlhNGY0MDY4YWYyNzUyMjJkYzdjMzI0ZTJmYmFmNWE0M2E2Yjk0MWY3ZjkwZjFlMThiZWRkMmFhN2EzNCIsInRhZyI6IiJ9/eyJpdiI6IkF2REZFdXhWcC9FNjA2VGV2NTU4elE9PSIsInZhbHVlIjoiTG9RbEsrR1oxSTdDeFN6SUlKOTJBZz09IiwibWFjIjoiZTk2Y2FkODg2MGZmYWE4ZjBhZTA0ODY5YTRmMWEzYjE1MzQxODRmMGZhOWRkZjRlYzQ1MDEwY2VjNGQ0ZjkwNiIsInRhZyI6IiJ9/eyJpdiI6IlRoZ2NXc1BpUkc1TkNLS3F4WDdNdHc9PSIsInZhbHVlIjoiNk1INnJSYnhLTUV4QXpiL2k1SnhDdz09IiwibWFjIjoiNTVkYWQ5OWU0YTRiZmEwMzRlYjlhMDQzNTUwNzhlZWJkNThjYWZiYjFmZGY2MmM5NjJkYzdhMWQwZDU4Y2Q3NCIsInRhZyI6IiJ9
Kerala,2026,SALEEM MADAVOOR,KODUVALLY,Independent,False,4385,SALEEM_MADAVOOR__4385.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InF4VWZoTjNXaEdHc3d2T3l1VXZBVnc9PSIsInZhbHVlIjoiaU5NQXc1OFc0SzRRVDQwaGx3UDQ4dz09IiwibWFjIjoiN2QxNjllZjQ0YzU2OTU2ZjUxZjcwMzdkOWVjY2ViMjRlYTU2ZWNmNWMzNDVlMTRhODQyZGNkMzEyMmQ5MWJlMiIsInRhZyI6IiJ9/eyJpdiI6IlE4bWtyZjNMVCt0SmhidWJkZXdrUGc9PSIsInZhbHVlIjoicy90cy84STIvdEk3eFpjTDcxQjdXdz09IiwibWFjIjoiNzU5NTVhYTAyNmQ1MWYwOWFiNjJhZWE0NmM2YmU1Y2I0OTdhMmNiMDBlMjM4OTQwYzkwYzQ1OWVjMzAyMDFjOSIsInRhZyI6IiJ9/eyJpdiI6IjhRVEdwSHRnOXh2WVcxT1VhclhvK0E9PSIsInZhbHVlIjoiYlpyZVVWYzdWQkJIYUo3Z1ZrUWJKZz09IiwibWFjIjoiNjc4NTBhOThkMTU2Y2RhZmYzNTk0MmFhMDUxYjRhNTU0Zjk2OGRiNzQ3NjkwODdjYmQ5ZTg4NDVmNDVkODc5OSIsInRhZyI6IiJ9/eyJpdiI6ImZNRXJRWVJCVTVCT0haMWtEWEJWVHc9PSIsInZhbHVlIjoiWDluYlU1L3ozR29yVVVzMzl6cXlUQT09IiwibWFjIjoiOWFiOTMyYjFmMmVkOGFmMDg4NjQ4OWY4OGI2YTQ0ZmMxMjRjZTBkNTcxNDQ4NTE5ODU1YzQ1OTQyNDdkNjI3ZCIsInRhZyI6IiJ9/eyJpdiI6InlSOFJOVkJ6WmlUNXhObGtLYk9KU1E9PSIsInZhbHVlIjoiUGZSTmg0M3NuN3lFYUpucVBjamU3QT09IiwibWFjIjoiMmFjMDc3ZjkyNzVhZTA0YzI1ZWEwMTU0NzM4ZmM0ZDQ3NzBlNWU2NGQ2YjcwZGM3YzNmOTQ2NTJhZmE5ZWE3MyIsInRhZyI6IiJ9
Kerala,2026,RAVEENDRAN S/O ARUMUGHAN,KOZHIKODE NORTH,Independent,False,2329,RAVEENDRAN_S_O_ARUMUGHAN__2329.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im9hekJlVjkxTTRnTlBabDViZkpOTkE9PSIsInZhbHVlIjoiaEh6RzdpdGgzN1FyOUVjVHhrWjl1QT09IiwibWFjIjoiYmY3Y2I0YTM0YzU5YjAwNTg3MzRhZTE0NzQ0OWFiNmIxMjRhNTIxM2ViZDNmYjNhYmI5Mjc4NDA3N2FhODMyYiIsInRhZyI6IiJ9/eyJpdiI6InZVVk83dGhwMmN3MjNNYXc1ZkJCa2c9PSIsInZhbHVlIjoid09YU0tVZXJ2K3E1a0xIM1dtU3VWUT09IiwibWFjIjoiM2NlNmQ5NGNlZDIxZDdjZDU4MGYyOGY5NTNiNGM4MTNmMDdmZjM0YzMxYzlmNDUxNjJmOWY5M2E4YWQxY2I5MSIsInRhZyI6IiJ9/eyJpdiI6ImlHZks1NGU3STV1YmhUU3VJMUY2UWc9PSIsInZhbHVlIjoiOGx4LzIxS0VTQTlsUHVQRTgyQ01zZz09IiwibWFjIjoiNWNlZjExODBjMzliN2NkMmFhNTFhODdjNTgwMGZkNmMyMjUwZGMzZTFjNGU0MmE2MzRkM2E2MzVhMTA0YjZiZCIsInRhZyI6IiJ9/eyJpdiI6IlVBMFFhc2kyLzkveWdkYW5YWGUyUGc9PSIsInZhbHVlIjoiRVRONGljd0FmR29nTEJCU0NkbFQwdz09IiwibWFjIjoiYmZkNDQzMWRlODFiYzQ5ZWY2ZjFjMDJkODdmYThjNGNkYWFiMWMxYTFkMzVhOGE4NGZhN2MyNDcyNDczNDY1MiIsInRhZyI6IiJ9/eyJpdiI6IlloWmhGZFVxK1BRRGJhazdRdTRhZFE9PSIsInZhbHVlIjoiUVF3azloK3p4czdoU1RXMjIwc1dJQT09IiwibWFjIjoiNDhlZTM5ZTQwNWMwZWEzNWZhOTM2YTM1NGU3M2JhODk2ZDViMDc3ODE0MDQ2MzQ2Njk3MWYzM2QwMWIwNzg2NCIsInRhZyI6IiJ9
