state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Madhya Pradesh,2023,DR. YOGESH PANDAGRE,Amla,Bharatiya Janata Party,True,1141,DR__YOGESH_PANDAGRE__1141.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImFXeXRENXptMXk3NzMwakdSd1ZzOXc9PSIsInZhbHVlIjoiTHQwWWRyZUphZ0gxYWlQS01FMFJ0Zz09IiwibWFjIjoiZWRmNGM5N2Y1MGE1OGUxZThmZGJhZjI3NDBhOTFlYjBkMjlmNjhhNDRlOGIyZDE1MjkxN2ExZWY4YzZiMDQ4YSIsInRhZyI6IiJ9/eyJpdiI6IkJnem1pQnN0dWhBL0pFdllFZ0t6K2c9PSIsInZhbHVlIjoiTlV0QVVRYTZ5RkQ0cHNCM3FyZDFvZz09IiwibWFjIjoiMjhjMjJhNzRiNDI3Y2E2MWE0ZTNiOGM1ODUwYWY1MzVkOWE2NjQwZTYyNTYwNDM0YTBmMTFlMzZmNzg1MTVjZiIsInRhZyI6IiJ9/eyJpdiI6IlBKVVhYRkptYjRsLzFhMEJobHBaTnc9PSIsInZhbHVlIjoibVQ5QUNUQlQweTVoL3FRZWlxSnQ5dz09IiwibWFjIjoiMjgxZTZiZTRjNDc3NjQwZmI5YzBmM2Y3NGRkMDMxYWRiMjQ5ZjJjZjZkY2FhOThiMmU0M2U2YmYyNjRkNzAwNSIsInRhZyI6IiJ9/eyJpdiI6IksxUDVPUGtQa1BSeTRyMUpDTjJKcFE9PSIsInZhbHVlIjoiRklIWTk0ZjNEY01yTjcxUldxSHI4dz09IiwibWFjIjoiZDQ5YjFjNGY4YWU0ZThkMDkyMDNmNTM2ODdjYmU4ZDU5YzY4YTVjNGUwYmVmMWU0MGRlZmEyZWE2YjA1Y2JiNyIsInRhZyI6IiJ9/eyJpdiI6IjlzZE9TUUpmMkZGZTBNWElSaHh4UWc9PSIsInZhbHVlIjoiZG53MlcwM0o0ZUNKMzlCSTJqTlhNUT09IiwibWFjIjoiNTZiMmJhOGI3MTEzNDdhMWViYWVlNWFjMzE3NWUwNDNmZTU3ZDJhZTc5MDVmYWY5ZGYzYThlZTYwNjQ2YjM2OSIsInRhZyI6IiJ9
Madhya Pradesh,2023,SHIVNARAYAN GYAN SINGH (LALLU BHAIYA),Bandhavgarh,Bharatiya Janata Party,True,1958,SHIVNARAYAN_GYAN_SINGH__LALLU_BHAIYA__1958.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ink3WXQ4UEZsUHRpUE5pOGFYbEpaSVE9PSIsInZhbHVlIjoicHk0UUFNc1ZlOFpHbEp6Vi9Uc3Vwdz09IiwibWFjIjoiNmVlZDQ3NGM1ZmUzNTlkYjhkNTRmNjAzMDgyMjAxZWJhZmJkYmQ5ZTFlNTU1YzQzYzU4MGNjYTVlNGIzMTM2MiIsInRhZyI6IiJ9/eyJpdiI6ImZzdWZzajYwNG1xVUU1aW1vcWFYeUE9PSIsInZhbHVlIjoiZWhIYU1IVDNmV3NxVVFGTUpWNS8yQT09IiwibWFjIjoiNmVmY2UxMTI0NjY4Nzc1NDI5ODc5YThhNmU0MjE1NjdkNGEwMTUwZmY1ZjlhNmEyZTQxZGNlN2QzZTQ1NzM3MSIsInRhZyI6IiJ9/eyJpdiI6InBxd1hoK2V5MW16YjZ0Y2x2NllDMFE9PSIsInZhbHVlIjoiSFNNUGdFc0ZjRjB6UGhFczh6ZTk3QT09IiwibWFjIjoiMjhhYjMyOTk2ZmE5YTMyNjZjODM3NmRiYzAxNDlmYzRiODkyMGVmMDU0Y2E2NGZjNjAwNzRmYmZlZDQ2MDgwOSIsInRhZyI6IiJ9/eyJpdiI6IjNsdE9aY1BoeEZQaHV5R283N2hMS0E9PSIsInZhbHVlIjoiQ0JmalRVb09BbUI2bVNreWhiTlpuQT09IiwibWFjIjoiODliMzUwM2M0ZTQwZmU4YzE5NzY2ZTdhZWQ3OTEwNzUzNzhmOTkzN2RiMDY4ODgzMDAxNmJmNjk4Y2U1ZWU3NyIsInRhZyI6IiJ9/eyJpdiI6ImErUDJrTEErOFdhWFlud0lTZWovcGc9PSIsInZhbHVlIjoiSHkzeXVLeThlbzNWNnlnSWNzWG45Zz09IiwibWFjIjoiMWZhZTM5ZGM5NzJmYzMzNTE3ZjQ4MjEzMDlmZTk0OGExNGRkN2VkYzJhYzk2ZjU5YmJiNjQ4NjM3NWM2ZTU1ZCIsInRhZyI6IiJ9
Madhya Pradesh,2023,"SANJAY YADAV ""SEONI TOLA""",Bargi,Indian National Congress,False,2084,SANJAY_YADAV__SEONI_TOLA__2084.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InpwVExtcmJXcnhCQmFhck9OUlkvUmc9PSIsInZhbHVlIjoia1BOY2RneENieUcvbmpkcWE0cFBYdz09IiwibWFjIjoiNWM1ZmQyNTI2MjA1NjAxMGMzZThiYmQ3MDI5ZmZlZmE4ODNmOGUxYjc2ZTk4NDllYTZiOWU0YWYxNzVhNWNhZiIsInRhZyI6IiJ9/eyJpdiI6Ii9BQjZ2cDVpWFpyOEUwQ29QL013eGc9PSIsInZhbHVlIjoidHdVMTJzWWxka0xRRURWK3VMam1JQT09IiwibWFjIjoiMWYxMTA4NTMyYTFjMDhlNTEwZGFjZDg2NmZhMjNhMjEyZmZlYzkwOTkxNDZhYzVlMmJjNjgyZjg3ZDEzNzM1NiIsInRhZyI6IiJ9/eyJpdiI6Inl1cG1EbzhGNkJtYUc0dlZUVU5MS0E9PSIsInZhbHVlIjoicDRab0dDM05GVVMvVHZ0QzBiU3BUdz09IiwibWFjIjoiYTI4N2JlOWZlZWUwZTQyYTRiMTg2N2MxZWM0MjU5NGY4OTVkMGZlZWUzZTU1NzZjZDNmYTMyMzJhOGZhMmRmNyIsInRhZyI6IiJ9/eyJpdiI6Ik90am5LV1QyZ2VxZSt0WGI3WlczUVE9PSIsInZhbHVlIjoibzVTVkhtcW1VcTIzRWdYTkE3dXJqUT09IiwibWFjIjoiYjEzZWI5M2Y5MWYyZGExYmI0M2UzZWRhZGViYTQwZWViMzcxZTdjNzliNGQ1NTQyZThiYmVlMzM5MmRhNzA2MiIsInRhZyI6IiJ9/eyJpdiI6InF1SW9WTnpLUEk3TEliT2lhdkUra3c9PSIsInZhbHVlIjoicFlvOHd4allNdXozdC92K3A5VVdCUT09IiwibWFjIjoiZDM4ZjMxMzA5NmM2MGQwN2U1MWYwNDMxZTk0OTFmNDg2MGNlMWJlYjU0Y2ZlYzIxNTdiMTkwOWM0M2I0YjkyYSIsInRhZyI6IiJ9
Madhya Pradesh,2023,NISHANK JAIN,Basoda,Indian National Congress,False,2859,NISHANK_JAIN__2859.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IktaaGxkNUgxRXhZVXNzTmRjbENVZ3c9PSIsInZhbHVlIjoiMlorVHZUbUR5U1I3Y3pTZUs4cW1xdz09IiwibWFjIjoiZGM0MmVjZDk2OTc3MWVmMWY0NDdiNmZmODc5OWVkYmZjZDkwMGI4MGUzODk5MTM3MWRlNzFhNjhjN2EyNDljYSIsInRhZyI6IiJ9/eyJpdiI6IlJsbEJEM2xGMHU0blQ2SWwwZDlCOWc9PSIsInZhbHVlIjoiTW1qV281OUtYUkxSMWFXd29DbmlrZz09IiwibWFjIjoiNmY5ZDQ2N2Q2NWNkOTM5ZDkyM2JiMmI2MTkyOGJkNmUzNmJmZjI2M2Y0ZTFkNjNmNGZjMjlkNWMwZThlN2YxZSIsInRhZyI6IiJ9/eyJpdiI6IldiN0hIY3VBTVA2b28vQXRiN25jUnc9PSIsInZhbHVlIjoiUVRDV016UVVkSUVCVlY0OGwwbDdXQT09IiwibWFjIjoiN2ZlM2RhMzJhYmQwZWM5M2IzZGMyNjY1ZDhmZmU5ZTI5MGQ3OGFmOWFjMzFkMGZmM2VmZmQ0OGUyODQxN2JhZiIsInRhZyI6IiJ9/eyJpdiI6InNMaTV0a2dINks0cXB2SW9HUUMwc3c9PSIsInZhbHVlIjoiZGkwQzN4TmRSd0pEVW9kd1BBcWdRQT09IiwibWFjIjoiMzY0NzI1NWI4Mzc1ZDNiODg1MGNjNzlkOTE2YjE2OGYxOGQ2NTE0YTYxZjUwYTkwZmE4NGE1ZGRhNjU0ZTg5NyIsInRhZyI6IiJ9/eyJpdiI6IkJSR1JaN3ZWU2QxSEd6OFNhTDk4N1E9PSIsInZhbHVlIjoiUmoxK2lXSm9nalJiNzRBR3I0UDF3QT09IiwibWFjIjoiNWIzYTg3MzQ4ZWM4MWNjNWJlNDBjYmIyOTNhMzFmZWY3Y2Y4MDVkMTNmYjYyMjRjNjkwZWVkZWY5NWNjMTY3ZSIsInRhZyI6IiJ9
Madhya Pradesh,2023,GHANSHYAM PIRONIYA,Bhander,Bharatiya Janata Party,False,3285,GHANSHYAM_PIRONIYA__3285.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjdMOXpjNVg4RThvejd2aXFpR1A5UkE9PSIsInZhbHVlIjoiYllYenFaNXhvMU9LRGRQL29taWttQT09IiwibWFjIjoiNWU4NmYzODZjMzRkMjc0ODYyNTc4MmMzNzZmYWJhYWYwNzYwOTM1MGQ4YmU4MTg1OGYwODkzMWRjMWRlMzU0MiIsInRhZyI6IiJ9/eyJpdiI6Ik84N1FPVS9vSEN1dktOVnZ0Sk4zSUE9PSIsInZhbHVlIjoiL01aekZ1L3BkUXJhMHRvVGNOTjJ5Zz09IiwibWFjIjoiNGM3OTYwYTU2NmZhYzQ0ZjQ2NGU3N2YzNmNmM2RlMTM4YjVmOWQ1MTY3ZjliZjU0YjNjOTQ4ZmJmZTA3ODk4YSIsInRhZyI6IiJ9/eyJpdiI6IldBVk1ab2w4dTlZRE1BbEtvOHFYOUE9PSIsInZhbHVlIjoiMWZrZDVTYTBBaGJuT0Job1JvNUxsUT09IiwibWFjIjoiZjIwY2U2M2E5YjYxYzdjNmVmYmM3ZmM1MjNlYjk4ZGZlODEzOWY2NDc4ZjgzYmU3ODM1M2U0M2EzMGNkNDVmNiIsInRhZyI6IiJ9/eyJpdiI6IiswTEdNZEpac1JxNWpwZ1pFQWxMc3c9PSIsInZhbHVlIjoieVpiKzZNaVpPRHZ0dE9MUkNOb2lpZz09IiwibWFjIjoiODliZWYxMTIyYTlhN2NmMzI3OWEyYzIxMzhjNjI2OTM5ODI3ZDRkYzNkNTVkNmNkNmI3NDY5NjUxZWUzNTFiMiIsInRhZyI6IiJ9/eyJpdiI6IkhHQzlIZHZGdXdTY3hYL0lKU3dMUEE9PSIsInZhbHVlIjoicXY0bkYycmNrUy81YllyaDB0TThtZz09IiwibWFjIjoiOTczYTk4MjI3YWYwZWMxMDU2MTlhZDRiZjVmODA4NzQwNmI1YzQzMDVmNmFhOWI2OGJlNTZiMDVlNDc2NzdmYyIsInRhZyI6IiJ9
Madhya Pradesh,2023,SURENDRA PATWA,Bhojpur,Bharatiya Janata Party,True,1895,SURENDRA_PATWA__1895.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im0vbUovbGZmd0Y2ZFZRRisrNzdSc0E9PSIsInZhbHVlIjoiby9zT2FocUc2WlNLR2Q4RHlIbE8yQT09IiwibWFjIjoiZGU5MWVjZmQwMjdhZDNlOTExMDJmNTU5NWEzOTBkOWY5NzNlYTZlY2NlMzM3ZGVmOTRlZjUwNjc1YTgwYzA2MyIsInRhZyI6IiJ9/eyJpdiI6ImpOOGFra3VFMDIxU2t6M2t3Smg2Z1E9PSIsInZhbHVlIjoiVFU3UUg3eUF6ODhYcEhpSzhBMC9wUT09IiwibWFjIjoiOWE1NmY0MmMyMDUyZTgyYjA2YTRjZWVkNmYzNGM4MmIxNjNmOTkyMzFiMTA0YmVjY2Y5NDAxNDMyYjJhOWI0NiIsInRhZyI6IiJ9/eyJpdiI6IjdCNE5ETVF2dmFRanppbW56YmI5eXc9PSIsInZhbHVlIjoiZGF2bkhnVyt2Zm1IbUs1cFZQTy9WUT09IiwibWFjIjoiY2Y3NGNiODFlYTgzMTk0YzljODg4OWI4ZDhiZTkwMzdmZTJhMjk1ODMyZmI4ZmI2NzRmZTUyMDYzZjIyZmUzMCIsInRhZyI6IiJ9/eyJpdiI6Im05UWlvNGd3dUZDdlJ1RnhIMDc3eWc9PSIsInZhbHVlIjoia0FYRDRtTWJpWk4zVWt4NDlXOHNmZz09IiwibWFjIjoiMWVlNzcyNzQ0ODEwZmJlMGQ1MzllMWMwMDc1MjhmYTA5OTFkNzM0MGFjZmRhNmRjMDI5NjUyMDk4NTQ4NTEwMSIsInRhZyI6IiJ9/eyJpdiI6ImtzMnR2Mk1sNVpFRnoySGxmaWtGMVE9PSIsInZhbHVlIjoiUERyc0Juc0plU29ZOXhJUnpHYVRqQT09IiwibWFjIjoiMjFlZDBiMTg5NTFmN2Y4NDU4ZDQ1NWUyZGU1MjM3ZjFjNWJmNmRlZTFiOTQyMDk4MzBlN2RkMDcwMDBiNDUyZCIsInRhZyI6IiJ9
Madhya Pradesh,2023,DR. VIJAY ANAND MARAVI,Bichhiya,Bharatiya Janata Party,False,1503,DR__VIJAY_ANAND_MARAVI__1503.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InVsZnd5a2JCTHJnUDZSWHA1QXU5dGc9PSIsInZhbHVlIjoiTUFqd2NCSUVkZTN0alJsZE8zdlRwZz09IiwibWFjIjoiMTYwYjE1MjQ4NTYzZTMyNTQ4N2UwY2YyMzMzNGEwNTkwYjdmOWZkMmZmNDkwMjliOWU2NTlmZjE0ZjZlZWQ0NCIsInRhZyI6IiJ9/eyJpdiI6Ik5GaTIxMit0QXRkMzJNNzE5N05rSGc9PSIsInZhbHVlIjoiQTVRRG1SNXZBdlBKZWV0NEVRM3hFdz09IiwibWFjIjoiYWYzYmViNzIxYjY3OTUyNWVkNTYzOGM4ZGNiNTg1ZWUxZjUzMjliMTA0M2FiNTA2OTM4MjA3NzBlMWFlNTE5MyIsInRhZyI6IiJ9/eyJpdiI6Ilgvc1dpRUx0RVd3WDZkNUFHY1FiWXc9PSIsInZhbHVlIjoiUE90MlU2c1hMWnVPYkpxWUNQYkkzdz09IiwibWFjIjoiODBkOTUxOTk3ZTg3NmQzYTliODI0ZDgzMzc1NDU2YTgzZGJkZTQ5OWIxNDQwZjcyZjZiMDQ1MGI3NTJkYjE0NyIsInRhZyI6IiJ9/eyJpdiI6InhnVmlzd0NsVnNzTEJMdWFOcFY3OFE9PSIsInZhbHVlIjoiUmd4bkcrUk9na0dpZEJ6aTNCekJEZz09IiwibWFjIjoiZmRiZmMzMjAwZDYxNjczN2I5NDRlYmNkMmQxY2JkYzRlYzNhYTJlMWY4MGFjYzc5MTZmMmJlNWUxM2M5NGM0MSIsInRhZyI6IiJ9/eyJpdiI6InlNWER2Nmt3QnZNTStRZkxTR2szelE9PSIsInZhbHVlIjoidnAzQmlPVkZZVDMvbTJGY2xoMlMzUT09IiwibWFjIjoiYmU0ODk0OTcwMzFhMzQyZGQxMWY5NmJlMmQ5MjU4Y2U2ZDU2ZTM3YWU4ZmU4NTU4NmVlZjc1ZjMxNWNkMWEyMyIsInRhZyI6IiJ9
Madhya Pradesh,2023,ALOK CHATURVEDI (PAJJAN BHAIYA),Chhatarpur,Indian National Congress,False,3169,ALOK_CHATURVEDI__PAJJAN_BHAIYA__3169.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlZmZ25uWGY4aVRFTy9zZ3Z1RFR6R0E9PSIsInZhbHVlIjoiVjBOS0xhUGNrTjNBeU01anF5TTcrQT09IiwibWFjIjoiNzM2ZDVjYTZlMTFmYmJiOGE4ZWNiYTdjMjM3ZTNlNDlmZTU1MjI3MTc5OGY0OTQ2YmQ5MmJmOTRmYWRkYTI4MyIsInRhZyI6IiJ9/eyJpdiI6IkJtbzZIK1pJT0JtdHllWk9BSC90Z3c9PSIsInZhbHVlIjoicEdSRXYwM3N5NHYzY0lEalRRazZzUT09IiwibWFjIjoiM2E5MWIwNGM4MDNhNTE3NzliMTBiMWZkYmRlNTdjNmU4MzJmNWRlYjBmMTQxNDEyMGIzNmRlMjRmODdiZjQxMSIsInRhZyI6IiJ9/eyJpdiI6ImppMUw4VEI4NXZsRXgwdE1ydy9GS2c9PSIsInZhbHVlIjoiL25palhiTXk4M3UxbC83Y2VZSUNWdz09IiwibWFjIjoiM2EzYjY2MTlhNmIzYTc0YzExNDFkZjhkNGViMDMxNmFiYzBiNGYxODVhYmU1NTFjMWM5YWQ5ZmM1Y2QyNDRhNCIsInRhZyI6IiJ9/eyJpdiI6Ik5wRU1QTm5sZEdFMnVZZmZId1NKWFE9PSIsInZhbHVlIjoiblVqNkVJNHgxZE5lVEV2ZTlyeUNKUT09IiwibWFjIjoiZTRlZGM3MTYwMjFhYThlZDIxNWU5NGFmNzA5OTM5MzA2MWYzODNmYzI0NzkzZGFkODg0MThiMWNiNDE1ZmYxOCIsInRhZyI6IiJ9/eyJpdiI6Ijd5dWZvS3UyUWJhYlpwcXh1NForNHc9PSIsInZhbHVlIjoiMEJQNjRHMzQ3VHF4ZVErRE5vNlJkZz09IiwibWFjIjoiMjRkMWRkMjExMDFlZjk3NTFhMTJmN2NkNzYzZDAzZjMwMzdhYmIyOTI5NTYyZjk2ODA4YzUxNzA2ZjZlZjQ3ZSIsInRhZyI6IiJ9
Madhya Pradesh,2023,UDAY PRATAP SINGH,Gadarwara,Bharatiya Janata Party,True,716,UDAY_PRATAP_SINGH__716.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjE0NS9oQmdWa0hUd1Fwd3VNZVd2bFE9PSIsInZhbHVlIjoiOTdBV3V6elhFbS8rT2duN3QrL0psUT09IiwibWFjIjoiNThiYTE4ODljOTRlZTE1OTRiNTU1ODNkMzQxNjRiYzJmNGRmZTMwOWM2Nzg5YmZiYjM4OGEzZmEyN2IzNDk2MyIsInRhZyI6IiJ9/eyJpdiI6IncwRFhzdGhGaXRZTTREWnVtaXZpYkE9PSIsInZhbHVlIjoiQjhoYjNMVStWeEsvM2toWS9rYzRBQT09IiwibWFjIjoiNzZiZWY1YzE2ZTNiZjE1YTg2NzA1YmQwZjgwZDE2YWU3ZDhkNWIxYTNjNmQ0NWQzYjFlMGQyMzY5ZDRlMmQwYiIsInRhZyI6IiJ9/eyJpdiI6IitKL05GcU1ZOFppWFBNeVJKamlXcXc9PSIsInZhbHVlIjoibG9RS25zblFuU0d4aVl3NzgrcUcrUT09IiwibWFjIjoiMWQ4NjkwMGQ4ZDJjNTQxMTM2NmU4NjFjMjUxOTNlNDkyMTYxYmVjZWZiZjE0ZDc2ODE1MGZiMmZhMTdjZDIzYyIsInRhZyI6IiJ9/eyJpdiI6ImExb2NmVlMrMG5hVlkzazV1UkJkSnc9PSIsInZhbHVlIjoiNVZMNVpVaW5WaFcvNmhGcHNrRGVNUT09IiwibWFjIjoiY2M5NWE0NGY0ODZiMGExMTQ2ZjZjMzUyYTRlMGFmMjA1ZTIzNjMzMjIyNjY4ZjJiOTFiOTRiYzcwZGVhZDMyYiIsInRhZyI6IiJ9/eyJpdiI6IkNyWk9pSnBHdHRxb1Jnb21tYUZEc3c9PSIsInZhbHVlIjoiM0ZKU01RdThJNFpkdHBIV0dybDl5dz09IiwibWFjIjoiNjRjNjg2ZWQ2ZTgzNWJlOTBlYWIxYzdjMmVlMDMzMDY5YTBmMDY3NjhhYzU2MWFlZTA0YjA1YWE3NDU4OWViOCIsInRhZyI6IiJ9
Madhya Pradesh,2023,SAHAB SINGH GURJAR,Gwalior Rural,Indian National Congress,True,1751,SAHAB_SINGH_GURJAR__1751.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ik5KZ1hJYTg4THVmc1JMVzdtdWRpWVE9PSIsInZhbHVlIjoiNFE0aldqWWwxM0xrTHdNY0xZS0xKUT09IiwibWFjIjoiZGFkNjI1OTE5MzJiZWQ1NWFkZGY5MWU5Yjg3Y2ZmNGI0NzAwOGRiMjRlYWE5NjE1NzA1ZDdkMzA2ZDNmYzdjMSIsInRhZyI6IiJ9/eyJpdiI6IlFkRlBEeFZ1a1YxQUFHNDNVMzRNemc9PSIsInZhbHVlIjoidlF3UC8ybG1qOXEyekVsUFF6VitQZz09IiwibWFjIjoiNmQ3MmI4YzY5ODljNzdlZWJmMzJlM2ZkYTUzMDA2ZTJlMzdmZDY0Y2M1MmM4NzNjMzY3NWQ3NjlkODAxNDMxZiIsInRhZyI6IiJ9/eyJpdiI6IktGQkJyditESmx1dWFGOFFpOFNDUWc9PSIsInZhbHVlIjoiamdmNjltdWVhcXo4MW8yN2hBUlpnQT09IiwibWFjIjoiYTA3MWM4MzYxOTFmYmE5ZGE2NmI1ZTUyZTNmYjhiZjYyYjViYmY2OTA4ZThkZjYyMzZjOTUxMzRjMmExYjZhZiIsInRhZyI6IiJ9/eyJpdiI6IlhHTVR1THpISUIrY0o5Tm9WOU1QR1E9PSIsInZhbHVlIjoiNVo5VFBXSVdmR1V1STJjdytVZ1Vkdz09IiwibWFjIjoiYjcxOWIzZjc2NTAzZDliOTAzMmY3NjA0ZGMwZGNmZDcxYjc0YzE4NWVmZTAxNTY1MWYyNWJkNGMzOWIzZDhlYyIsInRhZyI6IiJ9/eyJpdiI6ImRkY2djcXFTUlF2dVVWZHF1UkpoQWc9PSIsInZhbHVlIjoieEwzSFgyMHJFelZuRVdjbEM2aDZYdz09IiwibWFjIjoiY2JkZjBjNjE2YWQ2MGViYTI1YTAxYjE1ZWI3YWQ2YTE3Y2E1MTRlYzE0OTc0MTc0ZWQyMTAxYmZkODZlYWQxZCIsInRhZyI6IiJ9
