state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Maharashtra,2024,AGRAWAL VIJAY KAMALKISHOR,AKOLA WEST,Bharatiya Janata Party,False,8340,AGRAWAL_VIJAY_KAMALKISHOR__8340.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkhwL2RrUEJzelg2QytVdXRTVWFLMlE9PSIsInZhbHVlIjoia2hEanh6RkV5WkhEY2dDT1djeVVhQT09IiwibWFjIjoiMTQ4MGZhYzdkOWYxZmYyOThkZGQxMTA4NWI2NzUxZTMzYjUxNDI3OWIyMTMyOGEyODY5OTRmNDgxMmJhZDA5MSIsInRhZyI6IiJ9/eyJpdiI6InJyem5PL3JrREtBRi9MYjlIU3ZlSkE9PSIsInZhbHVlIjoibzFGOHhpT2NXVGVKN2NYZFdXdHpkQT09IiwibWFjIjoiNjAwMWI3OGM4NDFiNTk5Y2I0MjU2MGRlZjhmM2Y2MDU5M2UwNTk5YjViZmU2YTZjZTdlMjQxZGU1M2Y3OTIzMiIsInRhZyI6IiJ9/eyJpdiI6IjBZcERQcGl3b0JkVGc0YlJBanRUeVE9PSIsInZhbHVlIjoiNmQyNlRKY2JSL0Y0RVVrRnllYlh6dz09IiwibWFjIjoiZTUzYzljMjAzNGY5ZDQzZmE2MmJhYzE4YjEwMTZlZWUwNWY0MGFlZDYyYTk2YTdjNjdmOWVlYTljY2I5Y2UxOSIsInRhZyI6IiJ9/eyJpdiI6InBTNzJBQngwcGRxYTR3THBQQjUvY2c9PSIsInZhbHVlIjoiR0JjZCsxRitiN1ZCd2oyWmx5TTVQUT09IiwibWFjIjoiOGQyNTJkMDFlNGNiOTYwMWU3YmI5ZWJkODhlMjhiYTNiZjE2NWJjNjAzZWNhNzBmMDZkYjg5ZDZjODY5YWIyNCIsInRhZyI6IiJ9/eyJpdiI6IkJyUTlmN2pHejdUM0NKbG9oRjlKL2c9PSIsInZhbHVlIjoiRDRrbFdsREtNTmcrVWt2THRZbll0dz09IiwibWFjIjoiODUxZmU5OWJmODA1NjEwNTE4NjRlMTQwODdmMjM5MDM5ZjEzYjBhNThjNzUzODllNTRmMWZkZGE5YmUwYTRhYyIsInRhZyI6IiJ9
Maharashtra,2024,RAJKUMAR LOTUJI PURAM,AMGAON,Indian National Congress,False,5710,RAJKUMAR_LOTUJI_PURAM__5710.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im1MNXZhQ1cxWW1MbmF6b2ZycEc4cXc9PSIsInZhbHVlIjoiYjJWM01ieFZHd0xQTzJSM01FODNOQT09IiwibWFjIjoiZDNmNGZmMWZjYjUwYmY0ZDYyNTcwOWY4OTA4OTAyNWRkZTE0MDUwODk5NTUxOGUyMGEyYmJmNDEwZDQ3M2VhZCIsInRhZyI6IiJ9/eyJpdiI6ImZFVjZNanBFMHcveFhWQ3ViR3hlVXc9PSIsInZhbHVlIjoiNlVGV2ErcDVaYXFuMDJjOGVqU05uZz09IiwibWFjIjoiMjA1ZTQxNWZiZjVmODhhYTVhMTliZDkzNWU5ZDMxOWY2YTk2M2IzMzE4MjExOTFmOWQ1MjIyNjgwODBlYjU5ZCIsInRhZyI6IiJ9/eyJpdiI6IkcvUmcxV3hWOGNTTmNMZ21SMlR6VUE9PSIsInZhbHVlIjoic29yMHc2R2ptMkdNc2YwMm1TdDkxdz09IiwibWFjIjoiZDI4NGJlMjM1OTU4NjI5NzQ4ZGQ3MGNmMTkwNzQyNzk4MmYzZGE2MjUxNzY2MTMzYzY5MmY3NzRhZDk2NWNhOCIsInRhZyI6IiJ9/eyJpdiI6IngvZjJYejV5b0piT2FReDVjQUFLRWc9PSIsInZhbHVlIjoibkZVZHJURk83eXJSQmJCM3FncDF6dz09IiwibWFjIjoiZjg5ZjY1ZjMzM2IzZDJhMDE5NmUyMDhkYTZjYmQ0Nzc2ZjY0NzhhZGU3NzI4MDQ1ZWIxNmM4MzE2MGFjOTg4OCIsInRhZyI6IiJ9/eyJpdiI6ImhlTnFSdDViNjBiVTVCSzVRelk1WHc9PSIsInZhbHVlIjoiRFM2eGhnVlRJSm5GWm4vUC9YSkJkQT09IiwibWFjIjoiN2Q1NzI5OGJkNmEyZWJiMDBlY2I2ZTg0NGU5YzI0MTQ4NDc2MzU2ZDY0MDljYTJhMTAxYjVlNmVmMTRkYmJmMyIsInRhZyI6IiJ9
Maharashtra,2024,CHANDRAKANT ALIAS RAJUBHAIYA RAMAKANT NAVGHARE,BASMATH,Nationalist Congress Party,True,8392,CHANDRAKANT_ALIAS_RAJUBHAIYA_RAMAKANT_NAVGHARE__8392.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InQ1V3NFc3M1WUlxU3hKdWQ2T3ZBL3c9PSIsInZhbHVlIjoiZGNJKzY1NUh1clBIc3FaWG1nNUlkZz09IiwibWFjIjoiYWUyNWFhNDIwYzU2ZDUyNjJkODEwNzVhNmY3YmUzMmI1MmRjNzlmMjA0NTM1N2Y1Y2ZhODkwYTcxNDcyMzc2ZSIsInRhZyI6IiJ9/eyJpdiI6Ik1tOTdBbkhHV3BxK2E5K1BoUjRnY3c9PSIsInZhbHVlIjoiTEF6OGluNTByUTIrdjJ3dWtMS3UyQT09IiwibWFjIjoiNGI4NzhmNjAwNTEyZWNlZTRkYjMzY2NlMTkzOWI3YjdlNTcxNjlmY2JmZGU1ODdmZjkzNWJiNDdlNDYwNjdlNyIsInRhZyI6IiJ9/eyJpdiI6Im5MdEVoM1Nqa01WOEJmV2JNTzhGNnc9PSIsInZhbHVlIjoidTRYRXpweTFneEhhYWVOcTEvbG9hUT09IiwibWFjIjoiM2QyNjk3YjBhZDdmNjcyYjNlM2UyMTdiMDg0YmNlNjkzY2Q1YTc4OTQ1MGI1YTAwYWE2ZWQwNzIwOTNjMjFjZSIsInRhZyI6IiJ9/eyJpdiI6IlZ1aUZhT0dLc1pEek5EdTIzOUJ5Snc9PSIsInZhbHVlIjoidWUxcnlHMXBrS0w4WXBoN2Vpcnk3UT09IiwibWFjIjoiNzJkZDMzNzBmZWZjZTFmNThmY2Y5Y2ZiZjc5MjRjY2I5YTQzMjM1NjY0ZTQyZDc4NTRkNzI1NDRjZjU0YmFkYyIsInRhZyI6IiJ9/eyJpdiI6IjdUZDQ0YW5Fd3RxNXhFWUNnT0pSbkE9PSIsInZhbHVlIjoiZGN4V00wUWh5TnFMSHA5aiswVUVHdz09IiwibWFjIjoiZGMzOWU5ODFjNTAxZDJhYmVmOWI1ZWVlZGMxZWU4OTVjMDg0MWI0NDE2NzJhYjVlOGJlYzI2OWMyOGU2ZWUxOSIsInRhZyI6IiJ9
Maharashtra,2024,DANDEGAONKAR JAYPRAKASH RAOSAHEB SALUNKE,BASMATH,Nationalist Congress Party – Sharadchandra Pawar,False,4363,DANDEGAONKAR_JAYPRAKASH_RAOSAHEB_SALUNKE__4363.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjE4Y2Zjc0kwRDJGeWRhSlEzeXRvM0E9PSIsInZhbHVlIjoiYzZkdWgwQjBhQVVPb3BRU3VtZ3dGZz09IiwibWFjIjoiNTMwMTk3ZmZjZGVkOWQ5OWNlOTJiNWU2NzU4YjAzZmQ2OTU5OWUzZTQ0NTY3MDJmZjBjZjU2ODgzMmZlNjMzYSIsInRhZyI6IiJ9/eyJpdiI6ImU0NU9xSDNyTlJ4cFpOYVFES3g2VFE9PSIsInZhbHVlIjoicXVRR0pXQW5zT1doR1dKTXRvakhBUT09IiwibWFjIjoiNjcwZDUxMTU5MDc5OGE3NDA1N2U1YTYwZWY4MTFjNmQyNGI2ZGNlYzM1N2NjZWRkZDU3ZjIyMTc3YjQ5NTJhZSIsInRhZyI6IiJ9/eyJpdiI6InlKV2xkL0M1U1lOUGRFb1NOeUtPRVE9PSIsInZhbHVlIjoieGNOdjk5djE5T3JORXorUzU4VEUydz09IiwibWFjIjoiYWUzYWNmMjQ1ZDBlNzY0YjExNjVjNTI5NjRkZjQ5ZWVkM2Q4MzI2YWUxNjk4NGZlYWM0MjdhZTE2NWYyN2RmZiIsInRhZyI6IiJ9/eyJpdiI6IlBEQ0tlcnZoZWdLcGkvdDRkVldwVnc9PSIsInZhbHVlIjoib2FJaXVIMlY5U2h6V0EvREpVUDN3Zz09IiwibWFjIjoiOTU4OGNmZDkwMWYzYmVjMThiMGMzYWQ5MDdmNjY2NmQ5Yjc2Njc5OTM2NjZlOTYxNGFlZjlhZmQyYTg2NDM3ZSIsInRhZyI6IiJ9/eyJpdiI6InFUa1VBOCtGZ0VSUlVIM09TVG96NHc9PSIsInZhbHVlIjoiVmNFMnA2aTNXcFQrYVQrYklyamEyUT09IiwibWFjIjoiMjAwZGYzN2Y2OGYyZWRkZDlkMzBjNDQ2YjYyYTVhOTg0NTZiMDg2ZTBiZjAzNzBkMDBhZTM1ZWQ3MTg3M2E1MCIsInRhZyI6IiJ9
Maharashtra,2024,SUNIL WAMAN PRABHU,DINDOSHI,Shiv Sena (Uddhav Balasaheb Thackrey),True,7686,SUNIL_WAMAN_PRABHU__7686.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImdaOWF6alhyVzBRVlIyckhDVk1tclE9PSIsInZhbHVlIjoiemZweWZLbi9mem1ieTZRUS9RYVA4QT09IiwibWFjIjoiY2JhMTY2MDhlYWVjNDI5YjVmYjY2NjM5ZWY1MDlhY2Q2ZmZjNmI2ZTEzYmMyZGU2YzA5ZjhkODU0Y2JjMTZiMCIsInRhZyI6IiJ9/eyJpdiI6IlR5bUJlVWhLaXNWZWdFczM4bk4ybXc9PSIsInZhbHVlIjoieFVTMUFvQy9GSTZiWTZKNkNCL25vQT09IiwibWFjIjoiZTRhODc3ZDkzNjRjNjhhMTYyNzFjY2JlNDRiNzQwMjIxZWI2NTc0OTJiNzY4NTBiYThiNjEwN2RlZmY4MjUyMiIsInRhZyI6IiJ9/eyJpdiI6IklSZE5MVGxCanRPSERDMU5BcUs3a1E9PSIsInZhbHVlIjoibXZwUGVESDRoekZKLzJRYVVYYmg2QT09IiwibWFjIjoiZGJjOTJkNzRiZGRjMDE2MGE3MDQwNDNiYmFmMTM0YWEzZGFiODIxZGY1ODdmNTA0NGRmMzg1ZDVkMjVjMDU2NCIsInRhZyI6IiJ9/eyJpdiI6ImRTeVY0dGZsOGwrOVJaV1BLRU41Y1E9PSIsInZhbHVlIjoidXhNOTd6ZktwOXprZEZPZHBZTnhyQT09IiwibWFjIjoiYjI1MGNhZmI1OGMyZGFlNWY0NzlmOGVkY2EyZjI4NmQ1NjkyOGU0Njc3YmJmMzZlZGU5MDA5MTU1ZWExZTA4MSIsInRhZyI6IiJ9/eyJpdiI6Im44Nk1iUWhVbFdKRnFFWFQxcEFOR3c9PSIsInZhbHVlIjoiMFJPSVRXcXIzQjNJVVZOOTZHSHEzQT09IiwibWFjIjoiYzBjODEzOWI1N2M0YTg5MjAwNWM5ZTU4ODkyZGVmYjQ3NWJiNGJhNmZiM2M0NjhkZmZkMzJkNGY0MmYxODBiZSIsInRhZyI6IiJ9
Maharashtra,2024,CHAVAN SATISH BHANUDASRAO,GANGAPUR,Nationalist Congress Party – Sharadchandra Pawar,False,5248,CHAVAN_SATISH_BHANUDASRAO__5248.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlFKWEUxZVdNTHlBVHQ1UUk3V2FXMGc9PSIsInZhbHVlIjoiYUZOa0xoY2FTR3dKUlJCMWswNXRvUT09IiwibWFjIjoiY2NkMTlhYTVmMmYwNTA3NGNmNTk2ZmQzMjliZDcyNGU5MzI5MjIyZjc1ZWM1ZmE4YWVhMzUwMjU2NDcyYjhjYyIsInRhZyI6IiJ9/eyJpdiI6IlRBc3UzWDZRYlVGWkR5WWNvaXFhZXc9PSIsInZhbHVlIjoiQnRGZDE5OXlENWExclE4Yks0MTJZQT09IiwibWFjIjoiM2ZmZDk0NjMwZjMyMjgyMDQ4ZjdmZTU3M2M5YTVmYmU3NGFlNzRmMmEyZWNjNjA3N2I2N2FhM2YwMTY2MjRhYiIsInRhZyI6IiJ9/eyJpdiI6IjBDcUlIQ1hpMHhaMnFYVUFLb281MEE9PSIsInZhbHVlIjoiUjFhQm5GS2djY3dNN21CQWN2UlhXdz09IiwibWFjIjoiM2NmMWQ4MGM3ODYxYTExNjBiZTFjZGVmZjBhODc2NjI2YmZkM2Q2MGFiZTU1NDhiMTc5ZDQ1MmNjNDViNzc0MiIsInRhZyI6IiJ9/eyJpdiI6IjYzZFVzTVN3QWN5UE9lRE5IbmUxR2c9PSIsInZhbHVlIjoiUUR0eERoSFpPNGJCVGdxbGdOR1NVZz09IiwibWFjIjoiZTk2OTZkODc4Y2IwYTVhOTc2YjRhMjUyYzdlZmU5MzQxOGIyOWM3ZmU5MWI2ZWVjY2FlNmRkZTJlOWNlYzEzOSIsInRhZyI6IiJ9/eyJpdiI6InFZU0hzYkd2OEEzVStyRllHeml1WVE9PSIsInZhbHVlIjoiak5TN0VKOUZjVTIyb1pHS241TjZEQT09IiwibWFjIjoiYzQyYjYxNDU5MWVjNjlhY2ExMDFlNTBiZDk4MjE3NTI5ZGE4MDUzZGFhYzkwZDAwOWVhYmY2OGZhNDhlYTQ2OSIsInRhZyI6IiJ9
Maharashtra,2024,RAJESHBHAIYYA TOPE,GHANSAWANGI,Nationalist Congress Party – Sharadchandra Pawar,False,753,RAJESHBHAIYYA_TOPE__753.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IktpblVXWjlKQW1CRlk5NFNuMHhHNnc9PSIsInZhbHVlIjoiKzNMd1k1NDJia0ZvWWpWWDJqRm1QZz09IiwibWFjIjoiYjhkNDg3NWZlYjlmZTFmY2I4MmM5YmJlODUxZTAwNzNjNDdiOGEwN2I1YWRmNTYyYWZkYTcwN2Q3MTVhYjE0NyIsInRhZyI6IiJ9/eyJpdiI6IlVPbGNRWGg1WEYyL24xVENaUG42YlE9PSIsInZhbHVlIjoiTGw2Q3puUHpMR3pudzBpRk83TkFrQT09IiwibWFjIjoiZTFhYzk2OGUwOTU3N2QzOTE2NjBhOGJjZmMyMTRjMzU4MjRjMWQ1NmQ4YTVjOGVjOTFmNWE5NGM1NmJkNDU2YiIsInRhZyI6IiJ9/eyJpdiI6Ik8zTU1nNDJWSk0vK1E0Nis3dWQrbFE9PSIsInZhbHVlIjoic1VrbTh1MThIVU5XY29SOWtnQmlhQT09IiwibWFjIjoiY2NjMGY4YzhkY2Y2MjM2YTBmNDFiMGJhMTA4MjAzN2RjNjNhMmI3OGZkOTFhODdkNTg5ZTZiN2FhOWNhYmU1MiIsInRhZyI6IiJ9/eyJpdiI6InYrb20yakQzUE5ESXA5V2RTUzAzYnc9PSIsInZhbHVlIjoiOXA4ZitxV3lWMlFhQUZuMXZ1SHhUdz09IiwibWFjIjoiM2EyMjIwYTE4Y2E0ZDU0OGMwYWYwNjBkN2RlNGNmMDc2OTIyNWM2NGYzNTg3MGIyNTAzMjgxNTk2ZTg0ODZiYiIsInRhZyI6IiJ9/eyJpdiI6ImhXUGx1MDZOcXlkc0RtM0dCVXMzRVE9PSIsInZhbHVlIjoidExBcjUwOHRvb3VtTm5QOTRKYlBGdz09IiwibWFjIjoiM2RmYTY0MmQyNzUwMzE2MDFiOTY3NTZiZWYxOWRkZDllZDhmN2I1Njk2Njk2ZTRkYzA5OWNmMDU0NGNmYTE2NyIsInRhZyI6IiJ9
Maharashtra,2024,AGRAWAL GOPALDAS SHANKARLAL,GONDIYA,Indian National Congress,False,12255,AGRAWAL_GOPALDAS_SHANKARLAL__12255.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im5nV3ZDTlhJZG4yajRyem9aZXhXblE9PSIsInZhbHVlIjoiUDZmOUZ5RDRjYUI2NEx2cEFLTGlTUT09IiwibWFjIjoiMmFhY2JiZDUwODdiZDFiZjI1MTE0NjAyOGE5NzBlOTI1YWE5NGE0NmZjNmE2M2M4YzY0ZmE2ODM4NGRlMTJhOCIsInRhZyI6IiJ9/eyJpdiI6IkQzNitUc0phbjM3ajI2TEI3aHNyZEE9PSIsInZhbHVlIjoiaWdjVFVjTzlpRGRvODVwdVp4Uysxdz09IiwibWFjIjoiNWExNDkwZjI4MmY2MTMzMzc1ZmFhMDc2ZWUyYTUxNDhhMzBiZTk3MjhjMDhiNDc5ZjY1M2Q2ZTdhNDZhNDJmMiIsInRhZyI6IiJ9/eyJpdiI6ImdJQnljek44dGJEc1llQWdRMlFBYkE9PSIsInZhbHVlIjoiK2lFTzhWS0NITitqeXE2dXNVMm8zdz09IiwibWFjIjoiMDJhZjA4ZTc5NzcwM2Y3MWZmZWY3YzQyZWE4MTIzZmMxNDg1NzIzZmQ5M2I1MzZlYjA2YjI1ZjI5YTY5NzA1MSIsInRhZyI6IiJ9/eyJpdiI6IlIxUzJqRTZyZCtEdjlrdkVBcGtrR0E9PSIsInZhbHVlIjoiNE5IY1lRZnRlbFJtWWFwcVhQaEVZZz09IiwibWFjIjoiY2U2ZjA3OTQxZDk5NjZkMzdlYTg2ODI1YTkwNWYyOTU3ZjU2M2NjYjNjMDVkNDI4MGIxMWIxNTY1N2I5NzIxNSIsInRhZyI6IiJ9/eyJpdiI6IjRvQ2kxQ3RCSVB3L2cwQnpldkl1Q2c9PSIsInZhbHVlIjoiRFlDR0hDWWNQcUdaZC8wU2IzV2NmQT09IiwibWFjIjoiMzNlMGNmZGIxYmJhMmJjYzE1NTc2MjI5OTY3ZjU2OWEyMDg0ZTJkODg3NzUxMzZkOWI0ZWFkMjYwOWUyYjliZSIsInRhZyI6IiJ9
Maharashtra,2024,SAMIR TRYAMBAKRAO KUNAWAR,HINGANGHAT,Bharatiya Janata Party,True,821,SAMIR_TRYAMBAKRAO_KUNAWAR__821.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ik9WL2dheUVIWjFmQ01uL0kzZEFDdlE9PSIsInZhbHVlIjoiM014UEQxWUVGMHBUOXdoU3JiZ2t6UT09IiwibWFjIjoiYzcxNWU2YjEyYTM1YTg3NjliZjJkZTlkNDk0Nzc5ZjNlOWQ0Y2E5ZTU2NmY5ZjU2NzBlYWJmNWMxMmY5MzQ1NSIsInRhZyI6IiJ9/eyJpdiI6InUra1pSbXhlaWs0SEpMaUh6VVZNeWc9PSIsInZhbHVlIjoiVE9SRUkxdWlpSVFaVVNLeHNHOE93UT09IiwibWFjIjoiNzI0NzgwNWIxNjg2YWY3OWNkZTFkMGYyNDViN2QzMWIwNzgzZjE0MWVjNDIzYWI1YTMyMzk3MTU3MzhiZjM5MyIsInRhZyI6IiJ9/eyJpdiI6IlBjTm1xNVFseDBPWkJsWnNZZTlUaUE9PSIsInZhbHVlIjoiMURFVUgrb0JaVlBTYldkRVlLdDFqUT09IiwibWFjIjoiYzMxNDdlMWFlODM1OGQ1OTc1Y2E5YWVhZDRjOTM4M2IyNWQyMmU2NzJhZGIwMzk1YTU3YWU5Zjc3MDgzZWNlNCIsInRhZyI6IiJ9/eyJpdiI6InlHZk1uZW41bUlPeXZCZFQzWTBaYUE9PSIsInZhbHVlIjoiY252OVdOQjQwOS9FWndtZ2JMTmNGQT09IiwibWFjIjoiYmEyNjI4MTVkNzlmMDFiZDBjNzBlYzI0Y2ZiMjcwOWQzZGYzNDQxNGY1OGMyOTZkYTAzNDEzZmVmM2FiZmEyYSIsInRhZyI6IiJ9/eyJpdiI6IjFZNnhKMU0ySnhBaG9PNmExeHFhcGc9PSIsInZhbHVlIjoiSkJyOXFWQkZtZGxRcVNZU1RNVDlyUT09IiwibWFjIjoiMWExNjU3Y2I1YzZkNGVjYmRhZTA5NTBmYmVhZmVjODQwNTMxY2U5YjcxMDJmZTljOTA0NTA1MWVmNWYwNTI2NSIsInRhZyI6IiJ9
Maharashtra,2024,NAMITA AKSHAY MUNDADA,KAIJ,Bharatiya Janata Party,True,678,NAMITA_AKSHAY_MUNDADA__678.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlkyVHMzeTk2V1YxT1cvbk9IdGRva3c9PSIsInZhbHVlIjoidDNQQXYwQnY1N2xyWG42eWhTZ0xlQT09IiwibWFjIjoiNDJmM2YzMDFhYmQ5ZDU2OTJjMTI1NTE2ZjUzMDRlYTQ5MDYwZWQ0MDhkNTYzNDQzMzJlZmY4MDNmMGYxNDcwYiIsInRhZyI6IiJ9/eyJpdiI6IjJVOE8wSW9TcVVSM1pYSWpUY2tmQXc9PSIsInZhbHVlIjoiMzAzaHhuU1pIZEtlYit2VHVmK1hlZz09IiwibWFjIjoiMWYyOWM3NWE0OTBjMDdhMmU3M2Q1ZjM3OWM2Njk2YjYxMWMzMGRhY2E3YTk5YTFmNmI0NWZjNjUzZmU1YjE0ZiIsInRhZyI6IiJ9/eyJpdiI6IkR0Mmd4cHRsa200Ui9xazdvdGZwQXc9PSIsInZhbHVlIjoiV0VsM2JJUTVhY3VqTUhtc2hzbWpLQT09IiwibWFjIjoiYzBkMGZhYTI5OTJjMjhkOTQ4ZWRhNmM4Y2M0ZTlhODkxMDBlYjI5NWEwNTQ4ZTFlZWFjYjk2MWU3OGFiMjlhZCIsInRhZyI6IiJ9/eyJpdiI6IkpscWl0REZoejljdTJaNWZFMVUrK3c9PSIsInZhbHVlIjoiYlZMTXFVTi9uMzVNTk03TFVERkhOUT09IiwibWFjIjoiNTdhYjQ0NzIzMGMwMDY5OTMyY2ZmZGQ5YmM2ZjE4YjA3NWNmMGQwM2Q3MzNiNWFkZjEwYzMzMjMxMjdkYjFlMSIsInRhZyI6IiJ9/eyJpdiI6InJjbmFweVZkdkZzcTUvOVhQQjZIZ0E9PSIsInZhbHVlIjoiZnkwVE9OMlRVbmFHRlV0MnZUT0hzdz09IiwibWFjIjoiMDU1Y2JkZGE5YTM4NzU4NzMxNDYxM2RkNGEwOTYzYTc2MmE4MDYyNzRhNzU5MzQ0MzkxMGIxZjI4Yzg3OWY1NCIsInRhZyI6IiJ9
