state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Punjab,2022,AMARJEET SINGH,Amritsar East,Independent,False,8000,AMARJEET_SINGH__8000.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IncwSVJabUJ1Q1l2WWwxbE5sNEhUYXc9PSIsInZhbHVlIjoiMGZtM3hQWEE0NW5BNGpQU1RHTjBtdz09IiwibWFjIjoiNDgxZWM5OWFhOGY4ZDk0OTY4MjkzMjZkZjU1OTY1MzcyZDRlODM5YTkwNDk0ZmVkNWI4MmRkMjEyYjJlOGM3OCIsInRhZyI6IiJ9/eyJpdiI6IjlPL20xUExKRU1jMFBnVlorK2FYT2c9PSIsInZhbHVlIjoidXQ2ajRHRDF2SnN0QzUzL1R2alN4QT09IiwibWFjIjoiMWI1MDZjZTNhYjFmNWM3ZjQyOTY2N2M4NGYxOTBhYThjMjZmYzFhM2QyNDY2ZjY2ODY2YzAyMzdjOTQ5NGE5NCIsInRhZyI6IiJ9/eyJpdiI6ImVPRVd1SjllaTJib2N0eGtzTWpvU3c9PSIsInZhbHVlIjoiMXlFN0dOWTV5d0hKbHg4ei9Wbk5jdz09IiwibWFjIjoiZTIzOTE1ZWYwNTQ0YWUzMWE2MjRjNjdhM2M0MWJlMjIxM2U4Njk5YzM1YzhlM2Q1Mjc0NjUzNzU2MzcwMmMyYyIsInRhZyI6IiJ9/eyJpdiI6Ik9uODg2bmtoR1REUnNlV3R0cE93REE9PSIsInZhbHVlIjoiWmhpenE0YzdxZkFnc0duRy80SEpNUT09IiwibWFjIjoiZjZhM2E3OWE4MDQ4MTdmOGE4YTBkZGIyMDRjMTBiY2I0NTNhMWMyMmM1YWVkZTllOTU3MDk1N2Q1MTQ4ZDA2NCIsInRhZyI6IiJ9/eyJpdiI6ImdxNnA3bWxWcXZwdjBsazg5WjFnanc9PSIsInZhbHVlIjoiN2VPbkQ4RjV5WGdxREx2WmlYcnhBUT09IiwibWFjIjoiMzk4M2Q5N2RiNGY5MTk4Y2I5NjBjZjc5MzhiMjAyMGY2ZjFhMjBmMWFmOTVhMDRiN2VlODkwYTllYzIwMzE0NyIsInRhZyI6IiJ9
Punjab,2022,JEEVAN JYOT KAUR,Amritsar East,Aam Aadmi Party,True,4814,JEEVAN_JYOT_KAUR__4814.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjhHelFhVUNtbW92YzFINk85K3lBZkE9PSIsInZhbHVlIjoialhSTkxNTHJZUDdJNnNUNzQrSEh0UT09IiwibWFjIjoiZjExYWM3MjQ1NmFmOWE3NDAyMGQwYTY1YjE0YWU0YzkzMjQ3OTRkNzYwZmZkZDJhMGZhNmE5OTEwZDY1ZjhmZCIsInRhZyI6IiJ9/eyJpdiI6InNiUTFCOHlTcVFybTl1bGdKcDNwcVE9PSIsInZhbHVlIjoiVGNTVzlZNkxoYmJGRjJMTW50bUp5UT09IiwibWFjIjoiMDA2NDM1NTA1ZGJlNTAxMjNiMWNkNTFhZTMzOGE3YTA1ODhhMTZlODk1YzYzZDYxYmIwYjU3ZTE0OWVlZDQ4YiIsInRhZyI6IiJ9/eyJpdiI6Ikw0anFBbm9QQWhMYmZyellpaXNwK1E9PSIsInZhbHVlIjoiWnNqWFhHNU5zd0NtZy9xdXVORm10dz09IiwibWFjIjoiOTQ5MzU1N2NhOTg0NjQ4NTQwY2VlNmMzNGRlYjc0ODgwZTY3Mjg3NDcyZTYxZjQ1OTk5MTY2NmQyMGQzNWNjYSIsInRhZyI6IiJ9/eyJpdiI6IndFTWdLU2J4NUZ2WElEdVNQL1JyNmc9PSIsInZhbHVlIjoieUlhampPVU1yQ3lyZy9xZy81MkJGQT09IiwibWFjIjoiNDVjOGVkNDgyZTEzYTM3MjQ2NjkzNTI4ZDJkODlhOTYzYmY2MDIzNWU5ZjQ3OGIxOWQzMGQyNDk4MWJiNmE4NiIsInRhZyI6IiJ9/eyJpdiI6IjlpSzc5QmcwaG44S1U0YllSc1NPY2c9PSIsInZhbHVlIjoiN0VkVGtReWJKSDBUYW5aU2JHQzhpQT09IiwibWFjIjoiNWJiNWE2NzRhMDUzZDQ0ZDEzZGE4Mjk0MWY0ZWFlM2NhZDgzYWJkYzFkOWU1MTUyMGU5MjVjY2U5Yzk3MDk5ZCIsInRhZyI6IiJ9
Punjab,2022,NAVJOT SINGH SIDHU,Amritsar East,Indian National Congress,False,4779,NAVJOT_SINGH_SIDHU__4779.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InBmZlVjNUdkR2dUT2F6cmNjSGNmcnc9PSIsInZhbHVlIjoicitYTDlpdjdkN0tPUjBSQ1liZnhIZz09IiwibWFjIjoiMjFkZmRhZmRlMjQ1NTNlMjMwNTg1MDA0MWVhNGFhOGE1OGMzYjliNjNhMjA3ZWIyNWQ4N2FlM2MwNmM0NjI3MiIsInRhZyI6IiJ9/eyJpdiI6InNhejByN3dSZnpiSjl6aGYrMUdaZHc9PSIsInZhbHVlIjoiREdaK3RtUDhDWUYxbjFvVmMyRGVrQT09IiwibWFjIjoiYWE1N2E2NjJjMDE5M2RkMWU3ZGYzZWYwZDIxNjU1Yjc3MjQ0YWY3OTEyMmM3MGMwZmEyNTU1NzliN2ZlOGNhNyIsInRhZyI6IiJ9/eyJpdiI6ImZLQkl6SmdhWVJFZmR4RmZoTTFKQ3c9PSIsInZhbHVlIjoiV3ZiV0MwNGFpVzNudFE4eFhJT2YrZz09IiwibWFjIjoiODkyMzZjNGQzYTM4MGZmOTkyMWQxYjIzNmVjMmFlZmJkNmMyOTE5MDU1ZWE0ZDM3MmQ0OWIwMjhkYjAyNTE4OCIsInRhZyI6IiJ9/eyJpdiI6IjJFMU95KzNVcU1vWFAvZXErVmdLakE9PSIsInZhbHVlIjoibm03b0thMWdmVXV3aFJJMWNWZ1pndz09IiwibWFjIjoiNGQ3MDExNWIyMDk3NTkyMDI4NThkNjJlNTRmNmY3MzgyMDRjODM1YjQ5NDEzNDZmN2U3NWZmYWNhMTBjNGE5MSIsInRhZyI6IiJ9/eyJpdiI6IlVhSStUNmNhMDZvMmw5clFQQ1JtNnc9PSIsInZhbHVlIjoiQTVObDlUZVFxek1LTDRYZDZmLzdkUT09IiwibWFjIjoiNTViOGQ5YTJlYzliNTJiZDYzNzkzMjc5OTkzYmE0ZmU5NWI5MWIwMmNlYzg5YjBlYjc3MmI5M2ZiY2IwZmMxMiIsInRhZyI6IiJ9
Punjab,2022,RAMESH SHUKLA SAFAR,Amritsar East,Aas Punjab Party,False,8012,RAMESH_SHUKLA_SAFAR__8012.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Imh3eEkya3REUUVjZThqYmhRME5ERGc9PSIsInZhbHVlIjoiZ1BIekZ3NjJPYlFWNFFicmp0dG9YUT09IiwibWFjIjoiY2JkMjhhZDkwNzEyNjFjZjg3NTcxN2JlYWVkZDVlYTJkOGMzNTUzYWUzYzE4MGJiNTRmNzNhMzI1YzNkYzEzNyIsInRhZyI6IiJ9/eyJpdiI6IkJMN3N6bU5hdER4RVk5NVdPS1ZNVGc9PSIsInZhbHVlIjoibEN2UFV4V1ZJY1M5TTZrQTN5ZlFTQT09IiwibWFjIjoiNzliOGI2MWM2YzU4NzM3MDRjNTkwYTIzOWY1MjUwNDBmNDE1NTQ5MTYxM2I5N2JlZTRkZjgyMzQ5MDMzMzY0OCIsInRhZyI6IiJ9/eyJpdiI6ImlWblBrQTYrQWlTTUlVUXJkVHl0THc9PSIsInZhbHVlIjoidmFIcmxzelljb2xuT3FudGh0cjhEdz09IiwibWFjIjoiZWE5ODBjN2IzZmE4MjA3OTg4YTY3ZTVmZmRhNjJmYzJlMmJmNGE3NWZiMWYyMTE4NmIzMjM3M2U1NWEwYWQ4MyIsInRhZyI6IiJ9/eyJpdiI6Im9GZVBlZ2hUUXdWanFxdFlIQ2wwSUE9PSIsInZhbHVlIjoiSFV1bTRZNjBZL2ZyTStpck4wQ0gwQT09IiwibWFjIjoiZWUwOTExZmRlZTg1MzBhZjJlMGQ0MjkxNmMzODlkMDc3YzE3ZTU3MmU1YjAyOTI1NWFhMDhlYjU0OGZkODYzYyIsInRhZyI6IiJ9/eyJpdiI6IkY1SHNtRkV5WVNwb1Y3VkNIWHorVlE9PSIsInZhbHVlIjoiR0R5KzdQOHlKR3FteGxXbUdVaWFQZz09IiwibWFjIjoiMjAzNTVjNzBiZjA1NWFhYmU4MjQyYzgxZGY5MTIyYTY0YjIwNzBlY2JhMjhjMzMwM2YwNjNjMzkwNGYwODg5MSIsInRhZyI6IiJ9
Punjab,2022,SUKHJINDER SINGH,Amritsar East,Independent,False,7992,SUKHJINDER_SINGH__7992.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjVseXlObDA3Vk9nKzZaNWc2TDFqcEE9PSIsInZhbHVlIjoiQm9RR3kycU9INmxxRmRjYWJqTUlRQT09IiwibWFjIjoiODNjMzg0NzQ5ZDc3MDJmOGMxZWY0NjJlYTZjMGZhMjAzODhmNGI4OTEwMWI4Mzk5YWRmYTlkZGVjNzhhYjc1NCIsInRhZyI6IiJ9/eyJpdiI6Ik81SFdrdTNwdzRpdUFqZC9wOWF2UFE9PSIsInZhbHVlIjoiMXJQdk5vMHRsQkthdXhGRzh1MHhRUT09IiwibWFjIjoiMGZjYzI4ZTQwZDI4ODk3ZWVlMzdkMTJmZGJlNDM5NTg0N2Q5ODNmN2MwYWU3NTI2Njc5NjJkNTEyNWNjMDU3OSIsInRhZyI6IiJ9/eyJpdiI6ImN1SDBlYklKcERHV3I2NytheEh1MlE9PSIsInZhbHVlIjoiN1dsVUhnTFlzbzNUN1lvbGZ2bFYyQT09IiwibWFjIjoiYTU0NmJlZDQ1OTFiZGFjNTdlNmY1MmIzYzRkMmYxODU3NmE3ZWRiOGE1MDgwMThiZWEyMGJhMjlmYWQ0YjA2ZSIsInRhZyI6IiJ9/eyJpdiI6IlVNYm5wblJWL1lvbXVTb1k5M1B0aXc9PSIsInZhbHVlIjoiTXI5UzRZeHNoeHZxdStFck4wUGZEQT09IiwibWFjIjoiZDlkOGE0NDMwYTM1Yzk3ZjU3ZWM3NzdhNDgzNjkwNDQzYjczNzVmNzhkOTE4NjVlYWExNzcwOWM5M2ZiNmM4ZCIsInRhZyI6IiJ9/eyJpdiI6ImZnVXNKdFk0Vi91ZFRaNFhEM3Qxamc9PSIsInZhbHVlIjoiUWFrdnJ3eTNpTFVCSE1VY2ZtekViUT09IiwibWFjIjoiNmIwMmZlZDEzZjY3OTBiMmFiOTM1MDEwYWE5NGM3OTcyZGQ3OTE1OTUzMjlmYTZmMTlkN2FmMjk1NDVjZDk1YyIsInRhZyI6IiJ9
Punjab,2022,TARSEM LAL,Amritsar East,Bahujan Mukti Party,False,8015,TARSEM_LAL__8015.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InpQSDN1MFhIYnVqM2pnM3hzbUZtSWc9PSIsInZhbHVlIjoiWkcyWFVHR0dWd050VFhaVCthRUdQQT09IiwibWFjIjoiMjMyNmVlMDlkMjk2YTAwMTcxZGYzOWJmZWI4YTI3ZWI4ZDRhYTU1OWYyYmFmMTUxMDMwYjYyZDZmNmYyZTkxMSIsInRhZyI6IiJ9/eyJpdiI6IjQrR1ViUWJxS3BXNnFTeVM3OUhiWnc9PSIsInZhbHVlIjoiYjVha1A4aW9nTnhpdXdadkEwV3JPZz09IiwibWFjIjoiNzk2OWVkYzlhZTgxYWQ5ZGJiNzcyNGQ5ZTcyYjI4OGU4Mzk3NWViMDViODRkNzkyYmIzN2I3NWY5OTA4Y2RmOSIsInRhZyI6IiJ9/eyJpdiI6InkwTlVrKzVqWHNIZnlKNEFYV3RJSVE9PSIsInZhbHVlIjoiSEw0UUNDb3BrVVArNDdQZmV0ZUxPQT09IiwibWFjIjoiMTY2MDgyYjBhY2I1MWY2NjQ1YTVmZDY5YTkxYWIzM2JhNzkyMGM3MjE2NTdhNDQ3OTMxOWE3MTZlMzE4MzliZiIsInRhZyI6IiJ9/eyJpdiI6IldqVlhya3FWaFFrS3lGK3BVSEpVM0E9PSIsInZhbHVlIjoiVGpOOTFmVGtVVUw0WmpDeGQ5NGRzQT09IiwibWFjIjoiZjc5YTY2ZWY2YzMwZmUzNjdlOWYwOTdkNzcwMDc4ODMzNzgwY2JlNGIzOWIzMTY5NTViNmZiNGJjZDIwNjBlZiIsInRhZyI6IiJ9/eyJpdiI6ImZ2Mlc0SERKMnEybVplekF6KzZ6OGc9PSIsInZhbHVlIjoic0hMbUVUaGNVTnhKaU5GLzZaM200UT09IiwibWFjIjoiY2EzNGJlYmZlZDM1ZjVkZDllYjk0ZTZiYWY0YzQ3MTcxMmRlNWU3YjJiMmU0NWNkYTcwOTFiMmFkMWNjMTRlYiIsInRhZyI6IiJ9
Punjab,2022,SATPAL,Balachaur,Independent,False,5451,SATPAL__5451.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImRxL3pTanVmTlZIZlJBUTcweUNZMnc9PSIsInZhbHVlIjoic3k5NldhSEdLWnh3M2VmWUM5ME1OZz09IiwibWFjIjoiNTg3OTJiMTk0NTNjMmEyNTc3ZDYwYWE3MjY2YWIyZjgzZGVkMmQ2ZDI3MWY3Y2RiMDgyNDZmNTJiOGZlN2Q0OSIsInRhZyI6IiJ9/eyJpdiI6IlpYWExmUFpQVUR3Q2x5elJQaUZ0bEE9PSIsInZhbHVlIjoiYlRyVmVnUFNXemZqSnoxUzBJeStxdz09IiwibWFjIjoiZWY1ZWQzMzgxZWExMjE1YmRlODc2YjRjNmJlNGI1MzY2MWZiYjRhYWM0ZWFlNGFlYTljNWRmM2NkNjg1MjIyZSIsInRhZyI6IiJ9/eyJpdiI6IlJJZzdNcm9xMk52RXQ0c3cwa2VmRFE9PSIsInZhbHVlIjoiSnAyaUx5WUFHZ3ZYRFByRy8zcVBNdz09IiwibWFjIjoiMzdiZGY4MzhhMzQxNDIyNTU4MGRmM2Y4ZTBjZWRhZjFmODZlMzJkNTk5YzA3MWJlNmQ5MDE1M2Q4Zjk1ZDBjNyIsInRhZyI6IiJ9/eyJpdiI6IlB2U0dsdVJIWWVaR3ZQMVR6YTNUZEE9PSIsInZhbHVlIjoiNWlyQzVYU3dtSHh4RDZsZjFoSlEzQT09IiwibWFjIjoiYjcxZGJiNzkzYzFhZDQ3ZWZhZjIyYTY5YTA0MDM2ZDUwOGU4Zjk5ZjFjODVjMGRmYWYwNjI4YjU3ZTcxNzlkMSIsInRhZyI6IiJ9/eyJpdiI6IldYRURTSklHMzlnZVorRnJLdSs5b2c9PSIsInZhbHVlIjoiZG9ubFVzNkQxM1VLT0o1bWpUb244QT09IiwibWFjIjoiZmI2M2VmY2ZlZGJjZTAzNjIwYzVhMjk2ZGIwOTc5YjEwMWZhYjY0ZDNmMmI3NTc5MjhhNThmMWIxMTgwYjBhYSIsInRhZyI6IiJ9
Punjab,2022,SARBJIT SINGH LUBANA,Bholath,Sanyukt Sangharsh Party,False,6845,SARBJIT_SINGH_LUBANA__6845.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjZSdGtGZ0FINlhNSTVuRFpGWWdQa3c9PSIsInZhbHVlIjoiKy9aT05DQ3pFdllQVUR0ZUppUHY5Zz09IiwibWFjIjoiYjhjNDA3ZmQ2YjRhOWUwNjQ4ZDRlZmUyMGQ0NmIzYzdmZWEyZDkzOTVmZWM1MzhkMzkyMTJmZjgxZGRjNGE3MyIsInRhZyI6IiJ9/eyJpdiI6Ikl3RzVoVVhMNCtqUnFPaXJHOHBlNWc9PSIsInZhbHVlIjoiWkJwN09VSW1kMUNOdWxRc2NpdmYvdz09IiwibWFjIjoiMWY1NDZiOGU2YTRlMGExMDdmNjI2MjhiZDkxN2ZlZjM1YTllYjgyODVlYjgzZjVmY2YzZDkyOWVkNmU3YTQ4YyIsInRhZyI6IiJ9/eyJpdiI6Im92SS90VGVwZStWQVlrMTQ5VjJyUnc9PSIsInZhbHVlIjoiNyt5Zno4SWUvcFFBWGYwdTdDbzY4UT09IiwibWFjIjoiNWMxZmYxODM1NzUxMzg1OWM1OGU0ZmEyNzFkODI2MDc0NWQyODFiY2E5MjM3ODAwMjY3NDdiNjRhZTNhNjljZCIsInRhZyI6IiJ9/eyJpdiI6ImliRUN6eStVd1BWcHVPU0dRenNMZ1E9PSIsInZhbHVlIjoiUVc2ckVrZUFvQjM4bWFacStvL3ZMQT09IiwibWFjIjoiMzcxZTU4OTVkNWI1NDRkMDNiOGYxNWUwYzgxMzUyMjgyNDdiODJiMGYxNDVhZGEzY2ExZWM5ZDIxZDM3ODA4ZSIsInRhZyI6IiJ9/eyJpdiI6Ikc4NS84aTgrUysyVjJQZkVTaStYTEE9PSIsInZhbHVlIjoidHdQS3F1U1lBSlRpVEFPZkJHUDJtQT09IiwibWFjIjoiYmQxODBiNGE0NjUxZjk0MzMzYTc5MWQyMjM3OGUwOTAzM2NmM2I1M2RjYTI3YmY4YTMwZThmYmU5NGUzMjM3YSIsInRhZyI6IiJ9
Punjab,2022,AVTAR SINGH,Dera Bassi,Independent,False,7495,AVTAR_SINGH__7495.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Im1uMkl1cnBNVTNNUjdVRGRpeTVWN0E9PSIsInZhbHVlIjoiU1pjRVZMTFR3ajJNZlNmQUliTTJsQT09IiwibWFjIjoiNTNjMDVmOGUzMjc2MTg4MjZiOTgzMmEwNGYwMmVlZjZlNGY0OTJlN2YzN2UzNTQ0YmU0YjhmMjdmOWZmODdjZSIsInRhZyI6IiJ9/eyJpdiI6IlZJOENxUVZQYXovS2xYczEwcnBpNFE9PSIsInZhbHVlIjoiUGs4K1RaNXBhQk1oZ2JFR2ROdmt1UT09IiwibWFjIjoiYTI2YzllYmQ0OGVhYTRkYjM2YzEyNGNlZjY5NjU4ZmFhZWU1YjBmNzczZGQzZTFiYjEzNTlkM2YyY2I3M2EzZSIsInRhZyI6IiJ9/eyJpdiI6Ino1dVJzaHNBOTlWSVFLdjI0RkVKbXc9PSIsInZhbHVlIjoiZVMwVTA0bzRHeGhmcHBJL1d0NWxnZz09IiwibWFjIjoiZjE5OTVmMmM3MmVlY2M3N2M4OThkNDIyN2Q3MGJjNzczMTI1ZTk5N2E4OGQ2Mjk4NGYzMWI4YjlmMjA3NzMxNiIsInRhZyI6IiJ9/eyJpdiI6IkZMU1lycHdBdlZrcVB3T2NaS1E0R2c9PSIsInZhbHVlIjoiMHNiTHpsaFoxVkliME1IdUFqb0dyQT09IiwibWFjIjoiYTVjYzkyMDZiNWI0OGY2N2RhOTc4YzJhY2E0MWUwNTBiMmQ4NGY4NjI4YmQ5NjQ1YzI4ZDVjMDE5OGEwOTQ1YSIsInRhZyI6IiJ9/eyJpdiI6IlZUT245SHM2UDcyQXBsWmhXYS9pN0E9PSIsInZhbHVlIjoiSStZRXo5TFE2V0ZUSmp0UXJwRGVvZz09IiwibWFjIjoiYTEyNDRhMGU0ZTkzZWM3NWJhZjZiZDYzMTZkNDZmZmI3YTU5NWU5YTAyYmExZDlmYzY0MDYyYWQ3NmRkZjRjNiIsInRhZyI6IiJ9
Punjab,2022,GURSAWAK SINGH BHANA,Faridkot,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),False,5742,GURSAWAK_SINGH_BHANA__5742.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjlTdHpyTGhRZkQyUGVtNExSdGtidEE9PSIsInZhbHVlIjoia05qNWsxRlhRT0V5OE03ZDh1WkV6Zz09IiwibWFjIjoiNmEwOWY3NDA1Y2M0MThkZmY4MmI3YTFkMTAwNDlkYjI3YmE5NGVjMDBiZTM1ZDBiZmU5MDRjZTBmMTQzOTRiZSIsInRhZyI6IiJ9/eyJpdiI6IjRyZmRmYmtQQ1REdWlQc1RNNWEyVGc9PSIsInZhbHVlIjoiOWhLYnE0Tk9BUVNzSFB1Tm16OGs3Zz09IiwibWFjIjoiYmU2ZGRkYWY1MjA5MWZjZTA5NWU4ODQwYWUyZWYzNDM1NjkzZjJhZGY5ZjQ5NjY3ZDA5YTNkMDJjMDQxY2YyNyIsInRhZyI6IiJ9/eyJpdiI6IjVTMldFaXdoY0twNDJJUC9zUlZ5aUE9PSIsInZhbHVlIjoiTWREWllPM0RyYUhKZ25jcDBHcW5iQT09IiwibWFjIjoiZmFhNjZkNWMxMTk3NTUyOTc4Yzc2NWI3MTI0MTcxMmZiMWZjMTZiN2FiMDZhYzc5MDk4MjBmNjIyZmJmZDY0ZCIsInRhZyI6IiJ9/eyJpdiI6IjJIajV4dmJoaGdxN2RDUkZhYUVqbVE9PSIsInZhbHVlIjoiYnVYdHRZcTJpRUpCU3UwN1VoUXgvdz09IiwibWFjIjoiODkyMWIwNDc5MzRmZDEyNDYxY2YyZjk0OGY2MzRjYTQ1MjI3MmFiZWJhY2U5ZGU0ODJjZjg0OWMyZDU3ODZkZCIsInRhZyI6IiJ9/eyJpdiI6IjFXZHQxTFp1cm5tNE9udFFHWnFWV3c9PSIsInZhbHVlIjoiWG1LaERpT1A2eVN2bU9GTTUxa1l0Zz09IiwibWFjIjoiMzE3NGJlNTcwNmEyNmRiNDI5ZmFlMDMyODhlOGQ2ODdmODlkNTM4N2NjYWU2YjU0Nzg4ZTUzODYyN2Y0MmNhZCIsInRhZyI6IiJ9
