state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Rajasthan,2023,VASUDEV DEVNANI,Ajmer North,Bharatiya Janata Party,True,7554,VASUDEV_DEVNANI__7554.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InJhQVd0eVQ5Q1RPYnNVL244ekdYNFE9PSIsInZhbHVlIjoiYnAzdlA5enJyRmc0Nnl5RFV3aCtEdz09IiwibWFjIjoiZjY4Y2Q2NGVkOWEzZWVjZThlYWFhNmNhYzgyMWU1NmNjNTk0M2YyZDY4NTkzMzIxYzlmNzM4OGZkOTUxNzg1NSIsInRhZyI6IiJ9/eyJpdiI6IjRrU1B3WmE5Y0kyK2hXVUhpWVJZOGc9PSIsInZhbHVlIjoiaDhBSHlOcGVBQ0FLREgzT2tSb3Jqdz09IiwibWFjIjoiM2M5YWQ5NjcwYmJmNmViODM2ZWM3ZTM3ZmVlMTNmMjU3NGYzZDgxM2VjMjczM2E5M2Q3MTA1Nzc0MjlkMjBmMiIsInRhZyI6IiJ9/eyJpdiI6Ik1nMWZMaitNbzJ3aDV2ZDgvSjcwU3c9PSIsInZhbHVlIjoiWWZTb01xd1I0YnF6M0xydVlLNDVBQT09IiwibWFjIjoiYzc1NTAzMDQ1YWM0ZmZjODAyNjM5YWUyMzY2YzU4YzI4NTczYWEwNTFmYzUzNWQyYjQyMWQxMmQ1ZGMzMmEzMyIsInRhZyI6IiJ9/eyJpdiI6IjlrZ3QrU1J0YjJCeXljT1Vac2tOcVE9PSIsInZhbHVlIjoialRDMXJjNmF6Y2lQajNoaVo1TWJPQT09IiwibWFjIjoiMzNjMzMxMTExNjVlZDI1MmUxYjEwZDVkMDE4MDA1NGViYTYyZmUxYzNiZDY5ZGQ2MGU2YzJkYWUxZWI0NDc1MiIsInRhZyI6IiJ9/eyJpdiI6ImNCbytHb3dTaVFJMWVmVUx0aTRpSVE9PSIsInZhbHVlIjoibEt0N2t2MmFaZFpWbXN0RjR2SFhPZz09IiwibWFjIjoiMmM4OTc1ZjE0MmIyYzQ4ZWZjZjE4NTRkZjQyNTQ5NjE1NGVjZmIzYzg0YmY2MDg5ZDAwYzA2ZTcxMzhlM2YyNCIsInRhZyI6IiJ9
Rajasthan,2023,PRASHANT SHARMA,Amber,Indian National Congress,True,8623,PRASHANT_SHARMA__8623.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlVQbmppQUN5eEYvcGdJeWFpSEt6SkE9PSIsInZhbHVlIjoiUWRrNHB0Ujl6ZFNhT21OQ0pINWpBQT09IiwibWFjIjoiNDIzYTIxYWNmZGI3MGY5ZTg5NmYwYmQzMDg5YjRkYzhhNTZjZWVkNDI4NDMxOWUzYzE3YzQ1NjVhMjkzZDAzNiIsInRhZyI6IiJ9/eyJpdiI6InByVjdmLzlOYjM0RU5vbTQxSHoyUmc9PSIsInZhbHVlIjoicGNDZGM0TE5uK0EvYlRoUVdac0dsUT09IiwibWFjIjoiMTRiNzVmMjQ5ODkyNzAxMzk5MjkxNzczOWZjZGM5NTUzNTA4ZWZiNGIxMWQ0NDExZTFhODk4MDY1MTFmYjJiZiIsInRhZyI6IiJ9/eyJpdiI6IkpFSjFFU1VnelJZQnFabm5ON2h1SUE9PSIsInZhbHVlIjoiYWVCVkdtUzlOWURLTFYybngxZExZUT09IiwibWFjIjoiNGVlZWIwYzYzMGFkNzQ2YTlhOTY3NzM3MGMwNmQxNjE0YWQ5NzdhMzZhMjMxYzZmMDM3MzQ0NDVkNTgzZmNkOCIsInRhZyI6IiJ9/eyJpdiI6InRlY29mbHZ1ZlRIWDNWOTBNdm9MZWc9PSIsInZhbHVlIjoidHQ2Tlh5YndWNFZKeDc0d3BnWFh1UT09IiwibWFjIjoiYTRiNGIxY2FmMDgwNGI4MzNlOTkwMWVjMjMxYjZjZDFmM2E3MjRlODkyZWRhMzIzYWY2OGZjMTc3NTExYTdiYSIsInRhZyI6IiJ9/eyJpdiI6IlB1NVpYY2ZZak9EZFlwaU9qTEVjc0E9PSIsInZhbHVlIjoiS0NjV3d4M09WNjVHZkVWQkpoU3N3dz09IiwibWFjIjoiZGUzMjViOTNhNGZiNmQxZTAxNzNiZjBiYTFkZWY5MmM1YWI0MTRmNTU3ZjA2ZTZhOGY3YzY4NjVkODgyN2NmYyIsInRhZyI6IiJ9
Rajasthan,2023,SHIMLA DEVI,Anupgarh,Indian National Congress,True,7835,SHIMLA_DEVI__7835.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlVIWkpvMEoxUHdwU21ZcFN2ZlVLeGc9PSIsInZhbHVlIjoicnFVcDFFS3lDS0thcUNPZDhZL3JLdz09IiwibWFjIjoiYzY5NjNiMDI0ZTU3NTI4N2FjNjJjMTIyYjIyMWY1NDE5NmExMmYwNDlmYWRkNGNmOTE1NzU2NDBiYzAxZjMwMCIsInRhZyI6IiJ9/eyJpdiI6InBOKzI1SnVQTEVyTDJEbW5FcmpZV2c9PSIsInZhbHVlIjoiRTJwZEdWOVNWQVgwaXl5MkhIMW5Gdz09IiwibWFjIjoiYmU5NjI3YjgxZTcyZDA5OWJlNmJlNTdjYmViMzFjOGQ4YWVhMDZhNWJlN2UyZDZjOTIyMzc3YjA0OWFjYjkyMyIsInRhZyI6IiJ9/eyJpdiI6IlZWUXI4cWs5di9VYXY4VmMxWnQwTmc9PSIsInZhbHVlIjoielZQMXZiSjBGOURyWlZNYjZ5d0FMQT09IiwibWFjIjoiMDcyODIwMGJlNDFiZDgzZWYxMzdkY2Q5YmMzOGYyYjlhZDNhMWQ5MTZhNDlmOWY0ZDg1ZjRlM2U5ZmVhNjE4NSIsInRhZyI6IiJ9/eyJpdiI6IjM4MkpNWVoranlWM0wxc1FOd0Z4aFE9PSIsInZhbHVlIjoiT1pmcWs3b3ZTUTUrVjdFOWM5aFpnUT09IiwibWFjIjoiYzA2MjlmNDkxZWVjOTFlM2IzOTVhZWU4YjhiMjhhNzc2NTQxYjIyZDZjMWU0OWUzMGVmMGVhMDdlMDlkYWE3ZiIsInRhZyI6IiJ9/eyJpdiI6InFId0NRL1d5NmZZZktoQVRsRGFvZkE9PSIsInZhbHVlIjoiS1V2OEZqUDFlRzNWU3dRRGYxSnIrUT09IiwibWFjIjoiN2EzZGE4MGI0ZDkzNTM3ZTI4ZWI0YjgyMWUyYzVlOTI0NzY1Y2UyYjBiMGFlMDkzMTY2ODVhNWE4NzIyMjU1MCIsInRhZyI6IiJ9
Rajasthan,2023,UMESH MEENA,Aspur,Bharat Adivasi Party,True,8193,UMESH_MEENA__8193.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ijk3R1NzckpoMDRGdCtrVS9Mc0prTVE9PSIsInZhbHVlIjoidHBFUjZOZk9VZkNRWVBHYUc1SHdzUT09IiwibWFjIjoiYmYzZGUzMzc5ZTFjZTU3YTdhZmU2YjZlMWJlMjYyNjNjMzBhZjcxZjJkMDE5MGFjYTc3ZTQ4YjBhMmVhZjM0MCIsInRhZyI6IiJ9/eyJpdiI6InVoTHhRQ2FvVkxLQUtmVWQyL2RqdGc9PSIsInZhbHVlIjoidDZTZk9EWWdJSkdZOGhHNmw5WkVGdz09IiwibWFjIjoiYTVmZDkwN2NkNTNjYzBiOTU3NDU3MzI4NjU3MDRjYzBmMDY3MWRlYzEwNTY1YjRjZjY3OTNkNjg4YmRjMjc1YSIsInRhZyI6IiJ9/eyJpdiI6IjZOZlpBOUdkTitpUVRUZ2crbkl6WlE9PSIsInZhbHVlIjoiZzRBb01vQ1VyZDlveGZzYy9WemtLdz09IiwibWFjIjoiMzlkY2IxZDJiNjEzMTM0MzZlYzliODVkMDgwMjNiMzU4NWZhMDI2OGJkYTZiZjRmNjFhZGQwNTkyYjUxNTFlYiIsInRhZyI6IiJ9/eyJpdiI6IldVZlVpY2JRUFVoOHVtK1VGYmtoelE9PSIsInZhbHVlIjoiV0F4RWN2SjJuOTR2djdiYldQenQzdz09IiwibWFjIjoiN2MxZTA3MWY4MTQ2NGNkY2E1Y2RmMzVmZDZiYzM5OTU0OWNiYjNlY2YzZjk5ODQzN2NkMTM4OWE4Zjg5MTU4ZCIsInRhZyI6IiJ9/eyJpdiI6Ik5WVVM3RGhIaG80dkJDc3hFMlpZZGc9PSIsInZhbHVlIjoidGI1QkllODlYdGE1MWVqeTMrTjhPUT09IiwibWFjIjoiMWE0OTY4ZGIzM2U1NDY0YTExNjhmMTBlZjMyMGRiMGJmODVlMDE4Y2U5ZTc3OWY3MGE4YjA0ZTE5ZDJjMGU0NyIsInRhZyI6IiJ9
Rajasthan,2023,BADRIRAM JAKHAR,Bali,Indian National Congress,False,7271,BADRIRAM_JAKHAR__7271.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IjZkUmo4TG5OaEw4K3JYRzc4bTBETkE9PSIsInZhbHVlIjoiVjE3T25Zd3oyV0Nlck44d3hsbVhFUT09IiwibWFjIjoiMjNiMjJlMGE2YWY2YzMyNDI2ZWU2YWQ2ZWQzMTU5ZjE2Mjc4NWJjNzZjMDJiYzQ4YmNkMTZhMmZlMzdmZTBhNiIsInRhZyI6IiJ9/eyJpdiI6InlIQUVSMlgrM3BYS1NOa081SG1Jd3c9PSIsInZhbHVlIjoiWktSTFlVNHZJZHQvbVNRdFpxMlhMdz09IiwibWFjIjoiMWJlNDM0YzgzNWZjNTgwODQyMWMyNDBiNDBkMmFiNmJjYmVhZmE1YzNkZTlhMDgzYjNkNGQxMGI5MTMxYTg5OSIsInRhZyI6IiJ9/eyJpdiI6IjVqdjFIQWtDTzR5OUtEcUpXbTBGTnc9PSIsInZhbHVlIjoibjRxNmh1ckZmeGpFK1NMUFM5Z0dtUT09IiwibWFjIjoiNTdiMTRhODA1MWE3MThmMTFlZGNmMDhlZWY2ZjY0ZmQyMzQ5YjIwOTViMDdjZDM2ZjAwNDQ1N2ViM2Y3Yjg3NSIsInRhZyI6IiJ9/eyJpdiI6ImkzRXhWS2JsUWtsZHFyQ0VFeDFVMEE9PSIsInZhbHVlIjoiWDg3TThSZmJDdDdHUlVHbTJVTEZ5dz09IiwibWFjIjoiMmU5N2QxNWZkODNkYjUxYjc5Yjk2NjMwMzUxMDUwZDZkYjYzMDU2ZmJmZWJkZjVlOTFkZDE0YTU3YWYzOTU3NCIsInRhZyI6IiJ9/eyJpdiI6Im1pSytic1YzVVhNTzJLT3NZOGREMXc9PSIsInZhbHVlIjoiQ1h5WGdXVzhLWE5FK0pqcmdKSmxPQT09IiwibWFjIjoiNWIyZDBkNmMyZTE3Zjk5NjQwMzdhYWQ1MGU2NDI2OWU1OTY1ZDljMDA2Y2Q2ZGUzODJmOWEwOGUyOTY3MWMxMiIsInRhZyI6IiJ9
Rajasthan,2023,INDRA,Bamanwas,Indian National Congress,True,7197,INDRA__7197.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkhvTXI1WEJmVVJicXJ5NFBDcTlCL0E9PSIsInZhbHVlIjoiNzJNRXZmM25tRW5wQW5uOVdTZW15dz09IiwibWFjIjoiZDhiYzFjNTZiMWY3NWQyYzhlMDQ2Zjk1ODI2ZTllOTY0MmM1NDNhMzkzZDNlNzVhYzdhYTc4ODBjMDBmNzBiZCIsInRhZyI6IiJ9/eyJpdiI6IlBSbzdpbWJOSllNU1RFNVV3ZEQxOHc9PSIsInZhbHVlIjoicHdkb0U2VlNySk40YXJ0eVBIRXpVdz09IiwibWFjIjoiYjYwODgxMDE0YWVjNWNhZjkwNGU4YzEyNmI5YWE5MmM2MWNkMWY2NGZhMDBkZjdkMGZkNmM1ODg3N2M3NTZmNiIsInRhZyI6IiJ9/eyJpdiI6IjhBalZKR0hPOUtKUzYvRHFSTXRhYVE9PSIsInZhbHVlIjoiRUZCQTJzTnB2YnFmUUlINzJLQXBqUT09IiwibWFjIjoiNDRhMGU5YTY5YzMzMjM2MjgzODViODFkZDc5MGU3MmM4ZWI5YTc5ZGViZGEyMzU1Nzc0NTMzNjllMjVhZGI4MCIsInRhZyI6IiJ9/eyJpdiI6IkUyREZCODg3NU1YUlB1cHQ2d3pzTlE9PSIsInZhbHVlIjoidnQzc0hhY2ZSZW5nWlF2VTZES0k5QT09IiwibWFjIjoiYmE3OWMyNDA5YzlkMWY1ZjdhNGMwMjI5MmMzZWI0YTZhNzYyMDg4OWIwNjc0NTE5Mjg5YWUzMDcyNWEwNTNlMCIsInRhZyI6IiJ9/eyJpdiI6ImVudHo1a3ppOFNPZy9IcFVscTVYMXc9PSIsInZhbHVlIjoiclJVWVJnQjJRZE9ZV093d2ZUYWwxdz09IiwibWFjIjoiNjAxOGZjNzQwYTJhMjNjMjU3MDRhYjhkOTEyNWU0M2IzZTUxMWEwZTM3NmJlMzNlYjg2MmQzNjYwYTczZjI5NSIsInRhZyI6IiJ9
Rajasthan,2023,DEVI SINGH SHEKHAWAT,Bansur,Bharatiya Janata Party,True,7878,DEVI_SINGH_SHEKHAWAT__7878.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImY1QklYRVFBamVsdkNSUDh5MDRzVGc9PSIsInZhbHVlIjoibUdsN3p4dW9HVVIzQWRaa2Y1MkFsZz09IiwibWFjIjoiMTMyYjEwY2RhMjA4YzQ0OGJhNDE0MTYxMzgzMjU0Y2M2ZDljNjcxNmVkODllZWJkY2RkYjE2ZDQxNzUxY2U1MiIsInRhZyI6IiJ9/eyJpdiI6Ind2VUZiU1pJSHFIUk5DSldBOUg4SGc9PSIsInZhbHVlIjoiRVU4ZDRoZWdaTUNFSVd2N3RoME5xUT09IiwibWFjIjoiM2Q0MGJlMTU3ZmVkNGI2MDdlM2ZkMWFhNWE5NmNiMGQ3NTI0M2MxNmY5MjllYmI2OGJmYTYzOWVkZGVkMDA4ZCIsInRhZyI6IiJ9/eyJpdiI6IjIvM3RONGRYVm1yYms0UjF6bk43YXc9PSIsInZhbHVlIjoidGR3TUZMdTcvYjVCMVJqeURCQjZjUT09IiwibWFjIjoiYmVkMTMyMjE4NWFkMzJjN2UyY2VjZjIxMTIxN2Q5ZTU0ZjNiNWNhNjA1MzgwZmU2N2YwNDMwNTczYTgzMTlhMCIsInRhZyI6IiJ9/eyJpdiI6IktWSzdNWURFTDVpSE9Sak1UWDE1VkE9PSIsInZhbHVlIjoiUHlVT2JrelBDcFg1TmZMb0liSENNdz09IiwibWFjIjoiYWEzMTE5NzNiNjc3YTQ3MTAyMjRhMmNlMWRjNmJmYzUyYzJiNTIxZjJlYmE0OTg4Nzc5YjVkN2E4YTdlM2Y0ZiIsInRhZyI6IiJ9/eyJpdiI6InN6TEIreGJac3FtRExIYitQNHhBUFE9PSIsInZhbHVlIjoiZmxHVEtzQVp5WTFJNkJVd1N6eGZBQT09IiwibWFjIjoiZWE2YmM5ZDU2YzI3OTU2MjEyYjBlMTViZmNlYjM2ZGMzMmY2ZTA4OTA4OWMxOGNkZDQ3MGY4ZjBiYzJkZTU5OCIsInRhZyI6IiJ9
Rajasthan,2023,BADRI LAL JAT,Bari Sadri,Indian National Congress,False,7297,BADRI_LAL_JAT__7297.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InJ3NStkYzZrcmhXcEh1QURlOHVlL1E9PSIsInZhbHVlIjoiS0ovUnE1Um9uTU5QZjNLMEtES1kxZz09IiwibWFjIjoiNzU0MGM2MmJiZjUxZmJiMjkwNzJkNTNjZTM1ODI2MDhiMTM1NTkyYmNmZDhjZmQ0OTNiYjhmMjdiMDkzMDk5MSIsInRhZyI6IiJ9/eyJpdiI6ImRTeDdMQ1lHR2dCL2E1WW1rSE9rbEE9PSIsInZhbHVlIjoiczZwUTNKWjFneHVXSmRiakpNR29OUT09IiwibWFjIjoiMGZmOTVjNzgyYjVmNGNlZDkwZmE5Y2RmZDJiNGE3YjRhZjhhMGJhNjIzNGUzZWIwZmIxMWFhNjA0MjBkZDlhOSIsInRhZyI6IiJ9/eyJpdiI6Im5CVUl3UXhWNW0zbXpzQXV0ZHVwU3c9PSIsInZhbHVlIjoiWW5vRmgrUDJJYkRGQTZxbEFTZEl3Zz09IiwibWFjIjoiMjAxNjdjNjVlNTUyMWVkMTJiNzA2MjFmMzNlYmZlNjQ1NmI4NGFmODEwYjlmN2U1ZTMyYWYxY2EwZmZmMGM4MiIsInRhZyI6IiJ9/eyJpdiI6Iks4T2V3NHlHZnlxZk55R2ROUy9CMGc9PSIsInZhbHVlIjoieDAyWSt4Vk8xRHpmNE9MZnVrUzF0Zz09IiwibWFjIjoiZmExMTkyMmEyOTc4YWU5MDIzNmFlMDcxNTc2Zjc2OTVlYmM3YjgyYjYyZWE5ZDI1ZmVkN2RmNzQ5M2NkMzcyNCIsInRhZyI6IiJ9/eyJpdiI6IkJhYktlOEt1alBjUkNVL2todDdkMHc9PSIsInZhbHVlIjoiVDB5Uys0YnRGdWdBVE5SelczK3Fadz09IiwibWFjIjoiMzhjMWM3MWI5YzY3OThlYWUzOTFhMGYwNWRiNzEzMTVlZTE1YjEyMzE2MGZjNDA3YTYyN2M3ZjRlMGJjZGQxZiIsInRhZyI6IiJ9
Rajasthan,2023,SANJAY KUMAR,Baseri,Indian National Congress,True,8062,SANJAY_KUMAR__8062.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IndLMVlKeXBCVnhrbzBWQ3J5NUc3UkE9PSIsInZhbHVlIjoiZkZpZ3JYeldBUjRVVmVpRi9GdXZwUT09IiwibWFjIjoiNTRiNjA5ZDJlNWI2NmJlNjdjOWE3YjE1YWE5MTkxZjRlNjc2ZmVkNTdmZmY5MzBkMTE5MGQ2MzcwNWRjODAyOCIsInRhZyI6IiJ9/eyJpdiI6Iit4ZlhjSmgyK0xpMC92Tnhadk1YeUE9PSIsInZhbHVlIjoiNDR1ejdqeFJYTTBIdk1BVW9CNkRPdz09IiwibWFjIjoiZDFkZDRhOTY4NTZlYTMxNDdhNTZhMjUwYWNiYTkxODNjMjY3MDkyYzZjZmFhMzg4YWMwNzQ1YTZiZTdiZDg5NiIsInRhZyI6IiJ9/eyJpdiI6IkM5aElVcFkwY1lzOGlRYmhuSmYzUlE9PSIsInZhbHVlIjoiWUp0OFJuVTdRbmRzby9pQTlpMkplQT09IiwibWFjIjoiNDE0ZTU3ZTk1NmNiNzViMmJmNjJkMzg1YWVlYzE0NzI3YjdkYzI1NWZjOTZjNjUyODUxYTFiN2JjNTRlNTQ5ZiIsInRhZyI6IiJ9/eyJpdiI6InhoRzRVbzlJVHUzSCtGR3hxVkJiVmc9PSIsInZhbHVlIjoiN0JaZlR0UEpqZjRCTU9vWFViK1VjZz09IiwibWFjIjoiYjlkMDdkNzE2NjcyMzZkODYwMzJhYTNmMGZiOWQyYWM0YWE3OGYzYTRkNjFkYzY0NTZiODRkNzMxYjhiZTkxZSIsInRhZyI6IiJ9/eyJpdiI6IjJ3UHZleTJBTXFIZWxoVmRORWxDcGc9PSIsInZhbHVlIjoidDIzbDdIOVA5NmNhWlRQd1dISXJTdz09IiwibWFjIjoiZGVkMDVjMGNjYmUxMDNhZGVkZmZjOGEzNmNjOGRiNmY5MzMxODEzNzYwYTBlMzE0MzZjODU5Nzk1MDcyNGNmYSIsInRhZyI6IiJ9
Rajasthan,2023,SURESHKUMAR DHAKER,Begun,Independent,False,9876,SURESHKUMAR_DHAKER__9876.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InRBRng1dXR2cjZkRmNMY2lRNkw5RHc9PSIsInZhbHVlIjoiUi9GZ0swWVNLM3owa2xaZTRqR0tLUT09IiwibWFjIjoiZTk1NTlmZDc4NTAxMjBiNTIzMjBiODNhYmVhYmIwMWNlMjI1Yjc1MDI5MTNhNjkwZWIwMmVkNTU2ZGVjMDljYiIsInRhZyI6IiJ9/eyJpdiI6IjhJRzliUVd5ZHR5K3NjWllJZit4K0E9PSIsInZhbHVlIjoiVHVYaDRTYTlBQXRscU9QM2luWGE0dz09IiwibWFjIjoiMjZhMTc0NDU0MmRmZWUyMWEzY2Y3Yzg2OWEwZjdmNGVhODIwZWM5ZGQ2NTM1Y2I5YjJjYjU5Yzg4NjY1ODVlZCIsInRhZyI6IiJ9/eyJpdiI6InVkMkJJTERLV2NpVDBqTmZVWkk3cVE9PSIsInZhbHVlIjoiNVFpTmc5ZzYwVTR1c2dlUnZ6R2xYdz09IiwibWFjIjoiZTVmODYwMGNmMjAxNDI2OWM0NzY0YjEzZDZlOGYxM2M0ZGQ4ZTQwMzJkODMwYTJjYTk1MDc4MWIyM2MzMmYwOSIsInRhZyI6IiJ9/eyJpdiI6IjY3QVBrbDZWalJEbUM2VG1Ea0tscHc9PSIsInZhbHVlIjoiZ3lPWHorb0lWN0ljeXQwei9PazdPQT09IiwibWFjIjoiMjUyNGQ1Mjc5YTBkMjZhOTE2NjkwZmViNThhNWE0MzRhZDkxODRiNzdjZTUyNzFjYzNhYmRiMGM4MmVjOWI0ZCIsInRhZyI6IiJ9/eyJpdiI6IjZuMDdlYkMvY1J0RG5GRFRxd1RDeUE9PSIsInZhbHVlIjoieHR3MXl5YUZCeFpRdXdNbktBbHBtUT09IiwibWFjIjoiNWIxNTM5ZWY5NTlmMTMyNDI1Y2Q2Nzk0MDg5Y2UwMzg4NzRmYTJmY2MyZWQ4MTFmZDFlYzU2NjQyYmU5YmVjOSIsInRhZyI6IiJ9
