state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Tamil Nadu,2026,RAJENDRAN S,ARIYALUR,All India Anna Dravida Munnetra Kazhagam,True,11573,RAJENDRAN_S__11573.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImJ2ZXI5MmVkZ0JEZWpWYWo2d29HWHc9PSIsInZhbHVlIjoiSXBEeVZ4aGhmSTFhV1U5d09LYlo3dz09IiwibWFjIjoiMTUwNWQ4ZGM5MGIwNjA5YTk5NjRkMDE2MmRmMWFhYmQ1MDI0YWFkMWNjOTgxM2I5OTZkYTA0YjkzOTg1YmNkNSIsInRhZyI6IiJ9/eyJpdiI6IjFVaWQ2RTJvM1F1TjRDMEdNdCtFakE9PSIsInZhbHVlIjoiL0dKSkVlUkliSlJjK3hJRnpTUnpMZz09IiwibWFjIjoiMmFiOWMzNTcxZDBkM2FlNTNmNzZhMmE2ZDdlZjE5NmVhMGJlYzRiMjlmZTBhMTU1MDZlYmM4Y2YxMDg1MzRhNSIsInRhZyI6IiJ9/eyJpdiI6IjFvbjFOZnNPbXBZWEVPdTF2blRVK0E9PSIsInZhbHVlIjoiYnQyU2RZNW9kRkFXRkhFcFl2aUtmQT09IiwibWFjIjoiM2Y2MjgzN2EyZjcxN2RiYWNlMWMzNDQyNTA4ZWMyZDQ4NjA5ZTQxYzJkOGNiMDIyZjlmMzM1MTRhYzdjNDZjZSIsInRhZyI6IiJ9/eyJpdiI6IjJrNWlhNXowdU9lbzUwTFZKanhtelE9PSIsInZhbHVlIjoiQ0hiS1JPYzU4Q0xtbDhXdDVsa0c5QT09IiwibWFjIjoiNjEyZTU1ODUwOTQ5MTRjODM4MzA0NDIzOWU3MGJmOGM2ZDA2ZjUwZjM5NmNmZjkwNGUwYWFkZWVjZGZjMDM3OSIsInRhZyI6IiJ9/eyJpdiI6Ik11eTQ4OU52L3AyKzdWeGEwY2Q4MUE9PSIsInZhbHVlIjoiajVId1haWWNXKzJPaVkwNHQ2ZENDUT09IiwibWFjIjoiNjVlYzc5OWQ3ZGRkYTg4NDY4OThlZmEwNzk0NTExZmRmYTlhMzYzYmU1NDM2Y2UzOTg4ZjE1NWYyMDczZmRlNSIsInRhZyI6IiJ9
Tamil Nadu,2026,VEERAMANI K.C.,JOLARPET,All India Anna Dravida Munnetra Kazhagam,True,10992,VEERAMANI_K_C__10992.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImtSMUpVRUdrV1poL2R2NmFSL212aUE9PSIsInZhbHVlIjoieG1jdnY2Z0lDN2RJSGl4VzhNRjQzZz09IiwibWFjIjoiY2IxNDAwYjVhNmEyZDk5YTRkOWY0ZjkzNDZlMTU5YjU1MzgzNjJjMDE5ZTBjZjE1Y2MyMzRkZjhmMzVhNWU4MCIsInRhZyI6IiJ9/eyJpdiI6ImQvRUwwZWpZS0V3UzlZVEsrY3I5T0E9PSIsInZhbHVlIjoicW15Vm54WkY0K3oyMFhsdlV3eUdKUT09IiwibWFjIjoiN2YwNGI0ZDE3Y2ZkYWFkYTJjNGIzZWVlMzFlM2IxNjU0ZTRmNzA2MzFhYWFhYTRmMzNhNjA4OWVlZjQ5NmQzMCIsInRhZyI6IiJ9/eyJpdiI6IlRvdTlDOGRvcXNsNnNQdmE4L1lYVHc9PSIsInZhbHVlIjoiSzNpZ1VMbjhoNTJtT3hLYUk5RXRrZz09IiwibWFjIjoiY2Q5NWFjMjI3NTZlMTdjNTExZWJhNzNmZjc2MzMwNWRlYjE3ZWNjOWNhYjE5M2Q4OTJlM2UxMzY4MzBmNjk4NiIsInRhZyI6IiJ9/eyJpdiI6IndVaXQxR0ZpVGNacDdJQ25BdnQ4cVE9PSIsInZhbHVlIjoic2RtMDZVL1NqTnlBTnA1UjJKN0d0QT09IiwibWFjIjoiNmRmYWQyNDk3OWVmZWVjYzdkNjUwMDhlNGZlYzFiNTA5MjY2MjVhYzFmOWQ4ODkwMjVmMmNiZWE3ZDYwMDI5ZCIsInRhZyI6IiJ9/eyJpdiI6InRaUE1SZWZLa3R3Q1RBVmNHclRQQ0E9PSIsInZhbHVlIjoiZTg5SGo5QTZhLzNlMVB1SkE4MDBHQT09IiwibWFjIjoiYzhmZjdjNDk1ZTMyYmRhM2ZjMDI3YjhlNDkyMDQ4OGNjZmZmZjk2OTBkOGRjMDE3NzNiNzdkMWM4ZDMwZmY1NCIsInRhZyI6IiJ9
Tamil Nadu,2026,PITCHANDI.K,KILPENNATHUR,Dravida Munnetra Kazhagam,False,11016,PITCHANDI_K__11016.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkIvYll2dDJiZENiYkVPcm5TaVpwRVE9PSIsInZhbHVlIjoiOXRwZVNFMjhSem51eUZtaS96cTgydz09IiwibWFjIjoiNGY5ZTNiYjYyNDUwNTE3YzkzY2U3YTZkMzhhMmI2OWUxNDllZjI1NjZjN2IzNzFiYjI3NGNjNTUzYjg4ZTMxMCIsInRhZyI6IiJ9/eyJpdiI6IjNtTWcvTzMyTU56akRUSWVnRjVTS0E9PSIsInZhbHVlIjoidlhkT1pmbk9WVDVha1pQVG53aDBtdz09IiwibWFjIjoiZGYxNzAyZjJmYTNjNjIwMDEwYWJhNjVmYzQxYjBiNmVlYjQ1NzM2ODljYjk0NTc2YTBhYjgzNDYxOTBiNDZiYSIsInRhZyI6IiJ9/eyJpdiI6Inp4TUdyeE80TXdUSjQyVEQwMzlZSXc9PSIsInZhbHVlIjoiYVByRkhZZytlT3VnQUZyTk9VR1FhZz09IiwibWFjIjoiY2EwMDYzN2I4ZjA2NzcyMDE2Njg3OTYzNTMwZmE3ZTg0MjdjOTViM2ZlMWI1MWYyNjMwNDkxOWQ3NzFlMDg2YSIsInRhZyI6IiJ9/eyJpdiI6IjNoQUJHRWUzQ3k0L05QWHhVOFdEWGc9PSIsInZhbHVlIjoiQkc3S0Y2aG54M0s5VXI5S0xGUjYwdz09IiwibWFjIjoiMzJiMmE0ZmFiNTdmOWM0ODEyYjRmMjQzOGFiMDAzMjJmYjhlMGE5NTg2YjU1Mzg2MDhlMzAzMTZmM2Q0MTkxMCIsInRhZyI6IiJ9/eyJpdiI6ImdSUVNOVHM2OTVnVXRGbVU1YTdocEE9PSIsInZhbHVlIjoiUElGM3ZsN2MydzB6QitqTDBnM24vQT09IiwibWFjIjoiNzlkYTY4ZGYxZWZlNGM2MGYyNjFkNGU3ZmEyZDU0OTk2NmU2ZTZkYTEzOGQ1YTViNmU4ZTgxNDcxMWJmZGFiMiIsInRhZyI6IiJ9
Tamil Nadu,2026,RAMACHANDRAN.S,KILPENNATHUR,All India Anna Dravida Munnetra Kazhagam,True,11709,RAMACHANDRAN_S__11709.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Img4OERjVU82QkM0Y01YUml2TFE1UkE9PSIsInZhbHVlIjoiUjJYM2hXblFRVm04NGxkdGRtSitDQT09IiwibWFjIjoiYTUxZTYzOWQ0ZmMwZTI5YmRkMTZmNmRkODU5N2RmNGMxNTA4ZmM2ZWQ3YWE3NDMwOWZmMDA5ZjY2Yjg4MjBjYyIsInRhZyI6IiJ9/eyJpdiI6IlFWTnk1S1ZFYzBwMXhxb2kvL2N3MFE9PSIsInZhbHVlIjoiNytiREpWck9MOXBhdS81VEpVTElTZz09IiwibWFjIjoiNGNkZjU4YWY5OTk3ZDcyNzVlNmI1MjdhYmJjM2Y2NDM5NTY3MjhlODI1NzkzMTE1OTk1MWZmN2U1MDhkZTU3MSIsInRhZyI6IiJ9/eyJpdiI6IjBIZmF2MnBad0RzWDk3cWxHcjZIaVE9PSIsInZhbHVlIjoiVjhNamtNN2RPZHg5VnE4aTNXRnZnQT09IiwibWFjIjoiY2NlNzlmMDEyOWI4MGVlMGE1NDE3MTU3ZTBmMzViMDYyNGM2MjRjOGFmYWUwZjY0MjY3NjQxNDNhODk0NjJkMSIsInRhZyI6IiJ9/eyJpdiI6ImlOcTVlTDJmZVhCNHpSSExHOHppUEE9PSIsInZhbHVlIjoiRXpjZE5zRW52SkJkRlAzVlhPaEEzQT09IiwibWFjIjoiYTZkMzkyYWEyYjAzNTYyYmNhYTYwMTU0OWNiMWM4MmM1MThjZDUzYzI0MjExNGU4MGJhYTZhYjA5NjE5NWRkMyIsInRhZyI6IiJ9/eyJpdiI6IkFHN0xNYWZ3R3g3dkl4NCtuZmM4M2c9PSIsInZhbHVlIjoiblkyckZoelh4VmdnRWpETjNza0FIUT09IiwibWFjIjoiYTU5ZGFmMTQ5ODU2NmVkZTEwMjQzZWU1NmRiN2QxM2JlZTAwYjExNDU4MTcyNmIyYjc2MzA2NWIxZWQyZjI0ZiIsInRhZyI6IiJ9
Tamil Nadu,2026,LEEMAROSE MARTIN,LALGUDI,All India Anna Dravida Munnetra Kazhagam,True,16529,LEEMAROSE_MARTIN__16529.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkxLUEFQdjNpbHY5TmEzQURtamJnd3c9PSIsInZhbHVlIjoiNFhmSU5sRm9wdFErZm1pditHT3d4UT09IiwibWFjIjoiM2VkNzU0OGZiZjQ2ZDhiMTk5MzlmZGIwODg5OWFjMTVjODk1ODBlOGM1ODNkZDA1MDZiNGE1YTA1NTNlODE1YiIsInRhZyI6IiJ9/eyJpdiI6InU4Qy9qQXRUb3dSQVNsbU5pdzd4c1E9PSIsInZhbHVlIjoid2NwNXhEeDBVT0FIVWd3a1J3bVNKdz09IiwibWFjIjoiZDc0ZGUyMzk0NjhiY2MzNzc4MGI3MTZmMzkwNzBkODRlY2ZhYmRkMzkwMzQwMDlhODIzZjQ4YWQyOTIzZGNlNSIsInRhZyI6IiJ9/eyJpdiI6IjhCa0paQ1pGeCsrL0YvT1RiTDVDOVE9PSIsInZhbHVlIjoiV0IwVzNSUUI2eUlXWlRabnZTUDhWQT09IiwibWFjIjoiMjI3MjQyNTk5ZGJjNmIxNTdhMGEzOThlMWI2ZGQ5NzM5ZGY2ZDk5NGJkODE1OWZjY2U2ZGM0MjAwYThkYjhkYyIsInRhZyI6IiJ9/eyJpdiI6InJUOFJnTDlJdEc1ZU4vbkVMOW9oRmc9PSIsInZhbHVlIjoiMEY2cEVnSElhSlRtS01KcmhoL2tpdz09IiwibWFjIjoiMDA5YjQ1ZWEzY2ZjYjA4NzE4ODA5YmE5MWMyNWQzYWM5YjY2MDIyOGQ0MmJjYmRhYThmZGVlYmY5ZTA4YTEzZSIsInRhZyI6IiJ9/eyJpdiI6ImE3aXQzSllzQkZQMTl1ZXhMWmc5VHc9PSIsInZhbHVlIjoiM1FxTkREdm44VTY4dGFYUWhxZHRaZz09IiwibWFjIjoiYjZjMmUxOGJmYmI4OGNjMWUyNTRiYjhhMzFmOWE5ZmZmYTJkZDllNmUzY2E4MjM1OGMwYmY3YTkwZDFmNWIwNSIsInRhZyI6IiJ9
Tamil Nadu,2026,R JAYARAMAKRISHNAN,MADATHUKULAM,Dravida Munnetra Kazhagam,True,8426,R_JAYARAMAKRISHNAN__8426.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkNucEFpZm1RdTl5Wk42eXNWeEhGR1E9PSIsInZhbHVlIjoiUjlOOGNTMVR0L2dtLzBMTkw4Q1lGQT09IiwibWFjIjoiNDhlMjkxNTM5NThkMjg3YzliMmU2NTBiMmRhZDY2OTk3NjU4MjkxODhhNDA5NGUzNmU1NmUzNDk2ODllMjI4OSIsInRhZyI6IiJ9/eyJpdiI6IjZJMVFhSlhnRTU0RlhmYlV4T2lBTlE9PSIsInZhbHVlIjoiSEU2WFVodFV1ajJvTFJMZ20wQzZ5dz09IiwibWFjIjoiYTllNWUzYmY0N2I5MjA2ZWM3NzYxNWUyZjUxOGNiZGI4OWM2OGViMzdjNTMxOGJkZGI1NjRmNTc3ZTJkYjY5NyIsInRhZyI6IiJ9/eyJpdiI6IjNRQWxRaUhnSksvZlNOQnNKc0MyR2c9PSIsInZhbHVlIjoiWjlQV09EWWJkVmpqYzJNNzZKMEJqZz09IiwibWFjIjoiOWUxOTY0YmJjNmFhNDVlOTVjYTNlZmVmMTQwMDVmZDVhYWFjY2FlZmE1MzAwZDEyZTAyMzZmMzJhOTkzYTY5NCIsInRhZyI6IiJ9/eyJpdiI6Im40enpQT1JmektKcWhNSUROcWQzTHc9PSIsInZhbHVlIjoiSE9xRDFHZkpFV0dHTWRxOVRlM1pTQT09IiwibWFjIjoiZTViNjY4NjAzMDNjOGEzYzk3NmIxN2E3ZDdlYmYxYTcyMDA4OWQ5YTI1OGJiOTFkY2FlMWI1ZDIxNzhiMzE2MyIsInRhZyI6IiJ9/eyJpdiI6IkFYVk1nV2VJV0I1ODdjQjMwKzlpWkE9PSIsInZhbHVlIjoiSWhrOCtvL3FYQUlZVG1uTUR1TVlPQT09IiwibWFjIjoiYTkxZGFjYTg1NzY2MGQ4OTQzNjA3MWZiYmIyYmVjZDIzMTFjMjdjMWM0ZWEzODAyNWZmNjZlNTRmN2JiYmJjMiIsInRhZyI6IiJ9
Tamil Nadu,2026,MARIA JOHN,PALAYAMKOTTAI,Tamilaga Vettri Kazhagam,False,7756,MARIA_JOHN__7756.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6Ik96UkNzWVNaYWhxTlFjanRHSHZPdFE9PSIsInZhbHVlIjoiYkxjckVCMzNrN0pDQUNEWUNFWFRnUT09IiwibWFjIjoiNmEzZjA1NmZmYjE4ZGIyMTlhOGMxNzcwYzY4NjVlM2M5OWQ3NmUyYjEzYWJiMTYyYzM3YjZlZGY1YmIwOThjMyIsInRhZyI6IiJ9/eyJpdiI6ImlqcjR4MitCbUgrTnVoS2VLSzNYckE9PSIsInZhbHVlIjoiY1QyMHQzN21Gb1FTRm90a2NHeEFyQT09IiwibWFjIjoiNGM4ZmQwYWRhMjA3Y2JjM2Q2YTMwODgwNzUwZjgzNDcyNTI2NjU3ZDE4OGJiNDQ0ZmUzNDAzYzRiNzJjZGNhYiIsInRhZyI6IiJ9/eyJpdiI6IjFvaDlGbUNXenR3MCs4QlFrMmVpOXc9PSIsInZhbHVlIjoiSFcrV3EwVy9JVWZSNUVadEdjVU4xZz09IiwibWFjIjoiNDRkNjBlOGZjZjJkZGExYWU0MzdjOGI1NWYzODBmYjU3NjNkMDM0YmU4NjhkMTZlM2U2ZDAzMTg2NDIwYTNhYyIsInRhZyI6IiJ9/eyJpdiI6IkRLMldtQmgySllNUUdXUUFOR1NEaHc9PSIsInZhbHVlIjoiT3hvOXR3SGE1WW0wVVJ6VFNndzc0dz09IiwibWFjIjoiNDZmNjZlZDM3M2YxOWRmNjEzZmEzZGZkN2MzYjAzOTkwM2Y2MTdhZmY1YzFiZTMzMjQ3NTE1NmUyNmM1ZTllMSIsInRhZyI6IiJ9/eyJpdiI6IlBjYTZwRFdTYUxoWDBvbXF3RWtEVHc9PSIsInZhbHVlIjoiUU1JSlRQS3cxcWdVNm9DazN0a3dqQT09IiwibWFjIjoiMTc1NTI0NWMxYzAzNTA3Njk0ZjkwMzZjMjZmOGFjMDgwMmNiOTVjZTIzYjYwMDhlMzMzYjhkM2RlY2RmNmRjNCIsInRhZyI6IiJ9
Tamil Nadu,2026,NAINAR NAGENTHRAN,SATTUR,Bharatiya Janata Party,False,9136,NAINAR_NAGENTHRAN__9136.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkJqbHZWRWtEZzZ2MG9KdExpSGVPZVE9PSIsInZhbHVlIjoiRVNoSVlQOHNHZEdzb3pLcTZjVjU1Zz09IiwibWFjIjoiZTZhMDA3MmFhNjU1ZDI3M2QxZGNhOTNkNDU4ZjgxOGNiYzQzM2Q3OTQ0ZGQ1ZTU2ZWUwMjJlNTg1ZDcxMDk3MCIsInRhZyI6IiJ9/eyJpdiI6InJnS1RzZC9JSEpVZDdRQkJmRzcvT2c9PSIsInZhbHVlIjoiV2ZxdGcwWC8zZGVBOUh4TkZXV0xDQT09IiwibWFjIjoiYjk4ZmM5YWU5ZTI2MWRmYjllNzMwNTA2ZDU5ZjU3YzQ5MTgwYWIwYzFlMTAwYzg0ZmFkN2FhNGI3NmE0ZjgyMSIsInRhZyI6IiJ9/eyJpdiI6Img0eUsrN0tuSXNxQjFOSjZKOVhkdHc9PSIsInZhbHVlIjoiWi9CSmZsUDdyTXFSZDdQUEJBSHlDUT09IiwibWFjIjoiOTNmMWM0ODQyZWY2YTI3Nzk0MWI5MjAzNjYxY2YxZmU2ODBjMjkyNWEzMDU1YjRkMTFkNDFhZmMyOTVmY2YzZCIsInRhZyI6IiJ9/eyJpdiI6IncxQTd2K2tzNk1kdWorL1BmU3FLWUE9PSIsInZhbHVlIjoibkVCSlR5Sk5wQ1JFN2cxUGJGVlZoUT09IiwibWFjIjoiYTY1MmY0YTQ4MWY0YzhmNjQzMjAwMjA4OGFmMTFhMzI3Nzg1ZWIzNTMxMjZhZDdkZDRiNThiNTE0MGJlNjAwZiIsInRhZyI6IiJ9/eyJpdiI6IjBScVYyZVg1OVl3YVRzWUdTZkRFTXc9PSIsInZhbHVlIjoiMGJHbk1sT1BpbHQ3QWNGaEE5OXl0Zz09IiwibWFjIjoiMWQ3NzEyZmU5NTcwODgxMGNlZDNlZmIyZDA0NzBhYzIzZjg1ZTg2MzQ2YjNhMzViYTVjNjQzZjcyZTMwYWVkZiIsInRhZyI6IiJ9
Tamil Nadu,2026,KIRUTHIGA THANGAPANDI,THIRUPARANKUNDRAM,Dravida Munnetra Kazhagam,False,7657,KIRUTHIGA_THANGAPANDI__7657.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkZMTno1V3lBdElFa3VDb1Qzc0trTVE9PSIsInZhbHVlIjoia0xWQVhwUWRBcy9sQXhDRkdmaExvQT09IiwibWFjIjoiNDhlYTczNzhmYjJjODE2NGE5M2JhZmVlZmE1NTNkZjY3ZDkyYjQ1YWRkZWExYzBkNDBkMmMyMzVmNzZiNTNiOCIsInRhZyI6IiJ9/eyJpdiI6Ik94RWMvRnF3Vnh0eHlsUGtob205SHc9PSIsInZhbHVlIjoiSlQyVmhSbXNna1RqVFRIVGRnamJIUT09IiwibWFjIjoiNzU4YjFhM2Q0MjI1MzdiNjQ0ODgzYTk4OGQzNDkyODQ3Mjg5MWM5NzkyMzNjZTg4NjY5MmY1OWI3MTAwYjZhZCIsInRhZyI6IiJ9/eyJpdiI6IjErbmQ3NUdlRm1ubGg2ZjZvTTAwaXc9PSIsInZhbHVlIjoiMFFaMzljeDI2NTRWTWRmRURJMDhkZz09IiwibWFjIjoiZTZlYzlhNGE3YjFjNzlmZDgzZGVmZDA4NGNhYjYxNTBmMTgxZDIwZTFmN2QxYjUzMzNiYzc1MDYzMjdiNjY5YyIsInRhZyI6IiJ9/eyJpdiI6ImhOWkt0M3BuRWhyZzZBZHVSV0lKdWc9PSIsInZhbHVlIjoiVXYybTRyM2pMN0M2eldVM3VyVEVTQT09IiwibWFjIjoiMTgyMTdlMzU5M2Y5YWYyYjRhNGI2NTAyOTRlZWE4NTkyNWE2ZmJhNTc1NTgyYWM2MmJiY2IzYzQ3Njg0OTdlZSIsInRhZyI6IiJ9/eyJpdiI6IlJkOXRvaXRRa2dPNWs4Q2hhcGduWmc9PSIsInZhbHVlIjoiQkF4RmZrZE1hMHBSVmgwSGlwR1ZGZz09IiwibWFjIjoiM2U2ZGNiNGM0YzQ3OWYwMmYyM2QzNTEyNzNhNTE0MzM3OGMyZDMwNGNkMTE4MDg3NGYwYmYzYzg4NDkwZDkyMyIsInRhZyI6IiJ9
Tamil Nadu,2026,SATHISH RAJU (ALIAS) K.P.R. SATHISH,THONDAMUTHUR,Tamilaga Vettri Kazhagam,False,17660,SATHISH_RAJU__ALIAS__K_P_R__SATHISH__17660.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlNDYlgrYVlaY3QzeFNNN0hZRmI0WlE9PSIsInZhbHVlIjoiNUJyQVcrT0NjL0t6U0RRenNPMTlaUT09IiwibWFjIjoiOWY4M2FhNmFmNGMzOGRlOGUxZjc4NmEyOGQ1MWY2MzFkNDY3ZTQwYmRkODUwZWVhM2ZhZmFmMWY0Y2Y0Yzk1OSIsInRhZyI6IiJ9/eyJpdiI6IklTRE5pdElLSWpoc3hrWWM5YWtyQ0E9PSIsInZhbHVlIjoib1dlb1Z2RjhiZ0NKNmFtbG9Ud2NZUT09IiwibWFjIjoiMjk2NGE0YTU1NjI0NjFjNDQ5Njg4ZWZhNGY5ZTRkNWNlNTI3ZGFmNjUyYjdiODVjNWIwMmMxM2Y5OTllOTAyMiIsInRhZyI6IiJ9/eyJpdiI6IkU2VzdiV3F5SnVVNWxRR2l1czZoVmc9PSIsInZhbHVlIjoiT1ZLTTkvVHliQlRzSWJMZVZobDMxUT09IiwibWFjIjoiZTM1ZTJmZjI5ODY3YWQzZDFjMTYzZThhZjQ2ZjJmOWZlZTkwM2Y3YjY0OWRhZjEzODBiMDA3Zjk0MWMwMzg1MSIsInRhZyI6IiJ9/eyJpdiI6Ik44dlVQaTB4ZFEzUnZ6OUpMRkFKVVE9PSIsInZhbHVlIjoiZnU4MlVTRGI4RWI5N1hHQlRBQ00vUT09IiwibWFjIjoiNDZhMTU4ODE5MGJhYTJmMTE2MWZjYmYyNjYyZDNiOGJlZmIyNGM3MzI3OWMxMDgxNTFhZTgyOGYyYzgxYzczZCIsInRhZyI6IiJ9/eyJpdiI6IkVNWS9EUmpOTjJDWW4wMWtXMDFneWc9PSIsInZhbHVlIjoiYmxwMFRldmtRZ3ZxdWEyVDgvR1l5UT09IiwibWFjIjoiN2YyMjVmNTFkYTA5MjM4Njg5NTQ0MmQ4MzYzNDA1NjhmZTU4NGY0NzJlN2Q2ZDVjZTc1YjllZmU2ZTNlMzQ1YiIsInRhZyI6IiJ9
