state,year,candidate,constituency,party,won,affidavit_id,expected_pdf_name,profile_url
Uttarakhand,2022,VINOD KANDARI,Deoprayag,Bharatiya Janata Party,True,1274,VINOD_KANDARI__1274.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImthRk1PaDl5eUlDWnlZTisrakUxYXc9PSIsInZhbHVlIjoiSDg1OXhwV2txS0Z3S0ZxTC95NkJUdz09IiwibWFjIjoiZWEyYWY4MzkzNDgyNDg0YzI4NzVmMWNiODRmZWEzOGExNzlmZmUzMDIyMjgwN2VkM2IzYTY2MDlhMDFmYmIyYyIsInRhZyI6IiJ9/eyJpdiI6IlRYY0JCY0dYbDVrRCtSdUloTlVXWEE9PSIsInZhbHVlIjoiRmJuaU1YNU8yKy9DdW83M2kyUU9EQT09IiwibWFjIjoiZWEwMWExNmE5YmNhNzFhYjQzYTBhNGMzOTBjODk2OTAwNGNiMjVjMjYzMDIxOTJlYTMyMTViZTQ4NWE2Yzc5ZiIsInRhZyI6IiJ9/eyJpdiI6ImplNHVnUDhhekFnUyt6cG45K3JpVHc9PSIsInZhbHVlIjoiREM0YmZLQ2drcE40eVVtTE80ZzFOQT09IiwibWFjIjoiNTAyMTVmNzdmY2UwMDEwYjA4ODcxY2E2MjYxYzdmZGJiMDJlNWE5ZDg0YTliYWYzMTY5ODE4NmVhYmNkYzQwMSIsInRhZyI6IiJ9/eyJpdiI6IlMxRkRtNk9uSjVYWFJjYk9rYTVpeGc9PSIsInZhbHVlIjoiTHRNWkJzWHNocTAyME92UkgxK1pqQT09IiwibWFjIjoiNDZjNTMyZWY3YjBmMzNiMmNiMmZmNjE5OTkzZDViYzAyMzNkNjAxNzVkODZhMDY5NTgxNjdjZDMxYTc1NDZmNCIsInRhZyI6IiJ9/eyJpdiI6IjZxMlhSbklZMWNJb1dxWUpCUEZKOWc9PSIsInZhbHVlIjoid011ajlERCtZS3pUY1FxZmNrY3Jqdz09IiwibWFjIjoiZmY1MDgyYmFlZDYyNGE4MmM4NDQyZjBiZWE0ZjUxZGNkYTZmYjY2ZTZmMDNiZDFjMTdjYWI4ZDVmMjUwM2VjMCIsInRhZyI6IiJ9
Uttarakhand,2022,FAKEER RAM,Gangolihat,Bharatiya Janata Party,True,1283,,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InQyOEMzaGRDMnlQNUJQN3pmcWhyK2c9PSIsInZhbHVlIjoiWWxtaGpleHN0dndwV0hDOXFIa2p5QT09IiwibWFjIjoiZTk1MGNjMDU0ODNmODk2NDU3MzY1ZDVjZTk0YWY4N2EyMWU4NDYxMjViZTNlZTMxMDFjYjdjMmMwM2Q3MTZjYyIsInRhZyI6IiJ9/eyJpdiI6InE2ektUV05vMnVRekh4L001Z09QeVE9PSIsInZhbHVlIjoiajFYM2ltY1o5MFFmSjBaczk3U01nZz09IiwibWFjIjoiMGQ2NDJhOWU5ZWE5YTJmYTQzOTQwOTAwMDAxMzQ0ZGRmNzkzYmExNTBiNjVmMmVmN2ZiMzEwOGFhNjMzYmU0MCIsInRhZyI6IiJ9/eyJpdiI6ImxFeGxiUVFFMnBKSmtWZXJhZWFlc1E9PSIsInZhbHVlIjoiQW90YSsveHpHV3NYN3VOUjViemdWUT09IiwibWFjIjoiY2E3MTAzZDFmYjgwMmNlOTllOTQ1N2ViZWU4MGVmYTgxZTQ2NGMwOWQ2ZTY1YjZhNTg5NmJkNGNlOGEzNzcyNiIsInRhZyI6IiJ9/eyJpdiI6Ilg1dENMREVQU3lHekR2R3JvVWVFQ1E9PSIsInZhbHVlIjoiTnBXemQyWW42WFUxVWNDcHcrL2czZz09IiwibWFjIjoiMjE4OWMwMTg3MTZiZWY0NGEzODE4Mjg0Nzk0YzFhZmU4MTgxMmY4ODA4NDgxNGQ0Mzg2ZmFlNzYxMmIzYzcwNiIsInRhZyI6IiJ9/eyJpdiI6IkRCUjc0TXA3Y0c3U3FURzhUVEVYMHc9PSIsInZhbHVlIjoiQTJQU0JSUFkrc0VSRDJEbEVBWXFqQT09IiwibWFjIjoiMzdhNTlmODNkMGQ5MmM3YmFiYTM4YTAzYzhkZThhMTdhODAxZTk5ZWI0NjlkNGJhOTlmYzU2MTI3OWRhMDVhNSIsInRhZyI6IiJ9
Uttarakhand,2022,DHANI LAL SHAH,Ghanshali,Indian National Congress,False,2264,DHANI_LAL_SHAH__2264.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlZqWE9ZOEJRLzY1VHpWaDA0TkplVFE9PSIsInZhbHVlIjoia2JFWC9tTThWWVR3bEJPWDVhS01qZz09IiwibWFjIjoiNTlhY2JjMmE2ZjM5MjFkNmI3MTZhMzc0YjYzZWIzMmY2NGYxNzRlMWYwYThhNzFhNzFkNjk1MTk1YTUxNmMyZCIsInRhZyI6IiJ9/eyJpdiI6Inhhem0vOEFaYTMrelZHdE96dHpXYnc9PSIsInZhbHVlIjoiREZxN0ZVZ2x2OEhuNWVQcFlITjZRZz09IiwibWFjIjoiMzYwOTBmNmY0YTU4MDFjOTMyYzAwZDI2NWU1ZDIzMGFhNWI3OTUwOGNkMDEwYTNmYWJlNzdmMGEyYThmNmRkOCIsInRhZyI6IiJ9/eyJpdiI6IlJKa2FrMDl6VVNuRktFTXBCc1BXWHc9PSIsInZhbHVlIjoiSWZUS2Z2VE43cXJ1U1cvYmx3R3pzQT09IiwibWFjIjoiZTU1OWFmMzQ3NjQwZTA3ODk3ZGQyY2ViNmM5NWU2MzVlOWZkYjkwNDI2NmZlZTkyOTA5MzJmZGY3NDVkNmM5OSIsInRhZyI6IiJ9/eyJpdiI6InArdFcrSFRlbUN3eDVRaDhFMERMQ0E9PSIsInZhbHVlIjoicFFqUVJodnQ3Z1hHL0dLdnJMY2xGZz09IiwibWFjIjoiZWY2MjAwOGRlOWY3YThjNTI1NWQ4MGZjNDcwMTRiMzhiOWI2MzgwYThjZGRiY2E4ODEyYzhhMWYzZTY2NTdlMyIsInRhZyI6IiJ9/eyJpdiI6IlJLSGY0alVGcWYxRTZBWk1rNS83b1E9PSIsInZhbHVlIjoiNVZUZHFRVFQxd3pjQWIyUUJ4SzdEQT09IiwibWFjIjoiNDU2MWJkNWZjMjI4NDg4MjE3MDE3MGE0OTAwOWUzZDU1YjBiZWEwMWMwODc5NjU5OTkwYmU4ZmMzNTU0ZWI3OCIsInRhZyI6IiJ9
Uttarakhand,2022,SHAKTI LAL SHAH,Ghanshali,Bharatiya Janata Party,False,1234,SHAKTI_LAL_SHAH__1234.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImZybDUwS1hwdEhDaTdnVE9LVGtVSUE9PSIsInZhbHVlIjoiaVo5TUlnWS9KZW1mOUtJenAzUEpJQT09IiwibWFjIjoiOTg0YmFmOGI3OWE2M2M0MGFiMWE4ODBlYTRhYTgwZjA4YTk3N2Y0ZTNiYTkyOWE0OTE3OTEyZjZiNTY5NjNmZiIsInRhZyI6IiJ9/eyJpdiI6IjJZR3ZUL1YrNzdsSmtOYk03M0VSWWc9PSIsInZhbHVlIjoiYmpHS0RDL1lqNENlWWhNNElrYUVxdz09IiwibWFjIjoiZWJiMmZkNmQ0YTg5ZWQ4ZGQ4NjJkNmYxMWFjMjFmYzEwMDgwZjE5MWQ1Y2MxOTdlNDdiZjg0ZDVlNzc4ZGMzMSIsInRhZyI6IiJ9/eyJpdiI6Im53ODBxQjhya0hPakRraGdCZDM2Z1E9PSIsInZhbHVlIjoiNzA2RTVnVzhBMFVmOFlKWWNCTGoxQT09IiwibWFjIjoiNjc0NWZmNTAzMjU5ODc0NTk1NDI3Nzk5NWZjZTE4ZDRlMGY4NTc3YmVjN2UzMTllMmQxNDA4ZTUxOTViNTlmZCIsInRhZyI6IiJ9/eyJpdiI6IlJHR2tiZDZrcEVjeGFjS0xaQ25DcWc9PSIsInZhbHVlIjoiR2cranZEMlBpVmtYVXRSMnhScXhXQT09IiwibWFjIjoiMDc2ZTRjNDU1Zjk4YzIyMDNkNDJhZDFkMTE0YzAxMDM1NjgyYmMzZDljMWFkZGRhZjEwYzM5ODBhMmFkMDdmMCIsInRhZyI6IiJ9/eyJpdiI6ImRodUI5UHZVRmdtZW1XM0RIYVkxUUE9PSIsInZhbHVlIjoib0MzelFpd0Q2S3ZpUkdTZWlyS3pwUT09IiwibWFjIjoiYjRkODc0NzVjMjc2MTEwZmMzMTA5YjIwNWY2ZWZiNWFmYzdjNTc5MTM4MDIyZTYwNzBmOTcxYmRmMGIzZDFiNSIsInRhZyI6IiJ9
Uttarakhand,2022,RAJPAL SINGH,Jhabrera,Bharatiya Janata Party,False,2289,RAJPAL_SINGH__2289.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkhkNzQwWDRVVlF2Q2hNZHB3d1l4ZGc9PSIsInZhbHVlIjoiQlRIN1UrL2F3SGg2OWtzeUhmK2swUT09IiwibWFjIjoiNDMxZjdiOWZjZjM4NjE1OTIwYmQ4M2Y5ZDA2ZmZiOThlY2ZmMGZkMTAwNDc3YWE1YThiOTdjZjU0MWUzMGMyNiIsInRhZyI6IiJ9/eyJpdiI6IlpHK2RwS2lhU2RPQWJOTlRjTGI3cEE9PSIsInZhbHVlIjoiL2R2aVZhVlQwRTBHamhGS2dyRklMZz09IiwibWFjIjoiMGI3OGU5YzEzMWUwNWI1NjIwYjVjOGMxOWVmNDQ5M2QzZDM0Y2VlOTU2YWFjMGU3YmU1NTAwNDJmYzJhZGU3NyIsInRhZyI6IiJ9/eyJpdiI6IkVhd3dUSE1heTAvU2lIcUdNQ2p5ckE9PSIsInZhbHVlIjoiV2xCYkVvWU1XbUpXeUtwZjBCUC9uQT09IiwibWFjIjoiZmQ2NTJlZDU5ZWYxZDNlYWM3MmI0MWI4NTFjNjNiNTU4NjY5YjE1MDk1MDRhMmNhNjY2OTdkODFlNmNjOTYwMCIsInRhZyI6IiJ9/eyJpdiI6IjZLaXVLUy9QbGN1Q3hRS1R6Z2pTS1E9PSIsInZhbHVlIjoiMXZIbHkzZi9rZmU0MFRBWHZHa2svQT09IiwibWFjIjoiZjhjMWE5YjUxNmU4N2VlZmI0MjQwMTQ0NWIyM2UwNGNmM2E0MDIyOTc3NTM0NjNmMjJmNzdiODY5MDI0Mjg3OCIsInRhZyI6IiJ9/eyJpdiI6IlZCL3I2VGEwd080OFdlRm8xaHNBSmc9PSIsInZhbHVlIjoiUWlWbGZvTythSTA4Lys2N0t3aVR0Zz09IiwibWFjIjoiNzgwN2NhNGUxMjlhM2VkOWRlNGRmMmVhNzg4MTM4NmI3ZjU0MjcyNWZmZWZkMmM1NTU2N2JmYThlMzg0ZjIzNSIsInRhZyI6IiJ9
Uttarakhand,2022,VIRENDRA KUMAR,Jhabrera,Indian National Congress,True,3267,VIRENDRA_KUMAR__3267.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IlFjN3BrZFYvWHl4RUNNalBlSTBDcFE9PSIsInZhbHVlIjoiU0Z6MkZjMUFVMjVjbCs5NjNvSy8wdz09IiwibWFjIjoiNzRjNzA5YzhjNDZjMDk0Y2Y3NDQ5ZmMxOWYxNGE5NTRmYjczZjYwOTAzODkyZjM0NjA0MTU0YTcwOTYzZTdjMCIsInRhZyI6IiJ9/eyJpdiI6Ii9HN2F4cE9SZmwrR3JncExmUjg2L0E9PSIsInZhbHVlIjoiVjJSVjZrcndkTDIxMXBYcmRkUFg3dz09IiwibWFjIjoiNmZkYmM0OWM2ZmRmOGJmMzdjOWJhMDEwNWQ1ODQwZWM2YjM3ZWEyNTc3NzVkZTI4ZjIwYzE5NjY2ODhlMDRjYSIsInRhZyI6IiJ9/eyJpdiI6Im5PNFc5aFBoMEFmTTFhKzVTRHhNalE9PSIsInZhbHVlIjoieHFCVlRFVE9ZLzVpSHVuL2JPdXl4dz09IiwibWFjIjoiYzI2MGY5Zjg4MDYxM2I5ZDhjYjAwNDczZTM3Y2ZhMzQ1MTQ1N2UxNDY0MDE0ZGJmMGZhYzg2Mjk0NGY4OGU4OSIsInRhZyI6IiJ9/eyJpdiI6InFtSmxJNFRpU091UjlzQTgyd2hOZnc9PSIsInZhbHVlIjoiVEpIM2NKVHFienpVcUFnM3Qzc2tyUT09IiwibWFjIjoiOGMwMWI4ZTc0OGFjNzQ3NWQzZWFhNzA4MDk1NTA2NmIwZmEwOGMyNmFkMGQzYmE3OTBlMmYyYzBjOTY2OWE4NSIsInRhZyI6IiJ9/eyJpdiI6IlZpbFF3czlHUVJMa1FibXRjS3pwUGc9PSIsInZhbHVlIjoiYU9nN0kxM2pScWpmNE84UkFnOGlXQT09IiwibWFjIjoiMTUxNTA1MTc1Y2I4ZTRhZDIyMDRjMjVlOTViOTBjNzEwYTQyM2JkYzA1YzYyNTgxNzJmNDRmOTc3ZDczNjBlNSIsInRhZyI6IiJ9
Uttarakhand,2022,SURESH RATHORE,Jwalapur,Bharatiya Janata Party,False,1509,SURESH_RATHORE__1509.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6ImR0SGFISXFFcm94eVdNcDBlVXl5dFE9PSIsInZhbHVlIjoiYlFVVk1XeDVkWDRMditRZG9sNVNiZz09IiwibWFjIjoiMzRjYjgwN2ZmOWUzYTNiNmFkNThjNTViM2RlNTFhYjc5NzZkMGQ0N2M5NTViZmJkZDgyMWM1YTQ4NDVlN2Q5OSIsInRhZyI6IiJ9/eyJpdiI6InF1UVQ5RHFoZkxqYi81bit6Z0JJN0E9PSIsInZhbHVlIjoiR254cGpSSmlNL2hTOEU3V0VFYVh3QT09IiwibWFjIjoiMDFjMjA4ZThkYTlkNTM1OTk3YTZhYjhkOGQ0Zjk1ODA4Yjg1MDI0YTNlZDY1NmNhNTEwNmMzNmYwYWEwMTFlNyIsInRhZyI6IiJ9/eyJpdiI6InRibWVTK3VFUXRIbG10NStKRVY1QVE9PSIsInZhbHVlIjoiZjFoMXlTakt6THRsVFRmUHV1Qkc0Zz09IiwibWFjIjoiNWFhNWEwNmY4NzRiOTVlMTA0MjRlM2Y1ZDkxYjFlZGQyMmZiZDJjMzc4NDhmYTFiNWU2NjRkOGYxNThhYTE2OSIsInRhZyI6IiJ9/eyJpdiI6InlneXlXVG1iR3RzTGt2ajNRL1R6WVE9PSIsInZhbHVlIjoiT2dsYzNBUDRZWnE1VlV5c0x5bm5Udz09IiwibWFjIjoiYTZhODg5NDM3ZGM4YTM2NTEyZWZhMmY2Y2FiY2M2NjgzZmY0YzFmMTUyYzM5OTQ2ZTk5ZjYwZmJmZjE4NzQ5MiIsInRhZyI6IiJ9/eyJpdiI6ImRtWWpaWDlabTZDeThWZEF2OXZRRVE9PSIsInZhbHVlIjoiZ2hGVVRoN1dXbkd1clpQdy9hVE83UT09IiwibWFjIjoiYmJkNWU4NmVmMDYwODhhMWNkZmViYTBhNTZkZWIwMDAyODM4MDI1NmEzNzkwZWE1MTViYTBiYjllNzg0N2NmMiIsInRhZyI6IiJ9
Uttarakhand,2022,DR. MOHAN SINGH BISHT,Lalkuwa,Bharatiya Janata Party,False,3062,DR__MOHAN_SINGH_BISHT__3062.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkVTUjdQV2VOV3VOR3NBSjNzZ3dVd0E9PSIsInZhbHVlIjoiMTBRQUVFVWwydStjaFdaNk5rNEx3QT09IiwibWFjIjoiN2JhMWRjOWQ4NzhlNDUyMGY1NTY3M2ViMzIzMWZhOGEyMWE5NzY4ZTFiODkxOTgyNTkzMzU2NDk2NjQ3YjRiZSIsInRhZyI6IiJ9/eyJpdiI6ImlvVkdBaVZTSUI4bWtvaXF1Z0Y1OHc9PSIsInZhbHVlIjoiWWcwM1UrbDMyZkdWOUtVTlN5V0s4dz09IiwibWFjIjoiYTU3NzE0MDY5M2M5ZmI2YzhlOTU3Yzk0NDkwNTZjMTA5NTVmM2Q0YjcxY2JjNGU3NTRkNmEwN2I3ZmZiZjMyMCIsInRhZyI6IiJ9/eyJpdiI6ImVMdHAyWnFUZ3NkMlh2RThHcDdtd2c9PSIsInZhbHVlIjoiNDFwSFBiVCtHMHNVR01weEpHVkNzZz09IiwibWFjIjoiMTkxYzBhYmI2MjNjYmMwZGRiNzNmN2ZmNDc1YWEwYTFmY2UwYTAwYzQ4MjVkN2M3MDFiMTQyNjQwMjA4NWZmZCIsInRhZyI6IiJ9/eyJpdiI6ImdnNE1hMlQvMDVvK0JUbWFTdHM1T3c9PSIsInZhbHVlIjoiUXhWMm1WNXcxU1l4QmNMSGhrS3c3dz09IiwibWFjIjoiN2ZhNjlhNDkyODYwOTQ1OTFkYjZmNTdhNzYxMDI0NmIwNjI1ZmJhMTgyYzBkM2Q5N2UxZGI2ZWQxZDM4MTY5NSIsInRhZyI6IiJ9/eyJpdiI6IkdFaUZyZUEzMkFEZEYxOHIrSDN6NWc9PSIsInZhbHVlIjoiak1mc0RnZ3ZSek5rT0pkMUF6S1Jadz09IiwibWFjIjoiZmQ0NjdiNjc2ZGM4OWQxOGQxNjlhZjZkNTdhNjNjMjM0ZDVlZTk1YTUxZGJiZDI3ZWEzZDNmZGVmZWFjZWM4YyIsInRhZyI6IiJ9
Uttarakhand,2022,SARITA ARYA,Nainital,Bharatiya Janata Party,True,1781,SARITA_ARYA__1781.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6InVvUERPR2ZPSE91dHk4ZjgyR203NEE9PSIsInZhbHVlIjoia2RydlQ4aHdwTDF1bVNHRUtzSHpMZz09IiwibWFjIjoiMjkwY2QzZTM4NjQ3Njg5OWJlZjU0MTg3MjNlYmRiNjFhMjI1ZTQxNWVlMzQwNDhlZWVkYzA5ZDE1OTYxNzgxNiIsInRhZyI6IiJ9/eyJpdiI6IkdNdUREeHZ4UUdLNWhtUzFvMmN4Qnc9PSIsInZhbHVlIjoiUHhnTlVNRGhQcVNvU1gwWkxveWFhUT09IiwibWFjIjoiMGM2Y2IyMGNkNTViNWQ2NzE3ODZmYjJmOGY2NjliZjc3NDVhNjRkMjc5NzJiNWM4YTZjNWI0NDBjZDE5ZTBjNSIsInRhZyI6IiJ9/eyJpdiI6IlVkOFJEa2NqT2ZCUlJOYSt6dkVMK1E9PSIsInZhbHVlIjoiR2ExTlN4OXpSTkxwcml2M0d4L2lUdz09IiwibWFjIjoiM2NkMzgwODMzMDFhZWFkNzYzODU0OWM4Nzg0NjA1YmZiMmJmOTkzOWI0Yzk0ZmQyN2Q0NTA2NzVkNGRlYWQwNCIsInRhZyI6IiJ9/eyJpdiI6ImpmMmc3TXMzM3JHS2RTSzVOUGsrQmc9PSIsInZhbHVlIjoidUY5MjdBd1UxZVovVjZEZEplMW5OQT09IiwibWFjIjoiN2RjOGNmN2I4YmE0MmNjNTIwZjA1Y2VkNWViMWMyNThjMmRkYTgwOThjMGRiOWMyMjIyMDZjZDg2YWNhZTY3MCIsInRhZyI6IiJ9/eyJpdiI6IkJCcVRUdWlpL2c5V2FzckxLOEtCTUE9PSIsInZhbHVlIjoiWm0vbk5zejlsK0V0OHd6Z3pDOGhXQT09IiwibWFjIjoiOWE5YWExYWVkZDRiZTQ2MTE5ZTRiNzc5YzgyNGU5MGZiZTYxOTQ2Y2FlOWM5Mjc3N2MyNjk4ZDFlZDIyOGNkNiIsInRhZyI6IiJ9
Uttarakhand,2022,GOPAL SINGH RANA,Nanak Matta,Indian National Congress,True,1990,GOPAL_SINGH_RANA__1990.pdf,https://affidavit.eci.gov.in/show-profile/eyJpdiI6IkZRamt3MmFSaDBWNWI2N21FU2p0YWc9PSIsInZhbHVlIjoieUFFL3pQaU5DbmxrMFRNTGl1elJ1Zz09IiwibWFjIjoiNWZhYzBmNDE3YzA1MzgwYjU2NTYxM2YxNjgyNmI0YjAzNTBlYjExYjMwODg5MTA1NzNiOGUxZmQzOGE5NDQyNSIsInRhZyI6IiJ9/eyJpdiI6IjM4M2pPcjVWYUo0YW53NTZnWjdFdHc9PSIsInZhbHVlIjoiaXVuSXpWQkRBVk0xeHhIdFhjb3JXUT09IiwibWFjIjoiMzVkZWU3YTkxMmQxZTJiMGI2ZGJmOWU5YmMwMDY2NzYxZjRkMmI0ZjFhOWU3MmI5MjlhNDQxMWM4YjYzMDhmNiIsInRhZyI6IiJ9/eyJpdiI6ImVoTXY1ZlFUWCtJRGJvT2xIT2lVWmc9PSIsInZhbHVlIjoiQXNkM0drL1IyODczTWJwYUxuTFVsdz09IiwibWFjIjoiNDIzM2U0ZTNmMGRjZjc0MjU4ZWYyMTU0NjY2MzU0NGIzZmFlMzcyOWQzZGMzMmYzZDA4MjhmNTcwNjA0MGM3NSIsInRhZyI6IiJ9/eyJpdiI6ImJoU1NDRDNLWmpFR2hhYXdQUTVFRWc9PSIsInZhbHVlIjoiMUlvY2I4TWozZWZDV3E0QkFVWGYydz09IiwibWFjIjoiOWJlMzMwYjY2NmY1NDkxMDhkYmI1NTQzMDFmMzNhOGZhYmFjYmY1MzRlNjcwNDk0MTgwYzY5MDcyZDJlYTU0NyIsInRhZyI6IiJ9/eyJpdiI6IlNsL0krVzFBaGIrYUNyV28rWjFpL0E9PSIsInZhbHVlIjoiUGJlbytwMlFTNnFwOWhWTXpkRllpdz09IiwibWFjIjoiNGYyYjlkNzIwNjEyYjlkNTY0YzJkY2Y2NmM2YWE4YzI3ZDVjYmEyYTRmZjZiMjAxZGY2YTM4NDQ2ZGJjYWNlZCIsInRhZyI6IiJ9
