cycle,allowlist,on_disk,missing,preprocessed,extracted,bad_extraction,ready_to_apply
andhrapradesh-2024,349,349,0,349,349,5,344
arunachal-2024,94,94,0,94,93,3,90
assam-2026,242,242,0,242,242,0,242
bihar-2025,479,479,0,479,473,3,470
chhattisgarh-2023,169,169,0,169,162,29,133
delhi-2020,136,136,0,136,136,10,126
delhi-2025,138,138,0,0,0,0,0
goa-2022,79,79,0,79,78,1,77
gujarat-2022,332,332,0,332,332,8,324
haryana-2019,178,178,0,178,178,8,170
haryana-2024,173,173,0,173,173,9,164
himachal-2022,132,132,0,132,132,3,129
jharkhand-2024,161,161,0,160,160,21,139
jk-2024,180,180,0,180,180,1,179
karnataka-2023,441,441,0,441,441,11,430
kerala-2026,266,266,0,266,266,2,264
loksabha-2024-andamanandnicobar,0,0,0,0,0,0,0
loksabha-2024-assam,0,0,0,0,0,0,0
madhyapradesh-2023,452,452,0,452,449,6,443
maharashtra-2024,552,552,0,552,552,14,538
manipur-2022,120,120,0,110,110,1,109
meghalaya-2023,119,119,0,119,119,0,119
mizoram-2023,58,58,0,58,58,3,55
nagaland-2023,102,102,0,102,102,1,101
odisha-2024,292,292,0,292,292,4,288
puducherry-2021,53,53,0,53,50,10,40
punjab-2022,208,208,0,208,208,8,200
rajasthan-2023,394,385,9,356,283,0,283
sikkim-2019,56,56,0,56,56,1,55
sikkim-2024,32,32,0,32,32,0,32
tamilnadu-2026,438,438,0,438,438,7,431
telangana-2023,235,235,0,235,228,1,227
tripura-2023,117,117,0,117,116,1,115
uttarakhand-2022,137,137,0,136,136,20,116
uttarpradesh-2022,799,798,1,798,797,0,797
westbengal-2026,583,583,0,583,583,3,580
